#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
AA.N,20110103,,End Of Day (from Real-Time),15.85,16.2,15.78,15.8,8270566
AA.N,20110104,,End Of Day (from Real-Time),16.49,16.59,16.21,16.52,9892032
AA.N,20110105,,End Of Day (from Real-Time),16.34,16.59,16.11,16.56,6625516
AA.N,20110106,,End Of Day (from Real-Time),16.71,16.71,16.24,16.36,4898810
AA.N,20110107,,End Of Day (from Real-Time),16.46,16.46,16.1,16.42,5026356
AA.N,20110110,,End Of Day (from Real-Time),16.7,16.7,16.41,16.49,8754867
AA.N,20110111,,End Of Day (from Real-Time),16.28,16.45,16.1,16.33,9974244
AA.N,20110112,,End Of Day (from Real-Time),16.39,16.41,16.12,16.24,5268089
AA.N,20110113,,End Of Day (from Real-Time),16.12,16.18,15.64,15.75,8007057
AA.N,20110114,,End Of Day (from Real-Time),15.8,16.07,15.75,15.97,6484503
AA.N,20110118,,End Of Day (from Real-Time),16.19,16.33,16.12,16.27,5751027
AA.N,20110119,,End Of Day (from Real-Time),16.35,16.38,16.03,16.06,6758498
AA.N,20110120,,End Of Day (from Real-Time),15.91,16,15.6,15.98,6163113
AA.N,20110121,,End Of Day (from Real-Time),16.06,16.2,15.77,15.8,5265513
AA.N,20110124,,End Of Day (from Real-Time),15.85,16.53,15.84,16.43,5911444
AA.N,20110125,,End Of Day (from Real-Time),16.34,16.36,16.06,16.24,5394663
AA.N,20110126,,End Of Day (from Real-Time),16.32,16.63,16.32,16.6,4990931
AA.N,20110127,,End Of Day (from Real-Time),16.6,16.63,16.31,16.47,2900357
AA.N,20110128,,End Of Day (from Real-Time),16.51,16.53,16,16.13,5056997
AA.N,20110131,,End Of Day (from Real-Time),16.19,16.57,16.19,16.57,7170069
AA.N,20110201,,End Of Day (from Real-Time),16.68,17.37,16.67,17.32,8931478
AA.N,20110202,,End Of Day (from Real-Time),17.21,17.36,17.07,17.21,3887993
AA.N,20110203,,End Of Day (from Real-Time),17.2,17.25,16.85,17.21,3900365
AA.N,20110204,,End Of Day (from Real-Time),17.34,17.38,17.01,17.14,3428654
AA.N,20110207,,End Of Day (from Real-Time),17.35,17.47,17.28,17.32,4591195
AA.N,20110208,,End Of Day (from Real-Time),17.42,17.47,17.2,17.4,2906577
AA.N,20110209,,End Of Day (from Real-Time),17.25,17.31,17.06,17.16,5209986
AA.N,20110210,,End Of Day (from Real-Time),17,17.2,17,17.12,4247862
AA.N,20110211,,End Of Day (from Real-Time),17.09,17.43,16.98,17.37,2961842
AA.N,20110214,,End Of Day (from Real-Time),17.36,17.67,17.36,17.59,4305319
AA.N,20110215,,End Of Day (from Real-Time),17.55,17.63,17.35,17.4,3771746
AA.N,20110216,,End Of Day (from Real-Time),17.53,17.64,17.42,17.59,2999594
AA.N,20110217,,End Of Day (from Real-Time),17.55,17.6,17.37,17.52,3466200
AA.N,20110218,,End Of Day (from Real-Time),17.56,17.58,17.13,17.28,4520872
AA.N,20110222,,End Of Day (from Real-Time),16.95,17.15,16.47,16.54,9116906
AA.N,20110223,,End Of Day (from Real-Time),16.39,16.63,15.97,16.44,7408609
AA.N,20110224,,End Of Day (from Real-Time),16.26,16.78,16.25,16.55,5450072
AA.N,20110225,,End Of Day (from Real-Time),16.81,16.89,16.51,16.68,3503497
AA.N,20110228,,End Of Day (from Real-Time),16.82,16.93,16.67,16.85,4291658
AA.N,20110301,,End Of Day (from Real-Time),16.9,16.94,16.22,16.25,4079302
AA.N,20110302,,End Of Day (from Real-Time),16.2,16.43,16.13,16.18,3490657
AA.N,20110303,,End Of Day (from Real-Time),16.36,16.77,16.36,16.63,3121379
AA.N,20110304,,End Of Day (from Real-Time),16.76,16.8,16.37,16.58,3248710
AA.N,20110307,,End Of Day (from Real-Time),16.59,16.74,16.08,16.25,3774423
AA.N,20110308,,End Of Day (from Real-Time),16.25,16.55,16.06,16.49,3155562
AA.N,20110309,,End Of Day (from Real-Time),16.36,16.58,16.22,16.3,3609311
AA.N,20110310,,End Of Day (from Real-Time),16.05,16.08,15.8,15.82,4742651
AA.N,20110311,,End Of Day (from Real-Time),15.5,16.12,15.42,16.03,4630911
AA.N,20110314,,End Of Day (from Real-Time),15.95,16.15,15.9,16.12,2673806
AA.N,20110315,,End Of Day (from Real-Time),15.48,16.13,15.43,16.04,5324332
AA.N,20110316,,End Of Day (from Real-Time),16.04,16.1,15.51,15.64,5253618
AA.N,20110317,,End Of Day (from Real-Time),15.94,16.09,15.75,16.01,3876895
