#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
BA.N,20110103,,End Of Day (from Real-Time),66,66.68,66,66.4,2188719
BA.N,20110104,,End Of Day (from Real-Time),66.72,67.6,66.51,66.94,1692015
BA.N,20110105,,End Of Day (from Real-Time),66.59,67.55,66.5,67.48,1060773
BA.N,20110106,,End Of Day (from Real-Time),67.58,69.34,67.5,68.8,1493718
BA.N,20110107,,End Of Day (from Real-Time),69.14,70.09,68.8,69.38,1531965
BA.N,20110110,,End Of Day (from Real-Time),69.5,69.64,68.36,69.09,918796
BA.N,20110111,,End Of Day (from Real-Time),69.5,69.88,68.67,68.96,1081097
BA.N,20110112,,End Of Day (from Real-Time),69.56,70.49,69.52,70.15,1188417
BA.N,20110113,,End Of Day (from Real-Time),70.28,70.5,69.62,69.83,901752
BA.N,20110114,,End Of Day (from Real-Time),69.55,70.2,69.39,70.07,854133
BA.N,20110118,,End Of Day (from Real-Time),70.69,72.56,70.23,72.47,2235430
BA.N,20110119,,End Of Day (from Real-Time),72.63,72.99,71.19,71.73,1542387
BA.N,20110120,,End Of Day (from Real-Time),71.42,71.96,70.37,71.12,1776366
BA.N,20110121,,End Of Day (from Real-Time),71.93,72.22,71.35,71.68,1674239
BA.N,20110124,,End Of Day (from Real-Time),71.58,72.82,71.54,72.73,1486035
BA.N,20110125,,End Of Day (from Real-Time),72.45,72.71,71.31,72.24,1201081
BA.N,20110126,,End Of Day (from Real-Time),70,70.48,69.11,70.02,2966334
BA.N,20110127,,End Of Day (from Real-Time),70.05,70.98,70.04,70.56,1370244
BA.N,20110128,,End Of Day (from Real-Time),70.78,70.94,69,69.23,1189788
BA.N,20110131,,End Of Day (from Real-Time),69.22,69.96,69.19,69.48,1353780
BA.N,20110201,,End Of Day (from Real-Time),69.97,70.5,69.6,70.29,897017
BA.N,20110202,,End Of Day (from Real-Time),69.88,71.19,69.82,71,869130
BA.N,20110203,,End Of Day (from Real-Time),71,71.38,70.63,70.98,1013832
BA.N,20110204,,End Of Day (from Real-Time),70.83,71.64,70.83,71.38,792351
BA.N,20110207,,End Of Day (from Real-Time),71.48,72.11,71.38,71.93,699706
BA.N,20110208,,End Of Day (from Real-Time),72.1,72.82,72.02,72.71,828701
BA.N,20110209,,End Of Day (from Real-Time),72.31,72.71,72.02,72.63,1199770
BA.N,20110210,,End Of Day (from Real-Time),72.5,72.99,71.87,72.66,1225182
BA.N,20110211,,End Of Day (from Real-Time),72.37,72.69,71.94,72.14,1021526
BA.N,20110214,,End Of Day (from Real-Time),72.6,72.6,71.6,72.26,825619
BA.N,20110215,,End Of Day (from Real-Time),72,72,71.09,71.4,1031378
BA.N,20110216,,End Of Day (from Real-Time),71.5,72.62,71.49,72.48,1030517
BA.N,20110217,,End Of Day (from Real-Time),72.48,72.48,71.94,72.24,771840
BA.N,20110218,,End Of Day (from Real-Time),72.21,73.52,72.2,73.04,1902255
BA.N,20110222,,End Of Day (from Real-Time),72.28,72.28,70.38,70.93,1540348
BA.N,20110223,,End Of Day (from Real-Time),70.9,71.49,70,70.23,1381613
BA.N,20110224,,End Of Day (from Real-Time),70.31,72.5,70.11,70.76,1370265
BA.N,20110225,,End Of Day (from Real-Time),74,74.02,72.06,72.3,1866940
BA.N,20110228,,End Of Day (from Real-Time),72.41,72.9,71.72,72.01,1228309
BA.N,20110301,,End Of Day (from Real-Time),71.91,72.15,70,70.12,1279971
BA.N,20110302,,End Of Day (from Real-Time),70.01,70.38,68.61,69.57,1605952
BA.N,20110303,,End Of Day (from Real-Time),70.25,71.82,70.16,71.71,1575537
BA.N,20110304,,End Of Day (from Real-Time),71.84,71.87,70.28,71.8,1291312
BA.N,20110307,,End Of Day (from Real-Time),71.7,72.07,69.92,70.88,1190160
BA.N,20110308,,End Of Day (from Real-Time),71.24,72.5,71.18,72.04,1254052
BA.N,20110309,,End Of Day (from Real-Time),72.01,72.41,71.34,72.09,1068314
BA.N,20110310,,End Of Day (from Real-Time),71.31,72.39,70.52,71.29,1294126
BA.N,20110311,,End Of Day (from Real-Time),70.4,71.88,70.4,71.64,989269
BA.N,20110314,,End Of Day (from Real-Time),70.89,71.22,69.91,70.74,947587
BA.N,20110315,,End Of Day (from Real-Time),68.6,70.22,68.58,69.69,1560208
BA.N,20110316,,End Of Day (from Real-Time),69.19,69.67,67.34,67.69,2921671
BA.N,20110317,,End Of Day (from Real-Time),68.54,69.03,67.85,68.3,1159100
BA.N,20110318,,End Of Day (from Real-Time),69.24,69.58,68.67,69.1,2199686
BA.N,20110321,,End Of Day (from Real-Time),70.18,71.67,70.04,71.2,1252121
BA.N,20110322,,End Of Day (from Real-Time),71.11,72.09,70.75,71.85,919609
BA.N,20110323,,End Of Day (from Real-Time),71.62,73.04,71.16,72.72,1126773
BA.N,20110324,,End Of Day (from Real-Time),73.18,73.2,72.33,72.76,862967
BA.N,20110325,,End Of Day (from Real-Time),72.94,73.5,72.33,73.34,1006463
BA.N,20110328,,End Of Day (from Real-Time),73.5,73.66,73.13,73.3,854470
BA.N,20110329,,End Of Day (from Real-Time),73.16,73.93,73.03,73.62,892001
BA.N,20110330,,End Of Day (from Real-Time),73.95,74.14,73.35,73.8,612600
BA.N,20110331,,End Of Day (from Real-Time),73.81,74.46,73.47,73.93,1031037
BA.N,20110401,,End Of Day (from Real-Time),74.38,74.84,73.94,74.01,1028415
BA.N,20110404,,End Of Day (from Real-Time),73.71,74.08,73.38,73.95,869963
BA.N,20110405,,End Of Day (from Real-Time),73.56,74.45,72.71,73.23,1041291
BA.N,20110406,,End Of Day (from Real-Time),73.39,73.93,72.8,73.72,938110
BA.N,20110407,,End Of Day (from Real-Time),73.75,74.58,73.71,74.29,943120
BA.N,20110408,,End Of Day (from Real-Time),74.65,74.85,73.04,73.47,765526
BA.N,20110411,,End Of Day (from Real-Time),73.66,74.27,73.5,73.76,618390
BA.N,20110412,,End Of Day (from Real-Time),73.24,73.57,72.97,73.08,822404
BA.N,20110413,,End Of Day (from Real-Time),73.48,73.7,71.56,72.13,965670
BA.N,20110414,,End Of Day (from Real-Time),71.75,72.46,70.88,72.3,890613
BA.N,20110415,,End Of Day (from Real-Time),72.52,72.98,72.02,72.6,1300871
BA.N,20110418,,End Of Day (from Real-Time),72.77,73.28,71.75,72.79,1450270
