#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
DD.N,20110103,,End Of Day (from Real-Time),50,50.39,49.96,50.03,1702925
DD.N,20110104,,End Of Day (from Real-Time),50.01,50.24,49.29,49.89,1684031
DD.N,20110105,,End Of Day (from Real-Time),49.65,50.27,49.56,50.22,1640241
DD.N,20110106,,End Of Day (from Real-Time),50.27,50.54,49.74,49.98,1672218
DD.N,20110107,,End Of Day (from Real-Time),50.14,50.16,49.35,49.76,1407055
DD.N,20110110,,End Of Day (from Real-Time),48.5,49.12,47.22,49.03,2662758
DD.N,20110111,,End Of Day (from Real-Time),49.17,49.33,48.25,48.97,2993250
DD.N,20110112,,End Of Day (from Real-Time),49.45,49.54,48.94,49.1,1804097
DD.N,20110113,,End Of Day (from Real-Time),49.25,49.73,49.12,49.39,1412652
DD.N,20110114,,End Of Day (from Real-Time),49.22,49.92,49.1,49.8,1300506
DD.N,20110118,,End Of Day (from Real-Time),49.57,50.13,49.57,49.7,2134035
DD.N,20110119,,End Of Day (from Real-Time),49.7,49.76,48.68,48.88,1567278
DD.N,20110120,,End Of Day (from Real-Time),48.75,48.77,47.65,48.12,1961356
DD.N,20110121,,End Of Day (from Real-Time),48.5,48.82,48.31,48.35,2485071
DD.N,20110124,,End Of Day (from Real-Time),48.43,49,48.29,48.89,2587382
DD.N,20110125,,End Of Day (from Real-Time),49,49.25,48.26,49.04,2222339
DD.N,20110126,,End Of Day (from Real-Time),49.15,50.63,49.13,50.32,2786786
DD.N,20110127,,End Of Day (from Real-Time),49.42,50.45,49.42,50.27,1937633
DD.N,20110128,,End Of Day (from Real-Time),50.16,50.66,49.73,50.29,2540736
DD.N,20110131,,End Of Day (from Real-Time),50.15,50.77,50.15,50.68,2726242
DD.N,20110201,,End Of Day (from Real-Time),50.9,51.74,50.86,51.66,2266237
DD.N,20110202,,End Of Day (from Real-Time),51.6,52,51.45,51.85,1234168
DD.N,20110203,,End Of Day (from Real-Time),51.7,52.06,51.41,51.93,1529301
DD.N,20110204,,End Of Day (from Real-Time),51.9,52.63,51.81,52.53,1614939
DD.N,20110207,,End Of Day (from Real-Time),52.53,53.91,52.51,53.33,2305420
DD.N,20110208,,End Of Day (from Real-Time),53.55,53.87,53.41,53.71,1735938
DD.N,20110209,,End Of Day (from Real-Time),53.64,53.85,53.35,53.83,1718263
DD.N,20110210,,End Of Day (from Real-Time),53.63,54.43,53.52,54.33,1948402
DD.N,20110211,,End Of Day (from Real-Time),53.71,54.74,53.61,54.58,2119929
DD.N,20110214,,End Of Day (from Real-Time),54.39,54.58,54.11,54.52,1502621
DD.N,20110215,,End Of Day (from Real-Time),54.39,54.5,53.8,54.11,2330438
DD.N,20110216,,End Of Day (from Real-Time),54.25,54.96,54.23,54.67,2590244
DD.N,20110217,,End Of Day (from Real-Time),54.62,55.67,54.45,55.59,2459991
DD.N,20110218,,End Of Day (from Real-Time),55.7,56.19,55.11,55.98,3133655
DD.N,20110222,,End Of Day (from Real-Time),54.95,55.3,54.13,54.38,3025784
DD.N,20110223,,End Of Day (from Real-Time),54.08,54.74,52.91,53.71,3271945
DD.N,20110224,,End Of Day (from Real-Time),53.59,54.06,52.37,53.04,3380372
DD.N,20110225,,End Of Day (from Real-Time),53.18,54.28,53.18,54.07,1509119
DD.N,20110228,,End Of Day (from Real-Time),54.28,54.88,54.28,54.87,2143922
DD.N,20110301,,End Of Day (from Real-Time),54.74,54.91,53.17,53.22,2714183
DD.N,20110302,,End Of Day (from Real-Time),53.09,53.43,52.76,53.06,1948541
