#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
INTC.O,20110103,,End Of Day (from Real-Time),21.01,21.05,20.78,20.85,58223768
INTC.O,20110104,,End Of Day (from Real-Time),21.12,21.2,21.05,21.15,75210343
INTC.O,20110105,,End Of Day (from Real-Time),21.19,21.21,20.9,20.94,61810472
INTC.O,20110106,,End Of Day (from Real-Time),20.67,20.82,20.55,20.77,116668982
INTC.O,20110107,,End Of Day (from Real-Time),20.71,20.77,20.27,20.66,74806061
INTC.O,20110110,,End Of Day (from Real-Time),20.71,20.77,20.57,20.69,51449697
INTC.O,20110111,,End Of Day (from Real-Time),20.83,21.12,20.74,21.05,64452537
INTC.O,20110112,,End Of Day (from Real-Time),21.27,21.33,21.07,21.3025,53380573
INTC.O,20110113,,End Of Day (from Real-Time),21.26,21.32,21.08,21.29,104828205
INTC.O,20110114,,End Of Day (from Real-Time),21.35,21.42,20.97,21.08,154888736
INTC.O,20110118,,End Of Day (from Real-Time),21.03,21.2,20.94,21.0825,55272098
INTC.O,20110119,,End Of Day (from Real-Time),21.07,21.13,20.95,21.01,43338981
INTC.O,20110120,,End Of Day (from Real-Time),20.94,20.95,20.62,20.95,56170796
INTC.O,20110121,,End Of Day (from Real-Time),20.95,21.04,20.81,20.82,63697594
INTC.O,20110124,,End Of Day (from Real-Time),21.03,21.24,20.93,21.24,82375446
INTC.O,20110125,,End Of Day (from Real-Time),21.28,21.57,21.17,21.55,72334569
INTC.O,20110126,,End Of Day (from Real-Time),21.77,21.895,21.66,21.75,57196022
INTC.O,20110127,,End Of Day (from Real-Time),21.76,21.94,21.65,21.75,58069117
INTC.O,20110128,,End Of Day (from Real-Time),21.7619,21.89,21.35,21.46,55193037
INTC.O,20110131,,End Of Day (from Real-Time),21.55,21.64,21.03,21.46,90844209
INTC.O,20110201,,End Of Day (from Real-Time),21.49,21.7,21.28,21.48,60970917
INTC.O,20110202,,End Of Day (from Real-Time),21.48,21.71,21.47,21.56,46954522
INTC.O,20110203,,End Of Day (from Real-Time),21.41,21.65,21.3,21.57,39846001
INTC.O,20110204,,End Of Day (from Real-Time),21.47,21.7,21.43,21.68,39353405
INTC.O,20110207,,End Of Day (from Real-Time),21.74,21.86,21.63,21.69,43647681
INTC.O,20110208,,End Of Day (from Real-Time),21.65,21.675,21.4,21.635,48215026
INTC.O,20110209,,End Of Day (from Real-Time),21.53,21.6,21.42,21.46,44601339
INTC.O,20110210,,End Of Day (from Real-Time),21.43,21.84,21.35,21.8,56661748
INTC.O,20110211,,End Of Day (from Real-Time),21.63,21.85,21.52,21.76,43716565
INTC.O,20110214,,End Of Day (from Real-Time),21.63,21.8,21.5,21.57,45134575
INTC.O,20110215,,End Of Day (from Real-Time),21.48,21.55,21.28,21.45,50646325
INTC.O,20110216,,End Of Day (from Real-Time),21.57,21.88,21.43,21.75,55214046
INTC.O,20110217,,End Of Day (from Real-Time),21.68,22.06,21.67,21.97,50186595
INTC.O,20110218,,End Of Day (from Real-Time),22.09,22.21,22.01,22.14,55066173
INTC.O,20110222,,End Of Day (from Real-Time),21.95,22.19,21.73,21.81,64515549
INTC.O,20110223,,End Of Day (from Real-Time),21.7,21.72,21.01,21.15,83648294
INTC.O,20110224,,End Of Day (from Real-Time),21.1,21.41,21.03,21.285,54496328
INTC.O,20110225,,End Of Day (from Real-Time),21.52,22,21.46,21.86,53475606
INTC.O,20110228,,End Of Day (from Real-Time),21.75,21.84,21.37,21.47,66390040
INTC.O,20110301,,End Of Day (from Real-Time),21.61,21.69,21.35,21.39,57993504
INTC.O,20110302,,End Of Day (from Real-Time),21.42,21.7,21.4,21.49,52192367
INTC.O,20110303,,End Of Day (from Real-Time),21.66,21.88,21.65,21.79,50503933
INTC.O,20110304,,End Of Day (from Real-Time),21.88,22.08,21.4,21.56,64671779
INTC.O,20110307,,End Of Day (from Real-Time),21.69,21.74,21.08,21.21,57520132
INTC.O,20110308,,End Of Day (from Real-Time),21.26,21.26,21.02,21.13,57165626
INTC.O,20110309,,End Of Day (from Real-Time),21.08,21.34,20.94,21.2,60415811
INTC.O,20110310,,End Of Day (from Real-Time),20.94,21.02,20.72,20.79,69125252
INTC.O,20110311,,End Of Day (from Real-Time),20.63,20.96,20.61,20.87,45648050
INTC.O,20110314,,End Of Day (from Real-Time),20.66,20.88,20.62,20.84,48923507
INTC.O,20110315,,End Of Day (from Real-Time),20.23,20.33,20.01,20.18,80463962
INTC.O,20110316,,End Of Day (from Real-Time),20.03,20.37,19.71,19.8075,84812605
INTC.O,20110317,,End Of Day (from Real-Time),20.02,20.06,19.8,19.9,59050846
INTC.O,20110318,,End Of Day (from Real-Time),19.98,20.1466,19.88,19.93,74001296
INTC.O,20110321,,End Of Day (from Real-Time),19.9,20.39,19.88,20.19,43392286
INTC.O,20110322,,End Of Day (from Real-Time),20.18,20.21,19.98,20.145,45973801
INTC.O,20110323,,End Of Day (from Real-Time),20.09,20.36,20.01,20.29,37927293
INTC.O,20110324,,End Of Day (from Real-Time),20.51,20.51,20.28,20.38,49378215
INTC.O,20110325,,End Of Day (from Real-Time),20.3,20.6,20.21,20.37,52479176
INTC.O,20110328,,End Of Day (from Real-Time),20.44,20.66,20.33,20.34,37111485
INTC.O,20110329,,End Of Day (from Real-Time),20.27,20.29,19.98,20.28,59545177
INTC.O,20110330,,End Of Day (from Real-Time),20.42,20.46,20.1124,20.46,54568401
INTC.O,20110331,,End Of Day (from Real-Time),20.29,20.37,19.94,20.18,87544126
INTC.O,20110401,,End Of Day (from Real-Time),20.38,20.38,19.56,19.72,82621446
INTC.O,20110404,,End Of Day (from Real-Time),19.79,19.8,19.36,19.49,69372740
INTC.O,20110405,,End Of Day (from Real-Time),19.59,19.88,19.55,19.71,62621153
INTC.O,20110406,,End Of Day (from Real-Time),19.86,19.95,19.71,19.95,56268775
INTC.O,20110407,,End Of Day (from Real-Time),19.92,20.09,19.82,20.03,51606392
INTC.O,20110408,,End Of Day (from Real-Time),20.04,20.2,19.95,20.02,46474890
INTC.O,20110411,,End Of Day (from Real-Time),20.07,20.2,20.01,20.12,43167928
INTC.O,20110412,,End Of Day (from Real-Time),20.01,20.07,19.69,19.76,52163063
INTC.O,20110413,,End Of Day (from Real-Time),19.88,19.95,19.72,19.78,38977499
INTC.O,20110414,,End Of Day (from Real-Time),19.64,19.66,19.41,19.58,52706852
INTC.O,20110415,,End Of Day (from Real-Time),19.6,19.75,19.53,19.75,44282999
INTC.O,20110418,,End Of Day (from Real-Time),19.53,19.74,19.45,19.62,46489507
INTC.O,20110419,,End Of Day (from Real-Time),19.67,19.98,19.62,19.86,81426422
INTC.O,20110420,,End Of Day (from Real-Time),21.21,21.44,20.94,21.41,174554410
INTC.O,20110421,,End Of Day (from Real-Time),21.39,21.49,21.19,21.46,77639590
INTC.O,20110425,,End Of Day (from Real-Time),21.37,22.01,21.33,21.94,81676687
INTC.O,20110426,,End Of Day (from Real-Time),21.82,22.53,21.81,22.48,105309140
INTC.O,20110427,,End Of Day (from Real-Time),22.54,22.68,22.33,22.63,68452870
INTC.O,20110428,,End Of Day (from Real-Time),22.45,22.87,22.45,22.8,54952050
INTC.O,20110429,,End Of Day (from Real-Time),22.8,23.19,22.63,23.15,156188963
