#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
MCD.N,20110103,,End Of Day (from Real-Time),77.22,77.59,76.6,76.6,2413676
MCD.N,20110104,,End Of Day (from Real-Time),75.83,75.91,74.11,74.31,6445240
MCD.N,20110105,,End Of Day (from Real-Time),74.6,74.89,74.31,74.66,4011449
MCD.N,20110106,,End Of Day (from Real-Time),74.9,74.94,74.08,74.21,3634777
MCD.N,20110107,,End Of Day (from Real-Time),74.38,74.58,73.59,74.37,3364681
MCD.N,20110110,,End Of Day (from Real-Time),74.32,74.44,73.52,73.56,3121924
MCD.N,20110111,,End Of Day (from Real-Time),73.88,74.49,73.57,73.9,2693421
MCD.N,20110112,,End Of Day (from Real-Time),74.25,74.28,73.46,73.61,3108107
MCD.N,20110113,,End Of Day (from Real-Time),73.4,73.45,72.46,72.67,4003206
MCD.N,20110114,,End Of Day (from Real-Time),72.41,74.11,72.14,74.06,2908467
MCD.N,20110118,,End Of Day (from Real-Time),74.53,75.36,74.33,74.68,3812527
MCD.N,20110119,,End Of Day (from Real-Time),75.1,75.44,74.76,75.35,2755467
MCD.N,20110120,,End Of Day (from Real-Time),75.4,75.73,74.68,75.16,2496790
MCD.N,20110121,,End Of Day (from Real-Time),75.67,75.67,74.64,75.01,3574150
MCD.N,20110124,,End Of Day (from Real-Time),74.33,75.85,74.16,75.38,2959100
MCD.N,20110125,,End Of Day (from Real-Time),75.56,75.65,75,75.48,2164212
MCD.N,20110126,,End Of Day (from Real-Time),75.7,75.71,75.15,75.17,1738722
MCD.N,20110127,,End Of Day (from Real-Time),75.36,75.44,74.34,74.35,1891310
MCD.N,20110128,,End Of Day (from Real-Time),74.42,74.73,73.06,73.28,2402715
MCD.N,20110131,,End Of Day (from Real-Time),73.87,73.97,73.35,73.67,2639348
MCD.N,20110201,,End Of Day (from Real-Time),74.21,74.21,73.21,73.47,2196938
MCD.N,20110202,,End Of Day (from Real-Time),73.41,73.75,73.08,73.64,1691684
MCD.N,20110203,,End Of Day (from Real-Time),73.89,74.27,73.81,73.83,2151312
MCD.N,20110204,,End Of Day (from Real-Time),73.75,74.18,73.74,74.05,1874554
MCD.N,20110207,,End Of Day (from Real-Time),74.12,74.33,73.3,73.45,2361742
MCD.N,20110208,,End Of Day (from Real-Time),74.42,75.97,74.2,75.36,2916565
MCD.N,20110209,,End Of Day (from Real-Time),75.47,75.99,75.19,75.93,1782990
MCD.N,20110210,,End Of Day (from Real-Time),75.99,76.32,75.53,75.76,1779107
MCD.N,20110211,,End Of Day (from Real-Time),75.74,76.22,75.51,76.14,1452391
