#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
PFE.N,20110103,,End Of Day (from Real-Time),17.69,17.83,17.63,17.68,8561522
PFE.N,20110104,,End Of Day (from Real-Time),17.77,17.99,17.65,17.99,9425995
PFE.N,20110105,,End Of Day (from Real-Time),17.92,18.24,17.86,18.11,11223179
PFE.N,20110106,,End Of Day (from Real-Time),18.29,18.33,17.96,18.18,8625249
PFE.N,20110107,,End Of Day (from Real-Time),18.18,18.37,18,18.34,10965861
PFE.N,20110110,,End Of Day (from Real-Time),18.21,18.34,18.16,18.25,7940795
PFE.N,20110111,,End Of Day (from Real-Time),18.18,18.32,18.13,18.22,5721469
PFE.N,20110112,,End Of Day (from Real-Time),18.3,18.4,18.22,18.37,4977200
PFE.N,20110113,,End Of Day (from Real-Time),18.33,18.48,18.14,18.22,7034697
PFE.N,20110114,,End Of Day (from Real-Time),18.17,18.35,18.16,18.34,7200576
PFE.N,20110118,,End Of Day (from Real-Time),18.36,18.44,18.29,18.39,7689994
PFE.N,20110119,,End Of Day (from Real-Time),18.43,18.49,18.15,18.32,7456343
PFE.N,20110120,,End Of Day (from Real-Time),18.34,18.35,18.02,18.24,9389526
PFE.N,20110121,,End Of Day (from Real-Time),18.24,18.38,18.17,18.36,11573349
PFE.N,20110124,,End Of Day (from Real-Time),18.34,18.54,18.32,18.45,17469776
PFE.N,20110125,,End Of Day (from Real-Time),18.6,18.76,18.41,18.47,9729448
PFE.N,20110126,,End Of Day (from Real-Time),18.57,18.6,18.36,18.36,12790731
PFE.N,20110127,,End Of Day (from Real-Time),18.36,18.51,18.27,18.48,7841451
PFE.N,20110128,,End Of Day (from Real-Time),18.5,18.55,18.14,18.15,11077349
PFE.N,20110131,,End Of Day (from Real-Time),18.19,18.32,18.17,18.22,9207024
PFE.N,20110201,,End Of Day (from Real-Time),18.47,19.38,18.46,19.22,19049186
PFE.N,20110202,,End Of Day (from Real-Time),19.1,19.21,18.82,18.96,11403089
PFE.N,20110203,,End Of Day (from Real-Time),18.87,19.25,18.67,19.17,13586964
PFE.N,20110204,,End Of Day (from Real-Time),19.08,19.3,18.95,19.3,7125194
PFE.N,20110207,,End Of Day (from Real-Time),19.29,19.3,18.99,19.04,6783045
PFE.N,20110208,,End Of Day (from Real-Time),19,19.18,19,19.16,5657561
PFE.N,20110209,,End Of Day (from Real-Time),19.08,19.13,18.86,19.05,8259671
PFE.N,20110210,,End Of Day (from Real-Time),19,19.05,18.89,19.03,9066387
PFE.N,20110211,,End Of Day (from Real-Time),18.75,18.94,18.62,18.81,8390676
PFE.N,20110214,,End Of Day (from Real-Time),18.84,19.06,18.73,19.05,5907248
PFE.N,20110215,,End Of Day (from Real-Time),18.96,19.05,18.81,19.05,6333766
PFE.N,20110216,,End Of Day (from Real-Time),19.08,19.3,19.07,19.28,6920606
PFE.N,20110217,,End Of Day (from Real-Time),19.24,19.39,19.02,19.37,8158040
PFE.N,20110218,,End Of Day (from Real-Time),19.35,19.35,19.08,19.19,14062578
PFE.N,20110222,,End Of Day (from Real-Time),18.91,19.13,18.73,18.89,11737501
PFE.N,20110223,,End Of Day (from Real-Time),18.77,18.86,18.67,18.76,9087583
PFE.N,20110224,,End Of Day (from Real-Time),18.76,18.95,18.68,18.9,8132069
PFE.N,20110225,,End Of Day (from Real-Time),18.9,18.95,18.72,18.86,6422780
PFE.N,20110228,,End Of Day (from Real-Time),18.95,19.32,18.91,19.24,12208228
PFE.N,20110301,,End Of Day (from Real-Time),19.39,19.48,19.14,19.14,9956564
PFE.N,20110302,,End Of Day (from Real-Time),19.15,19.2,18.98,19.19,8045889
PFE.N,20110303,,End Of Day (from Real-Time),19.39,19.83,19.37,19.77,10212608
PFE.N,20110304,,End Of Day (from Real-Time),19.77,19.9,19.53,19.66,9346292
PFE.N,20110307,,End Of Day (from Real-Time),19.63,19.66,19.35,19.61,8624135
PFE.N,20110308,,End Of Day (from Real-Time),19.61,19.74,19.48,19.68,6288664
PFE.N,20110309,,End Of Day (from Real-Time),19.61,19.7,19.5,19.66,4726967
PFE.N,20110310,,End Of Day (from Real-Time),19.55,19.57,19.34,19.35,8746795
PFE.N,20110311,,End Of Day (from Real-Time),19.39,19.55,19.3,19.47,7286573
PFE.N,20110314,,End Of Day (from Real-Time),19.45,20.26,19.45,19.81,27393779
PFE.N,20110315,,End Of Day (from Real-Time),19.32,19.85,19.3,19.76,14858188
PFE.N,20110316,,End Of Day (from Real-Time),19.6,19.7,19.15,19.3,14266724
PFE.N,20110317,,End Of Day (from Real-Time),19.54,19.94,19.48,19.88,12029894
PFE.N,20110318,,End Of Day (from Real-Time),20.19,20.23,19.97,20.18,21641762
PFE.N,20110321,,End Of Day (from Real-Time),20.35,20.35,19.94,19.98,7927728
PFE.N,20110322,,End Of Day (from Real-Time),19.97,20,19.82,19.94,8019198
PFE.N,20110323,,End Of Day (from Real-Time),19.87,19.99,19.74,19.92,6494384
PFE.N,20110324,,End Of Day (from Real-Time),20,20.35,19.81,20.3,12856992
PFE.N,20110325,,End Of Day (from Real-Time),20.35,20.5,20.31,20.35,8793534
PFE.N,20110328,,End Of Day (from Real-Time),20.39,20.46,20.21,20.27,5837442
PFE.N,20110329,,End Of Day (from Real-Time),20.17,20.4,20.16,20.38,5360882
PFE.N,20110330,,End Of Day (from Real-Time),20.5,20.57,20.31,20.34,7593214
PFE.N,20110331,,End Of Day (from Real-Time),20.3,20.52,20.23,20.31,11468474
PFE.N,20110401,,End Of Day (from Real-Time),20.35,20.44,20.25,20.38,6071777
PFE.N,20110404,,End Of Day (from Real-Time),20.51,20.61,20.45,20.54,7388790
PFE.N,20110405,,End Of Day (from Real-Time),20.47,20.56,20.38,20.45,6254132
PFE.N,20110406,,End Of Day (from Real-Time),20.48,20.52,20.27,20.29,7193362
PFE.N,20110407,,End Of Day (from Real-Time),20.3,20.34,20.15,20.33,7295601
PFE.N,20110408,,End Of Day (from Real-Time),20.4,20.55,20.35,20.46,6844185
PFE.N,20110411,,End Of Day (from Real-Time),20.54,20.73,20.53,20.67,6240537
PFE.N,20110412,,End Of Day (from Real-Time),20.63,20.74,20.43,20.46,5831643
PFE.N,20110413,,End Of Day (from Real-Time),20.52,20.57,20.34,20.46,4852353
PFE.N,20110414,,End Of Day (from Real-Time),20.45,20.61,20.4,20.49,10729801
PFE.N,20110415,,End Of Day (from Real-Time),20.59,20.6,20.35,20.53,12884100
PFE.N,20110418,,End Of Day (from Real-Time),20.3,20.46,20.21,20.4,6483931
PFE.N,20110419,,End Of Day (from Real-Time),20.36,20.58,20.25,20.53,5453354
PFE.N,20110420,,End Of Day (from Real-Time),20.69,20.88,20.38,20.41,12064256
PFE.N,20110421,,End Of Day (from Real-Time),20.49,20.55,19.1,19.79,21350603
PFE.N,20110425,,End Of Day (from Real-Time),19.99,20.17,19.9,20.14,11867851
PFE.N,20110426,,End Of Day (from Real-Time),20.17,20.32,20,20.21,8329116
PFE.N,20110427,,End Of Day (from Real-Time),20.23,20.74,20.21,20.63,10331691
PFE.N,20110428,,End Of Day (from Real-Time),20.65,20.86,20.65,20.83,7491865
PFE.N,20110429,,End Of Day (from Real-Time),20.85,21.06,20.77,20.96,12365269
PFE.N,20110502,,End Of Day (from Real-Time),21.17,21.2,20.96,21.02,9296394
PFE.N,20110503,,End Of Day (from Real-Time),20.99,21,20.07,20.44,17701648
PFE.N,20110504,,End Of Day (from Real-Time),20.43,20.67,20.34,20.66,11410847
PFE.N,20110505,,End Of Day (from Real-Time),20.58,20.66,20.29,20.37,7666352
PFE.N,20110506,,End Of Day (from Real-Time),20.49,20.63,20.4,20.55,6992071
PFE.N,20110509,,End Of Day (from Real-Time),20.55,20.73,20.45,20.6,8369120
PFE.N,20110510,,End Of Day (from Real-Time),20.7,20.95,20.66,20.86,7170284
PFE.N,20110511,,End Of Day (from Real-Time),20.76,20.84,20.52,20.61,8396175
PFE.N,20110512,,End Of Day (from Real-Time),20.65,20.98,20.58,20.89,8217162
PFE.N,20110513,,End Of Day (from Real-Time),20.94,20.99,20.79,20.92,8489493
PFE.N,20110516,,End Of Day (from Real-Time),20.86,21.12,20.78,20.98,11600312
PFE.N,20110517,,End Of Day (from Real-Time),21.07,21.21,20.99,21.14,8423051
PFE.N,20110518,,End Of Day (from Real-Time),21.12,21.19,21.02,21.18,9360771
PFE.N,20110519,,End Of Day (from Real-Time),21.22,21.28,20.93,21.03,9016441
PFE.N,20110520,,End Of Day (from Real-Time),21.03,21.03,20.68,20.7,11414118
PFE.N,20110523,,End Of Day (from Real-Time),20.5,20.64,20.41,20.59,6774584
PFE.N,20110524,,End Of Day (from Real-Time),20.51,20.69,20.48,20.51,8029455
PFE.N,20110525,,End Of Day (from Real-Time),20.4,20.86,20.4,20.78,7890256
PFE.N,20110526,,End Of Day (from Real-Time),20.7,20.98,20.58,20.9,6508971
PFE.N,20110527,,End Of Day (from Real-Time),20.97,21.04,20.78,20.93,5147190
PFE.N,20110531,,End Of Day (from Real-Time),21.05,21.45,21.01,21.45,16997321
PFE.N,20110601,,End Of Day (from Real-Time),21.35,21.43,20.98,21.04,9355526
PFE.N,20110602,,End Of Day (from Real-Time),21.06,21.13,20.86,21.02,7133859
PFE.N,20110603,,End Of Day (from Real-Time),20.72,21.06,20.72,20.85,8129470
PFE.N,20110606,,End Of Day (from Real-Time),20.84,20.95,20.71,20.74,5514088
PFE.N,20110607,,End Of Day (from Real-Time),20.91,20.96,20.74,20.74,6574723
PFE.N,20110608,,End Of Day (from Real-Time),20.84,20.87,20.58,20.68,8545825
PFE.N,20110609,,End Of Day (from Real-Time),20.65,20.89,20.64,20.73,7725091
PFE.N,20110610,,End Of Day (from Real-Time),20.61,20.64,20.04,20.11,11479884
PFE.N,20110613,,End Of Day (from Real-Time),20.11,20.62,20.11,20.46,9422130
PFE.N,20110614,,End Of Day (from Real-Time),20.56,20.73,20.53,20.58,7599799
PFE.N,20110615,,End Of Day (from Real-Time),20.4,20.41,20.03,20.2,8527405
PFE.N,20110616,,End Of Day (from Real-Time),20.15,20.29,20.11,20.25,8224969
PFE.N,20110617,,End Of Day (from Real-Time),20.36,20.43,20.06,20.26,25622545
PFE.N,20110620,,End Of Day (from Real-Time),20.12,20.28,20.1,20.27,6738525
PFE.N,20110621,,End Of Day (from Real-Time),20.31,20.5,20.24,20.43,8839254
