#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
UTX.N,20110103,,End Of Day (from Real-Time),79.28,79.42,78.96,78.99,947160
UTX.N,20110104,,End Of Day (from Real-Time),78.68,79.48,78.4,79.12,1211916
UTX.N,20110105,,End Of Day (from Real-Time),78.65,79.55,78.65,79.23,741920
UTX.N,20110106,,End Of Day (from Real-Time),79.37,79.75,79.05,79.15,1098562
UTX.N,20110107,,End Of Day (from Real-Time),79.13,79.68,78.64,79.08,847044
UTX.N,20110110,,End Of Day (from Real-Time),78.4,78.69,77.81,78.46,944379
UTX.N,20110111,,End Of Day (from Real-Time),78.59,79.18,78.47,78.92,995547
UTX.N,20110112,,End Of Day (from Real-Time),79.59,79.9,79.24,79.43,1076801
UTX.N,20110113,,End Of Day (from Real-Time),79.57,79.75,79.15,79.5,791491
UTX.N,20110114,,End Of Day (from Real-Time),79.2,79.31,78.69,79.08,1404151
UTX.N,20110118,,End Of Day (from Real-Time),79.3,79.75,79.19,79.57,1620935
UTX.N,20110119,,End Of Day (from Real-Time),79.55,80,79.18,79.91,1098586
UTX.N,20110120,,End Of Day (from Real-Time),79.73,79.91,78.98,79.55,1265043
UTX.N,20110121,,End Of Day (from Real-Time),79.83,80.5,79.79,80.2,1881565
UTX.N,20110124,,End Of Day (from Real-Time),80.35,81.54,80.3,81.52,1402331
UTX.N,20110125,,End Of Day (from Real-Time),81.53,81.73,80.88,81.73,1196329
UTX.N,20110126,,End Of Day (from Real-Time),81.7,81.95,80.76,81.41,1228588
UTX.N,20110127,,End Of Day (from Real-Time),81.85,82.99,81.8,82.59,1127723
UTX.N,20110128,,End Of Day (from Real-Time),82.77,83,80.73,81.43,1491462
UTX.N,20110131,,End Of Day (from Real-Time),81.8,81.99,80.66,81.3,1573432
UTX.N,20110201,,End Of Day (from Real-Time),81.6,82.06,81.43,81.83,1103276
UTX.N,20110202,,End Of Day (from Real-Time),81.81,82.54,81.76,82.16,781510
UTX.N,20110203,,End Of Day (from Real-Time),82.22,82.28,81.59,82.22,587553
UTX.N,20110204,,End Of Day (from Real-Time),82.22,82.6,82.03,82.52,913912
UTX.N,20110207,,End Of Day (from Real-Time),82.85,83.82,82.78,83.66,881572
UTX.N,20110208,,End Of Day (from Real-Time),83.35,83.94,83.35,83.88,749103
UTX.N,20110209,,End Of Day (from Real-Time),83.68,84,83.22,83.98,892915
UTX.N,20110210,,End Of Day (from Real-Time),84.39,85.14,84.34,84.75,1322189
UTX.N,20110211,,End Of Day (from Real-Time),84.58,85.45,84.46,85.2,854008
UTX.N,20110214,,End Of Day (from Real-Time),85.13,85.44,84.9,85.21,572862
UTX.N,20110215,,End Of Day (from Real-Time),85.02,85.06,84.49,84.93,858717
UTX.N,20110216,,End Of Day (from Real-Time),84.85,85.12,84.41,85.06,776776
UTX.N,20110217,,End Of Day (from Real-Time),84.67,84.96,84.25,84.54,849847
UTX.N,20110218,,End Of Day (from Real-Time),84.75,85.03,84.68,85.01,1688237
UTX.N,20110222,,End Of Day (from Real-Time),84.54,84.6,83.18,83.56,1264136
UTX.N,20110223,,End Of Day (from Real-Time),83.89,84.25,82.25,82.79,1562326
