#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
VZ.N,20110103,,End Of Day (from Real-Time),36.1,36.44,35.89,36.43,4778911
VZ.N,20110104,,End Of Day (from Real-Time),36.58,37.17,36.45,37.16,4746543
VZ.N,20110105,,End Of Day (from Real-Time),37.15,37.7,36.92,37.67,5750985
VZ.N,20110106,,End Of Day (from Real-Time),37.22,37.3,36.03,36.23,6600251
VZ.N,20110107,,End Of Day (from Real-Time),36,36.04,35.41,35.93,5960732
VZ.N,20110110,,End Of Day (from Real-Time),36.54,36.58,35.82,35.92,6951226
VZ.N,20110111,,End Of Day (from Real-Time),36,36.06,34.98,35.36,8585923
VZ.N,20110112,,End Of Day (from Real-Time),35.68,35.76,35.36,35.47,4874434
VZ.N,20110113,,End Of Day (from Real-Time),35.42,35.82,35.25,35.8,3936698
VZ.N,20110114,,End Of Day (from Real-Time),35.69,35.87,35.39,35.46,4361923
VZ.N,20110118,,End Of Day (from Real-Time),35.44,35.51,34.36,34.36,9119409
VZ.N,20110119,,End Of Day (from Real-Time),34.47,34.79,34.36,34.6,4671791
VZ.N,20110120,,End Of Day (from Real-Time),34.5,34.82,34.4,34.61,3901586
VZ.N,20110121,,End Of Day (from Real-Time),34.83,35.17,34.76,34.95,5231913
VZ.N,20110124,,End Of Day (from Real-Time),35,35.28,34.9,35.24,4005690
VZ.N,20110125,,End Of Day (from Real-Time),35.2,36.59,34.89,35.79,6706612
VZ.N,20110126,,End Of Day (from Real-Time),36.29,36.48,36.02,36.4,4476868
VZ.N,20110127,,End Of Day (from Real-Time),36.4,36.52,36.21,36.49,3443018
VZ.N,20110128,,End Of Day (from Real-Time),36.38,36.39,35.59,35.63,4485460
VZ.N,20110131,,End Of Day (from Real-Time),35.66,35.9,35.38,35.62,4189492
VZ.N,20110201,,End Of Day (from Real-Time),36.2,36.34,35.9,36.27,3314191
VZ.N,20110202,,End Of Day (from Real-Time),36.48,36.48,35.94,36.16,3086194
VZ.N,20110203,,End Of Day (from Real-Time),36.02,36.48,35.92,36.38,3683846
VZ.N,20110204,,End Of Day (from Real-Time),36.42,36.47,35.99,36.31,2707883
VZ.N,20110207,,End Of Day (from Real-Time),36.34,36.34,36,36.02,3265287
VZ.N,20110208,,End Of Day (from Real-Time),36.02,36.42,35.77,36.34,2688807
VZ.N,20110209,,End Of Day (from Real-Time),36.34,36.68,36.21,36.68,3431024
VZ.N,20110210,,End Of Day (from Real-Time),36.7,36.72,36.04,36.42,5881072
VZ.N,20110211,,End Of Day (from Real-Time),36.42,36.49,36.1,36.39,3559842
VZ.N,20110214,,End Of Day (from Real-Time),36.27,36.27,35.74,35.9,3551302
VZ.N,20110215,,End Of Day (from Real-Time),35.76,36.5,35.66,36.46,4176279
VZ.N,20110216,,End Of Day (from Real-Time),36.41,36.43,35.95,36.17,3820047
VZ.N,20110217,,End Of Day (from Real-Time),36.1,36.45,36.06,36.37,3153480
VZ.N,20110218,,End Of Day (from Real-Time),36.4,36.81,36.27,36.62,5535578
VZ.N,20110222,,End Of Day (from Real-Time),36.22,36.25,35.85,36,3715272
VZ.N,20110223,,End Of Day (from Real-Time),35.85,36.09,35.72,35.81,3690428
VZ.N,20110224,,End Of Day (from Real-Time),35.69,35.77,35.35,35.58,4272290
VZ.N,20110225,,End Of Day (from Real-Time),35.58,36.04,35.51,35.97,3243890
VZ.N,20110228,,End Of Day (from Real-Time),35.98,36.94,35.96,36.92,5288766
VZ.N,20110301,,End Of Day (from Real-Time),36.82,36.86,35.95,36.02,4142702
VZ.N,20110302,,End Of Day (from Real-Time),36.02,36.53,35.96,36.34,3823312
VZ.N,20110303,,End Of Day (from Real-Time),36.71,36.74,36.22,36.36,3616550
VZ.N,20110304,,End Of Day (from Real-Time),36.34,36.48,35.86,36.08,3104640
VZ.N,20110307,,End Of Day (from Real-Time),36.1,36.23,35.92,36.01,2448204
VZ.N,20110308,,End Of Day (from Real-Time),36.11,36.58,36.02,36.48,3291813
VZ.N,20110309,,End Of Day (from Real-Time),36.34,36.65,36.3,36.65,2294407
VZ.N,20110310,,End Of Day (from Real-Time),36.3,36.55,36.17,36.4,3931460
VZ.N,20110311,,End Of Day (from Real-Time),36.27,36.38,35.65,35.85,3967545
VZ.N,20110314,,End Of Day (from Real-Time),35.65,35.67,34.91,35.18,4680961
VZ.N,20110315,,End Of Day (from Real-Time),34.4,35,33.36,34.87,4921997
VZ.N,20110316,,End Of Day (from Real-Time),34.76,34.91,34.11,34.3,4438970
VZ.N,20110317,,End Of Day (from Real-Time),34.68,35.34,34.6,35.33,4172414
VZ.N,20110318,,End Of Day (from Real-Time),35.5,35.84,35.36,35.84,8225681
VZ.N,20110321,,End Of Day (from Real-Time),36.65,37.3,36.38,36.46,5353390
VZ.N,20110322,,End Of Day (from Real-Time),36.51,37.05,36.37,36.95,3400097
VZ.N,20110323,,End Of Day (from Real-Time),36.71,37.06,36.46,36.98,2605708
VZ.N,20110324,,End Of Day (from Real-Time),37.15,37.25,37.07,37.18,2211136
VZ.N,20110325,,End Of Day (from Real-Time),37.2,37.32,37.15,37.29,2604800
VZ.N,20110328,,End Of Day (from Real-Time),37.44,37.92,37.43,37.75,4998290
VZ.N,20110329,,End Of Day (from Real-Time),37.68,38.42,37.53,38.29,4400445
VZ.N,20110330,,End Of Day (from Real-Time),38.49,38.95,38.45,38.46,5175062
VZ.N,20110331,,End Of Day (from Real-Time),38.51,38.78,38.33,38.54,4259124
VZ.N,20110401,,End Of Day (from Real-Time),38.61,38.73,38.32,38.47,3416897
VZ.N,20110404,,End Of Day (from Real-Time),38.51,38.69,38.51,38.61,2253341
VZ.N,20110405,,End Of Day (from Real-Time),38.62,38.62,38.27,38.38,2471650
VZ.N,20110406,,End Of Day (from Real-Time),37.93,37.97,37.68,37.85,2744845
VZ.N,20110407,,End Of Day (from Real-Time),37.81,37.89,37.26,37.76,4439989
VZ.N,20110408,,End Of Day (from Real-Time),37.86,37.89,37.56,37.72,1818335
VZ.N,20110411,,End Of Day (from Real-Time),37.8,38,37.79,37.85,3092056
VZ.N,20110412,,End Of Day (from Real-Time),37.58,37.76,37.53,37.64,2119060
VZ.N,20110413,,End Of Day (from Real-Time),37.7,37.9,37.62,37.69,1936937
VZ.N,20110414,,End Of Day (from Real-Time),37.69,37.9,37.34,37.71,2300411
VZ.N,20110415,,End Of Day (from Real-Time),37.76,37.98,37.49,37.85,3652017
VZ.N,20110418,,End Of Day (from Real-Time),37.59,37.71,37.15,37.31,2851261
VZ.N,20110419,,End Of Day (from Real-Time),37.27,37.43,37.11,37.24,2194730
VZ.N,20110420,,End Of Day (from Real-Time),37.69,38,37.63,37.79,3769370
