#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
WMT.N,20110103,,End Of Day (from Real-Time),54.28,54.79,54.15,54.56,4447365
WMT.N,20110104,,End Of Day (from Real-Time),54.53,54.88,54.29,54.77,3444985
WMT.N,20110105,,End Of Day (from Real-Time),54.7,55.06,54.33,54.41,4263790
WMT.N,20110106,,End Of Day (from Real-Time),54.3,54.38,53.78,53.96,3908996
WMT.N,20110107,,End Of Day (from Real-Time),53.92,54.15,53.76,54.08,2406350
WMT.N,20110110,,End Of Day (from Real-Time),53.66,54.11,53.54,53.73,3144757
WMT.N,20110111,,End Of Day (from Real-Time),53.89,54.52,53.73,54.29,3786712
WMT.N,20110112,,End Of Day (from Real-Time),54.55,55.32,54.35,54.85,3864374
WMT.N,20110113,,End Of Day (from Real-Time),54.75,55.35,54.7,54.79,3119740
WMT.N,20110114,,End Of Day (from Real-Time),54.68,54.99,54.42,54.81,2955908
WMT.N,20110118,,End Of Day (from Real-Time),55.07,55.4,54.75,55.14,3313212
WMT.N,20110119,,End Of Day (from Real-Time),55.05,55.14,54.71,55.03,3081095
WMT.N,20110120,,End Of Day (from Real-Time),55.18,56.27,55.14,55.99,5544973
WMT.N,20110121,,End Of Day (from Real-Time),56.2,56.24,55.38,55.73,4271811
WMT.N,20110124,,End Of Day (from Real-Time),55.49,56.05,55.3,56.05,3344827
WMT.N,20110125,,End Of Day (from Real-Time),56.16,57.29,55.82,57.26,5290931
WMT.N,20110126,,End Of Day (from Real-Time),57.3,57.74,57,57.32,3393376
WMT.N,20110127,,End Of Day (from Real-Time),57.42,57.79,57.02,57.57,2574731
WMT.N,20110128,,End Of Day (from Real-Time),57.66,57.89,56.51,56.7,4074546
WMT.N,20110131,,End Of Day (from Real-Time),56.45,56.49,55.71,56.07,4555937
WMT.N,20110201,,End Of Day (from Real-Time),56.32,56.57,55.91,56.33,3396165
WMT.N,20110202,,End Of Day (from Real-Time),56,56.18,55.65,55.86,3027639
WMT.N,20110203,,End Of Day (from Real-Time),55.99,56.04,55.39,55.92,3349615
WMT.N,20110204,,End Of Day (from Real-Time),56,56.1,55.68,56.03,2142166
WMT.N,20110207,,End Of Day (from Real-Time),56.08,56.23,55.9,56.07,2456343
WMT.N,20110208,,End Of Day (from Real-Time),56.01,56.47,55.95,56.38,2438039
WMT.N,20110209,,End Of Day (from Real-Time),56.29,56.73,56.1,56.73,2389416
WMT.N,20110210,,End Of Day (from Real-Time),56.09,56.15,55.3,55.59,4765064
WMT.N,20110211,,End Of Day (from Real-Time),55.45,55.88,55.31,55.69,3455664
WMT.N,20110214,,End Of Day (from Real-Time),55.29,55.3,54.67,54.8,3733970
WMT.N,20110215,,End Of Day (from Real-Time),54.75,55.05,54.51,54.95,2779369
WMT.N,20110216,,End Of Day (from Real-Time),54.95,55.2,54.44,54.55,3502145
WMT.N,20110217,,End Of Day (from Real-Time),54.52,54.9,54.35,54.75,2201505
WMT.N,20110218,,End Of Day (from Real-Time),54.77,55.57,54.51,55.38,6101140
WMT.N,20110222,,End Of Day (from Real-Time),53.94,54.01,52.95,53.67,6781299
WMT.N,20110223,,End Of Day (from Real-Time),53.51,53.59,52.9,53.03,4671010
WMT.N,20110224,,End Of Day (from Real-Time),53.12,53.17,51.88,52.09,5533604
WMT.N,20110225,,End Of Day (from Real-Time),52.14,52.17,51.52,51.75,5163353
WMT.N,20110228,,End Of Day (from Real-Time),51.75,52.43,51.69,51.98,6892686
WMT.N,20110301,,End Of Day (from Real-Time),52.15,52.6,51.95,52.07,5105122
