"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ADSK.O",20110103,NA,"End Of Day (from Real-Time)",38.63,39.85,38.63,39.27,2969446
"2","ADSK.O",20110104,NA,"End Of Day (from Real-Time)",39.28,39.32,38.04,38.525,2691720
"3","ADSK.O",20110105,NA,"End Of Day (from Real-Time)",39.36,41.33,39.36,41.24,6283781
"4","ADSK.O",20110106,NA,"End Of Day (from Real-Time)",41.16,41.39,40.91,41.26,2867763
"5","ADSK.O",20110107,NA,"End Of Day (from Real-Time)",41.41,41.45,40.345,40.76,3329245
"6","ADSK.O",20110110,NA,"End Of Day (from Real-Time)",40.44,41.12,39.88,40.865,1991721
"7","ADSK.O",20110111,NA,"End Of Day (from Real-Time)",41.18,41.37,40.63,40.8,2373982
"8","ADSK.O",20110112,NA,"End Of Day (from Real-Time)",40.01,40.93,39.36,40.53,3675068
"9","ADSK.O",20110113,NA,"End Of Day (from Real-Time)",40.43,41.24,40.33,41.08,2311650
"10","ADSK.O",20110114,NA,"End Of Day (from Real-Time)",40.9,41.62,40.8,41.44,1959944
"11","ADSK.O",20110118,NA,"End Of Day (from Real-Time)",41.46,42.32,41.41,42.03,1978707
"12","ADSK.O",20110119,NA,"End Of Day (from Real-Time)",41.8,42,41.21,41.49,1603497
"13","ADSK.O",20110120,NA,"End Of Day (from Real-Time)",41.44,41.49,40.425,41.31,2247510
"14","ADSK.O",20110121,NA,"End Of Day (from Real-Time)",41.4,42.09,41.26,41.5,2860749
"15","ADSK.O",20110124,NA,"End Of Day (from Real-Time)",41.47,41.65,40.63,41.05,2282778
"16","ADSK.O",20110125,NA,"End Of Day (from Real-Time)",40.8,40.81,39.51,40.33,2529341
"17","ADSK.O",20110126,NA,"End Of Day (from Real-Time)",40.41,41.34,40.26,40.88,2685640
"18","ADSK.O",20110127,NA,"End Of Day (from Real-Time)",40.89,40.99,39.77,40.77,2787034
"19","ADSK.O",20110128,NA,"End Of Day (from Real-Time)",40.84,41.39,39.36,39.97,2590183
"20","ADSK.O",20110131,NA,"End Of Day (from Real-Time)",39.99,40.75,39.88,40.68,2263789
"21","ADSK.O",20110201,NA,"End Of Day (from Real-Time)",41,42.3,40.92,42.16,3049081
"22","ADSK.O",20110202,NA,"End Of Day (from Real-Time)",41.97,43.54,41.81,43.41,3537887
"23","ADSK.O",20110203,NA,"End Of Day (from Real-Time)",43.17,43.815,42.84,43.75,3331158
"24","ADSK.O",20110204,NA,"End Of Day (from Real-Time)",43.8,44.37,43.59,43.69,2628024
"25","ADSK.O",20110207,NA,"End Of Day (from Real-Time)",43.62,43.8795,43.31,43.52,1841483
"26","ADSK.O",20110208,NA,"End Of Day (from Real-Time)",43.41,43.41,42.32,42.93,2440524
"27","ADSK.O",20110209,NA,"End Of Day (from Real-Time)",42.68,42.89,42.03,42.24,1596095
"28","ADSK.O",20110210,NA,"End Of Day (from Real-Time)",42,42.87,41.83,42.75,2429396
"29","ADSK.O",20110211,NA,"End Of Day (from Real-Time)",42.62,42.86,42.32,42.69,1691197
"30","ADSK.O",20110214,NA,"End Of Day (from Real-Time)",42.55,43.09,42.29,42.34,2530925
"31","ADSK.O",20110215,NA,"End Of Day (from Real-Time)",42.17,42.78,42.01,42.71,1369326
"32","ADSK.O",20110216,NA,"End Of Day (from Real-Time)",42.78,44.44,42.73,43.84,3075817
"33","ADSK.O",20110217,NA,"End Of Day (from Real-Time)",43.73,43.86,42.77,43.66,2463945
"34","ADSK.O",20110218,NA,"End Of Day (from Real-Time)",43.68,44.25,43.31,43.4,2041121
"35","ADSK.O",20110222,NA,"End Of Day (from Real-Time)",42.6801,43.01,41.75,42.1,2601613
"36","ADSK.O",20110223,NA,"End Of Day (from Real-Time)",42.1,42.1,39.57,39.59,5509314
"37","ADSK.O",20110224,NA,"End Of Day (from Real-Time)",39.9,41.04,39.7,40.43,3938296
"38","ADSK.O",20110225,NA,"End Of Day (from Real-Time)",42,43.63,41.12,42.75,4944663
"39","ADSK.O",20110228,NA,"End Of Day (from Real-Time)",42.62,42.76,41.63,42.05,3268824
"40","ADSK.O",20110301,NA,"End Of Day (from Real-Time)",42.13,42.28,41.09,41.21,2799852
"41","ADSK.O",20110302,NA,"End Of Day (from Real-Time)",41.09,41.37,40.26,40.35,4221490
"42","ADSK.O",20110303,NA,"End Of Day (from Real-Time)",40.79,41.93,40.71,41.17,1989748
"43","ADSK.O",20110304,NA,"End Of Day (from Real-Time)",41.16,41.35,40.46,40.71,2012665
"44","ADSK.O",20110307,NA,"End Of Day (from Real-Time)",41,41.29,39.72,40.11,2650750
"45","ADSK.O",20110308,NA,"End Of Day (from Real-Time)",40.21,40.94,39.98,40.68,2420811
"46","ADSK.O",20110309,NA,"End Of Day (from Real-Time)",40.53,40.7,39.91,40.34,2697502
"47","ADSK.O",20110310,NA,"End Of Day (from Real-Time)",39.7,40.17,38.51,39.9,3099074
"48","ADSK.O",20110311,NA,"End Of Day (from Real-Time)",39.53,40.4,39.51,40.11,2603399
"49","ADSK.O",20110314,NA,"End Of Day (from Real-Time)",38.88,39.57,38.675,39.25,3044567
"50","ADSK.O",20110315,NA,"End Of Day (from Real-Time)",38.88,39.57,38.675,NA,3044567
"51","ADSK.O",20110316,NA,"End Of Day (from Real-Time)",38.89,39.4,38.14,38.47,3806127
"52","ADSK.O",20110317,NA,"End Of Day (from Real-Time)",39.06,39.42,38.36,38.56,2682343
"53","ADSK.O",20110318,NA,"End Of Day (from Real-Time)",39.1,39.83,39.02,39.4,3364928
"54","ADSK.O",20110321,NA,"End Of Day (from Real-Time)",40.27,41.45,40.11,40.9725,2886462
"55","ADSK.O",20110322,NA,"End Of Day (from Real-Time)",41.12,41.66,40.9302,41.51,2904649
"56","ADSK.O",20110323,NA,"End Of Day (from Real-Time)",41.31,41.87,40.583,41.62,2666940
"57","ADSK.O",20110324,NA,"End Of Day (from Real-Time)",42,44,41.98,43.81,3705282
"58","ADSK.O",20110325,NA,"End Of Day (from Real-Time)",43.68,44,43.1132,43.27,2266345
"59","ADSK.O",20110328,NA,"End Of Day (from Real-Time)",43.02,43.56,42.8,42.97,1616919
"60","ADSK.O",20110329,NA,"End Of Day (from Real-Time)",42.85,43.69,42.53,43.4,1542628
"61","ADSK.O",20110330,NA,"End Of Day (from Real-Time)",43.62,43.82,43.38,43.6,1309590
"62","ADSK.O",20110331,NA,"End Of Day (from Real-Time)",43.59,44.43,43.54,44.11,3407551
"63","ADSK.O",20110401,NA,"End Of Day (from Real-Time)",43.07,44,42.92,43.83,3207563
"64","ADSK.O",20110404,NA,"End Of Day (from Real-Time)",43.74,44.5,43.71,44,2532461
"65","ADSK.O",20110405,NA,"End Of Day (from Real-Time)",43.87,44.19,43.46,43.96,1867595
"66","ADSK.O",20110406,NA,"End Of Day (from Real-Time)",44.2,44.5,43.01,43.47,2318458
"67","ADSK.O",20110407,NA,"End Of Day (from Real-Time)",43.28,43.47,42.77,43.16,2501983
"68","ADSK.O",20110408,NA,"End Of Day (from Real-Time)",43.38,43.46,42.47,42.79,1791046
"69","ADSK.O",20110411,NA,"End Of Day (from Real-Time)",42.88,43.18,42.5341,42.85,1748226
"70","ADSK.O",20110412,NA,"End Of Day (from Real-Time)",42.63,43,42.204,42.36,1867602
"71","ADSK.O",20110413,NA,"End Of Day (from Real-Time)",42.55,42.96,42.18,42.63,2091552
"72","ADSK.O",20110414,NA,"End Of Day (from Real-Time)",42.31,42.76,42.05,42.7,1505954
"73","ADSK.O",20110415,NA,"End Of Day (from Real-Time)",42.67,43.24,42.47,43.09,2237842
"74","ADSK.O",20110418,NA,"End Of Day (from Real-Time)",42.45,42.65,41.72,42.47,1886213
"75","ADSK.O",20110419,NA,"End Of Day (from Real-Time)",42.51,42.66,42.15,42.43,1709891
"76","ADSK.O",20110420,NA,"End Of Day (from Real-Time)",43.09,44.64,43.09,44.35,3990015
"77","ADSK.O",20110421,NA,"End Of Day (from Real-Time)",44.44,44.96,44.41,44.88,1812300
"78","ADSK.O",20110425,NA,"End Of Day (from Real-Time)",44.67,45.58,44.57,45.55,3424606
"79","ADSK.O",20110426,NA,"End Of Day (from Real-Time)",45.56,45.6,44.93,44.99,2012284
"80","ADSK.O",20110427,NA,"End Of Day (from Real-Time)",44.9,45.13,44.585,45.11,1975589
"81","ADSK.O",20110428,NA,"End Of Day (from Real-Time)",44.93,45.45,44.71,45,1812342
"82","ADSK.O",20110429,NA,"End Of Day (from Real-Time)",44.95,45.31,44.81,44.98,2960506
"83","ADSK.O",20110502,NA,"End Of Day (from Real-Time)",45.32,45.37,44.28,44.66,1989480
"84","ADSK.O",20110503,NA,"End Of Day (from Real-Time)",44.72,44.81,43.66,44.22,1258163
"85","ADSK.O",20110504,NA,"End Of Day (from Real-Time)",44.21,44.31,43.21,43.75,1447100
"86","ADSK.O",20110505,NA,"End Of Day (from Real-Time)",43.57,44.11,43.19,43.43,2726644
"87","ADSK.O",20110506,NA,"End Of Day (from Real-Time)",44.04,45.29,43.71,44.31,2853741
"88","ADSK.O",20110509,NA,"End Of Day (from Real-Time)",44.37,44.81,44.08,44.29,1196737
"89","ADSK.O",20110510,NA,"End Of Day (from Real-Time)",44.33,45.31,44.28,45.15,2126482
"90","ADSK.O",20110511,NA,"End Of Day (from Real-Time)",45.06,45.495,44.52,45.2,2384142
"91","ADSK.O",20110512,NA,"End Of Day (from Real-Time)",44.97,46,44.73,45.99,3020398
"92","ADSK.O",20110513,NA,"End Of Day (from Real-Time)",45.95,46.15,45.46,45.57,3268619
"93","ADSK.O",20110516,NA,"End Of Day (from Real-Time)",45.25,45.54,44.29,44.39,2114526
"94","ADSK.O",20110517,NA,"End Of Day (from Real-Time)",44.2,44.41,43.37,43.49,3167099
"95","ADSK.O",20110518,NA,"End Of Day (from Real-Time)",43.39,44.38,43.23,44.28,2460951
"96","ADSK.O",20110519,NA,"End Of Day (from Real-Time)",44.5,45,44.07,44.39,2442527
"97","ADSK.O",20110520,NA,"End Of Day (from Real-Time)",44.36,44.36,41.59,42.35,6938486
"98","ADSK.O",20110523,NA,"End Of Day (from Real-Time)",41.72,42.39,41.17,42.27,4938498
"99","ADSK.O",20110524,NA,"End Of Day (from Real-Time)",42.29,42.85,42.01,42.09,3800905
"100","ADSK.O",20110525,NA,"End Of Day (from Real-Time)",42.06,42.64,41.98,42.38,1920603
"101","ADSK.O",20110526,NA,"End Of Day (from Real-Time)",42.22,42.83,42.15,42.68,1619394
"102","ADSK.O",20110527,NA,"End Of Day (from Real-Time)",42.78,42.91,42.37,42.5,1398554
"103","ADSK.O",20110531,NA,"End Of Day (from Real-Time)",42.79,43,42.41,42.98,2304705
"104","ADSK.O",20110601,NA,"End Of Day (from Real-Time)",42.75,42.96,41.4,41.44,2523757
"105","ADSK.O",20110602,NA,"End Of Day (from Real-Time)",41.38,41.63,40.78,41.36,3192163
"106","ADSK.O",20110603,NA,"End Of Day (from Real-Time)",40.9301,41.09,40.54,40.84,2271567
"107","ADSK.O",20110606,NA,"End Of Day (from Real-Time)",40.68,40.8,40.185,40.28,1939151
"108","ADSK.O",20110607,NA,"End Of Day (from Real-Time)",39.92,40.17,39.39,39.54,4456684
"109","ADSK.O",20110608,NA,"End Of Day (from Real-Time)",39.5,39.5,37.645,38.24,6155120
"110","ADSK.O",20110609,NA,"End Of Day (from Real-Time)",38.41,38.42,37.97,38.08,3628116
"111","ADSK.O",20110610,NA,"End Of Day (from Real-Time)",37.97,38.22,37.61,37.9,2996813
"112","ADSK.O",20110613,NA,"End Of Day (from Real-Time)",37.99,38.27,37.48,37.56,3437777
"113","ADSK.O",20110614,NA,"End Of Day (from Real-Time)",37.88,38.22,37.84,37.92,2028914
"114","ADSK.O",20110615,NA,"End Of Day (from Real-Time)",37.46,37.57,36.34,36.57,5115403
"115","ADSK.O",20110616,NA,"End Of Day (from Real-Time)",36.63,36.85,36,36.44,2379663
"116","ADSK.O",20110617,NA,"End Of Day (from Real-Time)",36.74,36.9,35.65,35.685,4274398
"117","ADSK.O",20110620,NA,"End Of Day (from Real-Time)",35.67,35.91,35.53,35.7,3395233
"118","ADSK.O",20110621,NA,"End Of Day (from Real-Time)",35.88,37.11,35.75,37.04,4803928
"119","ADSK.O",20110622,NA,"End Of Day (from Real-Time)",36.66,36.79,36.01,36.47,2966868
"120","ADSK.O",20110623,NA,"End Of Day (from Real-Time)",36.05,37.23,35.87,37.17,3687767
"121","ADSK.O",20110624,NA,"End Of Day (from Real-Time)",37.35,37.35,36.32,36.69,4203888
"122","ADSK.O",20110627,NA,"End Of Day (from Real-Time)",36.55,37.72,36.5,37.43,2693089
"123","ADSK.O",20110628,NA,"End Of Day (from Real-Time)",37.46,38.24,37.41,38.18,3463711
"124","ADSK.O",20110629,NA,"End Of Day (from Real-Time)",38.26,38.72,37.59,38.54,4308987
"125","ADSK.O",20110630,NA,"End Of Day (from Real-Time)",38.76,39.15,38.49,38.6,2808447
"126","ADSK.O",20110701,NA,"End Of Day (from Real-Time)",38.6,38.89,38.44,38.7,3290774
"127","ADSK.O",20110705,NA,"End Of Day (from Real-Time)",38.83,38.93,38.44,38.87,2222084
"128","ADSK.O",20110706,NA,"End Of Day (from Real-Time)",38.92,39.43,38.69,39.37,2238355
"129","ADSK.O",20110707,NA,"End Of Day (from Real-Time)",39.57,40.45,39.55,40.39,2627087
"130","ADSK.O",20110708,NA,"End Of Day (from Real-Time)",39.9,40.24,39.73,40.12,2257593
"131","ADSK.O",20110711,NA,"End Of Day (from Real-Time)",39.73,39.91,38.91,38.99,2373495
"132","ADSK.O",20110712,NA,"End Of Day (from Real-Time)",39.03,39.19,37.14,37.23,3825904
"133","ADSK.O",20110713,NA,"End Of Day (from Real-Time)",37.54,38.21,37.2,37.26,2475418
"134","ADSK.O",20110714,NA,"End Of Day (from Real-Time)",37.43,37.69,36.24,36.35,2917955
"135","ADSK.O",20110715,NA,"End Of Day (from Real-Time)",36.53,36.8,35.82,36.15,2663416
"136","ADSK.O",20110718,NA,"End Of Day (from Real-Time)",36.03,36.04,34.99,35.33,3074650
"137","ADSK.O",20110719,NA,"End Of Day (from Real-Time)",35.59,36.57,35.58,36.33,4378236
"138","ADSK.O",20110720,NA,"End Of Day (from Real-Time)",36.27,36.29,35.46,35.87,2984313
"139","ADSK.O",20110721,NA,"End Of Day (from Real-Time)",35.94,36.43,35.5,36.2,3605387
"140","ADSK.O",20110722,NA,"End Of Day (from Real-Time)",37.08,37.59,36.5,37.07,2728076
"141","ADSK.O",20110725,NA,"End Of Day (from Real-Time)",36.64,36.96,36.37,36.48,2357161
"142","ADSK.O",20110726,NA,"End Of Day (from Real-Time)",36.48,36.77,36.221,36.57,1859511
"143","ADSK.O",20110727,NA,"End Of Day (from Real-Time)",36.21,36.33,34.84,34.9,3995688
"144","ADSK.O",20110728,NA,"End Of Day (from Real-Time)",34.91,35.11,34.29,34.34,3121142
"145","ADSK.O",20110729,NA,"End Of Day (from Real-Time)",34.03,34.79,33.67,34.4,2910449
"146","ADSK.O",20110801,NA,"End Of Day (from Real-Time)",34.65,34.8,33.58,34.405,4635111
"147","ADSK.O",20110802,NA,"End Of Day (from Real-Time)",34.08,34.48,33.44,33.44,3981545
"148","ADSK.O",20110803,NA,"End Of Day (from Real-Time)",33.38,34.01,32.86,33.95,5072435
"149","ADSK.O",20110804,NA,"End Of Day (from Real-Time)",33.45,33.62,31.54,31.57,4456548
"150","ADSK.O",20110805,NA,"End Of Day (from Real-Time)",31.91,32.0594,29.86,30.92,6257685
"151","ADSK.O",20110808,NA,"End Of Day (from Real-Time)",29.93,30.24,28.05,28.06,9971304
"152","ADSK.O",20110809,NA,"End Of Day (from Real-Time)",28.48,29.97,27.815,29.96,7179577
"153","ADSK.O",20110810,NA,"End Of Day (from Real-Time)",29.32,29.45,28.09,28.16,6816904
"154","ADSK.O",20110811,NA,"End Of Day (from Real-Time)",28.41,29.16,28.19,28.75,6257568
"155","ADSK.O",20110812,NA,"End Of Day (from Real-Time)",28.9,29.49,28.41,29.18,5358431
"156","ADSK.O",20110815,NA,"End Of Day (from Real-Time)",29.24,30.11,29.14,30.09,3052749
"157","ADSK.O",20110816,NA,"End Of Day (from Real-Time)",29.8,29.88,28.94,29.45,3388053
