"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AEE.N",20110103,NA,"End Of Day (from Real-Time)",28.33,28.33,28.12,28.25,475452
"2","AEE.N",20110104,NA,"End Of Day (from Real-Time)",28.32,28.49,28.07,28.46,631857
"3","AEE.N",20110105,NA,"End Of Day (from Real-Time)",28.38,28.53,28.31,28.4,590773
"4","AEE.N",20110106,NA,"End Of Day (from Real-Time)",28.41,28.43,28.14,28.29,419581
"5","AEE.N",20110107,NA,"End Of Day (from Real-Time)",28.29,28.38,28.07,28.29,829549
"6","AEE.N",20110110,NA,"End Of Day (from Real-Time)",28.18,28.2,27.92,27.98,520699
"7","AEE.N",20110111,NA,"End Of Day (from Real-Time)",27.99,28.38,27.91,28.32,504861
"8","AEE.N",20110112,NA,"End Of Day (from Real-Time)",28.41,28.54,28.3,28.42,572228
"9","AEE.N",20110113,NA,"End Of Day (from Real-Time)",28.37,28.43,28.02,28.14,459119
"10","AEE.N",20110114,NA,"End Of Day (from Real-Time)",28.06,28.24,28.02,28.19,473019
"11","AEE.N",20110118,NA,"End Of Day (from Real-Time)",28.2,28.43,28.06,28.39,420932
"12","AEE.N",20110119,NA,"End Of Day (from Real-Time)",28.4,28.5,28.32,28.49,367797
"13","AEE.N",20110120,NA,"End Of Day (from Real-Time)",28.5,29.02,28.48,28.81,666500
"14","AEE.N",20110121,NA,"End Of Day (from Real-Time)",28.97,28.97,28.55,28.63,484267
"15","AEE.N",20110124,NA,"End Of Day (from Real-Time)",28.68,29.13,28.68,29.02,408880
"16","AEE.N",20110125,NA,"End Of Day (from Real-Time)",28.94,29.11,28.85,29.02,346700
"17","AEE.N",20110126,NA,"End Of Day (from Real-Time)",28.85,28.95,28.71,28.84,404591
"18","AEE.N",20110127,NA,"End Of Day (from Real-Time)",28.88,29.13,28.76,29.11,299112
"19","AEE.N",20110128,NA,"End Of Day (from Real-Time)",29.07,29.1,28.39,28.4,512222
"20","AEE.N",20110131,NA,"End Of Day (from Real-Time)",28.41,28.59,28.36,28.37,423224
"21","AEE.N",20110201,NA,"End Of Day (from Real-Time)",28.53,28.72,28.38,28.69,390831
"22","AEE.N",20110202,NA,"End Of Day (from Real-Time)",28.56,28.7,28.41,28.47,399004
"23","AEE.N",20110203,NA,"End Of Day (from Real-Time)",28.42,28.51,28.22,28.46,365143
"24","AEE.N",20110204,NA,"End Of Day (from Real-Time)",28.37,28.46,28.03,28.23,334498
"25","AEE.N",20110207,NA,"End Of Day (from Real-Time)",28.27,28.63,28.23,28.63,569564
"26","AEE.N",20110208,NA,"End Of Day (from Real-Time)",28.6,28.68,28.46,28.67,525650
"27","AEE.N",20110209,NA,"End Of Day (from Real-Time)",28.51,28.68,28.49,28.61,524745
"28","AEE.N",20110210,NA,"End Of Day (from Real-Time)",28.58,28.71,28.51,28.68,398405
"29","AEE.N",20110211,NA,"End Of Day (from Real-Time)",28.6,28.92,28.6,28.74,477129
"30","AEE.N",20110214,NA,"End Of Day (from Real-Time)",28.69,28.81,28.55,28.63,419622
"31","AEE.N",20110215,NA,"End Of Day (from Real-Time)",28.6,28.78,28.59,28.78,301417
"32","AEE.N",20110216,NA,"End Of Day (from Real-Time)",28.8,28.89,28.66,28.89,401178
"33","AEE.N",20110217,NA,"End Of Day (from Real-Time)",28.73,28.89,28.7,28.76,446448
"34","AEE.N",20110218,NA,"End Of Day (from Real-Time)",28.75,28.89,28.69,28.89,674466
"35","AEE.N",20110222,NA,"End Of Day (from Real-Time)",28.5,28.88,27.63,27.67,2006368
"36","AEE.N",20110223,NA,"End Of Day (from Real-Time)",27.78,27.95,27.14,27.15,1441636
"37","AEE.N",20110224,NA,"End Of Day (from Real-Time)",27.24,27.34,27.08,27.14,1322622
"38","AEE.N",20110225,NA,"End Of Day (from Real-Time)",27.2,27.55,27.11,27.52,708418
"39","AEE.N",20110228,NA,"End Of Day (from Real-Time)",27.57,28.02,27.51,27.96,840265
"40","AEE.N",20110301,NA,"End Of Day (from Real-Time)",27.94,27.94,27.47,27.51,854997
"41","AEE.N",20110302,NA,"End Of Day (from Real-Time)",27.52,27.65,27.39,27.62,557572
"42","AEE.N",20110303,NA,"End Of Day (from Real-Time)",27.78,28.12,27.74,28.06,903897
"43","AEE.N",20110304,NA,"End Of Day (from Real-Time)",27.96,28.08,27.59,27.89,830001
"44","AEE.N",20110307,NA,"End Of Day (from Real-Time)",27.56,27.7,27.39,27.42,592293
"45","AEE.N",20110308,NA,"End Of Day (from Real-Time)",27.42,28.02,27.42,28,613341
"46","AEE.N",20110309,NA,"End Of Day (from Real-Time)",27.92,28.47,27.7,28.42,826221
"47","AEE.N",20110310,NA,"End Of Day (from Real-Time)",28.14,28.32,27.66,27.68,803222
"48","AEE.N",20110311,NA,"End Of Day (from Real-Time)",27.73,27.87,27.46,27.73,555047
"49","AEE.N",20110314,NA,"End Of Day (from Real-Time)",27.5,27.51,27.2,27.29,583540
"50","AEE.N",20110315,NA,"End Of Day (from Real-Time)",26.8,27.06,26.8,26.91,856070
"51","AEE.N",20110316,NA,"End Of Day (from Real-Time)",26.85,27.01,26.46,26.79,1222177
