"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AEP.N",20110103,NA,"End Of Day (from Real-Time)",36.27,36.29,36.01,36.25,699814
"2","AEP.N",20110104,NA,"End Of Day (from Real-Time)",36.26,36.69,36.05,36.51,986799
"3","AEP.N",20110105,NA,"End Of Day (from Real-Time)",36.17,36.34,35.91,35.96,1240759
"4","AEP.N",20110106,NA,"End Of Day (from Real-Time)",36.03,36.19,35.64,36.14,1008324
"5","AEP.N",20110107,NA,"End Of Day (from Real-Time)",36.23,36.27,35.71,36,919740
"6","AEP.N",20110110,NA,"End Of Day (from Real-Time)",35.83,35.85,35.58,35.76,894665
"7","AEP.N",20110111,NA,"End Of Day (from Real-Time)",35.84,36,35.75,35.92,1021732
"8","AEP.N",20110112,NA,"End Of Day (from Real-Time)",36.15,36.21,35.81,35.95,987360
"9","AEP.N",20110113,NA,"End Of Day (from Real-Time)",35.94,35.96,35.46,35.67,1299896
"10","AEP.N",20110114,NA,"End Of Day (from Real-Time)",35.19,35.74,35.19,35.45,1641487
"11","AEP.N",20110118,NA,"End Of Day (from Real-Time)",35.44,36.27,35.42,36.2,1441296
"12","AEP.N",20110119,NA,"End Of Day (from Real-Time)",36.21,36.35,35.83,35.95,876146
"13","AEP.N",20110120,NA,"End Of Day (from Real-Time)",35.98,36.51,35.95,36.47,1039900
"14","AEP.N",20110121,NA,"End Of Day (from Real-Time)",36.66,36.66,36.15,36.44,1009606
"15","AEP.N",20110124,NA,"End Of Day (from Real-Time)",36.47,36.79,36.36,36.75,748265
"16","AEP.N",20110125,NA,"End Of Day (from Real-Time)",36.78,36.8,36.29,36.66,661164
"17","AEP.N",20110126,NA,"End Of Day (from Real-Time)",36.66,36.73,36.2,36.41,803865
"18","AEP.N",20110127,NA,"End Of Day (from Real-Time)",36.48,36.91,36.39,36.69,1052586
"19","AEP.N",20110128,NA,"End Of Day (from Real-Time)",36.66,36.68,35.77,35.86,1085293
"20","AEP.N",20110131,NA,"End Of Day (from Real-Time)",35.96,36.01,35.51,35.68,957135
"21","AEP.N",20110201,NA,"End Of Day (from Real-Time)",35.95,36.01,35.45,35.95,1088422
"22","AEP.N",20110202,NA,"End Of Day (from Real-Time)",35.77,35.9,35.63,35.69,707497
"23","AEP.N",20110203,NA,"End Of Day (from Real-Time)",35.67,35.88,35.42,35.82,889156
"24","AEP.N",20110204,NA,"End Of Day (from Real-Time)",35.76,35.81,35.26,35.62,730919
"25","AEP.N",20110207,NA,"End Of Day (from Real-Time)",35.79,36.06,35.68,36.04,803131
"26","AEP.N",20110208,NA,"End Of Day (from Real-Time)",35.48,35.84,35.29,35.83,999960
"27","AEP.N",20110209,NA,"End Of Day (from Real-Time)",35.66,35.83,35.59,35.74,639551
"28","AEP.N",20110210,NA,"End Of Day (from Real-Time)",35.69,35.81,35.46,35.61,684656
"29","AEP.N",20110211,NA,"End Of Day (from Real-Time)",35.54,35.86,35.5,35.86,640633
"30","AEP.N",20110214,NA,"End Of Day (from Real-Time)",35.72,35.81,35.34,35.52,670499
"31","AEP.N",20110215,NA,"End Of Day (from Real-Time)",35.49,35.99,35.36,35.83,916755
"32","AEP.N",20110216,NA,"End Of Day (from Real-Time)",35.86,35.89,35.63,35.77,576752
"33","AEP.N",20110217,NA,"End Of Day (from Real-Time)",35.77,35.86,35.64,35.85,635250
"34","AEP.N",20110218,NA,"End Of Day (from Real-Time)",35.8,35.89,35.63,35.76,1645763
"35","AEP.N",20110222,NA,"End Of Day (from Real-Time)",35.57,35.69,35.48,35.61,746895
"36","AEP.N",20110223,NA,"End Of Day (from Real-Time)",35.37,35.68,35.1,35.38,1020226
"37","AEP.N",20110224,NA,"End Of Day (from Real-Time)",35.36,35.43,34.97,35.11,941251
"38","AEP.N",20110225,NA,"End Of Day (from Real-Time)",35.22,35.35,35.02,35.28,578199
"39","AEP.N",20110228,NA,"End Of Day (from Real-Time)",35.41,35.85,35.4,35.78,1069854
"40","AEP.N",20110301,NA,"End Of Day (from Real-Time)",35.81,35.85,35.3,35.3,864210
"41","AEP.N",20110302,NA,"End Of Day (from Real-Time)",35.37,35.68,35.3,35.59,772417
"42","AEP.N",20110303,NA,"End Of Day (from Real-Time)",35.74,35.98,35.72,35.96,541505
"43","AEP.N",20110304,NA,"End Of Day (from Real-Time)",35.84,35.91,35.19,35.33,1099359
"44","AEP.N",20110307,NA,"End Of Day (from Real-Time)",35.48,35.8,35.42,35.61,936660
"45","AEP.N",20110308,NA,"End Of Day (from Real-Time)",35.61,36.04,35.61,35.98,755662
"46","AEP.N",20110309,NA,"End Of Day (from Real-Time)",35.95,36.37,35.66,36.3,994472
"47","AEP.N",20110310,NA,"End Of Day (from Real-Time)",36.13,36.15,35.71,35.75,898767
"48","AEP.N",20110311,NA,"End Of Day (from Real-Time)",35.92,35.94,35.66,35.81,915519
"49","AEP.N",20110314,NA,"End Of Day (from Real-Time)",35.59,35.59,35.13,35.34,1017122
"50","AEP.N",20110315,NA,"End Of Day (from Real-Time)",35,35.11,34.75,34.92,1228030
"51","AEP.N",20110316,NA,"End Of Day (from Real-Time)",34.87,34.9,34.16,34.26,2153177
"52","AEP.N",20110317,NA,"End Of Day (from Real-Time)",34.6,34.62,33.47,33.6,2250354
"53","AEP.N",20110318,NA,"End Of Day (from Real-Time)",33.89,33.99,33.62,33.81,2460864
"54","AEP.N",20110321,NA,"End Of Day (from Real-Time)",34.16,34.22,33.82,34.06,1066686
"55","AEP.N",20110322,NA,"End Of Day (from Real-Time)",34.15,34.36,34.01,34.16,1454817
"56","AEP.N",20110323,NA,"End Of Day (from Real-Time)",34.15,34.65,34.08,34.5,1271088
"57","AEP.N",20110324,NA,"End Of Day (from Real-Time)",34.68,34.91,34.56,34.81,1012648
"58","AEP.N",20110325,NA,"End Of Day (from Real-Time)",34.92,34.96,34.65,34.71,656662
"59","AEP.N",20110328,NA,"End Of Day (from Real-Time)",34.75,34.92,34.69,34.69,880277
"60","AEP.N",20110329,NA,"End Of Day (from Real-Time)",34.81,35.22,34.62,35.1,809040
"61","AEP.N",20110330,NA,"End Of Day (from Real-Time)",35.22,35.58,35.14,35.5,991364
"62","AEP.N",20110331,NA,"End Of Day (from Real-Time)",35.42,35.53,35.1,35.14,1029045
"63","AEP.N",20110401,NA,"End Of Day (from Real-Time)",35.26,35.6,35.23,35.52,836628
"64","AEP.N",20110404,NA,"End Of Day (from Real-Time)",35.6,35.6,35.22,35.45,706386
"65","AEP.N",20110405,NA,"End Of Day (from Real-Time)",35.39,35.5,35.28,35.3,549269
"66","AEP.N",20110406,NA,"End Of Day (from Real-Time)",35.4,35.62,35.36,35.57,850817
"67","AEP.N",20110407,NA,"End Of Day (from Real-Time)",35.5,35.52,35.32,35.47,573190
"68","AEP.N",20110408,NA,"End Of Day (from Real-Time)",35.55,35.57,35.16,35.31,674903
"69","AEP.N",20110411,NA,"End Of Day (from Real-Time)",35.31,35.36,34.69,34.78,1366887
"70","AEP.N",20110412,NA,"End Of Day (from Real-Time)",34.7,34.93,34.37,34.59,1577964
"71","AEP.N",20110413,NA,"End Of Day (from Real-Time)",34.76,35.11,34.72,34.92,1119564
"72","AEP.N",20110414,NA,"End Of Day (from Real-Time)",34.83,35.21,34.75,35.17,876284
"73","AEP.N",20110415,NA,"End Of Day (from Real-Time)",35.26,35.57,35.13,35.46,1269055
"74","AEP.N",20110418,NA,"End Of Day (from Real-Time)",35.25,35.45,34.96,35.31,1123736
"75","AEP.N",20110419,NA,"End Of Day (from Real-Time)",35.31,35.39,35,35.13,988641
"76","AEP.N",20110420,NA,"End Of Day (from Real-Time)",35.38,35.61,35.26,35.53,1229984
"77","AEP.N",20110421,NA,"End Of Day (from Real-Time)",35.56,35.61,35.32,35.49,730625
"78","AEP.N",20110425,NA,"End Of Day (from Real-Time)",35.57,35.64,35.28,35.59,580441
"79","AEP.N",20110426,NA,"End Of Day (from Real-Time)",35.72,35.95,35.63,35.88,661919
"80","AEP.N",20110427,NA,"End Of Day (from Real-Time)",35.98,36.32,35.93,36.23,970656
"81","AEP.N",20110428,NA,"End Of Day (from Real-Time)",36.25,36.39,36.11,36.38,849180
"82","AEP.N",20110429,NA,"End Of Day (from Real-Time)",36.37,36.56,36.22,36.48,852148
"83","AEP.N",20110502,NA,"End Of Day (from Real-Time)",36.63,36.63,36.49,36.54,748599
"84","AEP.N",20110503,NA,"End Of Day (from Real-Time)",36.6,37.17,36.5,36.95,1051119
"85","AEP.N",20110504,NA,"End Of Day (from Real-Time)",36.96,37.17,36.34,36.64,1691138
"86","AEP.N",20110505,NA,"End Of Day (from Real-Time)",36.63,36.96,36.55,36.66,1163430
"87","AEP.N",20110506,NA,"End Of Day (from Real-Time)",36.45,36.65,36.07,36.33,1307880
"88","AEP.N",20110509,NA,"End Of Day (from Real-Time)",36.35,36.55,36.18,36.48,911256
"89","AEP.N",20110510,NA,"End Of Day (from Real-Time)",36.64,37.04,36.58,36.85,1026971
"90","AEP.N",20110511,NA,"End Of Day (from Real-Time)",36.8,36.98,36.68,36.86,896348
"91","AEP.N",20110512,NA,"End Of Day (from Real-Time)",36.8,37.72,36.76,37.63,1834976
"92","AEP.N",20110513,NA,"End Of Day (from Real-Time)",37.63,37.69,37.38,37.58,1128732
"93","AEP.N",20110516,NA,"End Of Day (from Real-Time)",37.61,38.05,37.56,37.72,1274794
"94","AEP.N",20110517,NA,"End Of Day (from Real-Time)",38.07,38.98,38.06,38.85,2129366
"95","AEP.N",20110518,NA,"End Of Day (from Real-Time)",38.83,38.84,38.23,38.74,1223345
"96","AEP.N",20110519,NA,"End Of Day (from Real-Time)",38.85,38.94,38.34,38.48,1171752
"97","AEP.N",20110520,NA,"End Of Day (from Real-Time)",38.45,38.71,38.21,38.55,1184951
"98","AEP.N",20110523,NA,"End Of Day (from Real-Time)",38.3,38.67,38.1,38.39,1232980
"99","AEP.N",20110524,NA,"End Of Day (from Real-Time)",38.68,38.93,38.48,38.85,1701349
"100","AEP.N",20110525,NA,"End Of Day (from Real-Time)",38.68,38.74,38.25,38.53,1648525
"101","AEP.N",20110526,NA,"End Of Day (from Real-Time)",38.4,38.46,38.04,38.37,908833
"102","AEP.N",20110527,NA,"End Of Day (from Real-Time)",38.5,38.65,38.15,38.32,954551
"103","AEP.N",20110531,NA,"End Of Day (from Real-Time)",38.45,38.49,37.98,38.2,1681816
"104","AEP.N",20110601,NA,"End Of Day (from Real-Time)",38.22,38.34,38.02,38.02,1317780
"105","AEP.N",20110602,NA,"End Of Day (from Real-Time)",38.04,38.06,37.75,37.97,956403
"106","AEP.N",20110603,NA,"End Of Day (from Real-Time)",37.71,37.88,37.47,37.51,1268120
"107","AEP.N",20110606,NA,"End Of Day (from Real-Time)",37.46,37.64,37.2,37.58,990527
"108","AEP.N",20110607,NA,"End Of Day (from Real-Time)",37.65,37.98,37.54,37.57,1032727
"109","AEP.N",20110608,NA,"End Of Day (from Real-Time)",37.65,37.72,37.4,37.66,1018439
"110","AEP.N",20110609,NA,"End Of Day (from Real-Time)",37.68,37.73,37.4,37.46,947671
"111","AEP.N",20110610,NA,"End Of Day (from Real-Time)",37.48,37.48,36.99,37.12,1175161
