"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AIZ.N",20110103,NA,"End Of Day (from Real-Time)",38.76,38.81,38.48,38.64,337809
"2","AIZ.N",20110104,NA,"End Of Day (from Real-Time)",38.66,38.84,38.13,38.28,415973
"3","AIZ.N",20110105,NA,"End Of Day (from Real-Time)",38.12,38.52,38.12,38.43,418324
"4","AIZ.N",20110106,NA,"End Of Day (from Real-Time)",38.51,38.82,38.5,38.59,341080
"5","AIZ.N",20110107,NA,"End Of Day (from Real-Time)",38.69,38.74,37.9,38.15,378442
"6","AIZ.N",20110110,NA,"End Of Day (from Real-Time)",38.04,38.26,37.54,38.24,249859
"7","AIZ.N",20110111,NA,"End Of Day (from Real-Time)",38.34,38.67,38.18,38.29,271345
"8","AIZ.N",20110112,NA,"End Of Day (from Real-Time)",38.6,38.92,38.54,38.8,237387
"9","AIZ.N",20110113,NA,"End Of Day (from Real-Time)",38.82,38.92,38.35,38.51,163538
"10","AIZ.N",20110114,NA,"End Of Day (from Real-Time)",38.51,39.35,38.49,39.31,360401
"11","AIZ.N",20110118,NA,"End Of Day (from Real-Time)",39.47,39.87,38.48,38.48,417573
"12","AIZ.N",20110119,NA,"End Of Day (from Real-Time)",38.41,39.18,38.41,38.68,386146
"13","AIZ.N",20110120,NA,"End Of Day (from Real-Time)",38.66,38.9,38.25,38.49,355055
"14","AIZ.N",20110121,NA,"End Of Day (from Real-Time)",38.65,38.85,38.37,38.74,333674
"15","AIZ.N",20110124,NA,"End Of Day (from Real-Time)",38.36,38.76,38.28,38.37,357922
"16","AIZ.N",20110125,NA,"End Of Day (from Real-Time)",38.23,38.83,38.23,38.82,277145
"17","AIZ.N",20110126,NA,"End Of Day (from Real-Time)",38.94,39.58,38.92,39.38,375775
"18","AIZ.N",20110127,NA,"End Of Day (from Real-Time)",39.34,40.32,39.31,39.87,291156
"19","AIZ.N",20110128,NA,"End Of Day (from Real-Time)",39.84,40.03,38.94,38.98,322324
"20","AIZ.N",20110131,NA,"End Of Day (from Real-Time)",39.03,39.45,39.03,39.23,291095
"21","AIZ.N",20110201,NA,"End Of Day (from Real-Time)",39.49,39.96,39.3,39.84,284043
