"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ALXN.O",20110103,NA,"End Of Day (from Real-Time)",81.36,81.81,81.11,81.33,385977
"2","ALXN.O",20110104,NA,"End Of Day (from Real-Time)",81.37,81.95,80.96,81.47,353923
"3","ALXN.O",20110105,NA,"End Of Day (from Real-Time)",81.39,83.48,81.05,82.76,528683
"4","ALXN.O",20110106,NA,"End Of Day (from Real-Time)",82.9,83.44,82,82.56,465591
"5","ALXN.O",20110107,NA,"End Of Day (from Real-Time)",82.49,82.9,80.08,82.34,715088
"6","ALXN.O",20110110,NA,"End Of Day (from Real-Time)",81.27,83.14,81.14,82.8,383395
"7","ALXN.O",20110111,NA,"End Of Day (from Real-Time)",83.22,84,83.01,83.51,371794
"8","ALXN.O",20110112,NA,"End Of Day (from Real-Time)",83.78,84.29,83.1605,84.25,387687
"9","ALXN.O",20110113,NA,"End Of Day (from Real-Time)",84.32,84.97,84.09,84.64,319218
"10","ALXN.O",20110114,NA,"End Of Day (from Real-Time)",84,84,81.34,82.37,1024936
"11","ALXN.O",20110118,NA,"End Of Day (from Real-Time)",82.66,87.1393,82.66,86.37,1229628
"12","ALXN.O",20110119,NA,"End Of Day (from Real-Time)",86.44,86.6099,84.32,84.68,805960
"13","ALXN.O",20110120,NA,"End Of Day (from Real-Time)",84.17,85.6,83.97,85.17,600701
"14","ALXN.O",20110121,NA,"End Of Day (from Real-Time)",85.55,85.92,84.27,84.43,458455
"15","ALXN.O",20110124,NA,"End Of Day (from Real-Time)",84.57,86.34,84.51,84.6,622566
"16","ALXN.O",20110125,NA,"End Of Day (from Real-Time)",84.72,85.339,84.19,85.24,499588
"17","ALXN.O",20110126,NA,"End Of Day (from Real-Time)",85.09,86.3992,84.99,85.5,435973
"18","ALXN.O",20110127,NA,"End Of Day (from Real-Time)",85.45,86.39,84.29,85.03,622050
"19","ALXN.O",20110128,NA,"End Of Day (from Real-Time)",85.26,85.394,81.42,82.34,876356
"20","ALXN.O",20110131,NA,"End Of Day (from Real-Time)",82.48,84.81,81.82,83.82,655494
"21","ALXN.O",20110201,NA,"End Of Day (from Real-Time)",84.36,86.05,84.01,85.65,546175
"22","ALXN.O",20110202,NA,"End Of Day (from Real-Time)",85.05,85.96,84.51,85.31,798637
"23","ALXN.O",20110203,NA,"End Of Day (from Real-Time)",85.28,85.53,83.34,83.69,641498
"24","ALXN.O",20110204,NA,"End Of Day (from Real-Time)",84.18,85.25,83.29,84.98,373656
"25","ALXN.O",20110207,NA,"End Of Day (from Real-Time)",85,85.51,84,84.29,510528
"26","ALXN.O",20110208,NA,"End Of Day (from Real-Time)",84.29,86.66,83.461,86.4,762208
"27","ALXN.O",20110209,NA,"End Of Day (from Real-Time)",86.31,86.5,84.83,86.12,813507
"28","ALXN.O",20110210,NA,"End Of Day (from Real-Time)",84.5,90.285,84.08,89.94,1649087
"29","ALXN.O",20110211,NA,"End Of Day (from Real-Time)",88.72,90.18,88.08,90.05,714095
"30","ALXN.O",20110214,NA,"End Of Day (from Real-Time)",89.08,90.05,89.08,89.93,513700
"31","ALXN.O",20110215,NA,"End Of Day (from Real-Time)",89.86,90.22,89.28,90.08,328449
"32","ALXN.O",20110216,NA,"End Of Day (from Real-Time)",90.43,92.81,90.25,92.41,604097
"33","ALXN.O",20110217,NA,"End Of Day (from Real-Time)",92.45,93.45,91.73,93.37,885565
"34","ALXN.O",20110218,NA,"End Of Day (from Real-Time)",94.35,94.66,93.55,94.64,673349
"35","ALXN.O",20110222,NA,"End Of Day (from Real-Time)",95,95.5,93,93.43,902234
"36","ALXN.O",20110223,NA,"End Of Day (from Real-Time)",93.76,94.215,92.07,92.35,841807
"37","ALXN.O",20110224,NA,"End Of Day (from Real-Time)",92.09,92.65,91,92.17,996409
"38","ALXN.O",20110225,NA,"End Of Day (from Real-Time)",92.77,95.03,92.6,94.92,483209
"39","ALXN.O",20110228,NA,"End Of Day (from Real-Time)",96.94,96.94,94.65,96.28,704191
"40","ALXN.O",20110301,NA,"End Of Day (from Real-Time)",96.93,97.03,95.25,97.03,895401
"41","ALXN.O",20110302,NA,"End Of Day (from Real-Time)",96.86,100.36,96.5,98.42,1288242
"42","ALXN.O",20110303,NA,"End Of Day (from Real-Time)",99.29,99.5199,98.31,99.47,590835
"43","ALXN.O",20110304,NA,"End Of Day (from Real-Time)",99.62,99.8,97.91,98.34,775809
"44","ALXN.O",20110307,NA,"End Of Day (from Real-Time)",99.08,99.75,97.67,98.41,773779
"45","ALXN.O",20110308,NA,"End Of Day (from Real-Time)",98.41,100,98.13,99.61,803677
"46","ALXN.O",20110309,NA,"End Of Day (from Real-Time)",99.58,100,99.24,99.73,438496
"47","ALXN.O",20110310,NA,"End Of Day (from Real-Time)",98.92,99.07,97,97.26,975524
"48","ALXN.O",20110311,NA,"End Of Day (from Real-Time)",97.19,99.03,97,98.22,624740
"49","ALXN.O",20110314,NA,"End Of Day (from Real-Time)",95.1101,96,93.29,95.25,1377094
"50","ALXN.O",20110315,NA,"End Of Day (from Real-Time)",95.1101,96,93.29,NA,1377094
"51","ALXN.O",20110316,NA,"End Of Day (from Real-Time)",94.99,95.97,93.5,93.99,934250
"52","ALXN.O",20110317,NA,"End Of Day (from Real-Time)",94.28,95.33,93.4799,93.68,697974
"53","ALXN.O",20110318,NA,"End Of Day (from Real-Time)",94.96,94.97,93.57,93.77,897123
"54","ALXN.O",20110321,NA,"End Of Day (from Real-Time)",95.46,95.6,94.44,94.6,586691
"55","ALXN.O",20110322,NA,"End Of Day (from Real-Time)",95.08,95.08,93.76,94.41,573114
"56","ALXN.O",20110323,NA,"End Of Day (from Real-Time)",94.18,94.34,92.96,93.71,702634
"57","ALXN.O",20110324,NA,"End Of Day (from Real-Time)",94,94.76,93.61,94.4,599177
"58","ALXN.O",20110325,NA,"End Of Day (from Real-Time)",94.45,96.35,94.26,94.82,629266
"59","ALXN.O",20110328,NA,"End Of Day (from Real-Time)",94.77,94.77,92.81,93.51,699406
"60","ALXN.O",20110329,NA,"End Of Day (from Real-Time)",93.62,97.27,93.62,97.14,606042
"61","ALXN.O",20110330,NA,"End Of Day (from Real-Time)",98.88,100,98.01,99.46,969524
"62","ALXN.O",20110331,NA,"End Of Day (from Real-Time)",99.02,99.92,98.1,98.68,751259
"63","ALXN.O",20110401,NA,"End Of Day (from Real-Time)",99.38,100.62,98.2,100,3713292
"64","ALXN.O",20110404,NA,"End Of Day (from Real-Time)",100.16,101.68,99.33,100.79,911802
"65","ALXN.O",20110405,NA,"End Of Day (from Real-Time)",101.33,104.89,100.87,104.39,1285905
"66","ALXN.O",20110406,NA,"End Of Day (from Real-Time)",105,105,101.8,102,784258
"67","ALXN.O",20110407,NA,"End Of Day (from Real-Time)",102.69,103.47,100.78,103.11,646017
"68","ALXN.O",20110408,NA,"End Of Day (from Real-Time)",103.53,103.53,100.77,102.38,580461
"69","ALXN.O",20110411,NA,"End Of Day (from Real-Time)",99.8,100.26,98.06,98.86,1415425
"70","ALXN.O",20110412,NA,"End Of Day (from Real-Time)",98.79,99.1,98,98.88,688593
