"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AMAT.O",20110103,NA,"End Of Day (from Real-Time)",14.13,14.2889,14.01,14.06,10943637
"2","AMAT.O",20110104,NA,"End Of Day (from Real-Time)",14.06,14.1,13.91,13.97,16521001
"3","AMAT.O",20110105,NA,"End Of Day (from Real-Time)",13.82,13.93,13.72,13.76,24471584
"4","AMAT.O",20110106,NA,"End Of Day (from Real-Time)",13.82,14.1,13.8,13.89,18942275
"5","AMAT.O",20110107,NA,"End Of Day (from Real-Time)",13.93,14.03,13.79,13.96,10838440
"6","AMAT.O",20110110,NA,"End Of Day (from Real-Time)",13.89,13.94,13.68,13.77,15011215
"7","AMAT.O",20110111,NA,"End Of Day (from Real-Time)",13.87,14.1,13.84,14.08,17290174
"8","AMAT.O",20110112,NA,"End Of Day (from Real-Time)",14.17,14.3,14.07,14.255,8612172
"9","AMAT.O",20110113,NA,"End Of Day (from Real-Time)",14.28,14.34,14.2,14.24,9343241
"10","AMAT.O",20110114,NA,"End Of Day (from Real-Time)",14.64,15.32,14.57,15.315,36692777
"11","AMAT.O",20110118,NA,"End Of Day (from Real-Time)",15.26,15.35,14.99,15.2,33820682
"12","AMAT.O",20110119,NA,"End Of Day (from Real-Time)",15.14,15.35,15.09,15.23,27353250
"13","AMAT.O",20110120,NA,"End Of Day (from Real-Time)",15.23,15.23,14.71,15.055,21095975
"14","AMAT.O",20110121,NA,"End Of Day (from Real-Time)",15.17,15.19,14.97,15.01,12815981
"15","AMAT.O",20110124,NA,"End Of Day (from Real-Time)",15.09,15.4,15,15.365,14404839
"16","AMAT.O",20110125,NA,"End Of Day (from Real-Time)",15.29,15.4,15.13,15.37,18445597
"17","AMAT.O",20110126,NA,"End Of Day (from Real-Time)",15.35,15.57,15.31,15.46,13252549
"18","AMAT.O",20110127,NA,"End Of Day (from Real-Time)",15.45,16.15,15.45,16.1,24322611
"19","AMAT.O",20110128,NA,"End Of Day (from Real-Time)",16.2,16.25,15.6695,15.77,24074143
"20","AMAT.O",20110131,NA,"End Of Day (from Real-Time)",15.87,16.13,15.62,15.69,24068080
"21","AMAT.O",20110201,NA,"End Of Day (from Real-Time)",15.8,16.27,15.69,16.22,21935858
"22","AMAT.O",20110202,NA,"End Of Day (from Real-Time)",16.16,16.52,16.15,16.35,22847039
"23","AMAT.O",20110203,NA,"End Of Day (from Real-Time)",16.34,16.34,15.99,16.14,20212160
"24","AMAT.O",20110204,NA,"End Of Day (from Real-Time)",16.16,16.5,16.02,16.49,15023995
"25","AMAT.O",20110207,NA,"End Of Day (from Real-Time)",16.52,16.67,16.27,16.39,15425050
"26","AMAT.O",20110208,NA,"End Of Day (from Real-Time)",16.39,16.43,16.07,16.16,16694087
"27","AMAT.O",20110209,NA,"End Of Day (from Real-Time)",16.09,16.1,15.77,15.865,20653426
"28","AMAT.O",20110210,NA,"End Of Day (from Real-Time)",15.76,16.14,15.66,16.12,19010809
"29","AMAT.O",20110211,NA,"End Of Day (from Real-Time)",16.04,16.15,15.9,16.01,12939821
"30","AMAT.O",20110214,NA,"End Of Day (from Real-Time)",16.01,16.22,15.98,16.2,12982903
"31","AMAT.O",20110215,NA,"End Of Day (from Real-Time)",16.19,16.22,16.01,16.12,12139734
"32","AMAT.O",20110216,NA,"End Of Day (from Real-Time)",16.22,16.57,16.14,16.349,18176006
"33","AMAT.O",20110217,NA,"End Of Day (from Real-Time)",16.31,16.54,16.18,16.42,13520542
"34","AMAT.O",20110218,NA,"End Of Day (from Real-Time)",16.49,16.501,16.27,16.465,12380486
"35","AMAT.O",20110222,NA,"End Of Day (from Real-Time)",16.26,16.27,15.62,15.66,25419010
"36","AMAT.O",20110223,NA,"End Of Day (from Real-Time)",15.82,16.04,15.45,15.64,24399804
"37","AMAT.O",20110224,NA,"End Of Day (from Real-Time)",15.69,15.87,15.52,15.83,18660219
"38","AMAT.O",20110225,NA,"End Of Day (from Real-Time)",16.1,16.15,15.71,16.12,20076898
"39","AMAT.O",20110228,NA,"End Of Day (from Real-Time)",16.13,16.54,16.125,16.43,26339330
"40","AMAT.O",20110301,NA,"End Of Day (from Real-Time)",16.55,16.75,16.16,16.2,34051731
"41","AMAT.O",20110302,NA,"End Of Day (from Real-Time)",16.12,16.465,16.12,16.42,19130589
"42","AMAT.O",20110303,NA,"End Of Day (from Real-Time)",16.49,16.93,16.49,16.85,17573585
"43","AMAT.O",20110304,NA,"End Of Day (from Real-Time)",16.84,16.87,16.58,16.73,14204667
"44","AMAT.O",20110307,NA,"End Of Day (from Real-Time)",16.77,16.77,15.74,15.96,24767927
"45","AMAT.O",20110308,NA,"End Of Day (from Real-Time)",15.98,16,15.67,15.79,28215443
"46","AMAT.O",20110309,NA,"End Of Day (from Real-Time)",15.73,15.765,15.16,15.3,32179463
"47","AMAT.O",20110310,NA,"End Of Day (from Real-Time)",15.08,15.23,14.93,14.96,23031560
"48","AMAT.O",20110311,NA,"End Of Day (from Real-Time)",14.88,15.24,14.77,15,16362636
"49","AMAT.O",20110314,NA,"End Of Day (from Real-Time)",14.48,14.96,14.25,14.88,21222950
"50","AMAT.O",20110315,NA,"End Of Day (from Real-Time)",14.48,14.96,14.25,NA,21222950
"51","AMAT.O",20110316,NA,"End Of Day (from Real-Time)",14.78,14.94,14.36,14.455,23272277
"52","AMAT.O",20110317,NA,"End Of Day (from Real-Time)",14.68,14.97,14.67,14.83,15750325
"53","AMAT.O",20110318,NA,"End Of Day (from Real-Time)",15.06,15.1,14.78,14.84,19567647
"54","AMAT.O",20110321,NA,"End Of Day (from Real-Time)",15.1,15.36,15.0498,15.21,13054094
"55","AMAT.O",20110322,NA,"End Of Day (from Real-Time)",15.16,15.28,15.05,15.11,10673203
"56","AMAT.O",20110323,NA,"End Of Day (from Real-Time)",15.05,15.21,14.81,15.16,17119014
"57","AMAT.O",20110324,NA,"End Of Day (from Real-Time)",15.31,15.46,15.13,15.44,14958895
"58","AMAT.O",20110325,NA,"End Of Day (from Real-Time)",15.43,15.59,15.35,15.43,13937076
"59","AMAT.O",20110328,NA,"End Of Day (from Real-Time)",15.44,15.55,15.38,15.47,11868736
"60","AMAT.O",20110329,NA,"End Of Day (from Real-Time)",15.41,15.82,15.37,15.7,16816949
"61","AMAT.O",20110330,NA,"End Of Day (from Real-Time)",15.76,15.889,15.56,15.73,11390686
"62","AMAT.O",20110331,NA,"End Of Day (from Real-Time)",15.74,15.86,15.59,15.62,11448561
"63","AMAT.O",20110401,NA,"End Of Day (from Real-Time)",15.81,15.85,15.46,15.53,12739387
"64","AMAT.O",20110404,NA,"End Of Day (from Real-Time)",15.53,15.58,15.26,15.4,21011184
