"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AMGN.O",20110103,NA,"End Of Day (from Real-Time)",55.2,56.28,55.18,55.55,5453230
"2","AMGN.O",20110104,NA,"End Of Day (from Real-Time)",55.77,57.24,55.69,56.75,8429422
"3","AMGN.O",20110105,NA,"End Of Day (from Real-Time)",56.46,57.16,56.4,56.73,4551982
"4","AMGN.O",20110106,NA,"End Of Day (from Real-Time)",56.68,57.18,56.07,56.55,3561395
"5","AMGN.O",20110107,NA,"End Of Day (from Real-Time)",56.5,57.19,56.46,56.9775,4680745
"6","AMGN.O",20110110,NA,"End Of Day (from Real-Time)",56.47,56.95,56.21,56.44,4765433
"7","AMGN.O",20110111,NA,"End Of Day (from Real-Time)",56.55,56.88,56.09,56.19,5864144
"8","AMGN.O",20110112,NA,"End Of Day (from Real-Time)",56.3,56.92,56.05,56.85,4566355
"9","AMGN.O",20110113,NA,"End Of Day (from Real-Time)",56.72,57,56.23,56.32,4660294
"10","AMGN.O",20110114,NA,"End Of Day (from Real-Time)",56.05,57.28,56.05,56.5,5893725
"11","AMGN.O",20110118,NA,"End Of Day (from Real-Time)",56.4,57.34,56.35,57.29,10611829
"12","AMGN.O",20110119,NA,"End Of Day (from Real-Time)",57.21,57.43,56.6,56.98,5772902
"13","AMGN.O",20110120,NA,"End Of Day (from Real-Time)",56.78,57.65,56.68,57.31,6320232
"14","AMGN.O",20110121,NA,"End Of Day (from Real-Time)",57.41,57.41,56.735,56.97,6032807
"15","AMGN.O",20110124,NA,"End Of Day (from Real-Time)",57.06,57.87,56.81,57.29,5654250
"16","AMGN.O",20110125,NA,"End Of Day (from Real-Time)",56.9101,58.19,56.74,57.16,8943998
"17","AMGN.O",20110126,NA,"End Of Day (from Real-Time)",57.27,57.47,56.32,56.48,6836645
"18","AMGN.O",20110127,NA,"End Of Day (from Real-Time)",56.46,56.87,56.06,56.48,4686010
"19","AMGN.O",20110128,NA,"End Of Day (from Real-Time)",56.61,56.61,55.11,55.29,6928237
"20","AMGN.O",20110131,NA,"End Of Day (from Real-Time)",55.22,55.46,54.85,55.08,6021397
"21","AMGN.O",20110201,NA,"End Of Day (from Real-Time)",55.23,55.88,55.11,55.71,5619495
"22","AMGN.O",20110202,NA,"End Of Day (from Real-Time)",55.14,55.65,54.785,55.63,5353571
"23","AMGN.O",20110203,NA,"End Of Day (from Real-Time)",55.27,55.64,55,55.45,4232521
"24","AMGN.O",20110204,NA,"End Of Day (from Real-Time)",55.62,55.62,54.74,55.2,4578722
"25","AMGN.O",20110207,NA,"End Of Day (from Real-Time)",55.23,55.33,54.76,54.88,3863135
"26","AMGN.O",20110208,NA,"End Of Day (from Real-Time)",54.76,55.16,54.63,54.94,3402549
"27","AMGN.O",20110209,NA,"End Of Day (from Real-Time)",54.73,55,54.31,54.425,4504785
"28","AMGN.O",20110210,NA,"End Of Day (from Real-Time)",54.33,54.8,54,54.27,4523528
"29","AMGN.O",20110211,NA,"End Of Day (from Real-Time)",54.11,54.11,53.55,53.74,6902989
"30","AMGN.O",20110214,NA,"End Of Day (from Real-Time)",53.61,54.08,53.34,53.86,5414769
"31","AMGN.O",20110215,NA,"End Of Day (from Real-Time)",53.63,53.94,53.31,53.84,5142945
"32","AMGN.O",20110216,NA,"End Of Day (from Real-Time)",53.34,53.43,52.3562,52.95,11465140
"33","AMGN.O",20110217,NA,"End Of Day (from Real-Time)",52.69,53.19,52.37,52.41,8918578
"34","AMGN.O",20110218,NA,"End Of Day (from Real-Time)",52.26,52.73,52.02,52.24,9878310
"35","AMGN.O",20110222,NA,"End Of Day (from Real-Time)",51.97,52.54,51.62,51.88,6474138
"36","AMGN.O",20110223,NA,"End Of Day (from Real-Time)",51.89,52.18,51.07,51.07,8138869
"37","AMGN.O",20110224,NA,"End Of Day (from Real-Time)",51.07,51.24,50.61,50.95,8616011
"38","AMGN.O",20110225,NA,"End Of Day (from Real-Time)",51.18,52.37,51.05,52.26,7796698
"39","AMGN.O",20110228,NA,"End Of Day (from Real-Time)",52.38,52.67,51.31,51.33,8056529
"40","AMGN.O",20110301,NA,"End Of Day (from Real-Time)",52.17,52.49,51.74,51.91,6668425
"41","AMGN.O",20110302,NA,"End Of Day (from Real-Time)",51.74,51.91,51.34,51.39,5437310
"42","AMGN.O",20110303,NA,"End Of Day (from Real-Time)",51.64,52.54,51.46,52.37,6533224
"43","AMGN.O",20110304,NA,"End Of Day (from Real-Time)",52.1109,52.528,51.96,52.32,5795618
"44","AMGN.O",20110307,NA,"End Of Day (from Real-Time)",52.53,52.57,51.68,51.74,6334128
"45","AMGN.O",20110308,NA,"End Of Day (from Real-Time)",51.79,52.67,51.4,52.52,4298319
"46","AMGN.O",20110309,NA,"End Of Day (from Real-Time)",52.75,52.8,52.08,52.48,4049154
"47","AMGN.O",20110310,NA,"End Of Day (from Real-Time)",51.86,52.2095,51.42,51.84,5682968
"48","AMGN.O",20110311,NA,"End Of Day (from Real-Time)",51.86,53.87,51.78,53.53,11642075
