"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AMP.N",20110103,NA,"End Of Day (from Real-Time)",58.25,59.56,58.21,59.34,762755
"2","AMP.N",20110104,NA,"End Of Day (from Real-Time)",59.33,59.36,58.54,58.94,711289
"3","AMP.N",20110105,NA,"End Of Day (from Real-Time)",58.74,59.95,58.63,59.89,546818
"4","AMP.N",20110106,NA,"End Of Day (from Real-Time)",59.88,60.32,59.64,60.08,446659
"5","AMP.N",20110107,NA,"End Of Day (from Real-Time)",60.28,60.63,59.45,60.26,570488
"6","AMP.N",20110110,NA,"End Of Day (from Real-Time)",59.9,60.23,59.15,60.01,469610
"7","AMP.N",20110111,NA,"End Of Day (from Real-Time)",60.19,60.92,60.02,60.86,617263
"8","AMP.N",20110112,NA,"End Of Day (from Real-Time)",61.54,61.71,60.85,61.1,569450
"9","AMP.N",20110113,NA,"End Of Day (from Real-Time)",61.21,61.59,60.17,60.53,497673
"10","AMP.N",20110114,NA,"End Of Day (from Real-Time)",60.45,60.93,59.97,60.88,534714
"11","AMP.N",20110118,NA,"End Of Day (from Real-Time)",61.09,61.11,60.65,61,392129
"12","AMP.N",20110119,NA,"End Of Day (from Real-Time)",60.54,60.86,59.78,59.91,473790
"13","AMP.N",20110120,NA,"End Of Day (from Real-Time)",59.93,60.35,59.13,59.62,432513
"14","AMP.N",20110121,NA,"End Of Day (from Real-Time)",60,60.8,60,60.36,520606
"15","AMP.N",20110124,NA,"End Of Day (from Real-Time)",60.02,61.26,60.02,61,456337
"16","AMP.N",20110125,NA,"End Of Day (from Real-Time)",60.86,61.12,60.12,61.11,426867
"17","AMP.N",20110126,NA,"End Of Day (from Real-Time)",61.32,61.8,60.91,61.07,401908
"18","AMP.N",20110127,NA,"End Of Day (from Real-Time)",61.29,62.56,61.26,62.49,362989
"19","AMP.N",20110128,NA,"End Of Day (from Real-Time)",62.47,62.71,60.28,60.31,667735
"20","AMP.N",20110131,NA,"End Of Day (from Real-Time)",60.49,62.09,60.46,61.65,625783
"21","AMP.N",20110201,NA,"End Of Day (from Real-Time)",62.3,63.01,62.15,62.92,474721
"22","AMP.N",20110202,NA,"End Of Day (from Real-Time)",61.9,62.74,61.86,62.47,455172
"23","AMP.N",20110203,NA,"End Of Day (from Real-Time)",58.84,59.27,57.29,58.18,1616271
"24","AMP.N",20110204,NA,"End Of Day (from Real-Time)",57.96,58.29,57.77,58.08,828200
"25","AMP.N",20110207,NA,"End Of Day (from Real-Time)",58.08,58.9,58.08,58.7,622092
"26","AMP.N",20110208,NA,"End Of Day (from Real-Time)",58.5,60.28,58.5,60.14,722115
"27","AMP.N",20110209,NA,"End Of Day (from Real-Time)",59.82,61.9,59.82,61.21,842228
"28","AMP.N",20110210,NA,"End Of Day (from Real-Time)",60.49,61.91,59.87,61.89,491591
"29","AMP.N",20110211,NA,"End Of Day (from Real-Time)",62.39,64,62.35,63.87,721632
"30","AMP.N",20110214,NA,"End Of Day (from Real-Time)",63.88,64.79,63.66,64.29,647056
"31","AMP.N",20110215,NA,"End Of Day (from Real-Time)",63.8,64.45,63.25,63.4,622537
"32","AMP.N",20110216,NA,"End Of Day (from Real-Time)",63.79,64.51,63.79,64.36,391275
"33","AMP.N",20110217,NA,"End Of Day (from Real-Time)",64.19,64.47,63.64,64.29,440234
"34","AMP.N",20110218,NA,"End Of Day (from Real-Time)",64.41,65.12,64.01,64.73,498185
"35","AMP.N",20110222,NA,"End Of Day (from Real-Time)",63.7,64.19,62.66,63.13,635493
"36","AMP.N",20110223,NA,"End Of Day (from Real-Time)",63.17,63.74,62.29,63.31,615736
"37","AMP.N",20110224,NA,"End Of Day (from Real-Time)",63.14,63.85,62.11,63.3,625302
"38","AMP.N",20110225,NA,"End Of Day (from Real-Time)",63.75,64,62.97,63.52,506655
"39","AMP.N",20110228,NA,"End Of Day (from Real-Time)",63.84,64,62.85,63.32,532535
"40","AMP.N",20110301,NA,"End Of Day (from Real-Time)",63.53,64,62.12,62.74,631367
"41","AMP.N",20110302,NA,"End Of Day (from Real-Time)",62.68,62.91,61.57,61.8,514459
"42","AMP.N",20110303,NA,"End Of Day (from Real-Time)",62.5,64.2,62.5,64,616236
"43","AMP.N",20110304,NA,"End Of Day (from Real-Time)",63.69,63.74,62.45,63.27,692724
"44","AMP.N",20110307,NA,"End Of Day (from Real-Time)",63.57,64.14,62.47,62.69,398947
"45","AMP.N",20110308,NA,"End Of Day (from Real-Time)",62.76,63.85,62.41,63.49,496144
"46","AMP.N",20110309,NA,"End Of Day (from Real-Time)",63.47,63.48,62.09,62.21,556666
"47","AMP.N",20110310,NA,"End Of Day (from Real-Time)",61.39,62.4,60.65,61.7,711088
"48","AMP.N",20110311,NA,"End Of Day (from Real-Time)",61.59,62.36,61.08,62.18,507744
"49","AMP.N",20110314,NA,"End Of Day (from Real-Time)",61.68,61.79,60.31,61.56,836069
"50","AMP.N",20110315,NA,"End Of Day (from Real-Time)",59.16,60.28,58.76,59.95,1073310
"51","AMP.N",20110316,NA,"End Of Day (from Real-Time)",59.78,60.05,57.98,58.63,1034367
"52","AMP.N",20110317,NA,"End Of Day (from Real-Time)",59.7,60.38,59.44,59.83,902229
"53","AMP.N",20110318,NA,"End Of Day (from Real-Time)",61.03,61.54,60.41,61.22,1105266
"54","AMP.N",20110321,NA,"End Of Day (from Real-Time)",61.91,62.19,61.08,61.18,622969
"55","AMP.N",20110322,NA,"End Of Day (from Real-Time)",61.03,61.12,59.48,59.5,748682
"56","AMP.N",20110323,NA,"End Of Day (from Real-Time)",59.11,60.11,58.64,59.74,714797
"57","AMP.N",20110324,NA,"End Of Day (from Real-Time)",59.86,60.3,59.21,60.26,589721
"58","AMP.N",20110325,NA,"End Of Day (from Real-Time)",60.26,61.12,60.01,60.86,512150
"59","AMP.N",20110328,NA,"End Of Day (from Real-Time)",60.94,61.4,60.64,60.94,550009
"60","AMP.N",20110329,NA,"End Of Day (from Real-Time)",60.74,61.24,60.65,61.2,463123
"61","AMP.N",20110330,NA,"End Of Day (from Real-Time)",61.5,61.85,61.28,61.4,546991
"62","AMP.N",20110331,NA,"End Of Day (from Real-Time)",61.3,61.42,60.98,61.08,523862
"63","AMP.N",20110401,NA,"End Of Day (from Real-Time)",61.63,62.53,61.48,62.48,490961
"64","AMP.N",20110404,NA,"End Of Day (from Real-Time)",62.46,62.93,62.36,62.62,415126
"65","AMP.N",20110405,NA,"End Of Day (from Real-Time)",62.37,62.42,61.69,62.02,316413
"66","AMP.N",20110406,NA,"End Of Day (from Real-Time)",62.37,62.5,61.38,61.52,544560
"67","AMP.N",20110407,NA,"End Of Day (from Real-Time)",61.56,63.65,61.56,63.07,981393
"68","AMP.N",20110408,NA,"End Of Day (from Real-Time)",63.5,63.75,62.71,62.93,469674
"69","AMP.N",20110411,NA,"End Of Day (from Real-Time)",62.84,63.43,62.13,62.41,440649
"70","AMP.N",20110412,NA,"End Of Day (from Real-Time)",62.1,62.76,61.79,62.05,498192
"71","AMP.N",20110413,NA,"End Of Day (from Real-Time)",62.43,62.85,61.49,61.84,359279
"72","AMP.N",20110414,NA,"End Of Day (from Real-Time)",61.53,61.73,61.19,61.42,349953
"73","AMP.N",20110415,NA,"End Of Day (from Real-Time)",61.75,61.92,61.11,61.61,573391
"74","AMP.N",20110418,NA,"End Of Day (from Real-Time)",60.78,61.64,60.47,61.34,570758
"75","AMP.N",20110419,NA,"End Of Day (from Real-Time)",61.46,61.81,60.92,61.21,277939
"76","AMP.N",20110420,NA,"End Of Day (from Real-Time)",62.16,62.52,61.78,62.3,429474
"77","AMP.N",20110421,NA,"End Of Day (from Real-Time)",62.43,63.61,62.15,63.52,420291
"78","AMP.N",20110425,NA,"End Of Day (from Real-Time)",63.4,63.54,62.18,62.62,356987
"79","AMP.N",20110426,NA,"End Of Day (from Real-Time)",61.95,62.1,60.41,60.88,1034708
"80","AMP.N",20110427,NA,"End Of Day (from Real-Time)",61.13,61.23,59.84,61.04,632991
"81","AMP.N",20110428,NA,"End Of Day (from Real-Time)",61.1,62.38,61.04,62.17,621776
"82","AMP.N",20110429,NA,"End Of Day (from Real-Time)",62.2,62.38,61.72,62.06,456373
"83","AMP.N",20110502,NA,"End Of Day (from Real-Time)",62.37,62.52,61.61,61.73,387245
"84","AMP.N",20110503,NA,"End Of Day (from Real-Time)",61.28,61.76,60.86,61.71,451235
"85","AMP.N",20110504,NA,"End Of Day (from Real-Time)",61.37,61.38,59.81,60.49,656137
"86","AMP.N",20110505,NA,"End Of Day (from Real-Time)",59.99,60.62,59.75,60.06,538203
"87","AMP.N",20110506,NA,"End Of Day (from Real-Time)",60.56,61.69,60.56,61.2,854558
"88","AMP.N",20110509,NA,"End Of Day (from Real-Time)",61.64,62.01,61.2,61.92,664391
"89","AMP.N",20110510,NA,"End Of Day (from Real-Time)",62.05,63.32,61.99,63.03,774497
"90","AMP.N",20110511,NA,"End Of Day (from Real-Time)",62.75,63.67,62.24,62.51,683111
"91","AMP.N",20110512,NA,"End Of Day (from Real-Time)",62.43,63.4,62.03,63.36,655207
"92","AMP.N",20110513,NA,"End Of Day (from Real-Time)",63.29,63.46,61.92,62.4,673096
"93","AMP.N",20110516,NA,"End Of Day (from Real-Time)",62.18,62.83,61.88,61.97,421834
"94","AMP.N",20110517,NA,"End Of Day (from Real-Time)",61.85,61.85,60.66,61.5,527693
"95","AMP.N",20110518,NA,"End Of Day (from Real-Time)",61.58,62.99,61.18,62.89,489790
"96","AMP.N",20110519,NA,"End Of Day (from Real-Time)",62.99,63.67,62.43,63.43,590387
"97","AMP.N",20110520,NA,"End Of Day (from Real-Time)",63.4,63.5,62.06,62.17,615845
"98","AMP.N",20110523,NA,"End Of Day (from Real-Time)",61.35,61.6,60.93,61.01,550196
"99","AMP.N",20110524,NA,"End Of Day (from Real-Time)",61.12,61.29,60.31,60.48,475409
"100","AMP.N",20110525,NA,"End Of Day (from Real-Time)",60.11,61.08,59.63,60.63,584512
"101","AMP.N",20110526,NA,"End Of Day (from Real-Time)",60.45,60.73,59.95,60.37,790006
"102","AMP.N",20110527,NA,"End Of Day (from Real-Time)",60.67,60.7,60.23,60.37,670456
"103","AMP.N",20110531,NA,"End Of Day (from Real-Time)",61.08,61.3,60.75,61.23,790288
"104","AMP.N",20110601,NA,"End Of Day (from Real-Time)",60.85,60.85,58.73,58.82,781036
"105","AMP.N",20110602,NA,"End Of Day (from Real-Time)",58.79,59.3,58.01,58.99,543549
"106","AMP.N",20110603,NA,"End Of Day (from Real-Time)",58.1,59.23,57.74,58.23,484947
"107","AMP.N",20110606,NA,"End Of Day (from Real-Time)",57.97,58.22,56.88,56.92,599355
"108","AMP.N",20110607,NA,"End Of Day (from Real-Time)",57.27,57.55,56.39,56.44,782751
"109","AMP.N",20110608,NA,"End Of Day (from Real-Time)",56.4,56.61,55.68,55.74,506289
"110","AMP.N",20110609,NA,"End Of Day (from Real-Time)",55.84,57.64,55.75,57.29,802346
"111","AMP.N",20110610,NA,"End Of Day (from Real-Time)",56.86,56.86,55.7,56.04,704344
"112","AMP.N",20110613,NA,"End Of Day (from Real-Time)",56.13,56.22,55.33,56.01,785752
"113","AMP.N",20110614,NA,"End Of Day (from Real-Time)",56.84,57.46,56.7,56.98,609906
"114","AMP.N",20110615,NA,"End Of Day (from Real-Time)",56.61,56.95,55.63,55.76,840516
"115","AMP.N",20110616,NA,"End Of Day (from Real-Time)",55.76,56.41,55.42,55.98,594988
"116","AMP.N",20110617,NA,"End Of Day (from Real-Time)",56.55,57,56.3,56.66,1046963
"117","AMP.N",20110620,NA,"End Of Day (from Real-Time)",56.29,57,56.16,56.55,500407
"118","AMP.N",20110621,NA,"End Of Day (from Real-Time)",56.81,57.63,56.8,57.34,424678
"119","AMP.N",20110622,NA,"End Of Day (from Real-Time)",57.03,57.27,56.03,56.11,620834
"120","AMP.N",20110623,NA,"End Of Day (from Real-Time)",55.31,56.22,54.87,56.13,622661
"121","AMP.N",20110624,NA,"End Of Day (from Real-Time)",56.12,56.45,54.73,55.4,1291483
"122","AMP.N",20110627,NA,"End Of Day (from Real-Time)",55.13,56.07,55.13,55.81,485326
"123","AMP.N",20110628,NA,"End Of Day (from Real-Time)",55.98,56.32,55.84,56.12,386433
"124","AMP.N",20110629,NA,"End Of Day (from Real-Time)",56.6,57.33,56.6,57.19,729072
"125","AMP.N",20110630,NA,"End Of Day (from Real-Time)",57.49,58,57.03,57.68,628399
"126","AMP.N",20110701,NA,"End Of Day (from Real-Time)",57.62,58.58,57.6,58.39,436457
"127","AMP.N",20110705,NA,"End Of Day (from Real-Time)",58.15,58.21,57.4,57.47,500452
"128","AMP.N",20110706,NA,"End Of Day (from Real-Time)",57.32,58.51,56.93,58.51,755731
"129","AMP.N",20110707,NA,"End Of Day (from Real-Time)",59.13,59.47,59.05,59.22,530536
"130","AMP.N",20110708,NA,"End Of Day (from Real-Time)",58.32,58.36,57.43,58.14,668971
"131","AMP.N",20110711,NA,"End Of Day (from Real-Time)",57.11,57.18,54.79,54.96,707541
"132","AMP.N",20110712,NA,"End Of Day (from Real-Time)",54.73,56.74,54.59,55.66,935386
"133","AMP.N",20110713,NA,"End Of Day (from Real-Time)",56,56.78,55.7,55.87,620355
