"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AON.N",20110103,NA,"End Of Day (from Real-Time)",46.2,46.32,45.46,45.52,1019265
"2","AON.N",20110104,NA,"End Of Day (from Real-Time)",45.54,45.8,44.84,44.99,1321647
"3","AON.N",20110105,NA,"End Of Day (from Real-Time)",44.78,45.14,44.78,45,1096185
"4","AON.N",20110106,NA,"End Of Day (from Real-Time)",44.91,45.09,44.43,44.78,898966
"5","AON.N",20110107,NA,"End Of Day (from Real-Time)",44.7,44.96,44.09,44.34,809479
"6","AON.N",20110110,NA,"End Of Day (from Real-Time)",44.02,44.25,43.77,44.01,900358
"7","AON.N",20110111,NA,"End Of Day (from Real-Time)",44.09,44.2,43.82,43.95,672548
"8","AON.N",20110112,NA,"End Of Day (from Real-Time)",44.15,44.41,43.69,43.9,722180
"9","AON.N",20110113,NA,"End Of Day (from Real-Time)",43.83,43.97,43.31,43.83,683731
"10","AON.N",20110114,NA,"End Of Day (from Real-Time)",43.7,44.74,43.7,44.7,787579
"11","AON.N",20110118,NA,"End Of Day (from Real-Time)",44.67,45.04,44.56,44.89,772571
"12","AON.N",20110119,NA,"End Of Day (from Real-Time)",44.86,44.96,44.5,44.57,455614
"13","AON.N",20110120,NA,"End Of Day (from Real-Time)",44.48,45.13,44.48,45.07,824633
"14","AON.N",20110121,NA,"End Of Day (from Real-Time)",45.35,45.35,44.92,45.32,767605
"15","AON.N",20110124,NA,"End Of Day (from Real-Time)",45.28,45.31,44.72,45.01,549414
"16","AON.N",20110125,NA,"End Of Day (from Real-Time)",44.99,45.69,44.86,45.56,513964
"17","AON.N",20110126,NA,"End Of Day (from Real-Time)",45.62,45.92,45.55,45.77,733901
"18","AON.N",20110127,NA,"End Of Day (from Real-Time)",45.71,45.97,45.47,45.91,351989
"19","AON.N",20110128,NA,"End Of Day (from Real-Time)",45.8,46.09,45.31,45.32,743055
"20","AON.N",20110131,NA,"End Of Day (from Real-Time)",45.34,45.74,45.12,45.74,545207
"21","AON.N",20110201,NA,"End Of Day (from Real-Time)",45.91,46.31,45.59,46.26,718466
"22","AON.N",20110202,NA,"End Of Day (from Real-Time)",46.23,46.59,46.14,46.37,507664
"23","AON.N",20110203,NA,"End Of Day (from Real-Time)",46.33,46.57,45.98,46.16,429720
