"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","APA.N",20110103,NA,"End Of Day (from Real-Time)",120.54,121.61,120.02,121.03,620762
"2","APA.N",20110104,NA,"End Of Day (from Real-Time)",121.57,122.24,119.51,121.86,755360
"3","APA.N",20110105,NA,"End Of Day (from Real-Time)",121.5,124.97,120.41,124.91,787807
"4","APA.N",20110106,NA,"End Of Day (from Real-Time)",125.33,125.58,121.93,122.38,648692
"5","APA.N",20110107,NA,"End Of Day (from Real-Time)",122.84,124.02,122.17,123.17,532207
"6","APA.N",20110110,NA,"End Of Day (from Real-Time)",123.24,125.23,122.18,124.74,535600
"7","APA.N",20110111,NA,"End Of Day (from Real-Time)",125,125.42,124.3,125.13,596815
"8","APA.N",20110112,NA,"End Of Day (from Real-Time)",126.32,127.14,125.64,126.2,484208
"9","APA.N",20110113,NA,"End Of Day (from Real-Time)",126.71,127.16,124.43,125.18,608046
"10","APA.N",20110114,NA,"End Of Day (from Real-Time)",124.86,125.73,123.36,125.63,802894
"11","APA.N",20110118,NA,"End Of Day (from Real-Time)",126,127.64,125.32,127.56,597935
"12","APA.N",20110119,NA,"End Of Day (from Real-Time)",127,127.7,123.78,124.18,674502
"13","APA.N",20110120,NA,"End Of Day (from Real-Time)",123.84,124.79,122.68,124.16,565135
"14","APA.N",20110121,NA,"End Of Day (from Real-Time)",125.35,125.64,124,125.6,828020
"15","APA.N",20110124,NA,"End Of Day (from Real-Time)",124.58,125.68,123.33,123.92,638681
"16","APA.N",20110125,NA,"End Of Day (from Real-Time)",123,123.06,120.38,122.64,1026184
"17","APA.N",20110126,NA,"End Of Day (from Real-Time)",123.26,123.34,121.22,122.1,1091199
"18","APA.N",20110127,NA,"End Of Day (from Real-Time)",121.82,121.9,114.04,116.33,2507848
"19","APA.N",20110128,NA,"End Of Day (from Real-Time)",116,116,110.29,114.84,3367834
"20","APA.N",20110131,NA,"End Of Day (from Real-Time)",114.8,119.4,114.37,119.36,1560276
"21","APA.N",20110201,NA,"End Of Day (from Real-Time)",120.12,120.29,117.11,118.98,1689819
"22","APA.N",20110202,NA,"End Of Day (from Real-Time)",118.66,121.73,118.36,121.06,1071005
"23","APA.N",20110203,NA,"End Of Day (from Real-Time)",120.57,120.62,117.69,118.32,993379
"24","APA.N",20110204,NA,"End Of Day (from Real-Time)",118.49,118.9,116.48,116.84,899329
"25","APA.N",20110207,NA,"End Of Day (from Real-Time)",118,118.82,117.16,117.77,627004
"26","APA.N",20110208,NA,"End Of Day (from Real-Time)",117.76,118.05,117.1,117.5,460860
"27","APA.N",20110209,NA,"End Of Day (from Real-Time)",117.18,117.37,115.46,116.15,675013
"28","APA.N",20110210,NA,"End Of Day (from Real-Time)",115.87,118.88,115.59,117.75,1189540
"29","APA.N",20110211,NA,"End Of Day (from Real-Time)",117.89,119.94,117.02,119.73,1252623
"30","APA.N",20110214,NA,"End Of Day (from Real-Time)",120.4,122.17,120.08,121.18,869375
"31","APA.N",20110215,NA,"End Of Day (from Real-Time)",121.2,121.5,118.93,119.34,639533
"32","APA.N",20110216,NA,"End Of Day (from Real-Time)",120.01,120.7,118.59,120.51,1220614
"33","APA.N",20110217,NA,"End Of Day (from Real-Time)",118.88,121.86,118.5,120.62,1172469
"34","APA.N",20110218,NA,"End Of Day (from Real-Time)",121.15,121.16,119.55,120.01,1507959
"35","APA.N",20110222,NA,"End Of Day (from Real-Time)",119.8,120.67,116.28,117.07,1297319
"36","APA.N",20110223,NA,"End Of Day (from Real-Time)",118.01,121.19,117.71,120.93,1184672
"37","APA.N",20110224,NA,"End Of Day (from Real-Time)",121.47,121.72,119.85,120.5,909638
"38","APA.N",20110225,NA,"End Of Day (from Real-Time)",121.07,123.53,120.52,123.53,930496
"39","APA.N",20110228,NA,"End Of Day (from Real-Time)",123.9,124.84,123.15,124.62,933104
"40","APA.N",20110301,NA,"End Of Day (from Real-Time)",125.57,125.57,120.77,120.86,917664
"41","APA.N",20110302,NA,"End Of Day (from Real-Time)",120.55,121.78,119.07,121.09,596339
"42","APA.N",20110303,NA,"End Of Day (from Real-Time)",121.41,124.66,120.75,124.61,846915
"43","APA.N",20110304,NA,"End Of Day (from Real-Time)",124.21,124.51,121.66,122.62,824865
"44","APA.N",20110307,NA,"End Of Day (from Real-Time)",123.51,123.8,119.5,120.97,718555
"45","APA.N",20110308,NA,"End Of Day (from Real-Time)",121,122.44,120.25,121.36,495999
"46","APA.N",20110309,NA,"End Of Day (from Real-Time)",121.23,121.97,119.88,120.67,523997
"47","APA.N",20110310,NA,"End Of Day (from Real-Time)",118.25,119.5,115.89,115.94,1161626
"48","APA.N",20110311,NA,"End Of Day (from Real-Time)",115.7,119.37,115.69,118.82,691882
"49","APA.N",20110314,NA,"End Of Day (from Real-Time)",117.65,119.57,117.45,119.12,552859
"50","APA.N",20110315,NA,"End Of Day (from Real-Time)",115.36,118.7,114.22,117.84,805599
"51","APA.N",20110316,NA,"End Of Day (from Real-Time)",117.78,119,113.02,113.77,1848158
"52","APA.N",20110317,NA,"End Of Day (from Real-Time)",116.33,118.41,115.4,118.11,934467
"53","APA.N",20110318,NA,"End Of Day (from Real-Time)",120,120.48,118.96,120.11,2315643
"54","APA.N",20110321,NA,"End Of Day (from Real-Time)",121.2,125.1,121.18,125.1,1144620
"55","APA.N",20110322,NA,"End Of Day (from Real-Time)",124.93,126.38,124.54,125.88,819932
"56","APA.N",20110323,NA,"End Of Day (from Real-Time)",125.45,125.98,123.32,124.53,589331
"57","APA.N",20110324,NA,"End Of Day (from Real-Time)",125.53,125.57,123.5,124.89,805404
"58","APA.N",20110325,NA,"End Of Day (from Real-Time)",125.01,126.95,125,125.94,488912
"59","APA.N",20110328,NA,"End Of Day (from Real-Time)",125.84,127.79,125.61,126.25,839456
"60","APA.N",20110329,NA,"End Of Day (from Real-Time)",125.89,128.45,124.45,127.94,797005
"61","APA.N",20110330,NA,"End Of Day (from Real-Time)",129,131.6,127.83,130.43,867939
"62","APA.N",20110331,NA,"End Of Day (from Real-Time)",130.97,132.49,130.64,130.92,950729
"63","APA.N",20110401,NA,"End Of Day (from Real-Time)",131.5,132.33,129.66,129.98,679014
"64","APA.N",20110404,NA,"End Of Day (from Real-Time)",130.65,131.83,130.07,130.3,596443
"65","APA.N",20110405,NA,"End Of Day (from Real-Time)",129.97,131.62,129.86,131.25,632152
"66","APA.N",20110406,NA,"End Of Day (from Real-Time)",131.75,131.9,129.06,129.59,505090
"67","APA.N",20110407,NA,"End Of Day (from Real-Time)",129.58,130.24,128.01,128.79,723480
"68","APA.N",20110408,NA,"End Of Day (from Real-Time)",129.95,131.77,129.64,130.16,726760
"69","APA.N",20110411,NA,"End Of Day (from Real-Time)",130,130,125.66,126.25,792695
"70","APA.N",20110412,NA,"End Of Day (from Real-Time)",124.89,124.94,121.58,122.4,914299
"71","APA.N",20110413,NA,"End Of Day (from Real-Time)",124,124.5,121.55,122.26,667450
"72","APA.N",20110414,NA,"End Of Day (from Real-Time)",121.9,123,120.84,122.41,515751
"73","APA.N",20110415,NA,"End Of Day (from Real-Time)",122.25,122.79,121.51,122.4,1086723
"74","APA.N",20110418,NA,"End Of Day (from Real-Time)",120.48,121.3,119.33,120.93,505583
"75","APA.N",20110419,NA,"End Of Day (from Real-Time)",120.78,122.29,120.75,121.89,497149
"76","APA.N",20110420,NA,"End Of Day (from Real-Time)",124.57,124.68,123.32,123.91,565308
"77","APA.N",20110421,NA,"End Of Day (from Real-Time)",124.34,124.34,122.25,123.32,506014
"78","APA.N",20110425,NA,"End Of Day (from Real-Time)",123.35,123.89,122.11,122.6,760269
"79","APA.N",20110426,NA,"End Of Day (from Real-Time)",123.22,126.23,123,126.2,857565
"80","APA.N",20110427,NA,"End Of Day (from Real-Time)",126.4,127.21,124.32,126.92,689646
"81","APA.N",20110428,NA,"End Of Day (from Real-Time)",129,131.22,128,130,806956
"82","APA.N",20110429,NA,"End Of Day (from Real-Time)",130.17,134.12,130.17,133.37,864725
"83","APA.N",20110502,NA,"End Of Day (from Real-Time)",133.44,133.67,130.22,130.94,605499
"84","APA.N",20110503,NA,"End Of Day (from Real-Time)",131.01,131.17,127.12,129.15,688159
