"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","APC.N",20110103,NA,"End Of Day (from Real-Time)",77.3,78.32,76.44,76.63,1289545
"2","APC.N",20110104,NA,"End Of Day (from Real-Time)",76.8,77.07,73.75,76.11,960548
"3","APC.N",20110105,NA,"End Of Day (from Real-Time)",75.25,76.75,74.25,76.28,1115566
"4","APC.N",20110106,NA,"End Of Day (from Real-Time)",76.3,76.63,73.8,74.46,743722
"5","APC.N",20110107,NA,"End Of Day (from Real-Time)",74.26,74.75,73.27,74.67,913916
"6","APC.N",20110110,NA,"End Of Day (from Real-Time)",74.11,75.43,73.06,74.88,890120
"7","APC.N",20110111,NA,"End Of Day (from Real-Time)",75.51,78.19,75.51,77.52,861488
"8","APC.N",20110112,NA,"End Of Day (from Real-Time)",78.25,78.7,77.44,78.53,651769
"9","APC.N",20110113,NA,"End Of Day (from Real-Time)",78.78,78.92,76.77,77.14,712412
"10","APC.N",20110114,NA,"End Of Day (from Real-Time)",76.35,79.55,75.58,79.48,1290004
"11","APC.N",20110118,NA,"End Of Day (from Real-Time)",78.76,79.85,78.24,79.65,844300
"12","APC.N",20110119,NA,"End Of Day (from Real-Time)",79.22,79.31,76.01,76.45,1128009
"13","APC.N",20110120,NA,"End Of Day (from Real-Time)",75.2,77.23,73.9,76.33,1286480
"14","APC.N",20110121,NA,"End Of Day (from Real-Time)",76.66,77.48,76.56,77.2,1584743
"15","APC.N",20110124,NA,"End Of Day (from Real-Time)",76.95,78.59,76.13,77.26,682779
"16","APC.N",20110125,NA,"End Of Day (from Real-Time)",76.71,76.74,74.43,75.7,823453
"17","APC.N",20110126,NA,"End Of Day (from Real-Time)",75.92,77.15,74.67,76.79,788422
"18","APC.N",20110127,NA,"End Of Day (from Real-Time)",76.74,77.34,74.57,75.36,960734
"19","APC.N",20110128,NA,"End Of Day (from Real-Time)",75.55,76.4,73.51,74.18,895010
"20","APC.N",20110131,NA,"End Of Day (from Real-Time)",74.3,77.09,74.3,77.08,1112256
"21","APC.N",20110201,NA,"End Of Day (from Real-Time)",77.13,79.18,75.54,78.54,1142503
"22","APC.N",20110202,NA,"End Of Day (from Real-Time)",79.07,80.59,78.22,80.03,755996
"23","APC.N",20110203,NA,"End Of Day (from Real-Time)",79.66,79.85,76.93,77.49,884370
"24","APC.N",20110204,NA,"End Of Day (from Real-Time)",78,80.06,77.15,78.32,929099
"25","APC.N",20110207,NA,"End Of Day (from Real-Time)",78.5,79.65,78.21,79.27,717085
"26","APC.N",20110208,NA,"End Of Day (from Real-Time)",79.6,80,78.5,78.69,788693
"27","APC.N",20110209,NA,"End Of Day (from Real-Time)",78.52,79.17,76.13,77.37,813437
"28","APC.N",20110210,NA,"End Of Day (from Real-Time)",76.95,78.12,75.91,77.71,709555
