"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","APD.N",20110103,NA,"End Of Day (from Real-Time)",91.54,91.71,90.31,90.53,334265
"2","APD.N",20110104,NA,"End Of Day (from Real-Time)",90.5,90.65,88.95,89.19,321476
"3","APD.N",20110105,NA,"End Of Day (from Real-Time)",88.81,89.38,88.73,88.8,399981
"4","APD.N",20110106,NA,"End Of Day (from Real-Time)",88.69,88.75,87.71,88.34,393924
"5","APD.N",20110107,NA,"End Of Day (from Real-Time)",88.56,89.26,88.34,88.5,287755
"6","APD.N",20110110,NA,"End Of Day (from Real-Time)",88,88.62,87.78,88.51,239761
"7","APD.N",20110111,NA,"End Of Day (from Real-Time)",88.71,88.88,87.98,88.32,206768
"8","APD.N",20110112,NA,"End Of Day (from Real-Time)",88.59,89,88.21,88.65,263545
"9","APD.N",20110113,NA,"End Of Day (from Real-Time)",88.77,89.15,88.59,88.86,279897
"10","APD.N",20110114,NA,"End Of Day (from Real-Time)",88.62,88.79,87.75,88.73,274329
"11","APD.N",20110118,NA,"End Of Day (from Real-Time)",88.27,89.2,88.27,89.1,337044
"12","APD.N",20110119,NA,"End Of Day (from Real-Time)",89.21,89.55,88.19,88.51,207815
"13","APD.N",20110120,NA,"End Of Day (from Real-Time)",88.11,88.37,86.96,87.26,390120
"14","APD.N",20110121,NA,"End Of Day (from Real-Time)",87.55,88.17,86.27,86.51,455648
"15","APD.N",20110124,NA,"End Of Day (from Real-Time)",86.52,86.91,86.32,86.5,482771
"16","APD.N",20110125,NA,"End Of Day (from Real-Time)",86.5,87.13,86.17,86.68,472331
"17","APD.N",20110126,NA,"End Of Day (from Real-Time)",86.81,87.16,86.68,86.92,376047
"18","APD.N",20110127,NA,"End Of Day (from Real-Time)",87.01,87.69,86.28,86.34,480969
"19","APD.N",20110128,NA,"End Of Day (from Real-Time)",86.55,87.27,85.54,85.77,684311
"20","APD.N",20110131,NA,"End Of Day (from Real-Time)",86.15,87.34,85.98,87.25,418700
"21","APD.N",20110201,NA,"End Of Day (from Real-Time)",87.96,89.69,87.89,89.62,311043
