"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ATI.N",20110103,NA,"End Of Day (from Real-Time)",55.91,57.94,55.88,57.55,519221
"2","ATI.N",20110104,NA,"End Of Day (from Real-Time)",57.58,58.26,55.51,56.29,423229
"3","ATI.N",20110105,NA,"End Of Day (from Real-Time)",55.82,56.95,55.25,56.46,541986
"4","ATI.N",20110106,NA,"End Of Day (from Real-Time)",56.54,57,55.47,55.8,306280
"5","ATI.N",20110107,NA,"End Of Day (from Real-Time)",55.87,56.08,53.81,55.16,463311
"6","ATI.N",20110110,NA,"End Of Day (from Real-Time)",54.73,55.46,53.73,55.3,371469
"7","ATI.N",20110111,NA,"End Of Day (from Real-Time)",55.69,58.8,55.63,58.63,520336
"8","ATI.N",20110112,NA,"End Of Day (from Real-Time)",59.26,59.28,57.97,58.64,374835
"9","ATI.N",20110113,NA,"End Of Day (from Real-Time)",58.64,59.21,57.99,58.26,282854
"10","ATI.N",20110114,NA,"End Of Day (from Real-Time)",58.25,58.64,56.8,57.84,342397
"11","ATI.N",20110118,NA,"End Of Day (from Real-Time)",58,61.13,57.86,60.97,679914
"12","ATI.N",20110119,NA,"End Of Day (from Real-Time)",60.7,61.05,58.83,59.24,458833
"13","ATI.N",20110120,NA,"End Of Day (from Real-Time)",58.49,59.34,57.19,59.1,521437
"14","ATI.N",20110121,NA,"End Of Day (from Real-Time)",60.06,60.14,58.1,58.29,449425
"15","ATI.N",20110124,NA,"End Of Day (from Real-Time)",58.64,59.67,58.47,58.87,369890
"16","ATI.N",20110125,NA,"End Of Day (from Real-Time)",58.42,58.87,56,58.4,695206
"17","ATI.N",20110126,NA,"End Of Day (from Real-Time)",60.89,65.91,60.51,65.29,1497786
"18","ATI.N",20110127,NA,"End Of Day (from Real-Time)",65.34,65.52,63.28,64.89,627850
"19","ATI.N",20110128,NA,"End Of Day (from Real-Time)",65,65.54,63.11,63.67,566356
"20","ATI.N",20110131,NA,"End Of Day (from Real-Time)",64.28,65.47,64.28,65.19,376220
"21","ATI.N",20110201,NA,"End Of Day (from Real-Time)",65.87,67.39,65.87,66.41,447762
"22","ATI.N",20110202,NA,"End Of Day (from Real-Time)",66.55,67,65.81,66.07,418819
"23","ATI.N",20110203,NA,"End Of Day (from Real-Time)",66.01,66.8,64.37,66.66,251221
"24","ATI.N",20110204,NA,"End Of Day (from Real-Time)",66.91,67.2,65.16,66.89,330200
"25","ATI.N",20110207,NA,"End Of Day (from Real-Time)",67.2,68,66.87,67.25,269023
"26","ATI.N",20110208,NA,"End Of Day (from Real-Time)",68.15,68.85,66.58,67.42,268192
"27","ATI.N",20110209,NA,"End Of Day (from Real-Time)",67.12,67.5,64.41,65.66,415889
"28","ATI.N",20110210,NA,"End Of Day (from Real-Time)",64.99,67.59,64.89,66.53,329649
"29","ATI.N",20110211,NA,"End Of Day (from Real-Time)",66.01,67.58,65.67,67.47,202577
"30","ATI.N",20110214,NA,"End Of Day (from Real-Time)",67.81,69.42,67.59,69.35,362161
"31","ATI.N",20110215,NA,"End Of Day (from Real-Time)",69.3,69.63,68.18,68.58,324949
"32","ATI.N",20110216,NA,"End Of Day (from Real-Time)",68.86,69.12,67.34,68.51,485240
"33","ATI.N",20110217,NA,"End Of Day (from Real-Time)",68.25,69.73,67.76,69.16,211029
"34","ATI.N",20110218,NA,"End Of Day (from Real-Time)",69.53,69.55,67.53,68.52,438687
"35","ATI.N",20110222,NA,"End Of Day (from Real-Time)",67.43,68.08,65.04,65.26,461225
"36","ATI.N",20110223,NA,"End Of Day (from Real-Time)",65.25,65.25,62.65,63.52,652663
"37","ATI.N",20110224,NA,"End Of Day (from Real-Time)",63.52,65.8,63.05,64.97,352901
"38","ATI.N",20110225,NA,"End Of Day (from Real-Time)",65.49,66.4,65,66.36,241510
"39","ATI.N",20110228,NA,"End Of Day (from Real-Time)",66.68,67.28,66.14,67.08,280535
"40","ATI.N",20110301,NA,"End Of Day (from Real-Time)",67.49,67.64,64.04,64.26,364912
"41","ATI.N",20110302,NA,"End Of Day (from Real-Time)",63.85,64.75,63,63.37,436231
"42","ATI.N",20110303,NA,"End Of Day (from Real-Time)",65.1,66.67,64.48,66.32,418892
"43","ATI.N",20110304,NA,"End Of Day (from Real-Time)",66.35,66.45,64.63,65.43,231918
"44","ATI.N",20110307,NA,"End Of Day (from Real-Time)",65.59,65.74,63.08,63.62,222691
"45","ATI.N",20110308,NA,"End Of Day (from Real-Time)",63.75,64.87,62.61,63.97,179331
"46","ATI.N",20110309,NA,"End Of Day (from Real-Time)",63.43,64.05,61.34,62.19,252366
"47","ATI.N",20110310,NA,"End Of Day (from Real-Time)",60.64,61.93,60.37,61.06,322385
"48","ATI.N",20110311,NA,"End Of Day (from Real-Time)",60.56,64.68,60.56,64.17,371643
"49","ATI.N",20110314,NA,"End Of Day (from Real-Time)",63.68,64.18,62.9,63.95,287348
"50","ATI.N",20110315,NA,"End Of Day (from Real-Time)",61.96,63.89,61.28,63.32,356557
"51","ATI.N",20110316,NA,"End Of Day (from Real-Time)",63.44,63.87,59.91,60.64,692235
"52","ATI.N",20110317,NA,"End Of Day (from Real-Time)",62.38,62.92,60.75,60.99,369084
"53","ATI.N",20110318,NA,"End Of Day (from Real-Time)",62.09,62.3,60.7,60.88,881001
"54","ATI.N",20110321,NA,"End Of Day (from Real-Time)",61.97,64.03,61.97,63.94,475999
"55","ATI.N",20110322,NA,"End Of Day (from Real-Time)",63.67,64.66,63.4,64.37,298834
"56","ATI.N",20110323,NA,"End Of Day (from Real-Time)",64.1,64.96,63.04,64.55,166248
"57","ATI.N",20110324,NA,"End Of Day (from Real-Time)",65.04,65.49,63.79,65.25,132611
"58","ATI.N",20110325,NA,"End Of Day (from Real-Time)",65.59,65.9,64.92,65.07,282340
"59","ATI.N",20110328,NA,"End Of Day (from Real-Time)",65.16,66,64.68,64.74,188555
"60","ATI.N",20110329,NA,"End Of Day (from Real-Time)",64.64,65.97,63.82,65.96,243006
"61","ATI.N",20110330,NA,"End Of Day (from Real-Time)",66.98,67.87,65.36,67.76,418440
"62","ATI.N",20110331,NA,"End Of Day (from Real-Time)",67.39,68.44,67.12,67.72,297013
"63","ATI.N",20110401,NA,"End Of Day (from Real-Time)",68.22,68.22,66.96,67.32,205751
"64","ATI.N",20110404,NA,"End Of Day (from Real-Time)",67.62,68.04,67.18,67.44,134579
"65","ATI.N",20110405,NA,"End Of Day (from Real-Time)",67.28,68.76,66.84,67.9,303666
"66","ATI.N",20110406,NA,"End Of Day (from Real-Time)",68.5,68.87,66.3,66.62,305453
"67","ATI.N",20110407,NA,"End Of Day (from Real-Time)",66.6,67.5,65.09,65.32,360959
"68","ATI.N",20110408,NA,"End Of Day (from Real-Time)",66.2,66.2,63.26,63.6,299975
"69","ATI.N",20110411,NA,"End Of Day (from Real-Time)",63.84,64.55,62.77,63.31,214542
"70","ATI.N",20110412,NA,"End Of Day (from Real-Time)",62.51,64.33,61.87,64.17,356720
"71","ATI.N",20110413,NA,"End Of Day (from Real-Time)",64.66,65.41,63.5,64.18,312047
"72","ATI.N",20110414,NA,"End Of Day (from Real-Time)",63.63,64.57,62.99,63.99,228584
"73","ATI.N",20110415,NA,"End Of Day (from Real-Time)",64.57,67.46,64.22,67.41,562162
"74","ATI.N",20110418,NA,"End Of Day (from Real-Time)",65.93,66.77,65.01,65.7,315041
"75","ATI.N",20110419,NA,"End Of Day (from Real-Time)",66.27,68.31,66.22,68.28,243089
"76","ATI.N",20110420,NA,"End Of Day (from Real-Time)",69.84,70.21,68.99,69.06,385100
"77","ATI.N",20110421,NA,"End Of Day (from Real-Time)",69.45,69.59,68.7,69.4,252894
"78","ATI.N",20110425,NA,"End Of Day (from Real-Time)",70.25,70.86,69.56,69.86,264937
"79","ATI.N",20110426,NA,"End Of Day (from Real-Time)",70.69,72.33,69.72,71.09,387226
"80","ATI.N",20110427,NA,"End Of Day (from Real-Time)",71.02,73.53,69.76,72.74,533071
"81","ATI.N",20110428,NA,"End Of Day (from Real-Time)",72.69,72.92,71.07,71.47,458446
"82","ATI.N",20110429,NA,"End Of Day (from Real-Time)",71.78,72.41,71.61,72,382541
"83","ATI.N",20110502,NA,"End Of Day (from Real-Time)",72.5,72.68,69.91,70.27,277957
"84","ATI.N",20110503,NA,"End Of Day (from Real-Time)",70.19,71.26,69.65,70.26,376005
"85","ATI.N",20110504,NA,"End Of Day (from Real-Time)",70.27,70.41,68.5,69.96,328637
"86","ATI.N",20110505,NA,"End Of Day (from Real-Time)",69,71.35,68.64,69.26,445488
"87","ATI.N",20110506,NA,"End Of Day (from Real-Time)",70.75,70.95,69.38,70,1012664
"88","ATI.N",20110509,NA,"End Of Day (from Real-Time)",70.22,71.53,69.34,70.55,937339
"89","ATI.N",20110510,NA,"End Of Day (from Real-Time)",70.91,72.22,70.4,72.16,727446
"90","ATI.N",20110511,NA,"End Of Day (from Real-Time)",71.86,71.95,67.91,68.51,552382
"91","ATI.N",20110512,NA,"End Of Day (from Real-Time)",69.2,71.74,69.01,70.45,781826
"92","ATI.N",20110513,NA,"End Of Day (from Real-Time)",70.7,70.94,68.44,68.81,551864
"93","ATI.N",20110516,NA,"End Of Day (from Real-Time)",68.16,69.67,67.79,68.13,468986
"94","ATI.N",20110517,NA,"End Of Day (from Real-Time)",67.4,68.48,66.2,66.76,494769
"95","ATI.N",20110518,NA,"End Of Day (from Real-Time)",67.05,67.19,65.46,66.88,650597
"96","ATI.N",20110519,NA,"End Of Day (from Real-Time)",67,67.08,65.11,65.34,563769
"97","ATI.N",20110520,NA,"End Of Day (from Real-Time)",65.34,65.35,62.86,63.78,815030
"98","ATI.N",20110523,NA,"End Of Day (from Real-Time)",62.33,64.2,62.19,63.94,567731
"99","ATI.N",20110524,NA,"End Of Day (from Real-Time)",64.4,65.74,64.15,64.96,756865
"100","ATI.N",20110525,NA,"End Of Day (from Real-Time)",64.57,66.41,64.02,65.93,432778
"101","ATI.N",20110526,NA,"End Of Day (from Real-Time)",65.53,66.9,64.81,66.73,599441
"102","ATI.N",20110527,NA,"End Of Day (from Real-Time)",67,67.87,65.9,66.43,251358
"103","ATI.N",20110531,NA,"End Of Day (from Real-Time)",67.67,67.86,65.3,67,726332
"104","ATI.N",20110601,NA,"End Of Day (from Real-Time)",66.15,67.1,64.95,65,556305
"105","ATI.N",20110602,NA,"End Of Day (from Real-Time)",65,66.7,64.57,65.54,280640
"106","ATI.N",20110603,NA,"End Of Day (from Real-Time)",64.38,65.36,63.08,63.15,582308
"107","ATI.N",20110606,NA,"End Of Day (from Real-Time)",63.15,63.78,62.18,62.26,478206
"108","ATI.N",20110607,NA,"End Of Day (from Real-Time)",62.94,63.23,61.38,61.41,528369
"109","ATI.N",20110608,NA,"End Of Day (from Real-Time)",61.36,61.54,59.35,59.53,550010
"110","ATI.N",20110609,NA,"End Of Day (from Real-Time)",59.79,62.85,59.35,61.81,621086
"111","ATI.N",20110610,NA,"End Of Day (from Real-Time)",61.17,62.36,61.15,61.75,339219
"112","ATI.N",20110613,NA,"End Of Day (from Real-Time)",61.75,61.99,59.08,60.17,522237
"113","ATI.N",20110614,NA,"End Of Day (from Real-Time)",61.11,62.26,61.03,61.85,525131
"114","ATI.N",20110615,NA,"End Of Day (from Real-Time)",61,62.2,60.42,60.45,819033
"115","ATI.N",20110616,NA,"End Of Day (from Real-Time)",60.9,61.26,57.66,58.43,755489
"116","ATI.N",20110617,NA,"End Of Day (from Real-Time)",59.33,59.6,58.35,58.62,770107
"117","ATI.N",20110620,NA,"End Of Day (from Real-Time)",58.5,60.2,58.41,60,502605
"118","ATI.N",20110621,NA,"End Of Day (from Real-Time)",60.91,62.54,60.91,61.47,491394
"119","ATI.N",20110622,NA,"End Of Day (from Real-Time)",61.16,62.11,59.74,59.91,636331
"120","ATI.N",20110623,NA,"End Of Day (from Real-Time)",58.79,60.89,58,60.76,652966
"121","ATI.N",20110624,NA,"End Of Day (from Real-Time)",60.81,61.65,59.92,60.01,482424
"122","ATI.N",20110627,NA,"End Of Day (from Real-Time)",59.84,60.13,58.67,59.11,430218
"123","ATI.N",20110628,NA,"End Of Day (from Real-Time)",59.34,61.8,59.26,61.63,545034
"124","ATI.N",20110629,NA,"End Of Day (from Real-Time)",62.17,65.52,62,64.29,902834
"125","ATI.N",20110630,NA,"End Of Day (from Real-Time)",64.35,64.66,63.31,63.47,558248
"126","ATI.N",20110701,NA,"End Of Day (from Real-Time)",63.31,63.61,61.9,62.93,1190975
"127","ATI.N",20110705,NA,"End Of Day (from Real-Time)",62.47,63.42,61.95,62.72,1061292
"128","ATI.N",20110706,NA,"End Of Day (from Real-Time)",62.59,62.69,60.24,60.41,1113349
"129","ATI.N",20110707,NA,"End Of Day (from Real-Time)",61.29,62.46,60.79,62.23,1032149
"130","ATI.N",20110708,NA,"End Of Day (from Real-Time)",60.35,61.65,60.34,61.61,983118
"131","ATI.N",20110711,NA,"End Of Day (from Real-Time)",60.35,61.44,60.12,60.77,521018
"132","ATI.N",20110712,NA,"End Of Day (from Real-Time)",60.12,61.28,59.94,60.06,449516
"133","ATI.N",20110713,NA,"End Of Day (from Real-Time)",60.52,62.73,60.47,62.36,417491
"134","ATI.N",20110714,NA,"End Of Day (from Real-Time)",62.31,63.15,60.15,60.3,683770
"135","ATI.N",20110715,NA,"End Of Day (from Real-Time)",61.2,66.32,61.1,66.3,1464557
"136","ATI.N",20110718,NA,"End Of Day (from Real-Time)",65.7,65.76,64.01,64.47,1267221
"137","ATI.N",20110719,NA,"End Of Day (from Real-Time)",64.95,65.16,63.65,64.82,968526
"138","ATI.N",20110720,NA,"End Of Day (from Real-Time)",64.67,64.86,63.6,64.25,927544
"139","ATI.N",20110721,NA,"End Of Day (from Real-Time)",64.75,66.38,63.67,66.22,1183046
"140","ATI.N",20110722,NA,"End Of Day (from Real-Time)",66.13,66.18,65.38,65.6,1097224
"141","ATI.N",20110725,NA,"End Of Day (from Real-Time)",64.8,66.3,64.76,65.39,375015
"142","ATI.N",20110726,NA,"End Of Day (from Real-Time)",64.36,64.68,63.15,63.92,573748
"143","ATI.N",20110727,NA,"End Of Day (from Real-Time)",62.53,62.57,60.4,60.73,912769
"144","ATI.N",20110728,NA,"End Of Day (from Real-Time)",60.62,61.16,58.89,59.01,708021
"145","ATI.N",20110729,NA,"End Of Day (from Real-Time)",58.16,58.64,57.31,58.19,784734
"146","ATI.N",20110801,NA,"End Of Day (from Real-Time)",59.72,59.94,55.92,56.01,1007883
"147","ATI.N",20110802,NA,"End Of Day (from Real-Time)",55.35,55.98,53.19,53.2,935214
"148","ATI.N",20110803,NA,"End Of Day (from Real-Time)",53.26,54.21,51.71,53.45,870358
"149","ATI.N",20110804,NA,"End Of Day (from Real-Time)",52.36,52.36,49.22,49.31,1207605
"150","ATI.N",20110805,NA,"End Of Day (from Real-Time)",50.44,50.53,47.27,48.5,935029
"151","ATI.N",20110808,NA,"End Of Day (from Real-Time)",47,47.28,42.56,42.56,1476042
"152","ATI.N",20110809,NA,"End Of Day (from Real-Time)",44,46.45,42.79,46.42,1135880
"153","ATI.N",20110810,NA,"End Of Day (from Real-Time)",45.93,46.46,43.8,43.94,1230158
"154","ATI.N",20110811,NA,"End Of Day (from Real-Time)",44.27,48.26,44.09,47.52,1145052
"155","ATI.N",20110812,NA,"End Of Day (from Real-Time)",48.32,49.24,47.65,48.42,907872
"156","ATI.N",20110815,NA,"End Of Day (from Real-Time)",48.88,49.62,48.59,49.28,580667
"157","ATI.N",20110816,NA,"End Of Day (from Real-Time)",48.22,49.11,47.83,48.09,949515
"158","ATI.N",20110817,NA,"End Of Day (from Real-Time)",48.58,49.04,46.66,47.04,672739
"159","ATI.N",20110818,NA,"End Of Day (from Real-Time)",45.1,45.34,43.17,43.69,573226
"160","ATI.N",20110819,NA,"End Of Day (from Real-Time)",43.17,45.12,42.64,42.8,554653
"161","ATI.N",20110822,NA,"End Of Day (from Real-Time)",44.3,44.3,42.3,42.42,491044
"162","ATI.N",20110823,NA,"End Of Day (from Real-Time)",42.73,45.14,42.32,45.13,571271
"163","ATI.N",20110824,NA,"End Of Day (from Real-Time)",44.91,46.08,44.53,46.03,481228
"164","ATI.N",20110825,NA,"End Of Day (from Real-Time)",46.41,46.78,44.07,44.26,550821
"165","ATI.N",20110826,NA,"End Of Day (from Real-Time)",43.77,46.39,42.89,46.26,347503
"166","ATI.N",20110829,NA,"End Of Day (from Real-Time)",47,48.83,47,48.74,423595
"167","ATI.N",20110830,NA,"End Of Day (from Real-Time)",48.51,49.39,47.85,49.16,406884
"168","ATI.N",20110831,NA,"End Of Day (from Real-Time)",49.61,50.81,49.33,50.12,648215
"169","ATI.N",20110901,NA,"End Of Day (from Real-Time)",49.8,50.69,49.03,49.07,641726
"170","ATI.N",20110902,NA,"End Of Day (from Real-Time)",46.86,47.36,46.13,46.5,743068
"171","ATI.N",20110906,NA,"End Of Day (from Real-Time)",44.21,44.5,43.02,44.1,1265618
"172","ATI.N",20110907,NA,"End Of Day (from Real-Time)",45.36,47.53,44.95,47.5,702151
"173","ATI.N",20110908,NA,"End Of Day (from Real-Time)",46.76,47.37,45.78,46.06,597904
"174","ATI.N",20110909,NA,"End Of Day (from Real-Time)",44.85,45.67,44.28,44.75,746339
"175","ATI.N",20110912,NA,"End Of Day (from Real-Time)",43.54,44.6,42.8,43.99,816027
"176","ATI.N",20110913,NA,"End Of Day (from Real-Time)",44.15,45.94,43.72,45.12,796858
"177","ATI.N",20110914,NA,"End Of Day (from Real-Time)",45.42,46.95,44.5,46.27,731998
"178","ATI.N",20110915,NA,"End Of Day (from Real-Time)",47.28,48.26,46.71,47.98,404871
"179","ATI.N",20110916,NA,"End Of Day (from Real-Time)",48.1,48.15,46.86,47.42,688259
"180","ATI.N",20110919,NA,"End Of Day (from Real-Time)",45.76,47.06,45.06,46.71,460837
"181","ATI.N",20110920,NA,"End Of Day (from Real-Time)",47.23,47.26,45.16,45.18,433609
"182","ATI.N",20110921,NA,"End Of Day (from Real-Time)",45.01,45.18,42.3,42.4,713825
"183","ATI.N",20110922,NA,"End Of Day (from Real-Time)",39.54,40.17,35.98,36.87,2315723
"184","ATI.N",20110923,NA,"End Of Day (from Real-Time)",36.5,38.5,36,37.44,962740
