"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","AVP.N",20110103,NA,"End Of Day (from Real-Time)",29.27,29.94,29.14,29.93,994807
"2","AVP.N",20110104,NA,"End Of Day (from Real-Time)",30.02,30.28,29.84,30.03,888884
"3","AVP.N",20110105,NA,"End Of Day (from Real-Time)",29.77,29.84,29.37,29.65,1011496
"4","AVP.N",20110106,NA,"End Of Day (from Real-Time)",29.7,30.15,29.65,30.14,799181
"5","AVP.N",20110107,NA,"End Of Day (from Real-Time)",30.15,30.16,29.47,29.58,647350
"6","AVP.N",20110110,NA,"End Of Day (from Real-Time)",29.63,29.64,29.37,29.39,735046
"7","AVP.N",20110111,NA,"End Of Day (from Real-Time)",29.44,29.47,28.88,29.13,848483
"8","AVP.N",20110112,NA,"End Of Day (from Real-Time)",29.19,29.43,29.06,29.36,650363
"9","AVP.N",20110113,NA,"End Of Day (from Real-Time)",29.31,29.47,29.17,29.22,594320
"10","AVP.N",20110114,NA,"End Of Day (from Real-Time)",29.2,29.36,28.81,28.91,1065298
"11","AVP.N",20110118,NA,"End Of Day (from Real-Time)",28.85,29.08,28.66,28.91,696542
"12","AVP.N",20110119,NA,"End Of Day (from Real-Time)",28.87,28.94,28.49,28.5,1037702
"13","AVP.N",20110120,NA,"End Of Day (from Real-Time)",28.53,29.05,28.27,28.88,756421
"14","AVP.N",20110121,NA,"End Of Day (from Real-Time)",28.93,28.94,28.52,28.72,1015521
"15","AVP.N",20110124,NA,"End Of Day (from Real-Time)",28.69,29.18,28.67,29.18,820779
"16","AVP.N",20110125,NA,"End Of Day (from Real-Time)",29.17,29.79,29.15,29.58,1259582
"17","AVP.N",20110126,NA,"End Of Day (from Real-Time)",29.72,29.72,29.08,29.11,837509
"18","AVP.N",20110127,NA,"End Of Day (from Real-Time)",29.06,29.25,28.58,28.58,1012235
"19","AVP.N",20110128,NA,"End Of Day (from Real-Time)",28.67,28.87,28.06,28.06,1138259
"20","AVP.N",20110131,NA,"End Of Day (from Real-Time)",28.09,28.31,28.08,28.31,1180789
"21","AVP.N",20110201,NA,"End Of Day (from Real-Time)",28.37,28.81,28.25,28.63,1223852
"22","AVP.N",20110202,NA,"End Of Day (from Real-Time)",28.55,28.6,28.14,28.43,830253
"23","AVP.N",20110203,NA,"End Of Day (from Real-Time)",28.43,29.01,28.43,28.89,913767
"24","AVP.N",20110204,NA,"End Of Day (from Real-Time)",28.81,29.25,28.7,29.25,1130254
"25","AVP.N",20110207,NA,"End Of Day (from Real-Time)",29.2,29.73,29.13,29.35,1114832
"26","AVP.N",20110208,NA,"End Of Day (from Real-Time)",28,28.49,27.34,28.47,4332646
"27","AVP.N",20110209,NA,"End Of Day (from Real-Time)",28.2,29.47,28.01,29.4,2297606
"28","AVP.N",20110210,NA,"End Of Day (from Real-Time)",29.25,29.33,28.65,28.72,1302775
"29","AVP.N",20110211,NA,"End Of Day (from Real-Time)",28.57,29.59,28.57,29.45,1484876
"30","AVP.N",20110214,NA,"End Of Day (from Real-Time)",29.35,29.69,29.13,29.41,951131
"31","AVP.N",20110215,NA,"End Of Day (from Real-Time)",29.11,29.13,28.3,28.34,1375096
"32","AVP.N",20110216,NA,"End Of Day (from Real-Time)",28.43,28.55,28.16,28.29,1173958
"33","AVP.N",20110217,NA,"End Of Day (from Real-Time)",27.74,28.37,27.7,28.32,1404712
"34","AVP.N",20110218,NA,"End Of Day (from Real-Time)",28.31,29.1,27.83,29.02,1858050
"35","AVP.N",20110222,NA,"End Of Day (from Real-Time)",28.62,28.97,28.01,28.13,1143967
"36","AVP.N",20110223,NA,"End Of Day (from Real-Time)",28.16,28.39,27.85,27.94,1160419
"37","AVP.N",20110224,NA,"End Of Day (from Real-Time)",28.35,28.41,27.71,27.82,1258901
"38","AVP.N",20110225,NA,"End Of Day (from Real-Time)",28,28.09,27.57,27.94,794499
"39","AVP.N",20110228,NA,"End Of Day (from Real-Time)",27.95,27.98,27.63,27.81,1242156
"40","AVP.N",20110301,NA,"End Of Day (from Real-Time)",27.86,27.93,27.38,27.4,1131320
"41","AVP.N",20110302,NA,"End Of Day (from Real-Time)",27.41,27.58,27.25,27.51,721434
"42","AVP.N",20110303,NA,"End Of Day (from Real-Time)",27.68,27.86,27.56,27.72,817177
"43","AVP.N",20110304,NA,"End Of Day (from Real-Time)",27.67,27.79,27.05,27.35,1078099
"44","AVP.N",20110307,NA,"End Of Day (from Real-Time)",27.39,27.53,27.03,27.27,838834
"45","AVP.N",20110308,NA,"End Of Day (from Real-Time)",27.29,27.41,27.12,27.3,754624
"46","AVP.N",20110309,NA,"End Of Day (from Real-Time)",27.29,27.73,27.22,27.72,637792
"47","AVP.N",20110310,NA,"End Of Day (from Real-Time)",27.52,27.58,27.22,27.33,661659
"48","AVP.N",20110311,NA,"End Of Day (from Real-Time)",27.23,27.36,26.91,27.16,825986
"49","AVP.N",20110314,NA,"End Of Day (from Real-Time)",26.8,27.03,26.55,26.81,910218
"50","AVP.N",20110315,NA,"End Of Day (from Real-Time)",26.3,27.03,26.17,26.76,1152034
"51","AVP.N",20110316,NA,"End Of Day (from Real-Time)",26.62,26.63,26.15,26.16,895735
"52","AVP.N",20110317,NA,"End Of Day (from Real-Time)",26.45,26.62,26.13,26.25,647669
"53","AVP.N",20110318,NA,"End Of Day (from Real-Time)",26.55,26.73,26.43,26.59,1260546
"54","AVP.N",20110321,NA,"End Of Day (from Real-Time)",26.8,27.3,26.69,27.22,1024150
"55","AVP.N",20110322,NA,"End Of Day (from Real-Time)",27.22,27.29,26.92,26.96,616313
"56","AVP.N",20110323,NA,"End Of Day (from Real-Time)",26.88,27.21,26.61,27.14,752862
