"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BDX.N",20110103,NA,"End Of Day (from Real-Time)",85.2,85.69,84.63,84.73,408512
"2","BDX.N",20110104,NA,"End Of Day (from Real-Time)",84.75,84.85,83.08,83.35,445957
"3","BDX.N",20110105,NA,"End Of Day (from Real-Time)",83.06,83.61,82.73,83.37,284424
"4","BDX.N",20110106,NA,"End Of Day (from Real-Time)",83.35,83.58,82.99,83.25,228446
"5","BDX.N",20110107,NA,"End Of Day (from Real-Time)",83.34,83.81,82.69,83.23,213041
"6","BDX.N",20110110,NA,"End Of Day (from Real-Time)",82.79,83.21,82.61,83.06,262675
"7","BDX.N",20110111,NA,"End Of Day (from Real-Time)",83.26,84.22,83.26,83.98,236836
"8","BDX.N",20110112,NA,"End Of Day (from Real-Time)",84.31,84.33,83.49,83.64,380987
"9","BDX.N",20110113,NA,"End Of Day (from Real-Time)",83.7,83.87,82.91,83.13,345197
"10","BDX.N",20110114,NA,"End Of Day (from Real-Time)",83.04,83.13,82.37,82.7,325960
"11","BDX.N",20110118,NA,"End Of Day (from Real-Time)",82.49,84.18,82.49,83.97,322509
"12","BDX.N",20110119,NA,"End Of Day (from Real-Time)",84.05,84.26,82.69,83,338876
"13","BDX.N",20110120,NA,"End Of Day (from Real-Time)",82.84,83.37,82.71,83.09,199322
"14","BDX.N",20110121,NA,"End Of Day (from Real-Time)",83.51,84.38,83.09,83.2,420992
"15","BDX.N",20110124,NA,"End Of Day (from Real-Time)",83.2,83.87,83.15,83.66,236712
"16","BDX.N",20110125,NA,"End Of Day (from Real-Time)",83.66,84.76,83.65,84.61,455484
"17","BDX.N",20110126,NA,"End Of Day (from Real-Time)",84.94,85,84.13,84.13,428898
"18","BDX.N",20110127,NA,"End Of Day (from Real-Time)",83.87,84.29,83.42,83.55,247485
"19","BDX.N",20110128,NA,"End Of Day (from Real-Time)",83.63,83.93,82.42,82.56,261299
"20","BDX.N",20110131,NA,"End Of Day (from Real-Time)",82.65,82.97,81.57,82.95,398247
"21","BDX.N",20110201,NA,"End Of Day (from Real-Time)",83.44,83.95,83.12,83.82,211660
"22","BDX.N",20110202,NA,"End Of Day (from Real-Time)",83.69,84.07,83.34,83.72,273617
"23","BDX.N",20110203,NA,"End Of Day (from Real-Time)",83.57,84.4,83.55,84.16,197985
"24","BDX.N",20110204,NA,"End Of Day (from Real-Time)",84.38,84.52,83.82,84.5,216886
"25","BDX.N",20110207,NA,"End Of Day (from Real-Time)",84.64,85.9,84.58,85.64,299423
"26","BDX.N",20110208,NA,"End Of Day (from Real-Time)",83.4,83.98,80.16,81.03,959044
"27","BDX.N",20110209,NA,"End Of Day (from Real-Time)",81.02,81.64,80.97,81.38,477997
"28","BDX.N",20110210,NA,"End Of Day (from Real-Time)",81.46,81.71,81.05,81.2,394068
"29","BDX.N",20110211,NA,"End Of Day (from Real-Time)",80.89,81.53,80.5,81.29,375789
"30","BDX.N",20110214,NA,"End Of Day (from Real-Time)",81.21,81.62,80.76,81.59,327782
"31","BDX.N",20110215,NA,"End Of Day (from Real-Time)",80.66,81.05,80.29,80.44,481494
"32","BDX.N",20110216,NA,"End Of Day (from Real-Time)",80.44,80.9,79.97,80,766542
"33","BDX.N",20110217,NA,"End Of Day (from Real-Time)",79.64,80.38,78.62,80.26,697764
"34","BDX.N",20110218,NA,"End Of Day (from Real-Time)",80.36,81.74,80.12,81.28,595615
"35","BDX.N",20110222,NA,"End Of Day (from Real-Time)",80.15,81.13,79.59,79.68,449943
"36","BDX.N",20110223,NA,"End Of Day (from Real-Time)",79.77,80.15,79.03,79.09,379619
"37","BDX.N",20110224,NA,"End Of Day (from Real-Time)",78.98,79.69,78.6,79.08,325250
"38","BDX.N",20110225,NA,"End Of Day (from Real-Time)",79.45,80.23,79.18,80.17,338876
"39","BDX.N",20110228,NA,"End Of Day (from Real-Time)",80.15,80.31,79.58,80,751273
"40","BDX.N",20110301,NA,"End Of Day (from Real-Time)",80.13,80.18,79.2,79.2,324883
"41","BDX.N",20110302,NA,"End Of Day (from Real-Time)",79.19,79.99,79,79.47,333121
"42","BDX.N",20110303,NA,"End Of Day (from Real-Time)",80,81.26,79.97,81.07,310224
"43","BDX.N",20110304,NA,"End Of Day (from Real-Time)",80.98,81.05,79.5,80.21,452588
"44","BDX.N",20110307,NA,"End Of Day (from Real-Time)",80.52,80.74,79.2,79.41,396630
"45","BDX.N",20110308,NA,"End Of Day (from Real-Time)",79.26,80.13,78.71,79.94,281974
"46","BDX.N",20110309,NA,"End Of Day (from Real-Time)",79.89,79.97,79.18,79.65,221761
"47","BDX.N",20110310,NA,"End Of Day (from Real-Time)",78.88,79.04,77.95,78.33,308610
"48","BDX.N",20110311,NA,"End Of Day (from Real-Time)",78,79.07,78,78.87,296764
"49","BDX.N",20110314,NA,"End Of Day (from Real-Time)",78.43,78.55,77.22,77.67,369843
"50","BDX.N",20110315,NA,"End Of Day (from Real-Time)",75.96,77.39,75.72,76.96,405835
"51","BDX.N",20110316,NA,"End Of Day (from Real-Time)",76.7,77.21,75.46,76.53,509692
"52","BDX.N",20110317,NA,"End Of Day (from Real-Time)",77.31,77.87,76.39,76.51,367997
"53","BDX.N",20110318,NA,"End Of Day (from Real-Time)",76.91,77.45,76.5,76.9,1156699
"54","BDX.N",20110321,NA,"End Of Day (from Real-Time)",78.3,78.36,77.76,77.91,254126
"55","BDX.N",20110322,NA,"End Of Day (from Real-Time)",77.95,78.31,77.89,78.05,165220
"56","BDX.N",20110323,NA,"End Of Day (from Real-Time)",77.79,77.86,77.04,77.62,271465
"57","BDX.N",20110324,NA,"End Of Day (from Real-Time)",77.84,78.06,77.24,77.98,184587
"58","BDX.N",20110325,NA,"End Of Day (from Real-Time)",78.15,78.92,78.06,78.65,269236
"59","BDX.N",20110328,NA,"End Of Day (from Real-Time)",78.67,79,78.25,78.62,250987
"60","BDX.N",20110329,NA,"End Of Day (from Real-Time)",78.58,79.5,78.58,79.49,236464
"61","BDX.N",20110330,NA,"End Of Day (from Real-Time)",79.79,80.19,79.38,79.49,230329
"62","BDX.N",20110331,NA,"End Of Day (from Real-Time)",79.31,80.34,79.26,79.62,538455
"63","BDX.N",20110401,NA,"End Of Day (from Real-Time)",79.95,80.79,79.3,80.57,687838
"64","BDX.N",20110404,NA,"End Of Day (from Real-Time)",80.75,81.08,80.62,81.02,224901
"65","BDX.N",20110405,NA,"End Of Day (from Real-Time)",80.83,81.03,80.2,80.39,244789
"66","BDX.N",20110406,NA,"End Of Day (from Real-Time)",80.6,81.12,80.44,80.99,427390
"67","BDX.N",20110407,NA,"End Of Day (from Real-Time)",80.85,81.23,80.56,80.96,256306
"68","BDX.N",20110408,NA,"End Of Day (from Real-Time)",80.99,81.18,80.51,80.76,201627
"69","BDX.N",20110411,NA,"End Of Day (from Real-Time)",80.97,81.95,80.89,81.5,302982
"70","BDX.N",20110412,NA,"End Of Day (from Real-Time)",81.22,81.73,81.15,81.37,299758
"71","BDX.N",20110413,NA,"End Of Day (from Real-Time)",81.54,82.02,81.49,81.87,436926
"72","BDX.N",20110414,NA,"End Of Day (from Real-Time)",81.41,82,81.24,81.81,355228
"73","BDX.N",20110415,NA,"End Of Day (from Real-Time)",82.32,83.59,82.29,83.45,487491
"74","BDX.N",20110418,NA,"End Of Day (from Real-Time)",82.56,83.88,82.31,83.07,403698
"75","BDX.N",20110419,NA,"End Of Day (from Real-Time)",83.13,83.71,82.94,83.35,258702
"76","BDX.N",20110420,NA,"End Of Day (from Real-Time)",84,84.38,83.71,83.98,286482
"77","BDX.N",20110421,NA,"End Of Day (from Real-Time)",84.27,84.34,83.85,84,252323
"78","BDX.N",20110425,NA,"End Of Day (from Real-Time)",83.84,84.12,83.39,83.92,281740
"79","BDX.N",20110426,NA,"End Of Day (from Real-Time)",84,84.93,83.96,84.89,551838
"80","BDX.N",20110427,NA,"End Of Day (from Real-Time)",84.81,85.62,82.77,85.5,505238
"81","BDX.N",20110428,NA,"End Of Day (from Real-Time)",84.92,85.93,84.81,85.56,456891
"82","BDX.N",20110429,NA,"End Of Day (from Real-Time)",85.38,86.34,85.04,85.94,347508
"83","BDX.N",20110502,NA,"End Of Day (from Real-Time)",86.21,87.24,85.64,86.85,403014
"84","BDX.N",20110503,NA,"End Of Day (from Real-Time)",86.92,87.07,86.53,86.83,315236
"85","BDX.N",20110504,NA,"End Of Day (from Real-Time)",86.3,86.83,86.06,86.42,385345
"86","BDX.N",20110505,NA,"End Of Day (from Real-Time)",86.29,86.58,85.48,85.94,381703
"87","BDX.N",20110506,NA,"End Of Day (from Real-Time)",86.6,86.98,86.18,86.42,323707
"88","BDX.N",20110509,NA,"End Of Day (from Real-Time)",86.38,87.08,86,86.95,273771
"89","BDX.N",20110510,NA,"End Of Day (from Real-Time)",87,87.76,86.83,87.75,230545
"90","BDX.N",20110511,NA,"End Of Day (from Real-Time)",88.43,89.17,87.75,88.07,497938
"91","BDX.N",20110512,NA,"End Of Day (from Real-Time)",87.92,88.71,87.24,88.71,372145
"92","BDX.N",20110513,NA,"End Of Day (from Real-Time)",88.8,88.82,87.65,88.11,326142
"93","BDX.N",20110516,NA,"End Of Day (from Real-Time)",87.93,88.42,87.73,87.92,267611
"94","BDX.N",20110517,NA,"End Of Day (from Real-Time)",87.65,88.07,86.99,88,371718
"95","BDX.N",20110518,NA,"End Of Day (from Real-Time)",88.21,89.48,88.04,89.47,416297
"96","BDX.N",20110519,NA,"End Of Day (from Real-Time)",89.53,89.72,89,89.58,336743
"97","BDX.N",20110520,NA,"End Of Day (from Real-Time)",89.4,89.4,88.4,88.9,360642
"98","BDX.N",20110523,NA,"End Of Day (from Real-Time)",88.07,88.1,87.1,87.47,393626
"99","BDX.N",20110524,NA,"End Of Day (from Real-Time)",87.4,87.73,86.68,86.74,340416
"100","BDX.N",20110525,NA,"End Of Day (from Real-Time)",86.53,86.98,86.49,86.75,420270
"101","BDX.N",20110526,NA,"End Of Day (from Real-Time)",86.62,86.77,86.32,86.63,438009
"102","BDX.N",20110527,NA,"End Of Day (from Real-Time)",86.95,87.1,86.54,87.04,297533
"103","BDX.N",20110531,NA,"End Of Day (from Real-Time)",87.53,87.65,87.09,87.55,563120
"104","BDX.N",20110601,NA,"End Of Day (from Real-Time)",87.3,87.67,87.04,87.14,509053
"105","BDX.N",20110602,NA,"End Of Day (from Real-Time)",87.01,87.04,85.93,86.34,330328
"106","BDX.N",20110603,NA,"End Of Day (from Real-Time)",85.63,86.13,85.03,85.76,340474
"107","BDX.N",20110606,NA,"End Of Day (from Real-Time)",85.52,85.64,85.03,85.21,316364
"108","BDX.N",20110607,NA,"End Of Day (from Real-Time)",85.11,85.64,84.7,84.97,416260
"109","BDX.N",20110608,NA,"End Of Day (from Real-Time)",85.05,85.72,84.54,85.51,353641
"110","BDX.N",20110609,NA,"End Of Day (from Real-Time)",85.47,86.65,85.27,86.3,299997
"111","BDX.N",20110610,NA,"End Of Day (from Real-Time)",85.89,86.17,84.88,84.92,301868
"112","BDX.N",20110613,NA,"End Of Day (from Real-Time)",84.95,85.51,84.87,85.06,231411
"113","BDX.N",20110614,NA,"End Of Day (from Real-Time)",85.75,86.55,85.72,86.25,263645
"114","BDX.N",20110615,NA,"End Of Day (from Real-Time)",85.91,86.38,84.78,84.91,425903
"115","BDX.N",20110616,NA,"End Of Day (from Real-Time)",85.09,85.29,84.53,84.88,333912
"116","BDX.N",20110617,NA,"End Of Day (from Real-Time)",85.79,86.07,85.04,85.13,730768
"117","BDX.N",20110620,NA,"End Of Day (from Real-Time)",84.99,86.13,84.94,85.96,267234
"118","BDX.N",20110621,NA,"End Of Day (from Real-Time)",86.45,86.74,85.87,86.53,289387
"119","BDX.N",20110622,NA,"End Of Day (from Real-Time)",86.14,86.9,86.14,86.39,309392
"120","BDX.N",20110623,NA,"End Of Day (from Real-Time)",85.35,85.71,84.2,85.68,377043
"121","BDX.N",20110624,NA,"End Of Day (from Real-Time)",85.61,85.69,84.75,84.84,377917
"122","BDX.N",20110627,NA,"End Of Day (from Real-Time)",85.04,85.59,84.54,85.25,286871
"123","BDX.N",20110628,NA,"End Of Day (from Real-Time)",85.59,86.48,85.23,86.11,211615
"124","BDX.N",20110629,NA,"End Of Day (from Real-Time)",86.39,86.5,85.59,85.84,253783
"125","BDX.N",20110630,NA,"End Of Day (from Real-Time)",86.18,86.66,85.86,86.17,403932
"126","BDX.N",20110701,NA,"End Of Day (from Real-Time)",86.33,89.5,85.98,89.3,705898
"127","BDX.N",20110705,NA,"End Of Day (from Real-Time)",89.2,89.5,88.87,89.17,445049
"128","BDX.N",20110706,NA,"End Of Day (from Real-Time)",88.83,89.5,88.76,89.28,294040
"129","BDX.N",20110707,NA,"End Of Day (from Real-Time)",89.73,89.75,89.14,89.74,259611
"130","BDX.N",20110708,NA,"End Of Day (from Real-Time)",89.03,89.37,88.51,89.3,214026
"131","BDX.N",20110711,NA,"End Of Day (from Real-Time)",88.55,88.91,87.2,87.37,338058
"132","BDX.N",20110712,NA,"End Of Day (from Real-Time)",87.17,88.56,87.15,87.57,273247
"133","BDX.N",20110713,NA,"End Of Day (from Real-Time)",88.02,88.62,87.65,87.77,202267
"134","BDX.N",20110714,NA,"End Of Day (from Real-Time)",88.13,88.13,86.81,87.54,322851
"135","BDX.N",20110715,NA,"End Of Day (from Real-Time)",87.61,88.05,86.63,87.09,450567
