"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BHI.N",20110103,NA,"End Of Day (from Real-Time)",57.6,58.35,57.25,57.29,871193
"2","BHI.N",20110104,NA,"End Of Day (from Real-Time)",57.68,57.87,55.2,55.91,1139199
"3","BHI.N",20110105,NA,"End Of Day (from Real-Time)",55.58,56.51,55.01,55.99,1037777
"4","BHI.N",20110106,NA,"End Of Day (from Real-Time)",56.06,56.13,54.34,54.83,1170971
"5","BHI.N",20110107,NA,"End Of Day (from Real-Time)",56.07,57.87,56.01,56.6,1649445
"6","BHI.N",20110110,NA,"End Of Day (from Real-Time)",56.49,56.6,55.39,56.02,818742
"7","BHI.N",20110111,NA,"End Of Day (from Real-Time)",56.48,58.34,56.41,57.76,914792
"8","BHI.N",20110112,NA,"End Of Day (from Real-Time)",58.22,59.81,57.83,58.76,1130445
"9","BHI.N",20110113,NA,"End Of Day (from Real-Time)",58.43,58.88,57.67,58.46,727878
"10","BHI.N",20110114,NA,"End Of Day (from Real-Time)",58.29,59.67,58.2,59.58,1213550
"11","BHI.N",20110118,NA,"End Of Day (from Real-Time)",59.6,59.75,58.77,59.3,865575
"12","BHI.N",20110119,NA,"End Of Day (from Real-Time)",59.31,59.42,58.15,58.74,985041
"13","BHI.N",20110120,NA,"End Of Day (from Real-Time)",58.17,59.01,57.28,58.51,1936487
"14","BHI.N",20110121,NA,"End Of Day (from Real-Time)",59.46,60.18,58.5,58.97,2252719
"15","BHI.N",20110124,NA,"End Of Day (from Real-Time)",58.86,59.19,57.78,58.5,1128366
"16","BHI.N",20110125,NA,"End Of Day (from Real-Time)",60.75,62.5,60.19,62.32,2789007
"17","BHI.N",20110126,NA,"End Of Day (from Real-Time)",63.9,66.66,62.93,65.99,2749292
"18","BHI.N",20110127,NA,"End Of Day (from Real-Time)",65.77,67.5,65.77,66.67,1866163
"19","BHI.N",20110128,NA,"End Of Day (from Real-Time)",66.55,69.07,66.18,67.29,2004709
"20","BHI.N",20110131,NA,"End Of Day (from Real-Time)",67.17,69.69,67.17,68.51,1726669
"21","BHI.N",20110201,NA,"End Of Day (from Real-Time)",68.89,69.17,67.8,68.55,2249369
"22","BHI.N",20110202,NA,"End Of Day (from Real-Time)",68.4,69.23,67.94,68.42,1136326
"23","BHI.N",20110203,NA,"End Of Day (from Real-Time)",68.56,68.69,67.07,68.53,1157079
"24","BHI.N",20110204,NA,"End Of Day (from Real-Time)",68.54,68.64,66.82,67.81,998965
"25","BHI.N",20110207,NA,"End Of Day (from Real-Time)",68.11,69.99,68,68.47,968350
"26","BHI.N",20110208,NA,"End Of Day (from Real-Time)",67.9,68.15,66.14,67.74,912478
"27","BHI.N",20110209,NA,"End Of Day (from Real-Time)",67.11,68.05,65.82,66.67,1044222
"28","BHI.N",20110210,NA,"End Of Day (from Real-Time)",66.48,67.26,65.96,67.17,1172113
"29","BHI.N",20110211,NA,"End Of Day (from Real-Time)",67.04,67.58,66.6,67.13,1026170
"30","BHI.N",20110214,NA,"End Of Day (from Real-Time)",67.21,68.55,67.18,67.8,1167530
"31","BHI.N",20110215,NA,"End Of Day (from Real-Time)",67.7,68.02,66.92,67,1183373
"32","BHI.N",20110216,NA,"End Of Day (from Real-Time)",67.53,70.48,67.37,69.65,1524082
"33","BHI.N",20110217,NA,"End Of Day (from Real-Time)",69.55,71.29,68.71,71.19,1191077
"34","BHI.N",20110218,NA,"End Of Day (from Real-Time)",71.31,71.58,70.42,70.83,1330377
"35","BHI.N",20110222,NA,"End Of Day (from Real-Time)",71.09,71.81,68.05,68.88,1734489
"36","BHI.N",20110223,NA,"End Of Day (from Real-Time)",68.95,71.04,68.92,70.53,1072642
"37","BHI.N",20110224,NA,"End Of Day (from Real-Time)",69.83,70.4,68.38,68.94,978130
"38","BHI.N",20110225,NA,"End Of Day (from Real-Time)",69.34,71.52,69.02,71.5,787774
"39","BHI.N",20110228,NA,"End Of Day (from Real-Time)",71.83,71.9,69.56,71.05,1227415
"40","BHI.N",20110301,NA,"End Of Day (from Real-Time)",71.69,71.7,69.01,69.21,869098
"41","BHI.N",20110302,NA,"End Of Day (from Real-Time)",68.95,69.55,67.97,68.81,1255191
"42","BHI.N",20110303,NA,"End Of Day (from Real-Time)",69.52,70.29,68.49,70.21,1458113
"43","BHI.N",20110304,NA,"End Of Day (from Real-Time)",70.1,70.56,68.93,69.73,1340180
"44","BHI.N",20110307,NA,"End Of Day (from Real-Time)",69.83,71.03,68.42,69.46,978870
"45","BHI.N",20110308,NA,"End Of Day (from Real-Time)",69.7,69.81,68.25,68.96,640490
"46","BHI.N",20110309,NA,"End Of Day (from Real-Time)",69.19,69.6,67.85,68.33,678985
"47","BHI.N",20110310,NA,"End Of Day (from Real-Time)",67.01,67.87,65.5,66.75,1473982
"48","BHI.N",20110311,NA,"End Of Day (from Real-Time)",66.12,69.7,65.12,68.99,1487401
"49","BHI.N",20110314,NA,"End Of Day (from Real-Time)",67.87,69.86,67.67,69.65,1197463
"50","BHI.N",20110315,NA,"End Of Day (from Real-Time)",67.71,71.1,67.5,70.42,1413028
"51","BHI.N",20110316,NA,"End Of Day (from Real-Time)",70.29,70.71,66.72,67.43,2095013
"52","BHI.N",20110317,NA,"End Of Day (from Real-Time)",68.76,69.83,68.42,69.52,987177
"53","BHI.N",20110318,NA,"End Of Day (from Real-Time)",70.1,70.1,68.1,68.5,1855642
"54","BHI.N",20110321,NA,"End Of Day (from Real-Time)",69.76,70.61,69.1,70.61,1060861
"55","BHI.N",20110322,NA,"End Of Day (from Real-Time)",70.69,71.49,69.91,70.61,751967
"56","BHI.N",20110323,NA,"End Of Day (from Real-Time)",70.72,71.44,69.95,71.23,537835
"57","BHI.N",20110324,NA,"End Of Day (from Real-Time)",72.25,72.28,70.5,71.32,991222
"58","BHI.N",20110325,NA,"End Of Day (from Real-Time)",71.36,71.63,70.24,71.08,1131860
"59","BHI.N",20110328,NA,"End Of Day (from Real-Time)",70.93,74.87,70.44,73.76,1456487
"60","BHI.N",20110329,NA,"End Of Day (from Real-Time)",73.97,74.79,73.11,74.16,1453770
"61","BHI.N",20110330,NA,"End Of Day (from Real-Time)",74.87,74.87,72.72,73.9,1459007
"62","BHI.N",20110331,NA,"End Of Day (from Real-Time)",74.21,74.89,72.9,73.43,1013381
"63","BHI.N",20110401,NA,"End Of Day (from Real-Time)",74.04,75.1,72.34,72.41,1559619
"64","BHI.N",20110404,NA,"End Of Day (from Real-Time)",72.9,73.68,72.35,72.62,841402
"65","BHI.N",20110405,NA,"End Of Day (from Real-Time)",72.2,73.53,72.15,73,712743
"66","BHI.N",20110406,NA,"End Of Day (from Real-Time)",73.37,73.91,70.96,71.22,791314
"67","BHI.N",20110407,NA,"End Of Day (from Real-Time)",71.11,71.8,70.77,71.22,1082031
"68","BHI.N",20110408,NA,"End Of Day (from Real-Time)",72.85,73.2,71,71.57,1089181
"69","BHI.N",20110411,NA,"End Of Day (from Real-Time)",71.4,71.54,69.16,69.31,977739
"70","BHI.N",20110412,NA,"End Of Day (from Real-Time)",68.99,68.99,66.26,67.55,1411584
"71","BHI.N",20110413,NA,"End Of Day (from Real-Time)",68.01,68.66,67.35,68.31,1169686
"72","BHI.N",20110414,NA,"End Of Day (from Real-Time)",67.81,69.58,67.57,69.31,1061779
"73","BHI.N",20110415,NA,"End Of Day (from Real-Time)",69.71,71.06,68.54,70.48,1582059
"74","BHI.N",20110418,NA,"End Of Day (from Real-Time)",69.73,71.25,68.37,70.71,1210009
"75","BHI.N",20110419,NA,"End Of Day (from Real-Time)",70.79,73.02,70.67,73.02,1074377
"76","BHI.N",20110420,NA,"End Of Day (from Real-Time)",74.01,74.19,72.75,74,1103372
"77","BHI.N",20110421,NA,"End Of Day (from Real-Time)",73.98,74.98,73.9,74.48,916424
"78","BHI.N",20110425,NA,"End Of Day (from Real-Time)",74.75,74.8,73.13,73.74,503694
"79","BHI.N",20110426,NA,"End Of Day (from Real-Time)",73.94,74.07,73.01,74.06,1085642
"80","BHI.N",20110427,NA,"End Of Day (from Real-Time)",77.97,79.16,75.16,77.28,2373779
"81","BHI.N",20110428,NA,"End Of Day (from Real-Time)",77.2,78.08,76.01,78,1421125
"82","BHI.N",20110429,NA,"End Of Day (from Real-Time)",78.4,78.79,77,77.41,1028460
"83","BHI.N",20110502,NA,"End Of Day (from Real-Time)",77.87,77.87,73.66,74.3,1567419
"84","BHI.N",20110503,NA,"End Of Day (from Real-Time)",74,74.46,71.93,72.97,1498986
"85","BHI.N",20110504,NA,"End Of Day (from Real-Time)",73.17,73.19,71.15,72.22,1328404
"86","BHI.N",20110505,NA,"End Of Day (from Real-Time)",71.05,71.55,68.57,69.74,2018237
"87","BHI.N",20110506,NA,"End Of Day (from Real-Time)",71.15,71.85,68.73,69.27,1731148
"88","BHI.N",20110509,NA,"End Of Day (from Real-Time)",71,72.83,70.65,71.65,1520925
"89","BHI.N",20110510,NA,"End Of Day (from Real-Time)",71.75,73.11,70.65,72.25,1211359
"90","BHI.N",20110511,NA,"End Of Day (from Real-Time)",71.37,71.41,69.17,69.57,1341993
"91","BHI.N",20110512,NA,"End Of Day (from Real-Time)",69.51,70.7,68.19,70.4,1621205
