"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BK.N",20110103,NA,"End Of Day (from Real-Time)",30.44,31.02,30.38,30.81,2590837
"2","BK.N",20110104,NA,"End Of Day (from Real-Time)",30.85,30.93,30.42,30.63,1460964
"3","BK.N",20110105,NA,"End Of Day (from Real-Time)",30.63,31.87,30.63,31.69,2892182
"4","BK.N",20110106,NA,"End Of Day (from Real-Time)",31.63,31.75,31.22,31.44,1869799
"5","BK.N",20110107,NA,"End Of Day (from Real-Time)",31.53,31.64,30.56,30.76,2292002
"6","BK.N",20110110,NA,"End Of Day (from Real-Time)",30.57,31.2,30.46,30.7,2736185
"7","BK.N",20110111,NA,"End Of Day (from Real-Time)",30.84,31.12,30.63,30.69,1987164
"8","BK.N",20110112,NA,"End Of Day (from Real-Time)",30.96,31.68,30.96,31.66,1927814
"9","BK.N",20110113,NA,"End Of Day (from Real-Time)",31.66,32.06,31.45,31.64,1606906
"10","BK.N",20110114,NA,"End Of Day (from Real-Time)",31.51,32.43,31.51,32.37,2213002
"11","BK.N",20110118,NA,"End Of Day (from Real-Time)",32.45,32.49,31.95,32.02,2137887
"12","BK.N",20110119,NA,"End Of Day (from Real-Time)",31.79,32.44,31.46,31.48,2683324
"13","BK.N",20110120,NA,"End Of Day (from Real-Time)",31.6,31.86,31.35,31.63,2261953
"14","BK.N",20110121,NA,"End Of Day (from Real-Time)",31.94,32.21,31.75,31.95,2537862
"15","BK.N",20110124,NA,"End Of Day (from Real-Time)",32.11,32.15,31.5,31.64,1658674
"16","BK.N",20110125,NA,"End Of Day (from Real-Time)",31.61,31.78,31.23,31.67,1614799
"17","BK.N",20110126,NA,"End Of Day (from Real-Time)",31.81,32,31.59,31.71,1494238
"18","BK.N",20110127,NA,"End Of Day (from Real-Time)",31.58,31.96,31.35,31.62,1489532
"19","BK.N",20110128,NA,"End Of Day (from Real-Time)",31.62,31.92,30.86,30.88,2132988
"20","BK.N",20110131,NA,"End Of Day (from Real-Time)",30.91,31.26,30.86,31.23,1470260
"21","BK.N",20110201,NA,"End Of Day (from Real-Time)",31.4,32.1,31.37,32.09,1719135
"22","BK.N",20110202,NA,"End Of Day (from Real-Time)",31.93,32.08,31.82,31.84,1274585
"23","BK.N",20110203,NA,"End Of Day (from Real-Time)",31.74,31.88,30.96,31.46,2028877
"24","BK.N",20110204,NA,"End Of Day (from Real-Time)",31.39,31.46,30.98,31,2299919
"25","BK.N",20110207,NA,"End Of Day (from Real-Time)",31.21,31.87,31.21,31.84,1580772
"26","BK.N",20110208,NA,"End Of Day (from Real-Time)",31.84,32.32,31.68,32.2,1481454
"27","BK.N",20110209,NA,"End Of Day (from Real-Time)",32.03,32.19,31.5,31.69,1494112
"28","BK.N",20110210,NA,"End Of Day (from Real-Time)",31.59,31.78,31.29,31.71,1714300
"29","BK.N",20110211,NA,"End Of Day (from Real-Time)",31.51,32.31,31.38,32.15,1622083
"30","BK.N",20110214,NA,"End Of Day (from Real-Time)",32.11,32.11,31.73,32.03,1006348
"31","BK.N",20110215,NA,"End Of Day (from Real-Time)",31.75,31.85,30.97,31.05,1974347
"32","BK.N",20110216,NA,"End Of Day (from Real-Time)",31.2,31.46,31.16,31.24,1850258
"33","BK.N",20110217,NA,"End Of Day (from Real-Time)",31.11,31.42,30.89,31.2,1334368
"34","BK.N",20110218,NA,"End Of Day (from Real-Time)",31.33,31.94,31.19,31.69,3048912
