"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BLL.N",20110103,NA,"End Of Day (from Real-Time)",69.13,69.63,68.84,68.89,238648
"2","BLL.N",20110104,NA,"End Of Day (from Real-Time)",69.11,69.69,68.73,69.65,251314
"3","BLL.N",20110105,NA,"End Of Day (from Real-Time)",69.32,70.68,69.05,70.17,184444
"4","BLL.N",20110106,NA,"End Of Day (from Real-Time)",70.27,70.68,69.68,70.65,253989
"5","BLL.N",20110107,NA,"End Of Day (from Real-Time)",70.86,71,69.94,70.08,181770
"6","BLL.N",20110110,NA,"End Of Day (from Real-Time)",69.18,69.6,68.59,68.78,196131
"7","BLL.N",20110111,NA,"End Of Day (from Real-Time)",68.99,69.36,68.5,69.32,165754
"8","BLL.N",20110112,NA,"End Of Day (from Real-Time)",69.49,70.07,69.49,70.04,111599
"9","BLL.N",20110113,NA,"End Of Day (from Real-Time)",69.98,70.74,69.81,70.73,203027
"10","BLL.N",20110114,NA,"End Of Day (from Real-Time)",70.6,70.82,69.73,69.81,184543
"11","BLL.N",20110118,NA,"End Of Day (from Real-Time)",69.93,71.1,69.8,70.94,205775
"12","BLL.N",20110119,NA,"End Of Day (from Real-Time)",69.13,70.13,69.13,69.64,283625
"13","BLL.N",20110120,NA,"End Of Day (from Real-Time)",69.53,69.87,68.95,69.2,217650
"14","BLL.N",20110121,NA,"End Of Day (from Real-Time)",69.79,69.88,69.46,69.54,274796
"15","BLL.N",20110124,NA,"End Of Day (from Real-Time)",69.56,70.3,69.49,70.23,179204
"16","BLL.N",20110125,NA,"End Of Day (from Real-Time)",70.01,70.08,69.48,70.05,169505
"17","BLL.N",20110126,NA,"End Of Day (from Real-Time)",71,71.91,69.18,71.67,502529
"18","BLL.N",20110127,NA,"End Of Day (from Real-Time)",71.99,73.28,71.29,72.36,349366
"19","BLL.N",20110128,NA,"End Of Day (from Real-Time)",73.47,73.63,70.72,70.92,297793
"20","BLL.N",20110131,NA,"End Of Day (from Real-Time)",71.24,72.03,71.04,71.13,417822
"21","BLL.N",20110201,NA,"End Of Day (from Real-Time)",71.45,72.58,71.45,72.5,260365
"22","BLL.N",20110202,NA,"End Of Day (from Real-Time)",71.95,73.64,71.95,73.21,246749
"23","BLL.N",20110203,NA,"End Of Day (from Real-Time)",73.02,74.04,72.9,73.95,296898
"24","BLL.N",20110204,NA,"End Of Day (from Real-Time)",74.11,74.11,73.01,73.72,154987
"25","BLL.N",20110207,NA,"End Of Day (from Real-Time)",74,74,73.06,73.47,187714
"26","BLL.N",20110208,NA,"End Of Day (from Real-Time)",73.66,73.69,73.18,73.55,135563
"27","BLL.N",20110209,NA,"End Of Day (from Real-Time)",73.41,73.8,73.02,73.8,182669
"28","BLL.N",20110210,NA,"End Of Day (from Real-Time)",73.32,74.41,73.17,74.13,160734
"29","BLL.N",20110211,NA,"End Of Day (from Real-Time)",74.11,74.4,73.77,74.05,143802
"30","BLL.N",20110214,NA,"End Of Day (from Real-Time)",73.9,74.23,73.74,73.88,134110
"31","BLL.N",20110215,NA,"End Of Day (from Real-Time)",73.73,74.07,73.56,73.73,171995
"32","BLL.N",20110216,NA,"End Of Day (from Real-Time)",37.11,37.43,36.82,36.83,379859
"33","BLL.N",20110217,NA,"End Of Day (from Real-Time)",36.79,36.97,36.72,36.9,338815
"34","BLL.N",20110218,NA,"End Of Day (from Real-Time)",37,37.05,36.74,37,489055
"35","BLL.N",20110222,NA,"End Of Day (from Real-Time)",36.56,36.98,35.79,35.82,363389
"36","BLL.N",20110223,NA,"End Of Day (from Real-Time)",35.85,36.28,35.51,35.89,366578
"37","BLL.N",20110224,NA,"End Of Day (from Real-Time)",35.75,36.42,35.63,36,353567
"38","BLL.N",20110225,NA,"End Of Day (from Real-Time)",36.16,36.23,35.9,36.1,242758
"39","BLL.N",20110228,NA,"End Of Day (from Real-Time)",36.19,36.34,35.97,36.1,612571
"40","BLL.N",20110301,NA,"End Of Day (from Real-Time)",36.17,36.4,35.62,35.62,471336
"41","BLL.N",20110302,NA,"End Of Day (from Real-Time)",35.47,36.06,35.41,35.81,324967
"42","BLL.N",20110303,NA,"End Of Day (from Real-Time)",36.17,36.43,36,36.27,234310
"43","BLL.N",20110304,NA,"End Of Day (from Real-Time)",36.32,36.35,35.53,35.83,229841
"44","BLL.N",20110307,NA,"End Of Day (from Real-Time)",35.99,36.24,35.53,35.68,278988
"45","BLL.N",20110308,NA,"End Of Day (from Real-Time)",35.9,36.32,35.6,36.24,263899
"46","BLL.N",20110309,NA,"End Of Day (from Real-Time)",36.22,36.39,35.55,35.9,214825
"47","BLL.N",20110310,NA,"End Of Day (from Real-Time)",35.53,35.53,34.87,34.92,264413
"48","BLL.N",20110311,NA,"End Of Day (from Real-Time)",34.77,35.03,34.38,34.99,344591
"49","BLL.N",20110314,NA,"End Of Day (from Real-Time)",34.74,35.03,34.32,34.65,438435
"50","BLL.N",20110315,NA,"End Of Day (from Real-Time)",33.76,34.32,33.41,34.18,469137
"51","BLL.N",20110316,NA,"End Of Day (from Real-Time)",34.05,34.24,33.49,33.82,629094
"52","BLL.N",20110317,NA,"End Of Day (from Real-Time)",34.28,34.32,33.7,33.78,773552
"53","BLL.N",20110318,NA,"End Of Day (from Real-Time)",34.2,34.49,34.17,34.29,1220676
"54","BLL.N",20110321,NA,"End Of Day (from Real-Time)",34.74,35.16,34.58,35.07,293089
"55","BLL.N",20110322,NA,"End Of Day (from Real-Time)",35.08,35.15,34.65,34.84,268220
"56","BLL.N",20110323,NA,"End Of Day (from Real-Time)",34.83,35.25,34.73,35.2,281851
"57","BLL.N",20110324,NA,"End Of Day (from Real-Time)",35.47,35.47,35.12,35.3,369547
"58","BLL.N",20110325,NA,"End Of Day (from Real-Time)",35.43,35.79,35.32,35.51,360973
"59","BLL.N",20110328,NA,"End Of Day (from Real-Time)",35.63,35.82,35.08,35.1,264673
"60","BLL.N",20110329,NA,"End Of Day (from Real-Time)",35.13,35.39,34.81,35.38,231917
"61","BLL.N",20110330,NA,"End Of Day (from Real-Time)",35.46,35.76,35.03,35.7,347588
"62","BLL.N",20110331,NA,"End Of Day (from Real-Time)",35.74,35.97,35.57,35.85,930409
"63","BLL.N",20110401,NA,"End Of Day (from Real-Time)",36.02,36.22,35.6,35.77,361355
"64","BLL.N",20110404,NA,"End Of Day (from Real-Time)",35.88,36.03,35.68,35.99,222645
"65","BLL.N",20110405,NA,"End Of Day (from Real-Time)",36.07,36.44,36.05,36.17,469090
"66","BLL.N",20110406,NA,"End Of Day (from Real-Time)",36.44,36.99,36.42,36.65,346999
"67","BLL.N",20110407,NA,"End Of Day (from Real-Time)",36.51,36.78,36.28,36.47,302275
"68","BLL.N",20110408,NA,"End Of Day (from Real-Time)",36.67,36.76,35.97,36.01,197503
"69","BLL.N",20110411,NA,"End Of Day (from Real-Time)",36.11,36.31,35.93,36.28,481601
"70","BLL.N",20110412,NA,"End Of Day (from Real-Time)",36,36.21,35.79,36.03,332936
"71","BLL.N",20110413,NA,"End Of Day (from Real-Time)",36.33,36.71,36.08,36.25,397015
"72","BLL.N",20110414,NA,"End Of Day (from Real-Time)",36.08,36.64,36.08,36.44,302551
"73","BLL.N",20110415,NA,"End Of Day (from Real-Time)",36.52,36.91,36.48,36.79,398856
"74","BLL.N",20110418,NA,"End Of Day (from Real-Time)",36.29,36.73,36.22,36.59,340675
"75","BLL.N",20110419,NA,"End Of Day (from Real-Time)",36.77,37.08,36.56,36.89,244335
"76","BLL.N",20110420,NA,"End Of Day (from Real-Time)",37.42,37.42,36.55,36.78,553579
"77","BLL.N",20110421,NA,"End Of Day (from Real-Time)",36.89,37.11,36.84,37.06,301525
"78","BLL.N",20110425,NA,"End Of Day (from Real-Time)",36.95,37.01,36.54,36.76,234256
"79","BLL.N",20110426,NA,"End Of Day (from Real-Time)",36.97,37.46,36.94,37.26,349127
"80","BLL.N",20110427,NA,"End Of Day (from Real-Time)",37.39,37.39,36.73,37.01,379608
"81","BLL.N",20110428,NA,"End Of Day (from Real-Time)",37.07,38.2,36.81,37.44,403268
"82","BLL.N",20110429,NA,"End Of Day (from Real-Time)",37.5,37.71,37.1,37.31,351984
"83","BLL.N",20110502,NA,"End Of Day (from Real-Time)",37.54,37.86,37.42,37.47,346479
"84","BLL.N",20110503,NA,"End Of Day (from Real-Time)",37.45,37.75,37.3,37.7,293380
"85","BLL.N",20110504,NA,"End Of Day (from Real-Time)",37.67,37.87,37.4,37.7,325717
"86","BLL.N",20110505,NA,"End Of Day (from Real-Time)",37.56,38.04,37.28,37.77,457635
"87","BLL.N",20110506,NA,"End Of Day (from Real-Time)",38.2,38.33,37.68,38.03,403947
"88","BLL.N",20110509,NA,"End Of Day (from Real-Time)",38.03,38.46,38.03,38.26,337587
"89","BLL.N",20110510,NA,"End Of Day (from Real-Time)",38.3,38.86,37.97,38.72,584633
"90","BLL.N",20110511,NA,"End Of Day (from Real-Time)",38.75,39.25,38.44,38.62,447465
"91","BLL.N",20110512,NA,"End Of Day (from Real-Time)",38.71,39.17,38.48,39.03,387642
"92","BLL.N",20110513,NA,"End Of Day (from Real-Time)",38.99,39.12,38.4,38.46,290009
"93","BLL.N",20110516,NA,"End Of Day (from Real-Time)",38.44,39.03,38.29,38.51,335174
"94","BLL.N",20110517,NA,"End Of Day (from Real-Time)",38.44,38.61,38.13,38.45,370896
"95","BLL.N",20110518,NA,"End Of Day (from Real-Time)",38.6,39.31,38.34,39.26,358510
"96","BLL.N",20110519,NA,"End Of Day (from Real-Time)",39.31,39.55,39.18,39.42,327384
"97","BLL.N",20110520,NA,"End Of Day (from Real-Time)",39.48,39.48,38.9,39.04,482220
"98","BLL.N",20110523,NA,"End Of Day (from Real-Time)",38.67,38.72,38.4,38.65,361327
"99","BLL.N",20110524,NA,"End Of Day (from Real-Time)",38.66,38.82,38.2,38.46,309649
"100","BLL.N",20110525,NA,"End Of Day (from Real-Time)",38.28,38.6,38.04,38.52,558205
"101","BLL.N",20110526,NA,"End Of Day (from Real-Time)",38.33,38.86,38.2,38.8,265478
"102","BLL.N",20110527,NA,"End Of Day (from Real-Time)",38.86,39.22,38.83,39.08,238369
"103","BLL.N",20110531,NA,"End Of Day (from Real-Time)",39.32,39.51,38.86,39.51,486079
"104","BLL.N",20110601,NA,"End Of Day (from Real-Time)",39.5,39.5,38.73,38.73,621323
"105","BLL.N",20110602,NA,"End Of Day (from Real-Time)",38.7,38.9,38.41,38.62,407526
"106","BLL.N",20110603,NA,"End Of Day (from Real-Time)",38.06,38.53,38.04,38.06,370967
"107","BLL.N",20110606,NA,"End Of Day (from Real-Time)",38.08,38.37,37.98,37.99,334584
"108","BLL.N",20110607,NA,"End Of Day (from Real-Time)",38.18,39.1,38.12,38.75,446856
"109","BLL.N",20110608,NA,"End Of Day (from Real-Time)",38.64,38.67,38.04,38.12,531818
"110","BLL.N",20110609,NA,"End Of Day (from Real-Time)",38.25,38.88,38.11,38.66,358950
"111","BLL.N",20110610,NA,"End Of Day (from Real-Time)",38.55,38.64,38.05,38.1,485212
"112","BLL.N",20110613,NA,"End Of Day (from Real-Time)",38.05,38.38,37.85,37.96,576865
"113","BLL.N",20110614,NA,"End Of Day (from Real-Time)",38.11,38.41,38.11,38.33,456538
"114","BLL.N",20110615,NA,"End Of Day (from Real-Time)",37.89,38.04,37.4,37.54,633299
"115","BLL.N",20110616,NA,"End Of Day (from Real-Time)",37.58,37.68,37.04,37.49,590092
"116","BLL.N",20110617,NA,"End Of Day (from Real-Time)",37.76,37.89,37.4,37.82,677135
"117","BLL.N",20110620,NA,"End Of Day (from Real-Time)",37.65,37.95,37.54,37.76,307981
"118","BLL.N",20110621,NA,"End Of Day (from Real-Time)",38,38.24,37.77,38.12,341691
"119","BLL.N",20110622,NA,"End Of Day (from Real-Time)",38.08,38.3,37.9,38,407477
