"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BMS.N",20110103,NA,"End Of Day (from Real-Time)",32.61,32.83,32.46,32.61,470440
"2","BMS.N",20110104,NA,"End Of Day (from Real-Time)",32.65,32.75,32.09,32.27,400891
"3","BMS.N",20110105,NA,"End Of Day (from Real-Time)",32.13,32.43,32.06,32.32,414769
"4","BMS.N",20110106,NA,"End Of Day (from Real-Time)",32.38,32.65,32.24,32.59,377743
"5","BMS.N",20110107,NA,"End Of Day (from Real-Time)",32.59,32.85,32.29,32.32,387844
"6","BMS.N",20110110,NA,"End Of Day (from Real-Time)",32.15,32.5,31.95,32.44,319197
"7","BMS.N",20110111,NA,"End Of Day (from Real-Time)",32.52,32.66,32.18,32.31,361017
"8","BMS.N",20110112,NA,"End Of Day (from Real-Time)",32.44,32.51,32.26,32.49,459462
"9","BMS.N",20110113,NA,"End Of Day (from Real-Time)",32.48,32.66,32.34,32.5,389155
"10","BMS.N",20110114,NA,"End Of Day (from Real-Time)",32.48,32.96,32.38,32.94,462413
"11","BMS.N",20110118,NA,"End Of Day (from Real-Time)",32.89,33,32.57,32.9,239597
"12","BMS.N",20110119,NA,"End Of Day (from Real-Time)",32.97,33.01,32.65,32.75,260763
"13","BMS.N",20110120,NA,"End Of Day (from Real-Time)",32.61,32.93,32.18,32.27,394382
"14","BMS.N",20110121,NA,"End Of Day (from Real-Time)",32.58,32.58,32.07,32.21,348267
"15","BMS.N",20110124,NA,"End Of Day (from Real-Time)",32.25,32.67,32.25,32.67,352248
"16","BMS.N",20110125,NA,"End Of Day (from Real-Time)",32.54,32.68,32.29,32.65,382585
"17","BMS.N",20110126,NA,"End Of Day (from Real-Time)",32.77,33.03,32.59,32.92,308563
"18","BMS.N",20110127,NA,"End Of Day (from Real-Time)",32.91,33.12,32.75,32.9,269864
"19","BMS.N",20110128,NA,"End Of Day (from Real-Time)",32.89,33.05,32.28,32.37,491070
"20","BMS.N",20110131,NA,"End Of Day (from Real-Time)",32.72,33.17,32.53,32.55,558464
"21","BMS.N",20110201,NA,"End Of Day (from Real-Time)",30.61,32.68,30.61,32.04,1124962
"22","BMS.N",20110202,NA,"End Of Day (from Real-Time)",31.42,32.01,31.32,31.78,850264
"23","BMS.N",20110203,NA,"End Of Day (from Real-Time)",32.06,32.46,32,32.42,733364
"24","BMS.N",20110204,NA,"End Of Day (from Real-Time)",32.45,32.7,32.15,32.68,623311
"25","BMS.N",20110207,NA,"End Of Day (from Real-Time)",32.63,33.06,32.35,32.7,371510
"26","BMS.N",20110208,NA,"End Of Day (from Real-Time)",32.77,32.98,32.69,32.91,341418
"27","BMS.N",20110209,NA,"End Of Day (from Real-Time)",32.82,33.24,32.69,33.24,290277
"28","BMS.N",20110210,NA,"End Of Day (from Real-Time)",33.15,33.32,32.91,33,444584
"29","BMS.N",20110211,NA,"End Of Day (from Real-Time)",32.62,33.21,32.61,33.11,335112
"30","BMS.N",20110214,NA,"End Of Day (from Real-Time)",33.08,33.2,32.95,33.02,293293
"31","BMS.N",20110215,NA,"End Of Day (from Real-Time)",32.92,33.09,32.62,32.72,388366
"32","BMS.N",20110216,NA,"End Of Day (from Real-Time)",32.86,33.11,32.83,32.98,385346
"33","BMS.N",20110217,NA,"End Of Day (from Real-Time)",32.97,33.21,32.89,33.04,254569
"34","BMS.N",20110218,NA,"End Of Day (from Real-Time)",33.11,33.32,32.95,33.15,525495
"35","BMS.N",20110222,NA,"End Of Day (from Real-Time)",32.86,33,32.69,32.78,479599
"36","BMS.N",20110223,NA,"End Of Day (from Real-Time)",32.76,33.13,32.39,32.53,543727
"37","BMS.N",20110224,NA,"End Of Day (from Real-Time)",32.51,32.89,31.99,32.43,599320
"38","BMS.N",20110225,NA,"End Of Day (from Real-Time)",32.5,32.75,32.34,32.65,298593
"39","BMS.N",20110228,NA,"End Of Day (from Real-Time)",32.7,32.93,32.58,32.85,411885
"40","BMS.N",20110301,NA,"End Of Day (from Real-Time)",32.95,33.11,32.07,32.07,443318
"41","BMS.N",20110302,NA,"End Of Day (from Real-Time)",32.09,32.54,31.99,32.35,442192
"42","BMS.N",20110303,NA,"End Of Day (from Real-Time)",32.62,33.12,32.62,33.09,297820
"43","BMS.N",20110304,NA,"End Of Day (from Real-Time)",33.06,33.14,32.45,32.72,210384
"44","BMS.N",20110307,NA,"End Of Day (from Real-Time)",32.9,33.08,32.16,32.44,620013
"45","BMS.N",20110308,NA,"End Of Day (from Real-Time)",32.43,32.64,32.28,32.59,451800
"46","BMS.N",20110309,NA,"End Of Day (from Real-Time)",32.49,32.93,32.15,32.86,399449
"47","BMS.N",20110310,NA,"End Of Day (from Real-Time)",32.6,32.6,32.11,32.25,425389
"48","BMS.N",20110311,NA,"End Of Day (from Real-Time)",32.12,32.37,31.99,32.21,264341
"49","BMS.N",20110314,NA,"End Of Day (from Real-Time)",31.94,32.16,31.62,32.11,387484
"50","BMS.N",20110315,NA,"End Of Day (from Real-Time)",31.49,32.04,31.49,31.85,324401
"51","BMS.N",20110316,NA,"End Of Day (from Real-Time)",31.82,31.94,31.19,31.31,614255
"52","BMS.N",20110317,NA,"End Of Day (from Real-Time)",31.75,31.84,31.22,31.37,424642
"53","BMS.N",20110318,NA,"End Of Day (from Real-Time)",31.85,31.93,31.5,31.76,446827
"54","BMS.N",20110321,NA,"End Of Day (from Real-Time)",32.13,32.44,32.11,32.25,259094
"55","BMS.N",20110322,NA,"End Of Day (from Real-Time)",32.28,32.32,31.88,32.03,244287
"56","BMS.N",20110323,NA,"End Of Day (from Real-Time)",32.01,32.23,31.84,32.06,311766
"57","BMS.N",20110324,NA,"End Of Day (from Real-Time)",32.23,32.41,31.95,31.99,392372
"58","BMS.N",20110325,NA,"End Of Day (from Real-Time)",32.11,32.39,32.01,32.25,272374
"59","BMS.N",20110328,NA,"End Of Day (from Real-Time)",32.36,32.37,32,32.07,220321
"60","BMS.N",20110329,NA,"End Of Day (from Real-Time)",32,32.32,31.79,32.32,168126
"61","BMS.N",20110330,NA,"End Of Day (from Real-Time)",32.38,32.73,32.3,32.7,298676
"62","BMS.N",20110331,NA,"End Of Day (from Real-Time)",32.6,32.92,32.6,32.81,320928
"63","BMS.N",20110401,NA,"End Of Day (from Real-Time)",32.93,33.39,32.88,33.11,331153
"64","BMS.N",20110404,NA,"End Of Day (from Real-Time)",33.1,33.12,32.78,32.99,309179
"65","BMS.N",20110405,NA,"End Of Day (from Real-Time)",32.96,33.33,32.87,33.12,370534
"66","BMS.N",20110406,NA,"End Of Day (from Real-Time)",33.2,33.39,32.91,33.13,298327
"67","BMS.N",20110407,NA,"End Of Day (from Real-Time)",33.01,33.14,32.62,32.68,492447
"68","BMS.N",20110408,NA,"End Of Day (from Real-Time)",32.72,32.9,32.19,32.41,303536
"69","BMS.N",20110411,NA,"End Of Day (from Real-Time)",32.37,32.48,32.06,32.2,276395
"70","BMS.N",20110412,NA,"End Of Day (from Real-Time)",32.13,32.25,31.77,31.9,392345
"71","BMS.N",20110413,NA,"End Of Day (from Real-Time)",32.12,32.26,31.72,31.84,538098
"72","BMS.N",20110414,NA,"End Of Day (from Real-Time)",31.68,32.01,31.64,31.88,406411
"73","BMS.N",20110415,NA,"End Of Day (from Real-Time)",31.99,32.23,31.95,32.05,385363
"74","BMS.N",20110418,NA,"End Of Day (from Real-Time)",31.8,32,31.48,31.52,467831
"75","BMS.N",20110419,NA,"End Of Day (from Real-Time)",31.51,32.02,31.51,31.95,375581
"76","BMS.N",20110420,NA,"End Of Day (from Real-Time)",32.37,32.59,32.27,32.28,359633
"77","BMS.N",20110421,NA,"End Of Day (from Real-Time)",32.43,32.56,31.98,31.99,345233
"78","BMS.N",20110425,NA,"End Of Day (from Real-Time)",31.99,32.09,31.74,31.87,354158
"79","BMS.N",20110426,NA,"End Of Day (from Real-Time)",32.01,32.38,31.96,32.33,322946
"80","BMS.N",20110427,NA,"End Of Day (from Real-Time)",32.25,32.37,31.83,32.16,503536
"81","BMS.N",20110428,NA,"End Of Day (from Real-Time)",31.3,31.92,31.1,31.57,730616
"82","BMS.N",20110429,NA,"End Of Day (from Real-Time)",31.61,31.66,31.09,31.34,511872
"83","BMS.N",20110502,NA,"End Of Day (from Real-Time)",31.41,31.52,31.09,31.27,404386
"84","BMS.N",20110503,NA,"End Of Day (from Real-Time)",31.16,31.47,31.06,31.44,444987
"85","BMS.N",20110504,NA,"End Of Day (from Real-Time)",31.44,31.58,31.21,31.31,485092
"86","BMS.N",20110505,NA,"End Of Day (from Real-Time)",31.19,32.07,31.17,31.91,745521
"87","BMS.N",20110506,NA,"End Of Day (from Real-Time)",32.17,32.35,31.95,32.05,420073
"88","BMS.N",20110509,NA,"End Of Day (from Real-Time)",32.02,32.29,31.95,32.24,273677
"89","BMS.N",20110510,NA,"End Of Day (from Real-Time)",32.34,32.81,32.32,32.72,207528
"90","BMS.N",20110511,NA,"End Of Day (from Real-Time)",32.61,32.79,32.41,32.66,305593
"91","BMS.N",20110512,NA,"End Of Day (from Real-Time)",32.59,32.99,32.54,32.93,325520
"92","BMS.N",20110513,NA,"End Of Day (from Real-Time)",32.99,32.99,32.45,32.57,378689
"93","BMS.N",20110516,NA,"End Of Day (from Real-Time)",32.22,33.01,32.08,32.9,443160
"94","BMS.N",20110517,NA,"End Of Day (from Real-Time)",32.82,32.93,32.49,32.53,358039
"95","BMS.N",20110518,NA,"End Of Day (from Real-Time)",32.62,33.16,32.44,33.11,355363
"96","BMS.N",20110519,NA,"End Of Day (from Real-Time)",33.11,33.57,33.11,33.29,510459
"97","BMS.N",20110520,NA,"End Of Day (from Real-Time)",33.34,33.34,32.81,33.01,464070
"98","BMS.N",20110523,NA,"End Of Day (from Real-Time)",32.73,32.89,32.59,32.73,278390
"99","BMS.N",20110524,NA,"End Of Day (from Real-Time)",32.8,32.94,32.5,32.6,249417
"100","BMS.N",20110525,NA,"End Of Day (from Real-Time)",32.48,32.72,32.29,32.68,390317
"101","BMS.N",20110526,NA,"End Of Day (from Real-Time)",32.56,32.87,32.39,32.71,314206
"102","BMS.N",20110527,NA,"End Of Day (from Real-Time)",32.84,32.99,32.7,32.95,270947
"103","BMS.N",20110531,NA,"End Of Day (from Real-Time)",33.11,33.15,32.78,33.12,454002
"104","BMS.N",20110601,NA,"End Of Day (from Real-Time)",33.15,33.21,32.16,32.17,461572
"105","BMS.N",20110602,NA,"End Of Day (from Real-Time)",32.29,32.54,31.97,32.1,482761
"106","BMS.N",20110603,NA,"End Of Day (from Real-Time)",31.77,32.02,31.5,31.56,467150
"107","BMS.N",20110606,NA,"End Of Day (from Real-Time)",31.54,31.65,31.4,31.41,337484
"108","BMS.N",20110607,NA,"End Of Day (from Real-Time)",31.65,32.18,31.64,32.18,798625
"109","BMS.N",20110608,NA,"End Of Day (from Real-Time)",32.06,32.37,32,32.26,567676
"110","BMS.N",20110609,NA,"End Of Day (from Real-Time)",32.36,33.22,32.24,33.07,536277
"111","BMS.N",20110610,NA,"End Of Day (from Real-Time)",32.88,33.08,32.58,32.61,494386
"112","BMS.N",20110613,NA,"End Of Day (from Real-Time)",31.54,32.59,31.49,32.18,758893
"113","BMS.N",20110614,NA,"End Of Day (from Real-Time)",32.56,32.72,32.36,32.69,563108
"114","BMS.N",20110615,NA,"End Of Day (from Real-Time)",32.35,32.42,31.58,31.61,554956
"115","BMS.N",20110616,NA,"End Of Day (from Real-Time)",31.67,31.74,31.2,31.44,466465
"116","BMS.N",20110617,NA,"End Of Day (from Real-Time)",31.73,31.81,31.46,31.74,604987
"117","BMS.N",20110620,NA,"End Of Day (from Real-Time)",31.69,32.05,31.68,31.99,428871
"118","BMS.N",20110621,NA,"End Of Day (from Real-Time)",32.17,32.34,31.82,32.11,481349
"119","BMS.N",20110622,NA,"End Of Day (from Real-Time)",31.97,32.33,31.95,32.14,455839
"120","BMS.N",20110623,NA,"End Of Day (from Real-Time)",31.82,32.29,31.66,32.25,520548
"121","BMS.N",20110624,NA,"End Of Day (from Real-Time)",32.27,32.31,31.91,32.11,452375
"122","BMS.N",20110627,NA,"End Of Day (from Real-Time)",32.17,32.61,32.08,32.44,292865
"123","BMS.N",20110628,NA,"End Of Day (from Real-Time)",32.49,33.07,32.49,33.07,413538
"124","BMS.N",20110629,NA,"End Of Day (from Real-Time)",33.11,33.37,32.84,33.11,424198
"125","BMS.N",20110630,NA,"End Of Day (from Real-Time)",33.26,33.82,33.16,33.78,399333
"126","BMS.N",20110701,NA,"End Of Day (from Real-Time)",33.81,34.2,33.75,34.06,353258
"127","BMS.N",20110705,NA,"End Of Day (from Real-Time)",34,34.07,33.68,33.81,291760
"128","BMS.N",20110706,NA,"End Of Day (from Real-Time)",33.76,34.09,33.71,33.95,330855
"129","BMS.N",20110707,NA,"End Of Day (from Real-Time)",34.27,34.4,34.15,34.25,328701
"130","BMS.N",20110708,NA,"End Of Day (from Real-Time)",33.89,34,33.76,33.93,255389
"131","BMS.N",20110711,NA,"End Of Day (from Real-Time)",33.63,33.78,33.53,33.76,352140
"132","BMS.N",20110712,NA,"End Of Day (from Real-Time)",33.72,34.1,33.68,33.89,457080
"133","BMS.N",20110713,NA,"End Of Day (from Real-Time)",34.02,34.21,33.92,33.96,352959
"134","BMS.N",20110714,NA,"End Of Day (from Real-Time)",34.12,34.2,33.56,33.71,418389
"135","BMS.N",20110715,NA,"End Of Day (from Real-Time)",33.95,34.24,33.78,34.21,500389
"136","BMS.N",20110718,NA,"End Of Day (from Real-Time)",34.12,34.4,33.59,33.7,514962
"137","BMS.N",20110719,NA,"End Of Day (from Real-Time)",33.77,33.88,33.45,33.6,403838
"138","BMS.N",20110720,NA,"End Of Day (from Real-Time)",33.71,33.73,33.5,33.54,311562
"139","BMS.N",20110721,NA,"End Of Day (from Real-Time)",33.82,34.14,33.72,34.14,502926
"140","BMS.N",20110722,NA,"End Of Day (from Real-Time)",34.17,34.23,33.74,33.95,270092
"141","BMS.N",20110725,NA,"End Of Day (from Real-Time)",33.51,33.97,33.47,33.83,318723
"142","BMS.N",20110726,NA,"End Of Day (from Real-Time)",33.88,33.88,33.51,33.65,340537
"143","BMS.N",20110727,NA,"End Of Day (from Real-Time)",31.9,32.9,31.9,32.14,760827
"144","BMS.N",20110728,NA,"End Of Day (from Real-Time)",32.14,32.34,31.92,31.96,346223
"145","BMS.N",20110729,NA,"End Of Day (from Real-Time)",31.67,31.87,31.16,31.6,647145
"146","BMS.N",20110801,NA,"End Of Day (from Real-Time)",31.93,31.96,31.28,31.59,417687
