"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BMY.N",20110103,NA,"End Of Day (from Real-Time)",26.69,26.71,26.56,26.58,3423613
"2","BMY.N",20110104,NA,"End Of Day (from Real-Time)",26.67,26.68,26.45,26.5,2895834
"3","BMY.N",20110105,NA,"End Of Day (from Real-Time)",26.18,26.27,25.88,26.06,3671159
"4","BMY.N",20110106,NA,"End Of Day (from Real-Time)",26.08,26.15,25.78,25.84,3325645
"5","BMY.N",20110107,NA,"End Of Day (from Real-Time)",25.87,25.96,25.71,25.8,3282369
"6","BMY.N",20110110,NA,"End Of Day (from Real-Time)",25.68,25.81,25.67,25.74,2540077
"7","BMY.N",20110111,NA,"End Of Day (from Real-Time)",25.72,25.74,25.45,25.61,3028106
"8","BMY.N",20110112,NA,"End Of Day (from Real-Time)",25.7,25.95,25.63,25.95,2939998
"9","BMY.N",20110113,NA,"End Of Day (from Real-Time)",25.9,25.95,25.78,25.9,2331388
"10","BMY.N",20110114,NA,"End Of Day (from Real-Time)",25.85,25.91,25.73,25.84,1769310
"11","BMY.N",20110118,NA,"End Of Day (from Real-Time)",25.83,25.88,25.66,25.76,2384049
"12","BMY.N",20110119,NA,"End Of Day (from Real-Time)",25.74,25.84,25.56,25.61,2329181
"13","BMY.N",20110120,NA,"End Of Day (from Real-Time)",25.63,25.9,25.63,25.83,2570189
"14","BMY.N",20110121,NA,"End Of Day (from Real-Time)",25.99,26.08,25.87,26.06,3805352
"15","BMY.N",20110124,NA,"End Of Day (from Real-Time)",26.01,26.13,25.98,26,2911915
"16","BMY.N",20110125,NA,"End Of Day (from Real-Time)",25.97,26.04,25.85,26.03,1712126
"17","BMY.N",20110126,NA,"End Of Day (from Real-Time)",26.1,26.17,25.93,25.93,2302120
"18","BMY.N",20110127,NA,"End Of Day (from Real-Time)",25.97,26.59,25.94,26.35,3430094
"19","BMY.N",20110128,NA,"End Of Day (from Real-Time)",26.41,26.41,25.79,25.79,3072681
"20","BMY.N",20110131,NA,"End Of Day (from Real-Time)",25.88,25.9,25.16,25.18,5103540
"21","BMY.N",20110201,NA,"End Of Day (from Real-Time)",25.34,25.43,25.21,25.27,3524153
"22","BMY.N",20110202,NA,"End Of Day (from Real-Time)",25.35,25.4,25.25,25.28,2906547
"23","BMY.N",20110203,NA,"End Of Day (from Real-Time)",25.1,25.67,25.1,25.5,3257045
"24","BMY.N",20110204,NA,"End Of Day (from Real-Time)",25.38,25.76,25.32,25.7,1831980
"25","BMY.N",20110207,NA,"End Of Day (from Real-Time)",25.95,26.05,25.8,25.83,3782511
"26","BMY.N",20110208,NA,"End Of Day (from Real-Time)",25.87,25.97,25.71,25.75,2453511
"27","BMY.N",20110209,NA,"End Of Day (from Real-Time)",25.73,25.84,25.62,25.72,2567068
"28","BMY.N",20110210,NA,"End Of Day (from Real-Time)",25.72,25.75,25.5,25.54,3250900
"29","BMY.N",20110211,NA,"End Of Day (from Real-Time)",25.47,25.48,25.21,25.22,3012800
"30","BMY.N",20110214,NA,"End Of Day (from Real-Time)",25.25,25.6,25.25,25.56,2648689
"31","BMY.N",20110215,NA,"End Of Day (from Real-Time)",25.38,25.61,25.33,25.61,2183930
"32","BMY.N",20110216,NA,"End Of Day (from Real-Time)",25.62,25.74,25.52,25.62,1520163
"33","BMY.N",20110217,NA,"End Of Day (from Real-Time)",25.52,25.78,25.51,25.77,1749952
"34","BMY.N",20110218,NA,"End Of Day (from Real-Time)",25.65,25.67,25.33,25.49,4463974
"35","BMY.N",20110222,NA,"End Of Day (from Real-Time)",25.22,25.5,25.21,25.38,2867639
"36","BMY.N",20110223,NA,"End Of Day (from Real-Time)",25.33,25.45,25.2,25.22,2614163
"37","BMY.N",20110224,NA,"End Of Day (from Real-Time)",25.17,25.47,25.17,25.4,2772723
"38","BMY.N",20110225,NA,"End Of Day (from Real-Time)",25.38,25.51,25.27,25.49,1804156
"39","BMY.N",20110228,NA,"End Of Day (from Real-Time)",25.6,25.82,25.56,25.81,3214232
"40","BMY.N",20110301,NA,"End Of Day (from Real-Time)",25.73,25.83,25.56,25.58,3386676
"41","BMY.N",20110302,NA,"End Of Day (from Real-Time)",25.6,25.63,25.25,25.39,2932389
"42","BMY.N",20110303,NA,"End Of Day (from Real-Time)",25.53,26.22,25.52,26.14,3894796
"43","BMY.N",20110304,NA,"End Of Day (from Real-Time)",26.13,26.43,26.08,26.43,3731847
"44","BMY.N",20110307,NA,"End Of Day (from Real-Time)",26.43,26.49,26.21,26.31,4091838
"45","BMY.N",20110308,NA,"End Of Day (from Real-Time)",26.36,26.53,26.23,26.45,3487495
"46","BMY.N",20110309,NA,"End Of Day (from Real-Time)",26.39,26.45,26.25,26.35,2263987
"47","BMY.N",20110310,NA,"End Of Day (from Real-Time)",26.25,26.39,26.14,26.26,3032650
"48","BMY.N",20110311,NA,"End Of Day (from Real-Time)",26.25,26.43,26.13,26.41,2204446
"49","BMY.N",20110314,NA,"End Of Day (from Real-Time)",26.2,26.37,26.03,26.2,2659025
"50","BMY.N",20110315,NA,"End Of Day (from Real-Time)",25.8,25.87,25.55,25.57,3856016
"51","BMY.N",20110316,NA,"End Of Day (from Real-Time)",25.49,25.52,24.97,24.97,4784240
"52","BMY.N",20110317,NA,"End Of Day (from Real-Time)",25.28,25.52,25.16,25.43,4673662
"53","BMY.N",20110318,NA,"End Of Day (from Real-Time)",25.71,25.82,25.52,25.73,5302451
"54","BMY.N",20110321,NA,"End Of Day (from Real-Time)",25.86,26.18,25.83,26,2546124
"55","BMY.N",20110322,NA,"End Of Day (from Real-Time)",26.81,26.9,26.28,26.29,5007592
"56","BMY.N",20110323,NA,"End Of Day (from Real-Time)",26.11,26.29,25.86,26.16,3299306
"57","BMY.N",20110324,NA,"End Of Day (from Real-Time)",26.22,26.52,26.09,26.43,2688894
"58","BMY.N",20110325,NA,"End Of Day (from Real-Time)",26.5,27.96,26.3,27.29,8280895
"59","BMY.N",20110328,NA,"End Of Day (from Real-Time)",27.3,27.38,26.94,26.98,4063104
"60","BMY.N",20110329,NA,"End Of Day (from Real-Time)",26.99,27.02,26.8,26.84,3203574
"61","BMY.N",20110330,NA,"End Of Day (from Real-Time)",26.67,26.82,26.39,26.47,3965339
"62","BMY.N",20110331,NA,"End Of Day (from Real-Time)",26.48,26.67,26.17,26.43,4784031
"63","BMY.N",20110401,NA,"End Of Day (from Real-Time)",26.48,26.66,26.4,26.46,2120842
"64","BMY.N",20110404,NA,"End Of Day (from Real-Time)",26.55,27,26.54,26.72,3536444
"65","BMY.N",20110405,NA,"End Of Day (from Real-Time)",26.7,26.91,26.58,26.87,2753154
"66","BMY.N",20110406,NA,"End Of Day (from Real-Time)",27,27.29,26.89,27.19,2842737
"67","BMY.N",20110407,NA,"End Of Day (from Real-Time)",27.19,27.22,26.96,27.08,2859905
"68","BMY.N",20110408,NA,"End Of Day (from Real-Time)",27.14,27.55,27.05,27.51,3209380
"69","BMY.N",20110411,NA,"End Of Day (from Real-Time)",27.51,27.65,27.31,27.4,3032531
"70","BMY.N",20110412,NA,"End Of Day (from Real-Time)",27.3,27.62,27.25,27.44,2307664
"71","BMY.N",20110413,NA,"End Of Day (from Real-Time)",27.45,27.49,27.21,27.33,1969567
"72","BMY.N",20110414,NA,"End Of Day (from Real-Time)",27.22,27.72,27.21,27.61,3211718
"73","BMY.N",20110415,NA,"End Of Day (from Real-Time)",27.72,27.97,27.66,27.88,3489072
"74","BMY.N",20110418,NA,"End Of Day (from Real-Time)",27.58,27.68,27.38,27.58,3594493
"75","BMY.N",20110419,NA,"End Of Day (from Real-Time)",27.68,27.72,27.36,27.45,2304440
"76","BMY.N",20110420,NA,"End Of Day (from Real-Time)",27.71,27.81,27.56,27.7,2561152
"77","BMY.N",20110421,NA,"End Of Day (from Real-Time)",27.69,27.95,27.62,27.82,2099164
"78","BMY.N",20110425,NA,"End Of Day (from Real-Time)",27.7,27.85,27.61,27.74,1502540
"79","BMY.N",20110426,NA,"End Of Day (from Real-Time)",27.89,28.17,27.85,28.12,2667675
"80","BMY.N",20110427,NA,"End Of Day (from Real-Time)",28.14,28.44,28.13,28.28,3354412
"81","BMY.N",20110428,NA,"End Of Day (from Real-Time)",28.5,28.5,28.15,28.29,2624818
"82","BMY.N",20110429,NA,"End Of Day (from Real-Time)",28.38,28.38,27.9,28.1,2144309
"83","BMY.N",20110502,NA,"End Of Day (from Real-Time)",28.24,28.57,28.23,28.45,2921450
"84","BMY.N",20110503,NA,"End Of Day (from Real-Time)",28.5,28.94,28.46,28.83,3708361
"85","BMY.N",20110504,NA,"End Of Day (from Real-Time)",28.77,28.78,28.41,28.71,3083782
"86","BMY.N",20110505,NA,"End Of Day (from Real-Time)",28.62,28.73,28.36,28.49,2372975
"87","BMY.N",20110506,NA,"End Of Day (from Real-Time)",28.62,28.79,28.55,28.64,2219236
"88","BMY.N",20110509,NA,"End Of Day (from Real-Time)",28.66,28.8,28.42,28.72,1773624
"89","BMY.N",20110510,NA,"End Of Day (from Real-Time)",28.73,28.82,28.46,28.81,2007409
"90","BMY.N",20110511,NA,"End Of Day (from Real-Time)",28.53,28.88,28.53,28.76,3145829
"91","BMY.N",20110512,NA,"End Of Day (from Real-Time)",28.7,28.96,28.51,28.91,2829900
"92","BMY.N",20110513,NA,"End Of Day (from Real-Time)",28.84,28.99,28.69,28.81,2846248
"93","BMY.N",20110516,NA,"End Of Day (from Real-Time)",28.81,28.97,28.74,28.79,2179499
"94","BMY.N",20110517,NA,"End Of Day (from Real-Time)",28.62,28.7,28.29,28.65,4262325
"95","BMY.N",20110518,NA,"End Of Day (from Real-Time)",28.6,28.86,28.45,28.86,2896554
"96","BMY.N",20110519,NA,"End Of Day (from Real-Time)",28.9,28.9,28.44,28.6,2832135
"97","BMY.N",20110520,NA,"End Of Day (from Real-Time)",28.48,28.53,28.12,28.37,3835042
"98","BMY.N",20110523,NA,"End Of Day (from Real-Time)",28.08,28.25,28,28.2,2693699
"99","BMY.N",20110524,NA,"End Of Day (from Real-Time)",28.2,28.4,28.1,28.25,2149871
"100","BMY.N",20110525,NA,"End Of Day (from Real-Time)",28.17,28.32,28.03,28.28,2455055
"101","BMY.N",20110526,NA,"End Of Day (from Real-Time)",28.23,28.46,28.11,28.41,2560803
"102","BMY.N",20110527,NA,"End Of Day (from Real-Time)",28.46,28.5,28.32,28.47,1892051
"103","BMY.N",20110531,NA,"End Of Day (from Real-Time)",28.6,28.76,28.48,28.76,2675372
"104","BMY.N",20110601,NA,"End Of Day (from Real-Time)",28.71,28.73,28.24,28.27,3576118
"105","BMY.N",20110602,NA,"End Of Day (from Real-Time)",28.22,28.25,28.02,28.09,2854914
"106","BMY.N",20110603,NA,"End Of Day (from Real-Time)",27.87,28.03,27.85,27.98,3165281
"107","BMY.N",20110606,NA,"End Of Day (from Real-Time)",27.82,28.05,27.45,27.97,3681395
"108","BMY.N",20110607,NA,"End Of Day (from Real-Time)",28.01,28.26,27.97,27.99,2655473
"109","BMY.N",20110608,NA,"End Of Day (from Real-Time)",27.99,28.04,27.84,27.92,2850900
"110","BMY.N",20110609,NA,"End Of Day (from Real-Time)",28.01,28.05,27.82,27.86,3490653
