"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","BRKb.N",20110103,NA,"End Of Day (from Real-Time)",80.5,80.5,80.23,80.41,2394195
"2","BRKb.N",20110104,NA,"End Of Day (from Real-Time)",80.32,80.37,79.72,80.17,1900220
"3","BRKb.N",20110105,NA,"End Of Day (from Real-Time)",79.87,80.91,79.83,80.91,1589170
"4","BRKb.N",20110106,NA,"End Of Day (from Real-Time)",80.81,80.9,80.37,80.37,1276678
"5","BRKb.N",20110107,NA,"End Of Day (from Real-Time)",80.69,80.7,79.5,79.74,1585248
"6","BRKb.N",20110110,NA,"End Of Day (from Real-Time)",79.75,79.97,79.15,79.65,1266387
"7","BRKb.N",20110111,NA,"End Of Day (from Real-Time)",79.65,80.02,79.21,79.4,1383397
"8","BRKb.N",20110112,NA,"End Of Day (from Real-Time)",79.88,80.74,79.71,80.74,2037320
"9","BRKb.N",20110113,NA,"End Of Day (from Real-Time)",80.65,80.89,80.3,80.76,1154415
"10","BRKb.N",20110114,NA,"End Of Day (from Real-Time)",80.6,81.67,80.58,81.65,1989400
"11","BRKb.N",20110118,NA,"End Of Day (from Real-Time)",81.68,82.09,81.61,81.82,1968206
"12","BRKb.N",20110119,NA,"End Of Day (from Real-Time)",81.68,81.8,80.5,80.92,1638602
"13","BRKb.N",20110120,NA,"End Of Day (from Real-Time)",80.89,81.37,80.5,80.73,1641281
"14","BRKb.N",20110121,NA,"End Of Day (from Real-Time)",81.12,81.16,80.22,80.45,2600331
"15","BRKb.N",20110124,NA,"End Of Day (from Real-Time)",81.34,83.38,81.31,82.94,2542029
"16","BRKb.N",20110125,NA,"End Of Day (from Real-Time)",82.74,83.27,82.17,83.25,1378026
"17","BRKb.N",20110126,NA,"End Of Day (from Real-Time)",83.35,83.44,82.91,83.07,1242167
"18","BRKb.N",20110127,NA,"End Of Day (from Real-Time)",83.01,83.23,82.65,83.03,1096422
"19","BRKb.N",20110128,NA,"End Of Day (from Real-Time)",83.09,83.35,81.49,81.56,2123855
"20","BRKb.N",20110131,NA,"End Of Day (from Real-Time)",81.89,82.31,81.53,81.75,1500618
"21","BRKb.N",20110201,NA,"End Of Day (from Real-Time)",82.2,83.5,82.14,83.35,1751737
"22","BRKb.N",20110202,NA,"End Of Day (from Real-Time)",83,83.88,82.4,82.45,1479247
"23","BRKb.N",20110203,NA,"End Of Day (from Real-Time)",82.45,83.39,82.22,83.02,964903
"24","BRKb.N",20110204,NA,"End Of Day (from Real-Time)",82.88,83.19,82.48,83.17,924186
"25","BRKb.N",20110207,NA,"End Of Day (from Real-Time)",83.45,84.11,83.3,84.1,1297657
"26","BRKb.N",20110208,NA,"End Of Day (from Real-Time)",84.2,84.65,83.71,84.27,1342201
"27","BRKb.N",20110209,NA,"End Of Day (from Real-Time)",83.85,84.12,83.35,83.89,1514383
"28","BRKb.N",20110210,NA,"End Of Day (from Real-Time)",83.9,84.48,83.42,84.45,1242281
"29","BRKb.N",20110211,NA,"End Of Day (from Real-Time)",84.17,84.96,83.67,84.91,1686713
"30","BRKb.N",20110214,NA,"End Of Day (from Real-Time)",84.95,85.5,84.84,85.3,1061958
"31","BRKb.N",20110215,NA,"End Of Day (from Real-Time)",85.19,85.49,84.52,84.98,1389442
"32","BRKb.N",20110216,NA,"End Of Day (from Real-Time)",85.1,85.36,84.61,84.96,1019983
"33","BRKb.N",20110217,NA,"End Of Day (from Real-Time)",84.74,85.29,84.61,84.93,769893
"34","BRKb.N",20110218,NA,"End Of Day (from Real-Time)",85.08,85.18,84.71,85.05,2583971
"35","BRKb.N",20110222,NA,"End Of Day (from Real-Time)",84.02,84.68,83.01,83.17,2188423
"36","BRKb.N",20110223,NA,"End Of Day (from Real-Time)",83.27,83.6,82.11,82.86,1629976
"37","BRKb.N",20110224,NA,"End Of Day (from Real-Time)",82.85,83.88,82.48,83.36,1590120
"38","BRKb.N",20110225,NA,"End Of Day (from Real-Time)",83.45,85.25,83.41,84.87,1726641
"39","BRKb.N",20110228,NA,"End Of Day (from Real-Time)",86.52,87.65,85.62,87.28,3431787
"40","BRKb.N",20110301,NA,"End Of Day (from Real-Time)",87.5,87.57,85.13,85.25,1987539
"41","BRKb.N",20110302,NA,"End Of Day (from Real-Time)",85.12,85.77,84.63,85.02,1346722
"42","BRKb.N",20110303,NA,"End Of Day (from Real-Time)",85.95,86.91,85.53,86.7,1726368
"43","BRKb.N",20110304,NA,"End Of Day (from Real-Time)",86.48,86.62,85.01,85.5,1740278
"44","BRKb.N",20110307,NA,"End Of Day (from Real-Time)",85.95,86.25,85,85.04,1524106
"45","BRKb.N",20110308,NA,"End Of Day (from Real-Time)",85.45,86.47,85.26,86.35,1547996
"46","BRKb.N",20110309,NA,"End Of Day (from Real-Time)",86.26,86.26,85.47,86.02,1107662
"47","BRKb.N",20110310,NA,"End Of Day (from Real-Time)",85.41,85.55,84.98,84.98,2028191
"48","BRKb.N",20110311,NA,"End Of Day (from Real-Time)",84.09,85.52,84.01,85.3,1806856
"49","BRKb.N",20110314,NA,"End Of Day (from Real-Time)",84.73,84.76,83.8,84.21,1768614
"50","BRKb.N",20110315,NA,"End Of Day (from Real-Time)",82.7,83.27,81.66,82.52,2955197
"51","BRKb.N",20110316,NA,"End Of Day (from Real-Time)",82.51,82.67,80.91,80.95,3320115
"52","BRKb.N",20110317,NA,"End Of Day (from Real-Time)",82,83.05,81.67,82.73,2316635
