"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","C.N",20110103,NA,"End Of Day (from Real-Time)",4.79,4.9,4.78,4.9,95585736
"2","C.N",20110104,NA,"End Of Day (from Real-Time)",4.93,4.94,4.83,4.9,79260321
"3","C.N",20110105,NA,"End Of Day (from Real-Time)",4.89,5,4.88,4.97,78402219
"4","C.N",20110106,NA,"End Of Day (from Real-Time)",5,5.05,4.94,4.95,104388309
"5","C.N",20110107,NA,"End Of Day (from Real-Time)",4.98,5,4.84,4.94,77370648
"6","C.N",20110110,NA,"End Of Day (from Real-Time)",4.93,4.93,4.87,4.91,59572575
"7","C.N",20110111,NA,"End Of Day (from Real-Time)",4.97,4.98,4.91,4.94,46109886
"8","C.N",20110112,NA,"End Of Day (from Real-Time)",4.99,5.08,4.98,5.08,77960238
"9","C.N",20110113,NA,"End Of Day (from Real-Time)",5.1,5.12,5.03,5.04,73749827
"10","C.N",20110114,NA,"End Of Day (from Real-Time)",5.06,5.15,5.04,5.13,132193198
"11","C.N",20110118,NA,"End Of Day (from Real-Time)",4.94,4.95,4.78,4.8,233890360
"12","C.N",20110119,NA,"End Of Day (from Real-Time)",4.86,4.86,4.75,4.76,92430899
"13","C.N",20110120,NA,"End Of Day (from Real-Time)",4.77,4.81,4.72,4.8,84355462
"14","C.N",20110121,NA,"End Of Day (from Real-Time)",4.86,4.91,4.84,4.89,100533461
"15","C.N",20110124,NA,"End Of Day (from Real-Time)",4.91,4.92,4.83,4.86,47085479
"16","C.N",20110125,NA,"End Of Day (from Real-Time)",4.85,4.86,4.77,4.82,54996235
"17","C.N",20110126,NA,"End Of Day (from Real-Time)",4.85,4.87,4.81,4.82,65420022
"18","C.N",20110127,NA,"End Of Day (from Real-Time)",4.83,4.86,4.81,4.83,33654754
"19","C.N",20110128,NA,"End Of Day (from Real-Time)",4.84,4.88,4.72,4.72,93085796
"20","C.N",20110131,NA,"End Of Day (from Real-Time)",4.74,4.82,4.73,4.82,56017196
"21","C.N",20110201,NA,"End Of Day (from Real-Time)",4.86,4.91,4.85,4.9,53695842
