"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CA.O",20110103,NA,"End Of Day (from Real-Time)",24.71,25.1,24.68,24.78,3248232
"2","CA.O",20110104,NA,"End Of Day (from Real-Time)",24.77,24.89,24.62,24.68,2869090
"3","CA.O",20110105,NA,"End Of Day (from Real-Time)",24.56,24.83,24.41,24.68,4083466
"4","CA.O",20110106,NA,"End Of Day (from Real-Time)",24.69,24.76,24.49,24.72,2645022
"5","CA.O",20110107,NA,"End Of Day (from Real-Time)",24.73,24.77,24.43,24.64,2310463
"6","CA.O",20110110,NA,"End Of Day (from Real-Time)",24.48,24.6,24.27,24.51,2448470
"7","CA.O",20110111,NA,"End Of Day (from Real-Time)",24.57,24.72,24.44,24.71,2070312
"8","CA.O",20110112,NA,"End Of Day (from Real-Time)",24.93,25.23,24.72,25.09,2237801
"9","CA.O",20110113,NA,"End Of Day (from Real-Time)",25.06,25.14,24.92,25.06,2369592
"10","CA.O",20110114,NA,"End Of Day (from Real-Time)",25.07,25.25,24.94,25.24,2665670
"11","CA.O",20110118,NA,"End Of Day (from Real-Time)",25.21,25.52,25.17,25.455,3554121
"12","CA.O",20110119,NA,"End Of Day (from Real-Time)",25.27,25.61,25.22,25.5,3587791
"13","CA.O",20110120,NA,"End Of Day (from Real-Time)",25.48,25.62,25.24,25.46,3631475
"14","CA.O",20110121,NA,"End Of Day (from Real-Time)",25.49,25.62,25.24,25.31,2997162
"15","CA.O",20110124,NA,"End Of Day (from Real-Time)",25.29,25.62,25.07,25.57,3439195
"16","CA.O",20110125,NA,"End Of Day (from Real-Time)",25.54,25.68,25.2,25.36,5117005
"17","CA.O",20110126,NA,"End Of Day (from Real-Time)",24.19,24.4,23.12,23.44,17912866
"18","CA.O",20110127,NA,"End Of Day (from Real-Time)",23.49,23.891,23.44,23.75,7734209
"19","CA.O",20110128,NA,"End Of Day (from Real-Time)",23.82,24.07,23.29,23.38,7912699
"20","CA.O",20110131,NA,"End Of Day (from Real-Time)",23.44,23.91,23.43,23.8,5788528
"21","CA.O",20110201,NA,"End Of Day (from Real-Time)",23.98,24.46,23.78,24.35,6224181
"22","CA.O",20110202,NA,"End Of Day (from Real-Time)",24.31,24.91,24.31,24.72,6076488
"23","CA.O",20110203,NA,"End Of Day (from Real-Time)",24.59,24.71,24.25,24.69,5187712
"24","CA.O",20110204,NA,"End Of Day (from Real-Time)",24.63,24.674,24.38,24.53,6127793
"25","CA.O",20110207,NA,"End Of Day (from Real-Time)",24.53,25.02,24.5,24.91,3526780
"26","CA.O",20110208,NA,"End Of Day (from Real-Time)",24.93,25.23,24.8,25.22,2994486
"27","CA.O",20110209,NA,"End Of Day (from Real-Time)",25.06,25.12,24.76,24.99,2752478
"28","CA.O",20110210,NA,"End Of Day (from Real-Time)",24.87,25.22,24.745,25.01,4356825
"29","CA.O",20110211,NA,"End Of Day (from Real-Time)",24.94,25.03,24.64,25,4043191
"30","CA.O",20110214,NA,"End Of Day (from Real-Time)",25.03,25.16,24.89,25.02,1705322
"31","CA.O",20110215,NA,"End Of Day (from Real-Time)",24.94,25,24.46,24.58,5085260
"32","CA.O",20110216,NA,"End Of Day (from Real-Time)",24.76,25.14,24.55,25.03,3379589
"33","CA.O",20110217,NA,"End Of Day (from Real-Time)",24.75,25.52,24.7,25.5,4108898
"34","CA.O",20110218,NA,"End Of Day (from Real-Time)",25.42,25.43,25.18,25.21,3964040
"35","CA.O",20110222,NA,"End Of Day (from Real-Time)",25.02,25.24,24.49,24.545,3421576
"36","CA.O",20110223,NA,"End Of Day (from Real-Time)",24.55,24.88,24.08,24.38,4869023
"37","CA.O",20110224,NA,"End Of Day (from Real-Time)",24.45,24.54,24.03,24.38,3641637
"38","CA.O",20110225,NA,"End Of Day (from Real-Time)",24.48,24.785,24.48,24.74,2617245
"39","CA.O",20110228,NA,"End Of Day (from Real-Time)",24.78,24.9,24.59,24.78,3092515
"40","CA.O",20110301,NA,"End Of Day (from Real-Time)",24.81,24.93,24.21,24.28,4245033
"41","CA.O",20110302,NA,"End Of Day (from Real-Time)",24.31,24.61,24.21,24.28,2625810
"42","CA.O",20110303,NA,"End Of Day (from Real-Time)",24.5,24.83,24.48,24.72,3330638
"43","CA.O",20110304,NA,"End Of Day (from Real-Time)",24.65,24.89,23.91,23.9775,6182323
"44","CA.O",20110307,NA,"End Of Day (from Real-Time)",24.51,24.67,23.63,23.72,7767492
"45","CA.O",20110308,NA,"End Of Day (from Real-Time)",23.75,24,23.59,23.79,5874503
"46","CA.O",20110309,NA,"End Of Day (from Real-Time)",23.8,23.9498,23.55,23.68,3641211
"47","CA.O",20110310,NA,"End Of Day (from Real-Time)",23.51,23.51,23.1,23.23,5672811
"48","CA.O",20110311,NA,"End Of Day (from Real-Time)",23.06,23.34,22.93,23.08,6292769
"49","CA.O",20110314,NA,"End Of Day (from Real-Time)",22.98,23.05,22.47,22.97,7345168
"50","CA.O",20110315,NA,"End Of Day (from Real-Time)",22.36,22.99,22.23,22.86,6546083
"51","CA.O",20110316,NA,"End Of Day (from Real-Time)",22.65,22.89,22.42,22.425,7309927
"52","CA.O",20110317,NA,"End Of Day (from Real-Time)",22.8,22.94,22.485,22.855,6986899
"53","CA.O",20110318,NA,"End Of Day (from Real-Time)",23.21,23.3,22.74,22.87,6564293
"54","CA.O",20110321,NA,"End Of Day (from Real-Time)",23.15,23.385,23.0599,23.19,4359722
"55","CA.O",20110322,NA,"End Of Day (from Real-Time)",23.19,23.29,22.99,23.09,4362440
"56","CA.O",20110323,NA,"End Of Day (from Real-Time)",23,23.32,22.81,23.22,4645594
"57","CA.O",20110324,NA,"End Of Day (from Real-Time)",23.32,23.85,23.32,23.85,3576641
"58","CA.O",20110325,NA,"End Of Day (from Real-Time)",23.89,24.005,23.69,23.75,3016164
"59","CA.O",20110328,NA,"End Of Day (from Real-Time)",23.85,23.85,23.62,23.62,2517990
"60","CA.O",20110329,NA,"End Of Day (from Real-Time)",23.65,23.96,23.55,23.86,2073276
"61","CA.O",20110330,NA,"End Of Day (from Real-Time)",23.91,24.04,23.77,23.86,2627242
"62","CA.O",20110331,NA,"End Of Day (from Real-Time)",23.89,24.19,23.84,24.18,5404328
"63","CA.O",20110401,NA,"End Of Day (from Real-Time)",24.23,24.31,24.05,24.13,4265927
"64","CA.O",20110404,NA,"End Of Day (from Real-Time)",24.13,24.2,23.68,23.82,3832129
"65","CA.O",20110405,NA,"End Of Day (from Real-Time)",23.83,24,23.78,23.86,3102490
"66","CA.O",20110406,NA,"End Of Day (from Real-Time)",24.05,24.26,24,24.21,3588749
"67","CA.O",20110407,NA,"End Of Day (from Real-Time)",24.13,24.37,24.035,24.14,2579682
"68","CA.O",20110408,NA,"End Of Day (from Real-Time)",24.25,24.33,23.85,24.05,2187994
"69","CA.O",20110411,NA,"End Of Day (from Real-Time)",24.16,24.36,24.045,24.16,2196796
"70","CA.O",20110412,NA,"End Of Day (from Real-Time)",24,24.07,23.73,23.83,2132384
"71","CA.O",20110413,NA,"End Of Day (from Real-Time)",24.02,24.2,23.94,24.05,3056658
"72","CA.O",20110414,NA,"End Of Day (from Real-Time)",23.87,24.01,23.65,23.96,2432899
"73","CA.O",20110415,NA,"End Of Day (from Real-Time)",23.91,24.23,23.735,24.18,2800785
"74","CA.O",20110418,NA,"End Of Day (from Real-Time)",23.9,23.93,23.47,23.6,3362364
"75","CA.O",20110419,NA,"End Of Day (from Real-Time)",23.62,23.85,23.62,23.75,3047890
"76","CA.O",20110420,NA,"End Of Day (from Real-Time)",24.12,24.32,24.02,24.21,3035382
"77","CA.O",20110421,NA,"End Of Day (from Real-Time)",24.21,24.27,24.05,24.16,2616193
"78","CA.O",20110425,NA,"End Of Day (from Real-Time)",24.15,24.21,24.03,24.16,2922989
"79","CA.O",20110426,NA,"End Of Day (from Real-Time)",24.22,24.52,24.16,24.39,2942359
"80","CA.O",20110427,NA,"End Of Day (from Real-Time)",24.43,24.68,24.35,24.67,2637099
"81","CA.O",20110428,NA,"End Of Day (from Real-Time)",24.7,24.96,24.62,24.78,2752961
"82","CA.O",20110429,NA,"End Of Day (from Real-Time)",24.83,24.98,24.56,24.59,5206588
"83","CA.O",20110502,NA,"End Of Day (from Real-Time)",24.68,24.76,24.25,24.42,3786482
"84","CA.O",20110503,NA,"End Of Day (from Real-Time)",24.4,24.54,24.2,24.42,2960073
"85","CA.O",20110504,NA,"End Of Day (from Real-Time)",24.45,24.95,24.25,24.48,5091793
"86","CA.O",20110505,NA,"End Of Day (from Real-Time)",24.44,24.78,24.275,24.37,4039389
"87","CA.O",20110506,NA,"End Of Day (from Real-Time)",24.68,24.91,24.24,24.37,3945014
"88","CA.O",20110509,NA,"End Of Day (from Real-Time)",24.31,24.38,24.02,24.24,3680299
"89","CA.O",20110510,NA,"End Of Day (from Real-Time)",24.38,24.76,24.34,24.68,4299059
"90","CA.O",20110511,NA,"End Of Day (from Real-Time)",24.62,24.8,24.12,24.37,4785062
"91","CA.O",20110512,NA,"End Of Day (from Real-Time)",24.38,25.12,24.24,25.06,4928703
"92","CA.O",20110513,NA,"End Of Day (from Real-Time)",22.73,23.2,22.32,22.9,13869479
