"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CAM.N",20110103,NA,"End Of Day (from Real-Time)",51.33,51.58,50.35,50.52,595019
"2","CAM.N",20110104,NA,"End Of Day (from Real-Time)",50.65,50.66,48.97,49.47,803206
"3","CAM.N",20110105,NA,"End Of Day (from Real-Time)",48.99,49.53,48.63,49.18,888144
"4","CAM.N",20110106,NA,"End Of Day (from Real-Time)",49.13,49.77,48.43,48.79,942301
"5","CAM.N",20110107,NA,"End Of Day (from Real-Time)",48.91,49.58,47.96,48.68,772000
"6","CAM.N",20110110,NA,"End Of Day (from Real-Time)",48.38,48.77,47.66,48.68,479189
"7","CAM.N",20110111,NA,"End Of Day (from Real-Time)",49.06,51.71,49.06,51.57,907800
"8","CAM.N",20110112,NA,"End Of Day (from Real-Time)",51.93,52.2,51.21,52.13,840156
"9","CAM.N",20110113,NA,"End Of Day (from Real-Time)",52.17,52.3,51.43,51.65,500110
"10","CAM.N",20110114,NA,"End Of Day (from Real-Time)",51.51,52.3,50.95,52.23,1137976
"11","CAM.N",20110118,NA,"End Of Day (from Real-Time)",52.01,52.17,51.5,51.75,645652
"12","CAM.N",20110119,NA,"End Of Day (from Real-Time)",51.76,51.85,50.1,50.26,760302
"13","CAM.N",20110120,NA,"End Of Day (from Real-Time)",49.6,50.78,48.7,50.2,1004714
"14","CAM.N",20110121,NA,"End Of Day (from Real-Time)",51.18,51.84,50.01,50.28,1076527
"15","CAM.N",20110124,NA,"End Of Day (from Real-Time)",50.19,51.97,49.71,51.27,606505
"16","CAM.N",20110125,NA,"End Of Day (from Real-Time)",50.68,50.85,49.85,50.32,703949
"17","CAM.N",20110126,NA,"End Of Day (from Real-Time)",50.62,53.64,50.62,53.35,1167883
"18","CAM.N",20110127,NA,"End Of Day (from Real-Time)",53.43,53.67,52.35,52.46,827418
"19","CAM.N",20110128,NA,"End Of Day (from Real-Time)",52.56,52.92,51.89,52.48,888904
"20","CAM.N",20110131,NA,"End Of Day (from Real-Time)",52.7,53.62,52.55,53.3,1036597
"21","CAM.N",20110201,NA,"End Of Day (from Real-Time)",53.81,54.66,53.6,53.68,1273431
"22","CAM.N",20110202,NA,"End Of Day (from Real-Time)",55.03,58.2,55,56.08,1804335
"23","CAM.N",20110203,NA,"End Of Day (from Real-Time)",56.03,57.14,54.97,56.99,1046025
"24","CAM.N",20110204,NA,"End Of Day (from Real-Time)",57.05,57.45,56.22,57.01,773784
"25","CAM.N",20110207,NA,"End Of Day (from Real-Time)",57.3,58.25,56.86,56.96,658908
"26","CAM.N",20110208,NA,"End Of Day (from Real-Time)",57.14,57.28,56.08,56.5,773260
"27","CAM.N",20110209,NA,"End Of Day (from Real-Time)",56.38,57.45,55.67,56.25,656229
"28","CAM.N",20110210,NA,"End Of Day (from Real-Time)",56.07,56.91,55.87,56.68,735490
"29","CAM.N",20110211,NA,"End Of Day (from Real-Time)",56.56,56.84,55.91,56.54,497872
"30","CAM.N",20110214,NA,"End Of Day (from Real-Time)",57.73,59.22,57.31,58.84,970614
"31","CAM.N",20110215,NA,"End Of Day (from Real-Time)",58.69,59.09,58.07,58.38,827674
"32","CAM.N",20110216,NA,"End Of Day (from Real-Time)",59.07,59.74,58.6,59.02,1014396
"33","CAM.N",20110217,NA,"End Of Day (from Real-Time)",58.8,59.83,58.35,59.62,836292
"34","CAM.N",20110218,NA,"End Of Day (from Real-Time)",59.6,59.79,58.58,59.18,938493
"35","CAM.N",20110222,NA,"End Of Day (from Real-Time)",59.59,60.18,57.42,57.7,1022073
"36","CAM.N",20110223,NA,"End Of Day (from Real-Time)",57.8,59.29,57.62,58.36,899454
"37","CAM.N",20110224,NA,"End Of Day (from Real-Time)",58.12,58.39,56.76,57.67,882784
"38","CAM.N",20110225,NA,"End Of Day (from Real-Time)",58.06,59.82,57.79,59.72,880770
"39","CAM.N",20110228,NA,"End Of Day (from Real-Time)",59.94,59.94,58.17,59.13,1207599
"40","CAM.N",20110301,NA,"End Of Day (from Real-Time)",59.54,59.9,57.66,57.74,811265
"41","CAM.N",20110302,NA,"End Of Day (from Real-Time)",57.55,60.63,57.49,60.46,1031269
"42","CAM.N",20110303,NA,"End Of Day (from Real-Time)",60.62,62.15,60.07,62.07,777374
"43","CAM.N",20110304,NA,"End Of Day (from Real-Time)",62.07,62.49,61.38,61.98,639872
"44","CAM.N",20110307,NA,"End Of Day (from Real-Time)",62.4,63.13,61.2,61.95,953056
"45","CAM.N",20110308,NA,"End Of Day (from Real-Time)",61.57,62.2,60.24,61.16,611512
"46","CAM.N",20110309,NA,"End Of Day (from Real-Time)",61.08,61.78,60.16,60.34,513442
"47","CAM.N",20110310,NA,"End Of Day (from Real-Time)",59.22,59.22,57.51,57.58,879555
"48","CAM.N",20110311,NA,"End Of Day (from Real-Time)",57.15,59.34,56.64,59.04,545856
"49","CAM.N",20110314,NA,"End Of Day (from Real-Time)",58.57,59.61,58.1,59.49,697358
"50","CAM.N",20110315,NA,"End Of Day (from Real-Time)",57.45,59.98,57.08,59.56,1044905
"51","CAM.N",20110316,NA,"End Of Day (from Real-Time)",59.62,60.31,57.38,57.9,1158547
"52","CAM.N",20110317,NA,"End Of Day (from Real-Time)",58.89,60.05,58.6,59.73,705539
"53","CAM.N",20110318,NA,"End Of Day (from Real-Time)",60.51,60.8,58.91,59.1,1281306
"54","CAM.N",20110321,NA,"End Of Day (from Real-Time)",60.26,61.03,59.83,60.9,752835
"55","CAM.N",20110322,NA,"End Of Day (from Real-Time)",60.83,61.23,59.86,60,777463
"56","CAM.N",20110323,NA,"End Of Day (from Real-Time)",59.96,60.01,57.5,58.82,1559545
"57","CAM.N",20110324,NA,"End Of Day (from Real-Time)",58.36,58.85,57.6,58.77,857433
"58","CAM.N",20110325,NA,"End Of Day (from Real-Time)",58.83,59.61,57.93,59.08,900085
"59","CAM.N",20110328,NA,"End Of Day (from Real-Time)",59.02,60,58.34,58.59,744779
"60","CAM.N",20110329,NA,"End Of Day (from Real-Time)",57.7,59.12,56.76,58.95,1172539
"61","CAM.N",20110330,NA,"End Of Day (from Real-Time)",59.27,59.4,57,57.84,878078
"62","CAM.N",20110331,NA,"End Of Day (from Real-Time)",57.98,58.34,57.01,57.1,1157237
"63","CAM.N",20110401,NA,"End Of Day (from Real-Time)",57.81,57.84,56.18,56.64,1045689
"64","CAM.N",20110404,NA,"End Of Day (from Real-Time)",56.6,57.39,56.6,56.89,750874
"65","CAM.N",20110405,NA,"End Of Day (from Real-Time)",56.51,57.16,55.71,56.73,823903
"66","CAM.N",20110406,NA,"End Of Day (from Real-Time)",57.15,57.36,54.9,55.3,1041210
"67","CAM.N",20110407,NA,"End Of Day (from Real-Time)",55.05,55.58,54.53,55.15,903116
"68","CAM.N",20110408,NA,"End Of Day (from Real-Time)",55.76,56.4,54.97,55.49,951032
"69","CAM.N",20110411,NA,"End Of Day (from Real-Time)",55.46,55.74,53.42,53.54,892519
"70","CAM.N",20110412,NA,"End Of Day (from Real-Time)",53.18,53.37,51.63,52.85,1421801
"71","CAM.N",20110413,NA,"End Of Day (from Real-Time)",53.26,53.75,52.91,53.57,992613
"72","CAM.N",20110414,NA,"End Of Day (from Real-Time)",52.98,53.54,52.6,53.37,988470
"73","CAM.N",20110415,NA,"End Of Day (from Real-Time)",53.7,53.76,52.89,53.35,912982
"74","CAM.N",20110418,NA,"End Of Day (from Real-Time)",51.05,53.43,51,53.11,1054836
"75","CAM.N",20110419,NA,"End Of Day (from Real-Time)",53.11,54.2,53.08,54.02,749865
"76","CAM.N",20110420,NA,"End Of Day (from Real-Time)",54.91,55.03,54.17,54.88,969647
"77","CAM.N",20110421,NA,"End Of Day (from Real-Time)",54.57,55.13,53.89,54.53,1011948
"78","CAM.N",20110425,NA,"End Of Day (from Real-Time)",54.44,54.75,53.51,54.14,663612
"79","CAM.N",20110426,NA,"End Of Day (from Real-Time)",54.28,54.67,53.94,54.55,683705
"80","CAM.N",20110427,NA,"End Of Day (from Real-Time)",54.88,54.95,52.94,54.44,1136920
"81","CAM.N",20110428,NA,"End Of Day (from Real-Time)",53.8,53.82,50.7,52.17,1973052
"82","CAM.N",20110429,NA,"End Of Day (from Real-Time)",52.34,53.2,52.1,52.72,1084062
"83","CAM.N",20110502,NA,"End Of Day (from Real-Time)",52.86,53.18,52.07,52.48,872058
"84","CAM.N",20110503,NA,"End Of Day (from Real-Time)",52.27,52.67,50.51,50.79,992203
"85","CAM.N",20110504,NA,"End Of Day (from Real-Time)",50.7,50.7,48.48,48.7,1389045
"86","CAM.N",20110505,NA,"End Of Day (from Real-Time)",48,49.65,47.6,48.21,1826252
"87","CAM.N",20110506,NA,"End Of Day (from Real-Time)",48.58,49.48,47.52,48.07,1278075
"88","CAM.N",20110509,NA,"End Of Day (from Real-Time)",48.42,49.69,48.37,49.51,1006605
"89","CAM.N",20110510,NA,"End Of Day (from Real-Time)",49.49,50.06,48.88,49.81,1080583
"90","CAM.N",20110511,NA,"End Of Day (from Real-Time)",49.64,49.81,48.05,48.52,1629825
"91","CAM.N",20110512,NA,"End Of Day (from Real-Time)",48.38,49.6,47.82,48.83,1502404
"92","CAM.N",20110513,NA,"End Of Day (from Real-Time)",49.17,50.18,48.92,49.65,1529802
"93","CAM.N",20110516,NA,"End Of Day (from Real-Time)",49.4,50.65,48.74,48.89,1177259
"94","CAM.N",20110517,NA,"End Of Day (from Real-Time)",48.63,49.03,47.41,47.77,1623098
"95","CAM.N",20110518,NA,"End Of Day (from Real-Time)",47.9,48.41,47.53,48.01,1730613
"96","CAM.N",20110519,NA,"End Of Day (from Real-Time)",48.4,48.49,47.42,48.04,1197837
"97","CAM.N",20110520,NA,"End Of Day (from Real-Time)",48.18,48.8,47.53,48.16,1189579
"98","CAM.N",20110523,NA,"End Of Day (from Real-Time)",47.24,47.94,46.94,47,1028958
"99","CAM.N",20110524,NA,"End Of Day (from Real-Time)",47.35,47.93,46.66,46.95,1382245
"100","CAM.N",20110525,NA,"End Of Day (from Real-Time)",46.95,48.05,46.95,47.77,1034794
"101","CAM.N",20110526,NA,"End Of Day (from Real-Time)",47.6,48.6,47.57,48.33,1399255
"102","CAM.N",20110527,NA,"End Of Day (from Real-Time)",48.4,48.73,47.25,47.37,1469804
"103","CAM.N",20110531,NA,"End Of Day (from Real-Time)",48.08,48.56,47.52,47.66,5696917
"104","CAM.N",20110601,NA,"End Of Day (from Real-Time)",47.52,47.87,45.9,45.96,2093604
"105","CAM.N",20110602,NA,"End Of Day (from Real-Time)",46.02,47.26,45.95,46.09,1573567
"106","CAM.N",20110603,NA,"End Of Day (from Real-Time)",45.45,46.8,45.1,46.27,1031602
"107","CAM.N",20110606,NA,"End Of Day (from Real-Time)",46,46.38,44.73,44.79,1125821
"108","CAM.N",20110607,NA,"End Of Day (from Real-Time)",45.11,45.89,44.68,45.29,1085411
"109","CAM.N",20110608,NA,"End Of Day (from Real-Time)",45.26,45.82,44.47,44.56,1379433
"110","CAM.N",20110609,NA,"End Of Day (from Real-Time)",44.89,46.37,44.69,46.01,1219934
"111","CAM.N",20110610,NA,"End Of Day (from Real-Time)",45.53,45.63,44.75,44.78,1012270
"112","CAM.N",20110613,NA,"End Of Day (from Real-Time)",44.93,45.18,42.75,43.78,1463898
"113","CAM.N",20110614,NA,"End Of Day (from Real-Time)",44.33,46.02,44.33,45.95,1354086
"114","CAM.N",20110615,NA,"End Of Day (from Real-Time)",45.21,46.17,44.81,45.11,1308660
"115","CAM.N",20110616,NA,"End Of Day (from Real-Time)",45.11,46.64,45.1,46.07,2140339
"116","CAM.N",20110617,NA,"End Of Day (from Real-Time)",46.53,47.16,45.79,46.11,2535117
"117","CAM.N",20110620,NA,"End Of Day (from Real-Time)",45.86,46.39,45.42,45.8,900653
"118","CAM.N",20110621,NA,"End Of Day (from Real-Time)",46.3,47.48,46.25,46.99,963061
"119","CAM.N",20110622,NA,"End Of Day (from Real-Time)",46.84,47.86,46.82,46.88,1299487
"120","CAM.N",20110623,NA,"End Of Day (from Real-Time)",45.83,46.72,44.61,46.63,1573017
"121","CAM.N",20110624,NA,"End Of Day (from Real-Time)",46.73,46.91,45.64,45.7,1019380
"122","CAM.N",20110627,NA,"End Of Day (from Real-Time)",45.58,46.03,45.14,45.68,988370
"123","CAM.N",20110628,NA,"End Of Day (from Real-Time)",46.11,47.64,45.92,47.59,1406861
"124","CAM.N",20110629,NA,"End Of Day (from Real-Time)",47.89,49.14,47.67,49.06,1964129
"125","CAM.N",20110630,NA,"End Of Day (from Real-Time)",49.11,50.52,49.1,50.29,1542369
"126","CAM.N",20110701,NA,"End Of Day (from Real-Time)",50.02,50.49,49.26,50.43,958505
"127","CAM.N",20110705,NA,"End Of Day (from Real-Time)",50.35,51.27,50.05,50.21,1022946
"128","CAM.N",20110706,NA,"End Of Day (from Real-Time)",50.11,51.06,49.84,50.99,682612
"129","CAM.N",20110707,NA,"End Of Day (from Real-Time)",51.73,52.14,51.14,51.87,878251
"130","CAM.N",20110708,NA,"End Of Day (from Real-Time)",50.88,51.43,50.57,51.15,973198
"131","CAM.N",20110711,NA,"End Of Day (from Real-Time)",50.3,50.86,49.43,49.58,856313
"132","CAM.N",20110712,NA,"End Of Day (from Real-Time)",49.4,50.23,49.21,49.34,883141
"133","CAM.N",20110713,NA,"End Of Day (from Real-Time)",50.04,50.88,49.35,49.57,1126131
"134","CAM.N",20110714,NA,"End Of Day (from Real-Time)",50.07,50.33,48.91,49.05,874990
"135","CAM.N",20110715,NA,"End Of Day (from Real-Time)",49.49,50.62,49.4,50.61,989314
"136","CAM.N",20110718,NA,"End Of Day (from Real-Time)",50.54,50.67,49.59,49.78,775213
"137","CAM.N",20110719,NA,"End Of Day (from Real-Time)",50.22,51.35,50.16,51.33,893881
"138","CAM.N",20110720,NA,"End Of Day (from Real-Time)",51.35,51.55,50.62,50.9,656571
"139","CAM.N",20110721,NA,"End Of Day (from Real-Time)",51.3,52.1,51.11,51.85,818190
"140","CAM.N",20110722,NA,"End Of Day (from Real-Time)",52.05,53.02,51.5,52.94,915859
"141","CAM.N",20110725,NA,"End Of Day (from Real-Time)",52.11,53.3,52.07,52.28,757408
"142","CAM.N",20110726,NA,"End Of Day (from Real-Time)",52.33,52.8,51.45,52.28,777733
"143","CAM.N",20110727,NA,"End Of Day (from Real-Time)",51.65,51.96,50.5,50.54,988623
"144","CAM.N",20110728,NA,"End Of Day (from Real-Time)",53.99,55.3,53.3,55.23,1968604
"145","CAM.N",20110729,NA,"End Of Day (from Real-Time)",54.58,56.2,54.58,55.94,2035053
"146","CAM.N",20110801,NA,"End Of Day (from Real-Time)",57.07,58.49,54.2,54.88,1887202
"147","CAM.N",20110802,NA,"End Of Day (from Real-Time)",54.84,55.7,53.41,53.49,1233093
"148","CAM.N",20110803,NA,"End Of Day (from Real-Time)",53.56,53.8,51.23,52.83,2134181
"149","CAM.N",20110804,NA,"End Of Day (from Real-Time)",51.77,51.83,48.92,49.02,2493509
"150","CAM.N",20110805,NA,"End Of Day (from Real-Time)",49.87,50.46,45.6,47.89,3279292
"151","CAM.N",20110808,NA,"End Of Day (from Real-Time)",46.16,47.4,42.31,42.7,2343086
"152","CAM.N",20110809,NA,"End Of Day (from Real-Time)",43.79,45.42,42.09,45.4,1818782
"153","CAM.N",20110810,NA,"End Of Day (from Real-Time)",44.46,46.04,42.99,43.76,2287429
"154","CAM.N",20110811,NA,"End Of Day (from Real-Time)",44.43,48.04,43.72,47.4,2090274
"155","CAM.N",20110812,NA,"End Of Day (from Real-Time)",47.8,48.48,47.23,47.93,1240395
"156","CAM.N",20110815,NA,"End Of Day (from Real-Time)",48.73,50.14,48.72,49.62,1376036
"157","CAM.N",20110816,NA,"End Of Day (from Real-Time)",48.73,49.18,47.02,47.67,1385530
