"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CB.N",20110103,NA,"End Of Day (from Real-Time)",60.05,60.5,59.85,60.23,838509
"2","CB.N",20110104,NA,"End Of Day (from Real-Time)",60.18,60.49,59.84,60.08,779222
"3","CB.N",20110105,NA,"End Of Day (from Real-Time)",59.92,60.07,59.4,59.81,739738
"4","CB.N",20110106,NA,"End Of Day (from Real-Time)",59.77,59.9,58.68,58.74,1118593
"5","CB.N",20110107,NA,"End Of Day (from Real-Time)",58.98,59.11,57.78,58.3,1081525
"6","CB.N",20110110,NA,"End Of Day (from Real-Time)",58.02,58.25,57.66,57.84,735152
"7","CB.N",20110111,NA,"End Of Day (from Real-Time)",58.05,58.1,57.77,57.77,607280
"8","CB.N",20110112,NA,"End Of Day (from Real-Time)",58.14,58.29,57.9,58.18,627585
"9","CB.N",20110113,NA,"End Of Day (from Real-Time)",57.5,57.82,57.37,57.46,958500
"10","CB.N",20110114,NA,"End Of Day (from Real-Time)",57.35,57.51,56.99,57.32,860242
"11","CB.N",20110118,NA,"End Of Day (from Real-Time)",57.3,58,57.22,57.87,773589
"12","CB.N",20110119,NA,"End Of Day (from Real-Time)",57.75,58.16,57.54,57.78,698216
"13","CB.N",20110120,NA,"End Of Day (from Real-Time)",57.91,58.49,57.87,58.05,779499
"14","CB.N",20110121,NA,"End Of Day (from Real-Time)",57.79,57.82,57.25,57.42,997003
"15","CB.N",20110124,NA,"End Of Day (from Real-Time)",57.45,58.27,57.35,58.23,737437
"16","CB.N",20110125,NA,"End Of Day (from Real-Time)",58.38,59.31,58.36,59.04,860984
"17","CB.N",20110126,NA,"End Of Day (from Real-Time)",59,59.17,58.74,59.02,713685
"18","CB.N",20110127,NA,"End Of Day (from Real-Time)",59.05,59.5,58.75,59.33,650201
"19","CB.N",20110128,NA,"End Of Day (from Real-Time)",59.04,59.26,57.95,57.97,1020775
"20","CB.N",20110131,NA,"End Of Day (from Real-Time)",58.09,58.43,57.84,57.93,852772
"21","CB.N",20110201,NA,"End Of Day (from Real-Time)",58.12,58.77,57.99,58.73,988443
"22","CB.N",20110202,NA,"End Of Day (from Real-Time)",58.5,58.59,57.98,58.14,816123
"23","CB.N",20110203,NA,"End Of Day (from Real-Time)",58.15,58.36,57.91,58.21,985635
"24","CB.N",20110204,NA,"End Of Day (from Real-Time)",58.17,58.8,58.16,58.7,683507
"25","CB.N",20110207,NA,"End Of Day (from Real-Time)",58.7,58.88,58.49,58.86,557581
"26","CB.N",20110208,NA,"End Of Day (from Real-Time)",58.58,59.28,58.35,59.21,702787
"27","CB.N",20110209,NA,"End Of Day (from Real-Time)",59,59.49,58.91,59.42,508148
"28","CB.N",20110210,NA,"End Of Day (from Real-Time)",59.32,59.44,58.85,59.19,584033
"29","CB.N",20110211,NA,"End Of Day (from Real-Time)",59,59.31,58.91,59.17,572288
"30","CB.N",20110214,NA,"End Of Day (from Real-Time)",59.23,59.47,59.07,59.07,524890
"31","CB.N",20110215,NA,"End Of Day (from Real-Time)",58.87,59.48,58.75,59.2,618784
"32","CB.N",20110216,NA,"End Of Day (from Real-Time)",59.28,60,59.28,59.76,642527
"33","CB.N",20110217,NA,"End Of Day (from Real-Time)",59.58,60.36,59.55,60.26,701906
"34","CB.N",20110218,NA,"End Of Day (from Real-Time)",60.29,61.31,60.18,61.31,989391
"35","CB.N",20110222,NA,"End Of Day (from Real-Time)",60.69,61.15,60.23,60.48,1094869
"36","CB.N",20110223,NA,"End Of Day (from Real-Time)",60.44,60.8,60.36,60.39,947376
"37","CB.N",20110224,NA,"End Of Day (from Real-Time)",60.21,60.51,59.04,59.59,990990
"38","CB.N",20110225,NA,"End Of Day (from Real-Time)",59.66,60.14,59.51,60.11,652702
"39","CB.N",20110228,NA,"End Of Day (from Real-Time)",60.23,60.83,60.02,60.68,885647
"40","CB.N",20110301,NA,"End Of Day (from Real-Time)",60.75,60.8,59.67,59.67,756345
"41","CB.N",20110302,NA,"End Of Day (from Real-Time)",59.65,59.78,58.93,59.15,932427
"42","CB.N",20110303,NA,"End Of Day (from Real-Time)",59.64,60.02,59.44,59.52,887955
"43","CB.N",20110304,NA,"End Of Day (from Real-Time)",59.46,59.94,59.03,59.4,953565
"44","CB.N",20110307,NA,"End Of Day (from Real-Time)",59.58,59.84,59,59.17,566791
"45","CB.N",20110308,NA,"End Of Day (from Real-Time)",59.1,59.89,59.1,59.72,806074
"46","CB.N",20110309,NA,"End Of Day (from Real-Time)",59.59,59.88,59.22,59.72,380661
"47","CB.N",20110310,NA,"End Of Day (from Real-Time)",59.14,59.6,58.44,58.96,624315
"48","CB.N",20110311,NA,"End Of Day (from Real-Time)",58.69,59.27,57.99,59.06,693040
"49","CB.N",20110314,NA,"End Of Day (from Real-Time)",58.76,59.36,58.76,59.08,496605
"50","CB.N",20110315,NA,"End Of Day (from Real-Time)",57.8,58.59,57.7,58.34,751933
"51","CB.N",20110316,NA,"End Of Day (from Real-Time)",57.82,58.61,57.71,58.35,1586567
"52","CB.N",20110317,NA,"End Of Day (from Real-Time)",58.89,59,57.9,58.19,930853
"53","CB.N",20110318,NA,"End Of Day (from Real-Time)",58.56,59,57.95,58.07,1740607
"54","CB.N",20110321,NA,"End Of Day (from Real-Time)",58.71,59.37,58.53,59.37,608113
"55","CB.N",20110322,NA,"End Of Day (from Real-Time)",59.38,59.75,59.26,59.34,344932
"56","CB.N",20110323,NA,"End Of Day (from Real-Time)",59.24,59.72,58.89,59.51,508562
"57","CB.N",20110324,NA,"End Of Day (from Real-Time)",59.65,60.06,59.23,59.98,508306
"58","CB.N",20110325,NA,"End Of Day (from Real-Time)",60.26,60.46,59.8,60.28,391556
"59","CB.N",20110328,NA,"End Of Day (from Real-Time)",60.28,60.35,59.94,60.05,416019
"60","CB.N",20110329,NA,"End Of Day (from Real-Time)",60.18,60.5,59.81,60.37,474485
"61","CB.N",20110330,NA,"End Of Day (from Real-Time)",60.53,61.06,60.45,60.96,601910
"62","CB.N",20110331,NA,"End Of Day (from Real-Time)",60.75,61.71,60.68,61.31,586848
"63","CB.N",20110401,NA,"End Of Day (from Real-Time)",61.78,61.79,60.83,61.43,573982
"64","CB.N",20110404,NA,"End Of Day (from Real-Time)",61.43,62.03,61.43,61.86,559456
"65","CB.N",20110405,NA,"End Of Day (from Real-Time)",61.69,62.24,61.62,61.8,503768
"66","CB.N",20110406,NA,"End Of Day (from Real-Time)",62,62.33,61.89,62.3,468562
"67","CB.N",20110407,NA,"End Of Day (from Real-Time)",62.13,62.28,61.93,62.12,414772
"68","CB.N",20110408,NA,"End Of Day (from Real-Time)",62.24,62.36,61.89,62.12,288683
"69","CB.N",20110411,NA,"End Of Day (from Real-Time)",62.1,62.57,61.91,62.23,636563
"70","CB.N",20110412,NA,"End Of Day (from Real-Time)",61.85,62.16,61.63,61.73,365183
"71","CB.N",20110413,NA,"End Of Day (from Real-Time)",61.93,62.11,61.59,61.87,389780
"72","CB.N",20110414,NA,"End Of Day (from Real-Time)",61.65,61.85,61.45,61.69,553475
"73","CB.N",20110415,NA,"End Of Day (from Real-Time)",61.9,61.9,61.42,61.87,662331
"74","CB.N",20110418,NA,"End Of Day (from Real-Time)",61.32,61.55,60.58,61.07,559435
"75","CB.N",20110419,NA,"End Of Day (from Real-Time)",61.12,61.18,60.45,60.5,380566
"76","CB.N",20110420,NA,"End Of Day (from Real-Time)",60.9,61.36,60.67,60.86,561522
"77","CB.N",20110421,NA,"End Of Day (from Real-Time)",61.19,61.97,61.09,61.56,401091
"78","CB.N",20110425,NA,"End Of Day (from Real-Time)",61.31,62.77,61.31,62.6,633870
"79","CB.N",20110426,NA,"End Of Day (from Real-Time)",62.75,63.11,62.62,63.06,743109
"80","CB.N",20110427,NA,"End Of Day (from Real-Time)",63.1,64.43,63,64.23,910162
"81","CB.N",20110428,NA,"End Of Day (from Real-Time)",64.1,64.87,64.1,64.74,524460
"82","CB.N",20110429,NA,"End Of Day (from Real-Time)",64.7,65.24,64.38,65.19,592603
"83","CB.N",20110502,NA,"End Of Day (from Real-Time)",65.5,65.64,65.01,65.24,443838
"84","CB.N",20110503,NA,"End Of Day (from Real-Time)",65.13,65.25,64.7,65.22,452975
"85","CB.N",20110504,NA,"End Of Day (from Real-Time)",65.25,65.25,64.44,64.97,581566
"86","CB.N",20110505,NA,"End Of Day (from Real-Time)",65.07,65.55,64.34,64.49,485155
"87","CB.N",20110506,NA,"End Of Day (from Real-Time)",65.02,65.62,65.02,65.41,577851
"88","CB.N",20110509,NA,"End Of Day (from Real-Time)",65.21,65.4,64.64,65.3,472793
"89","CB.N",20110510,NA,"End Of Day (from Real-Time)",65.48,65.74,65.37,65.6,344823
"90","CB.N",20110511,NA,"End Of Day (from Real-Time)",65.5,65.79,64.6,65.02,489086
"91","CB.N",20110512,NA,"End Of Day (from Real-Time)",65,65.42,64.51,65.23,586909
"92","CB.N",20110513,NA,"End Of Day (from Real-Time)",65.2,65.26,64.62,64.87,480279
"93","CB.N",20110516,NA,"End Of Day (from Real-Time)",64.62,65.3,64.47,64.99,494277
"94","CB.N",20110517,NA,"End Of Day (from Real-Time)",64.65,65.37,64.49,65.33,490405
"95","CB.N",20110518,NA,"End Of Day (from Real-Time)",65.31,65.88,65.08,65.85,417417
"96","CB.N",20110519,NA,"End Of Day (from Real-Time)",66,66,65.52,65.87,317725
"97","CB.N",20110520,NA,"End Of Day (from Real-Time)",65.83,65.94,65.5,65.58,558575
"98","CB.N",20110523,NA,"End Of Day (from Real-Time)",65.08,65.12,64.78,64.8,481011
"99","CB.N",20110524,NA,"End Of Day (from Real-Time)",64.87,65,64.48,64.5,527131
