"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CBG.N",20110103,NA,"End Of Day (from Real-Time)",20.65,21.02,20.65,21.01,708729
"2","CBG.N",20110104,NA,"End Of Day (from Real-Time)",21.09,21.14,20.29,20.43,872221
"3","CBG.N",20110105,NA,"End Of Day (from Real-Time)",20.3,20.7,20.29,20.62,583466
"4","CBG.N",20110106,NA,"End Of Day (from Real-Time)",20.62,21.27,20.58,20.74,954114
"5","CBG.N",20110107,NA,"End Of Day (from Real-Time)",20.85,20.85,20.34,20.7,879203
"6","CBG.N",20110110,NA,"End Of Day (from Real-Time)",20.68,20.72,20.38,20.58,779542
"7","CBG.N",20110111,NA,"End Of Day (from Real-Time)",20.64,21.04,20.49,20.86,560935
"8","CBG.N",20110112,NA,"End Of Day (from Real-Time)",21.11,21.17,20.89,21.16,842221
"9","CBG.N",20110113,NA,"End Of Day (from Real-Time)",21.12,21.31,20.96,21.31,419238
"10","CBG.N",20110114,NA,"End Of Day (from Real-Time)",21.3,21.97,21.17,21.97,835724
"11","CBG.N",20110118,NA,"End Of Day (from Real-Time)",22.02,22.46,21.84,22.44,796198
"12","CBG.N",20110119,NA,"End Of Day (from Real-Time)",22.38,22.55,21.92,22.01,778210
"13","CBG.N",20110120,NA,"End Of Day (from Real-Time)",22.05,22.24,21.85,22.07,901555
"14","CBG.N",20110121,NA,"End Of Day (from Real-Time)",22.31,22.64,22.23,22.59,1073976
"15","CBG.N",20110124,NA,"End Of Day (from Real-Time)",22.55,22.62,21.91,21.93,1068453
"16","CBG.N",20110125,NA,"End Of Day (from Real-Time)",21.87,21.9,21.59,21.75,645920
"17","CBG.N",20110126,NA,"End Of Day (from Real-Time)",21.77,21.87,21.45,21.8,787119
"18","CBG.N",20110127,NA,"End Of Day (from Real-Time)",22.01,22.26,21.8,22.09,683932
"19","CBG.N",20110128,NA,"End Of Day (from Real-Time)",22.05,22.51,21.75,21.88,920375
"20","CBG.N",20110131,NA,"End Of Day (from Real-Time)",21.96,22.28,21.94,22.19,1211935
"21","CBG.N",20110201,NA,"End Of Day (from Real-Time)",22.33,23.07,22.29,22.91,974723
"22","CBG.N",20110202,NA,"End Of Day (from Real-Time)",22.98,24.12,22.98,24.04,1740728
"23","CBG.N",20110203,NA,"End Of Day (from Real-Time)",23.97,24.01,23.5,23.78,1022044
"24","CBG.N",20110204,NA,"End Of Day (from Real-Time)",23,24.09,22.71,23.95,1819879
"25","CBG.N",20110207,NA,"End Of Day (from Real-Time)",23.4,23.95,23.28,23.74,886017
"26","CBG.N",20110208,NA,"End Of Day (from Real-Time)",23.85,23.97,23.72,23.92,644632
"27","CBG.N",20110209,NA,"End Of Day (from Real-Time)",23.84,24.08,23.7,23.88,1001804
"28","CBG.N",20110210,NA,"End Of Day (from Real-Time)",23.76,24.08,23.71,24.02,930114
"29","CBG.N",20110211,NA,"End Of Day (from Real-Time)",23.96,24.55,23.96,24.53,753315
"30","CBG.N",20110214,NA,"End Of Day (from Real-Time)",24.53,24.65,24.31,24.63,555649
"31","CBG.N",20110215,NA,"End Of Day (from Real-Time)",24.61,25.51,24.52,25.34,937629
"32","CBG.N",20110216,NA,"End Of Day (from Real-Time)",25.47,25.68,25.27,25.54,800795
"33","CBG.N",20110217,NA,"End Of Day (from Real-Time)",25.42,25.56,25.04,25.27,609564
"34","CBG.N",20110218,NA,"End Of Day (from Real-Time)",25.25,25.47,25.09,25.46,729494
"35","CBG.N",20110222,NA,"End Of Day (from Real-Time)",25.11,25.24,24.49,24.59,740567
"36","CBG.N",20110223,NA,"End Of Day (from Real-Time)",24.68,25.02,23.88,24.36,796106
"37","CBG.N",20110224,NA,"End Of Day (from Real-Time)",24.34,24.5,23.87,24.21,747681
"38","CBG.N",20110225,NA,"End Of Day (from Real-Time)",24.4,24.96,24.39,24.89,492326
"39","CBG.N",20110228,NA,"End Of Day (from Real-Time)",25,25.32,24.7,25.04,1146245
"40","CBG.N",20110301,NA,"End Of Day (from Real-Time)",25.17,25.18,24.45,24.59,997202
"41","CBG.N",20110302,NA,"End Of Day (from Real-Time)",24.5,24.87,24.31,24.6,608881
"42","CBG.N",20110303,NA,"End Of Day (from Real-Time)",24.9,25.47,24.84,25.45,479013
"43","CBG.N",20110304,NA,"End Of Day (from Real-Time)",25.57,25.57,24.85,25.07,605327
"44","CBG.N",20110307,NA,"End Of Day (from Real-Time)",25.25,25.45,24.35,24.71,1082078
"45","CBG.N",20110308,NA,"End Of Day (from Real-Time)",24.78,25.67,24.75,25.53,696357
"46","CBG.N",20110309,NA,"End Of Day (from Real-Time)",25.54,26.67,25.44,26.58,919056
"47","CBG.N",20110310,NA,"End Of Day (from Real-Time)",26.24,26.42,25.73,25.8,955320
"48","CBG.N",20110311,NA,"End Of Day (from Real-Time)",25.79,27.4,25.54,27.3,1425972
"49","CBG.N",20110314,NA,"End Of Day (from Real-Time)",26.9,27.5,26.89,27.19,1177358
"50","CBG.N",20110315,NA,"End Of Day (from Real-Time)",26.14,26.26,25.79,25.95,1252239
"51","CBG.N",20110316,NA,"End Of Day (from Real-Time)",25.92,26.12,25.09,25.46,955106
"52","CBG.N",20110317,NA,"End Of Day (from Real-Time)",25.87,26.28,25.81,26.15,671441
"53","CBG.N",20110318,NA,"End Of Day (from Real-Time)",26.55,26.89,26.39,26.65,1034035
"54","CBG.N",20110321,NA,"End Of Day (from Real-Time)",27.09,27.47,26.93,27.37,527559
"55","CBG.N",20110322,NA,"End Of Day (from Real-Time)",27.39,27.39,26.94,27.32,638808
"56","CBG.N",20110323,NA,"End Of Day (from Real-Time)",27.29,27.35,26.38,26.96,803753
"57","CBG.N",20110324,NA,"End Of Day (from Real-Time)",27.55,27.84,27.12,27.83,716595
"58","CBG.N",20110325,NA,"End Of Day (from Real-Time)",27.82,27.97,27,27.19,824515
"59","CBG.N",20110328,NA,"End Of Day (from Real-Time)",27.16,27.7,26.92,26.94,611220
"60","CBG.N",20110329,NA,"End Of Day (from Real-Time)",27,27.61,26.7,27.61,886548
"61","CBG.N",20110330,NA,"End Of Day (from Real-Time)",27.87,27.91,26.98,27.02,1182160
