"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CCI.N",20110103,NA,"End Of Day (from Real-Time)",43.98,43.98,43.23,43.42,513243
"2","CCI.N",20110104,NA,"End Of Day (from Real-Time)",43.53,44.04,43.31,43.35,577153
"3","CCI.N",20110105,NA,"End Of Day (from Real-Time)",43.11,43.3,42.9,42.9,409832
"4","CCI.N",20110106,NA,"End Of Day (from Real-Time)",42.94,43.18,42.06,42.14,612782
"5","CCI.N",20110107,NA,"End Of Day (from Real-Time)",42.49,42.79,42.17,42.6,463593
"6","CCI.N",20110110,NA,"End Of Day (from Real-Time)",42.42,42.8,42.24,42.57,434813
"7","CCI.N",20110111,NA,"End Of Day (from Real-Time)",42.75,43,41.96,42.36,356186
"8","CCI.N",20110112,NA,"End Of Day (from Real-Time)",42.57,42.58,42,42.09,515801
"9","CCI.N",20110113,NA,"End Of Day (from Real-Time)",42.16,42.42,41.7,41.92,522390
"10","CCI.N",20110114,NA,"End Of Day (from Real-Time)",41.88,42.15,40.61,40.73,927263
"11","CCI.N",20110118,NA,"End Of Day (from Real-Time)",40.8,42.13,40.74,42.04,848562
"12","CCI.N",20110119,NA,"End Of Day (from Real-Time)",41.9,41.9,41.28,41.57,608905
"13","CCI.N",20110120,NA,"End Of Day (from Real-Time)",41.26,42.5,41.07,42.18,681821
"14","CCI.N",20110121,NA,"End Of Day (from Real-Time)",42.37,42.5,41.72,41.82,455367
"15","CCI.N",20110124,NA,"End Of Day (from Real-Time)",41.85,42.53,41.59,42.49,730809
"16","CCI.N",20110125,NA,"End Of Day (from Real-Time)",42.34,42.97,41.85,42.93,596395
"17","CCI.N",20110126,NA,"End Of Day (from Real-Time)",43.05,44.03,42.95,43.64,863409
"18","CCI.N",20110127,NA,"End Of Day (from Real-Time)",43.99,44.02,43.04,43.86,671565
"19","CCI.N",20110128,NA,"End Of Day (from Real-Time)",44,44.08,42.94,43.05,315333
"20","CCI.N",20110131,NA,"End Of Day (from Real-Time)",42.9,43,41.96,42.17,757142
"21","CCI.N",20110201,NA,"End Of Day (from Real-Time)",42.45,43.33,42.45,43.21,434655
"22","CCI.N",20110202,NA,"End Of Day (from Real-Time)",43.07,43.65,42.88,43.5,330148
"23","CCI.N",20110203,NA,"End Of Day (from Real-Time)",43.37,44.04,43.25,44,282389
"24","CCI.N",20110204,NA,"End Of Day (from Real-Time)",44,45.01,43.98,44.9,529870
"25","CCI.N",20110207,NA,"End Of Day (from Real-Time)",44.94,45.05,44.33,44.4,359169
"26","CCI.N",20110208,NA,"End Of Day (from Real-Time)",44.47,45.18,44.44,45.11,269959
"27","CCI.N",20110209,NA,"End Of Day (from Real-Time)",44.92,45.06,44.65,44.94,224549
"28","CCI.N",20110210,NA,"End Of Day (from Real-Time)",44.85,45.52,44.64,45.36,340314
"29","CCI.N",20110211,NA,"End Of Day (from Real-Time)",45.26,45.98,45.25,45.97,276375
"30","CCI.N",20110214,NA,"End Of Day (from Real-Time)",45.88,46.27,45.78,46.17,372475
"31","CCI.N",20110215,NA,"End Of Day (from Real-Time)",46.17,46.18,45.4,45.5,547100
"32","CCI.N",20110216,NA,"End Of Day (from Real-Time)",45.65,45.92,45.01,45.19,419482
"33","CCI.N",20110217,NA,"End Of Day (from Real-Time)",45.06,45.11,44.04,44.22,789529
"34","CCI.N",20110218,NA,"End Of Day (from Real-Time)",44.11,44.23,43.63,43.78,364330
"35","CCI.N",20110222,NA,"End Of Day (from Real-Time)",43.36,43.86,42.68,42.87,886447
"36","CCI.N",20110223,NA,"End Of Day (from Real-Time)",42.89,43.13,41.51,41.85,1135534
"37","CCI.N",20110224,NA,"End Of Day (from Real-Time)",41.71,41.97,41.51,41.86,758639
"38","CCI.N",20110225,NA,"End Of Day (from Real-Time)",41.98,42.87,41.88,42.67,716801
"39","CCI.N",20110228,NA,"End Of Day (from Real-Time)",42.68,42.9,41.9,42.15,549729
"40","CCI.N",20110301,NA,"End Of Day (from Real-Time)",42.22,42.22,40.75,40.87,834628
"41","CCI.N",20110302,NA,"End Of Day (from Real-Time)",40.95,41.46,40.51,40.68,640941
"42","CCI.N",20110303,NA,"End Of Day (from Real-Time)",40.99,41.34,40.79,41.14,729163
"43","CCI.N",20110304,NA,"End Of Day (from Real-Time)",41.18,41.2,40.62,40.93,366312
"44","CCI.N",20110307,NA,"End Of Day (from Real-Time)",41.08,41.4,40.58,40.76,460416
"45","CCI.N",20110308,NA,"End Of Day (from Real-Time)",40.45,40.45,38.77,40.04,1722176
"46","CCI.N",20110309,NA,"End Of Day (from Real-Time)",39.91,40.3,39.86,40.11,380414
"47","CCI.N",20110310,NA,"End Of Day (from Real-Time)",39.7,39.77,38.69,38.74,946312
"48","CCI.N",20110311,NA,"End Of Day (from Real-Time)",38.96,39.6,38.74,39.39,781145
"49","CCI.N",20110314,NA,"End Of Day (from Real-Time)",39.05,39.3,39.01,39.23,404428
