"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CERN.O",20110103,NA,"End Of Day (from Real-Time)",95.27,97.59,95.27,95.9,580127
"2","CERN.O",20110104,NA,"End Of Day (from Real-Time)",95.68,95.77,93.22,94.36,639548
"3","CERN.O",20110105,NA,"End Of Day (from Real-Time)",93.69,94.61,92.06,94.45,528552
"4","CERN.O",20110106,NA,"End Of Day (from Real-Time)",94.22,95.46,94.13,94.63,274961
"5","CERN.O",20110107,NA,"End Of Day (from Real-Time)",94.85,94.92,93.96,94.88,424005
"6","CERN.O",20110110,NA,"End Of Day (from Real-Time)",94.22,95.3177,93.82,95.29,344656
"7","CERN.O",20110111,NA,"End Of Day (from Real-Time)",95.65,96.41,95.36,96.08,308110
"8","CERN.O",20110112,NA,"End Of Day (from Real-Time)",96.5,96.68,95.7,95.95,252446
"9","CERN.O",20110113,NA,"End Of Day (from Real-Time)",95.81,95.95,95.14,95.42,225786
"10","CERN.O",20110114,NA,"End Of Day (from Real-Time)",95.12,96.89,94.85,96.89,401905
"11","CERN.O",20110118,NA,"End Of Day (from Real-Time)",96.83,98.3,96.83,97.66,437085
"12","CERN.O",20110119,NA,"End Of Day (from Real-Time)",97.34,97.34,95.55,96.16,452238
"13","CERN.O",20110120,NA,"End Of Day (from Real-Time)",96.34,97.62,96,96.15,507459
"14","CERN.O",20110121,NA,"End Of Day (from Real-Time)",96.32,96.94,96.14,96.39,689226
"15","CERN.O",20110124,NA,"End Of Day (from Real-Time)",96.66,97.6,96.66,97.2,384289
"16","CERN.O",20110125,NA,"End Of Day (from Real-Time)",96.69,96.71,95.7,96.3,453480
"17","CERN.O",20110126,NA,"End Of Day (from Real-Time)",96.36,97.08,96.12,96.39,381121
"18","CERN.O",20110127,NA,"End Of Day (from Real-Time)",96.84,98.06,96.35,96.88,415432
"19","CERN.O",20110128,NA,"End Of Day (from Real-Time)",97.12,98.48,96.34,96.49,727791
"20","CERN.O",20110131,NA,"End Of Day (from Real-Time)",96.53,99,96.03,98.85,603869
"21","CERN.O",20110201,NA,"End Of Day (from Real-Time)",99.09,100.26,98.87,100.11,527430
"22","CERN.O",20110202,NA,"End Of Day (from Real-Time)",99.76,100.67,98.13,98.65,413019
"23","CERN.O",20110203,NA,"End Of Day (from Real-Time)",98.3,98.5,96.53,97.25,658209
"24","CERN.O",20110204,NA,"End Of Day (from Real-Time)",97.08,98.88,96.88,98.88,398862
"25","CERN.O",20110207,NA,"End Of Day (from Real-Time)",98.79,99.82,98.33,99.73,558777
"26","CERN.O",20110208,NA,"End Of Day (from Real-Time)",99.64,100.65,99.25,100.63,520594
"27","CERN.O",20110209,NA,"End Of Day (from Real-Time)",100.28,101.99,96.17,97.45,1324758
"28","CERN.O",20110210,NA,"End Of Day (from Real-Time)",96.96,98.44,96.83,98.17,879933
"29","CERN.O",20110211,NA,"End Of Day (from Real-Time)",97.8,98.82,96.89,98.71,634700
"30","CERN.O",20110214,NA,"End Of Day (from Real-Time)",98.48,98.73,97.97,98.17,399842
"31","CERN.O",20110215,NA,"End Of Day (from Real-Time)",98.05,99.4,97.85,99.09,657232
"32","CERN.O",20110216,NA,"End Of Day (from Real-Time)",99.22,100,98.45,99.66,401447
"33","CERN.O",20110217,NA,"End Of Day (from Real-Time)",99.22,100.83,99.18,100.09,517901
"34","CERN.O",20110218,NA,"End Of Day (from Real-Time)",99.91,100.2,99.25,99.78,581852
