"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CF.N",20110103,NA,"End Of Day (from Real-Time)",136.77,140.19,135.55,136.23,492697
"2","CF.N",20110104,NA,"End Of Day (from Real-Time)",136.56,137.1,132.85,134.98,400686
"3","CF.N",20110105,NA,"End Of Day (from Real-Time)",135.66,138.27,133.63,137,514608
"4","CF.N",20110106,NA,"End Of Day (from Real-Time)",137.16,138.89,135.74,138.02,307962
"5","CF.N",20110107,NA,"End Of Day (from Real-Time)",137.33,139.56,136.3,137.47,354052
"6","CF.N",20110110,NA,"End Of Day (from Real-Time)",134,136.21,132.33,135.49,391090
"7","CF.N",20110111,NA,"End Of Day (from Real-Time)",136.96,137.75,134.71,135.07,304905
"8","CF.N",20110112,NA,"End Of Day (from Real-Time)",138.35,142.81,137.4,141.81,520887
"9","CF.N",20110113,NA,"End Of Day (from Real-Time)",141.74,143.38,139.77,142.47,376595
"10","CF.N",20110114,NA,"End Of Day (from Real-Time)",143.2,146.49,142.05,146.27,488514
"11","CF.N",20110118,NA,"End Of Day (from Real-Time)",145.99,149.61,145.56,149.45,542237
"12","CF.N",20110119,NA,"End Of Day (from Real-Time)",148.29,148.29,139.23,140.17,665520
"13","CF.N",20110120,NA,"End Of Day (from Real-Time)",138.68,138.68,133.18,135.83,777933
"14","CF.N",20110121,NA,"End Of Day (from Real-Time)",138.41,139.6,132.84,133.3,516574
"15","CF.N",20110124,NA,"End Of Day (from Real-Time)",133.07,135.19,130.25,132.27,402516
"16","CF.N",20110125,NA,"End Of Day (from Real-Time)",132.06,132.06,127.61,130.73,569394
"17","CF.N",20110126,NA,"End Of Day (from Real-Time)",131.71,135.98,129.57,134.56,725171
"18","CF.N",20110127,NA,"End Of Day (from Real-Time)",136.84,138.1,133.09,133.76,371112
"19","CF.N",20110128,NA,"End Of Day (from Real-Time)",134.6,134.8,130.5,133.98,510514
"20","CF.N",20110131,NA,"End Of Day (from Real-Time)",135.44,137.07,133.33,135.04,648716
"21","CF.N",20110201,NA,"End Of Day (from Real-Time)",136.5,139.47,135.82,138.4,408488
"22","CF.N",20110202,NA,"End Of Day (from Real-Time)",138.62,145.12,136.13,144.99,572050
"23","CF.N",20110203,NA,"End Of Day (from Real-Time)",145.29,145.5,140.25,142.22,404505
"24","CF.N",20110204,NA,"End Of Day (from Real-Time)",142.2,143.56,140.97,142.66,245254
"25","CF.N",20110207,NA,"End Of Day (from Real-Time)",143.5,147.32,143.44,146.23,352415
"26","CF.N",20110208,NA,"End Of Day (from Real-Time)",146.58,148,143.95,146.47,342375
"27","CF.N",20110209,NA,"End Of Day (from Real-Time)",149.08,153.16,146.44,152.02,709099
"28","CF.N",20110210,NA,"End Of Day (from Real-Time)",150.05,153.83,149.9,150.37,462749
"29","CF.N",20110211,NA,"End Of Day (from Real-Time)",149.54,151.88,148.21,150.34,401099
"30","CF.N",20110214,NA,"End Of Day (from Real-Time)",150.35,153.15,150,151.78,314472
"31","CF.N",20110215,NA,"End Of Day (from Real-Time)",151.24,151.24,143.26,143.9,434228
"32","CF.N",20110216,NA,"End Of Day (from Real-Time)",144.77,146.92,143.1,144.84,303039
"33","CF.N",20110217,NA,"End Of Day (from Real-Time)",144.4,147.96,144.34,147.81,342658
"34","CF.N",20110218,NA,"End Of Day (from Real-Time)",147.81,147.81,136.76,137.87,707539
"35","CF.N",20110222,NA,"End Of Day (from Real-Time)",137.65,142.13,131.8,132,620982
"36","CF.N",20110223,NA,"End Of Day (from Real-Time)",131.36,135.68,123.43,134.44,971219
"37","CF.N",20110224,NA,"End Of Day (from Real-Time)",135.78,137.11,133,134.02,640164
"38","CF.N",20110225,NA,"End Of Day (from Real-Time)",135.73,140.17,135.5,140.04,388856
"39","CF.N",20110228,NA,"End Of Day (from Real-Time)",141,142.88,137.78,141.28,485115
"40","CF.N",20110301,NA,"End Of Day (from Real-Time)",142.49,142.49,136.33,136.97,391415
"41","CF.N",20110302,NA,"End Of Day (from Real-Time)",136.63,138.26,134,135.08,378336
"42","CF.N",20110303,NA,"End Of Day (from Real-Time)",137.15,140.7,136.4,140.14,513713
"43","CF.N",20110304,NA,"End Of Day (from Real-Time)",139.22,140.06,133.31,134.31,431427
"44","CF.N",20110307,NA,"End Of Day (from Real-Time)",135.11,135.7,127.44,128.9,581661
"45","CF.N",20110308,NA,"End Of Day (from Real-Time)",129.25,129.48,124.91,128.94,505962
"46","CF.N",20110309,NA,"End Of Day (from Real-Time)",127.69,129.78,125.24,126.53,374961
"47","CF.N",20110310,NA,"End Of Day (from Real-Time)",123.75,126.84,120.93,123.98,579225
"48","CF.N",20110311,NA,"End Of Day (from Real-Time)",122.1,127.24,122,126.02,395260
"49","CF.N",20110314,NA,"End Of Day (from Real-Time)",123.39,128.38,123.28,125.97,316921
"50","CF.N",20110315,NA,"End Of Day (from Real-Time)",120.96,126.62,120.37,124.78,633768
"51","CF.N",20110316,NA,"End Of Day (from Real-Time)",125.9,130,123.56,126.89,552387
"52","CF.N",20110317,NA,"End Of Day (from Real-Time)",129.07,131.03,127.86,129.53,593245
"53","CF.N",20110318,NA,"End Of Day (from Real-Time)",132.61,132.98,126.65,127.4,560441
"54","CF.N",20110321,NA,"End Of Day (from Real-Time)",126,127.37,124.75,127.14,547663
"55","CF.N",20110322,NA,"End Of Day (from Real-Time)",127.13,127.13,121.68,122.56,490606
