"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CFN.N",20110103,NA,"End Of Day (from Real-Time)",25.79,25.79,25.28,25.38,660631
"2","CFN.N",20110104,NA,"End Of Day (from Real-Time)",25.44,25.52,24.97,25.48,595132
"3","CFN.N",20110105,NA,"End Of Day (from Real-Time)",25.39,25.49,25.11,25.41,339396
"4","CFN.N",20110106,NA,"End Of Day (from Real-Time)",25.4,25.49,25.16,25.41,356543
"5","CFN.N",20110107,NA,"End Of Day (from Real-Time)",25.4,25.6,25.17,25.31,333519
"6","CFN.N",20110110,NA,"End Of Day (from Real-Time)",25.16,25.24,24.95,25.22,297865
"7","CFN.N",20110111,NA,"End Of Day (from Real-Time)",25.24,25.67,25.14,25.66,275916
"8","CFN.N",20110112,NA,"End Of Day (from Real-Time)",25.72,26.08,25.47,25.92,605283
"9","CFN.N",20110113,NA,"End Of Day (from Real-Time)",25.86,26.58,25.86,26.49,729515
"10","CFN.N",20110114,NA,"End Of Day (from Real-Time)",26.39,26.98,26.12,26.84,681778
"11","CFN.N",20110118,NA,"End Of Day (from Real-Time)",26.8,26.8,26.2,26.21,504037
"12","CFN.N",20110119,NA,"End Of Day (from Real-Time)",26.16,26.45,25.88,26.03,605635
"13","CFN.N",20110120,NA,"End Of Day (from Real-Time)",25.88,26.07,25.65,25.91,494931
"14","CFN.N",20110121,NA,"End Of Day (from Real-Time)",26.09,26.48,26.04,26.06,599989
"15","CFN.N",20110124,NA,"End Of Day (from Real-Time)",26.02,26.48,26.01,26.42,386270
"16","CFN.N",20110125,NA,"End Of Day (from Real-Time)",26.38,26.6,25.98,26.2,291506
"17","CFN.N",20110126,NA,"End Of Day (from Real-Time)",26.21,26.24,26.01,26.17,302404
"18","CFN.N",20110127,NA,"End Of Day (from Real-Time)",26.14,26.28,25.69,25.77,357763
"19","CFN.N",20110128,NA,"End Of Day (from Real-Time)",25.83,26,25.15,25.22,679544
"20","CFN.N",20110131,NA,"End Of Day (from Real-Time)",25.28,25.73,25.26,25.73,594274
"21","CFN.N",20110201,NA,"End Of Day (from Real-Time)",26.02,26.9,25.98,26.31,716500
"22","CFN.N",20110202,NA,"End Of Day (from Real-Time)",26.18,26.33,25.98,26.17,366538
"23","CFN.N",20110203,NA,"End Of Day (from Real-Time)",26.08,27.18,26.06,26.69,542882
"24","CFN.N",20110204,NA,"End Of Day (from Real-Time)",26.52,27.82,26.5,27.43,757896
"25","CFN.N",20110207,NA,"End Of Day (from Real-Time)",27.42,28.03,27.33,28,517225
