"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CI.N",20110103,NA,"End Of Day (from Real-Time)",36.76,37.9,36.76,37.82,1178161
"2","CI.N",20110104,NA,"End Of Day (from Real-Time)",37.77,37.82,37.37,37.48,1035126
"3","CI.N",20110105,NA,"End Of Day (from Real-Time)",37.28,37.9,37.21,37.6,1327727
"4","CI.N",20110106,NA,"End Of Day (from Real-Time)",38.1,39.14,37.98,39.01,1707053
"5","CI.N",20110107,NA,"End Of Day (from Real-Time)",39.16,39.45,38.72,39.41,1295068
"6","CI.N",20110110,NA,"End Of Day (from Real-Time)",39.13,39.41,38.85,39.28,988132
"7","CI.N",20110111,NA,"End Of Day (from Real-Time)",39.38,39.75,39.36,39.5,1048038
"8","CI.N",20110112,NA,"End Of Day (from Real-Time)",39.75,39.75,39.15,39.32,944688
"9","CI.N",20110113,NA,"End Of Day (from Real-Time)",39.31,39.66,39.22,39.53,667426
"10","CI.N",20110114,NA,"End Of Day (from Real-Time)",39.41,40.43,39.23,40.03,1171466
"11","CI.N",20110118,NA,"End Of Day (from Real-Time)",40.04,41.14,40.04,41.14,1372437
"12","CI.N",20110119,NA,"End Of Day (from Real-Time)",41.03,41.03,40.21,40.41,1021664
"13","CI.N",20110120,NA,"End Of Day (from Real-Time)",40.28,40.86,40.12,40.85,1489343
"14","CI.N",20110121,NA,"End Of Day (from Real-Time)",41.04,41.05,40.59,40.97,1334021
"15","CI.N",20110124,NA,"End Of Day (from Real-Time)",40.93,41.09,40.36,40.51,747940
"16","CI.N",20110125,NA,"End Of Day (from Real-Time)",40.38,41.77,40.36,41.62,1432144
"17","CI.N",20110126,NA,"End Of Day (from Real-Time)",41.65,42.18,41.63,42.06,1401024
"18","CI.N",20110127,NA,"End Of Day (from Real-Time)",42,42.67,41.9,42.55,1039777
"19","CI.N",20110128,NA,"End Of Day (from Real-Time)",42.55,42.65,41.23,41.26,1258487
"20","CI.N",20110131,NA,"End Of Day (from Real-Time)",41.32,42.03,41.32,42.02,1463935
"21","CI.N",20110201,NA,"End Of Day (from Real-Time)",42.21,42.95,41.99,42.91,1029986
"22","CI.N",20110202,NA,"End Of Day (from Real-Time)",42.68,42.75,42.11,42.26,1372081
"23","CI.N",20110203,NA,"End Of Day (from Real-Time)",42.94,42.99,41.38,42.56,1260593
"24","CI.N",20110204,NA,"End Of Day (from Real-Time)",43.25,44,42.14,42.83,893520
"25","CI.N",20110207,NA,"End Of Day (from Real-Time)",42.88,43.08,42.26,42.31,658873
"26","CI.N",20110208,NA,"End Of Day (from Real-Time)",42.37,42.87,42.25,42.66,672846
"27","CI.N",20110209,NA,"End Of Day (from Real-Time)",42.39,43.04,42.34,42.81,561657
"28","CI.N",20110210,NA,"End Of Day (from Real-Time)",42.62,43.16,42.58,43,617107
"29","CI.N",20110211,NA,"End Of Day (from Real-Time)",42.7,43.17,42.59,42.92,484073
"30","CI.N",20110214,NA,"End Of Day (from Real-Time)",42.94,43.07,42.68,42.97,352524
"31","CI.N",20110215,NA,"End Of Day (from Real-Time)",42.75,42.87,42.37,42.48,648333
"32","CI.N",20110216,NA,"End Of Day (from Real-Time)",42.66,43.34,42.62,43.01,576705
"33","CI.N",20110217,NA,"End Of Day (from Real-Time)",42.92,43.7,42.66,43.52,712822
"34","CI.N",20110218,NA,"End Of Day (from Real-Time)",43.54,43.86,42.99,43.13,990548
"35","CI.N",20110222,NA,"End Of Day (from Real-Time)",42.57,43.12,42.02,42.2,865099
"36","CI.N",20110223,NA,"End Of Day (from Real-Time)",42.22,42.41,41.49,41.89,1049404
"37","CI.N",20110224,NA,"End Of Day (from Real-Time)",41.8,42,41.06,41.53,1321088
"38","CI.N",20110225,NA,"End Of Day (from Real-Time)",41.66,42.31,41.65,41.99,806343
"39","CI.N",20110228,NA,"End Of Day (from Real-Time)",42.1,42.46,41.68,42.07,1162826
"40","CI.N",20110301,NA,"End Of Day (from Real-Time)",42.28,42.55,41.83,41.85,670408
"41","CI.N",20110302,NA,"End Of Day (from Real-Time)",41.82,42.97,41.82,42.43,789437
"42","CI.N",20110303,NA,"End Of Day (from Real-Time)",42.73,44.02,42.7,43.82,870287
"43","CI.N",20110304,NA,"End Of Day (from Real-Time)",43.16,43.91,43.15,43.82,1142523
"44","CI.N",20110307,NA,"End Of Day (from Real-Time)",43.63,43.79,42.39,43,953188
"45","CI.N",20110308,NA,"End Of Day (from Real-Time)",43.3,43.67,42.95,43.47,665520
"46","CI.N",20110309,NA,"End Of Day (from Real-Time)",43.39,44.2,43.39,44.12,672243
"47","CI.N",20110310,NA,"End Of Day (from Real-Time)",43.58,43.74,42.79,42.94,951540
"48","CI.N",20110311,NA,"End Of Day (from Real-Time)",42.8,43.6,42.58,43.57,1151675
"49","CI.N",20110314,NA,"End Of Day (from Real-Time)",43.31,43.58,42.67,42.96,1050643
"50","CI.N",20110315,NA,"End Of Day (from Real-Time)",41.26,42.64,41.2,42.4,1336898
"51","CI.N",20110316,NA,"End Of Day (from Real-Time)",42.27,42.27,40.99,41.41,876696
"52","CI.N",20110317,NA,"End Of Day (from Real-Time)",42.01,42.11,41.29,41.72,743772
"53","CI.N",20110318,NA,"End Of Day (from Real-Time)",42.2,42.36,41.45,41.61,1043621
"54","CI.N",20110321,NA,"End Of Day (from Real-Time)",42.17,42.2,41.79,41.96,650155
"55","CI.N",20110322,NA,"End Of Day (from Real-Time)",42.09,42.47,41.88,41.89,1048510
"56","CI.N",20110323,NA,"End Of Day (from Real-Time)",41.82,41.82,41.09,41.44,1232537
"57","CI.N",20110324,NA,"End Of Day (from Real-Time)",41.66,42.43,41.63,42.43,628934
"58","CI.N",20110325,NA,"End Of Day (from Real-Time)",42.49,43.17,42.39,42.6,473266
"59","CI.N",20110328,NA,"End Of Day (from Real-Time)",42.72,42.76,42.43,42.57,403869
"60","CI.N",20110329,NA,"End Of Day (from Real-Time)",42.58,42.84,42.53,42.76,474929
"61","CI.N",20110330,NA,"End Of Day (from Real-Time)",42.93,43.61,42.67,43.52,643269
"62","CI.N",20110331,NA,"End Of Day (from Real-Time)",43.87,44.29,43.37,44.28,1227074
"63","CI.N",20110401,NA,"End Of Day (from Real-Time)",44.5,44.99,44.22,44.56,837024
"64","CI.N",20110404,NA,"End Of Day (from Real-Time)",44.78,44.87,44.36,44.44,697383
"65","CI.N",20110405,NA,"End Of Day (from Real-Time)",44.2,44.2,43.65,43.76,1337315
"66","CI.N",20110406,NA,"End Of Day (from Real-Time)",43.92,43.96,43.22,43.84,730251
"67","CI.N",20110407,NA,"End Of Day (from Real-Time)",43.67,44.14,43.25,43.35,923723
"68","CI.N",20110408,NA,"End Of Day (from Real-Time)",43.51,43.73,42.9,43.13,616002
"69","CI.N",20110411,NA,"End Of Day (from Real-Time)",43.23,43.98,43.23,43.98,896707
"70","CI.N",20110412,NA,"End Of Day (from Real-Time)",43.74,44.78,43.63,44.65,962393
"71","CI.N",20110413,NA,"End Of Day (from Real-Time)",44.77,44.96,43.99,44.25,756627
"72","CI.N",20110414,NA,"End Of Day (from Real-Time)",44.01,44.39,43.49,44.33,701590
"73","CI.N",20110415,NA,"End Of Day (from Real-Time)",44.41,44.81,43.93,44.48,796252
"74","CI.N",20110418,NA,"End Of Day (from Real-Time)",43.86,43.89,42.88,43.14,693399
"75","CI.N",20110419,NA,"End Of Day (from Real-Time)",43.28,43.53,42.8,43.35,700098
"76","CI.N",20110420,NA,"End Of Day (from Real-Time)",43.89,44.01,43.69,43.88,893022
"77","CI.N",20110421,NA,"End Of Day (from Real-Time)",45.51,45.98,45.24,45.29,913472
"78","CI.N",20110425,NA,"End Of Day (from Real-Time)",45.17,45.38,44.82,45.3,419824
"79","CI.N",20110426,NA,"End Of Day (from Real-Time)",45.59,45.96,45.23,45.5,819875
"80","CI.N",20110427,NA,"End Of Day (from Real-Time)",45.76,46,45.33,45.92,987270
"81","CI.N",20110428,NA,"End Of Day (from Real-Time)",46.07,47.19,46,46.97,1612938
"82","CI.N",20110429,NA,"End Of Day (from Real-Time)",47.03,47.03,46.46,46.83,1045394
"83","CI.N",20110502,NA,"End Of Day (from Real-Time)",47.18,47.67,46.35,46.4,1302598
"84","CI.N",20110503,NA,"End Of Day (from Real-Time)",46.42,46.6,46.07,46.5,929558
"85","CI.N",20110504,NA,"End Of Day (from Real-Time)",46.59,46.72,45.48,45.92,1211818
"86","CI.N",20110505,NA,"End Of Day (from Real-Time)",47.64,47.64,46.62,47.18,1417532
"87","CI.N",20110506,NA,"End Of Day (from Real-Time)",47.65,47.76,46.68,46.88,1336016
"88","CI.N",20110509,NA,"End Of Day (from Real-Time)",46.93,47.32,46.8,47.17,792973
"89","CI.N",20110510,NA,"End Of Day (from Real-Time)",47.43,47.6,46.93,47.43,652386
"90","CI.N",20110511,NA,"End Of Day (from Real-Time)",47.49,47.95,47.24,47.72,989709
"91","CI.N",20110512,NA,"End Of Day (from Real-Time)",47.53,48.17,46.85,48.05,726835
"92","CI.N",20110513,NA,"End Of Day (from Real-Time)",49.31,49.31,48.09,48.69,1118996
"93","CI.N",20110516,NA,"End Of Day (from Real-Time)",48.41,49.2,48.13,48.58,845398
"94","CI.N",20110517,NA,"End Of Day (from Real-Time)",48.33,48.46,47.92,48.13,1185438
"95","CI.N",20110518,NA,"End Of Day (from Real-Time)",48.31,49.66,48.11,49.65,1048001
"96","CI.N",20110519,NA,"End Of Day (from Real-Time)",49.71,49.9,49.33,49.53,1572802
"97","CI.N",20110520,NA,"End Of Day (from Real-Time)",49.49,49.65,48.83,49.14,886811
"98","CI.N",20110523,NA,"End Of Day (from Real-Time)",48.78,48.78,47.94,48.49,827546
"99","CI.N",20110524,NA,"End Of Day (from Real-Time)",48.55,48.55,47.45,47.49,966978
"100","CI.N",20110525,NA,"End Of Day (from Real-Time)",47.47,47.82,47.28,47.48,973873
"101","CI.N",20110526,NA,"End Of Day (from Real-Time)",47.29,48.81,46.97,48.7,1237422
"102","CI.N",20110527,NA,"End Of Day (from Real-Time)",48.73,49.48,48.6,49.47,965621
"103","CI.N",20110531,NA,"End Of Day (from Real-Time)",49.77,50,49.36,49.89,1227416
"104","CI.N",20110601,NA,"End Of Day (from Real-Time)",49.87,50.45,49.17,49.18,1187432
"105","CI.N",20110602,NA,"End Of Day (from Real-Time)",49.17,49.85,49.06,49.73,928905
"106","CI.N",20110603,NA,"End Of Day (from Real-Time)",49.13,49.82,48.97,49.61,990555
"107","CI.N",20110606,NA,"End Of Day (from Real-Time)",48.58,49,47.79,47.98,1145711
"108","CI.N",20110607,NA,"End Of Day (from Real-Time)",48.25,49.05,48.18,48.23,995997
"109","CI.N",20110608,NA,"End Of Day (from Real-Time)",48.14,48.54,47.86,48.24,1133859
"110","CI.N",20110609,NA,"End Of Day (from Real-Time)",48.53,50.7,48.5,50.4,1351929
"111","CI.N",20110610,NA,"End Of Day (from Real-Time)",50.38,50.38,48.7,49.09,1226450
"112","CI.N",20110613,NA,"End Of Day (from Real-Time)",49.14,49.6,48.82,49.26,716587
"113","CI.N",20110614,NA,"End Of Day (from Real-Time)",49.66,50.68,49.59,50.41,969166
"114","CI.N",20110615,NA,"End Of Day (from Real-Time)",49.94,50.53,49.15,49.22,981715
"115","CI.N",20110616,NA,"End Of Day (from Real-Time)",49.31,49.54,48.52,49.04,985458
"116","CI.N",20110617,NA,"End Of Day (from Real-Time)",49.5,49.76,48.76,48.89,1412110
"117","CI.N",20110620,NA,"End Of Day (from Real-Time)",48.87,50.1,48.78,50.05,795496
"118","CI.N",20110621,NA,"End Of Day (from Real-Time)",50.47,50.83,50.13,50.51,964720
"119","CI.N",20110622,NA,"End Of Day (from Real-Time)",50.29,50.84,49.73,49.75,1000490
"120","CI.N",20110623,NA,"End Of Day (from Real-Time)",49.11,49.52,48.16,49.32,939813
"121","CI.N",20110624,NA,"End Of Day (from Real-Time)",49.41,49.47,48.42,48.42,1674666
"122","CI.N",20110627,NA,"End Of Day (from Real-Time)",48.64,49.53,48.12,49.41,809242
"123","CI.N",20110628,NA,"End Of Day (from Real-Time)",49.52,51.16,49.48,51.14,1075296
"124","CI.N",20110629,NA,"End Of Day (from Real-Time)",51.24,51.54,50.71,51.27,1480520
"125","CI.N",20110630,NA,"End Of Day (from Real-Time)",51.4,51.81,51.18,51.43,1805563
"126","CI.N",20110701,NA,"End Of Day (from Real-Time)",51.51,52.21,51.33,52.2,875925
"127","CI.N",20110705,NA,"End Of Day (from Real-Time)",52.24,52.29,51.6,52.09,771441
"128","CI.N",20110706,NA,"End Of Day (from Real-Time)",51.94,52.13,51.58,52.04,827601
"129","CI.N",20110707,NA,"End Of Day (from Real-Time)",52.43,52.5,51.22,51.86,655771
"130","CI.N",20110708,NA,"End Of Day (from Real-Time)",51.35,51.89,50.94,51.85,637255
"131","CI.N",20110711,NA,"End Of Day (from Real-Time)",51.1,51.17,50.02,50.15,843756
"132","CI.N",20110712,NA,"End Of Day (from Real-Time)",50.23,50.96,50.13,50.35,753729
"133","CI.N",20110713,NA,"End Of Day (from Real-Time)",50.81,51.79,50.68,51.12,855719
"134","CI.N",20110714,NA,"End Of Day (from Real-Time)",51.14,52.49,51.08,52.06,1408408
"135","CI.N",20110715,NA,"End Of Day (from Real-Time)",52,52.77,51.35,51.66,1139320
"136","CI.N",20110718,NA,"End Of Day (from Real-Time)",51.65,52.16,50.62,51.61,1149273
"137","CI.N",20110719,NA,"End Of Day (from Real-Time)",51.78,51.8,50.85,51.53,935390
"138","CI.N",20110720,NA,"End Of Day (from Real-Time)",51.84,52.43,51.3,51.9,732690
"139","CI.N",20110721,NA,"End Of Day (from Real-Time)",52.33,52.95,52.11,52.55,659798
"140","CI.N",20110722,NA,"End Of Day (from Real-Time)",52.5,52.72,52.16,52.62,504686
"141","CI.N",20110725,NA,"End Of Day (from Real-Time)",52.46,52.9,51.95,52.01,596169
"142","CI.N",20110726,NA,"End Of Day (from Real-Time)",51.94,52.26,51.45,51.56,640733
"143","CI.N",20110727,NA,"End Of Day (from Real-Time)",51.15,51.36,49.86,50.01,1150590
"144","CI.N",20110728,NA,"End Of Day (from Real-Time)",50.15,51.36,49.99,50.21,614208
"145","CI.N",20110729,NA,"End Of Day (from Real-Time)",49.72,50.28,48.29,49.77,1520273
"146","CI.N",20110801,NA,"End Of Day (from Real-Time)",50.05,50.24,46.7,47.62,2774619
"147","CI.N",20110802,NA,"End Of Day (from Real-Time)",47.39,47.95,45.8,46.01,2214320
"148","CI.N",20110803,NA,"End Of Day (from Real-Time)",46.05,46.64,44.42,46.55,1411881
"149","CI.N",20110804,NA,"End Of Day (from Real-Time)",46.35,47.12,45.26,45.5,2355442
"150","CI.N",20110805,NA,"End Of Day (from Real-Time)",45.87,46.3,44.29,45.19,2350084
"151","CI.N",20110808,NA,"End Of Day (from Real-Time)",43.67,43.94,40.24,40.25,2261186
"152","CI.N",20110809,NA,"End Of Day (from Real-Time)",41,43.47,40.5,43.47,1789671
"153","CI.N",20110810,NA,"End Of Day (from Real-Time)",42.27,43.01,40.82,40.98,2294010
"154","CI.N",20110811,NA,"End Of Day (from Real-Time)",40.88,43.33,40.41,42.83,2037052
"155","CI.N",20110812,NA,"End Of Day (from Real-Time)",43.26,44.31,43.09,43.79,1202672
"156","CI.N",20110815,NA,"End Of Day (from Real-Time)",44.09,45.3,43.95,44.76,1124285
