"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CL.N",20110103,NA,"End Of Day (from Real-Time)",80.21,80.54,79.15,79.79,1184873
"2","CL.N",20110104,NA,"End Of Day (from Real-Time)",79.78,80.13,79.33,79.68,905728
"3","CL.N",20110105,NA,"End Of Day (from Real-Time)",78.6,79.39,78.54,79.18,1027138
"4","CL.N",20110106,NA,"End Of Day (from Real-Time)",79.04,79.25,78.35,78.71,1046004
"5","CL.N",20110107,NA,"End Of Day (from Real-Time)",78.69,78.75,78.01,78.33,741704
"6","CL.N",20110110,NA,"End Of Day (from Real-Time)",78,78.47,77.65,77.89,637528
"7","CL.N",20110111,NA,"End Of Day (from Real-Time)",78.13,78.31,77.83,78.21,611506
"8","CL.N",20110112,NA,"End Of Day (from Real-Time)",78.44,78.5,77.77,78.41,744226
"9","CL.N",20110113,NA,"End Of Day (from Real-Time)",78.5,78.57,77.83,78.31,593035
"10","CL.N",20110114,NA,"End Of Day (from Real-Time)",78.15,78.31,77.83,78.31,732251
"11","CL.N",20110118,NA,"End Of Day (from Real-Time)",78.43,78.97,78.17,78.4,1017812
"12","CL.N",20110119,NA,"End Of Day (from Real-Time)",78.5,79.14,78.26,79,655932
"13","CL.N",20110120,NA,"End Of Day (from Real-Time)",78.89,79.42,78.5,78.99,836430
"14","CL.N",20110121,NA,"End Of Day (from Real-Time)",78.56,79.15,78.01,79,1110841
"15","CL.N",20110124,NA,"End Of Day (from Real-Time)",79,79.9,78.86,79.84,770366
"16","CL.N",20110125,NA,"End Of Day (from Real-Time)",79.82,80.36,79.45,80.12,585817
"17","CL.N",20110126,NA,"End Of Day (from Real-Time)",80.3,80.45,79.87,80,675389
"18","CL.N",20110127,NA,"End Of Day (from Real-Time)",77.86,78.52,77.32,77.39,1723694
"19","CL.N",20110128,NA,"End Of Day (from Real-Time)",77.26,77.68,76.83,76.99,1033967
"20","CL.N",20110131,NA,"End Of Day (from Real-Time)",76.57,76.91,76.4,76.77,1155797
"21","CL.N",20110201,NA,"End Of Day (from Real-Time)",77.11,77.16,76.61,76.71,997313
"22","CL.N",20110202,NA,"End Of Day (from Real-Time)",76.12,76.2,74.87,76.05,1497485
