"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CLF.N",20110103,NA,"End Of Day (from Real-Time)",79.38,82.79,79.15,81.85,709031
"2","CLF.N",20110104,NA,"End Of Day (from Real-Time)",82.65,85.34,81.64,85.23,1597353
"3","CLF.N",20110105,NA,"End Of Day (from Real-Time)",84.48,85.86,83.24,84.93,815673
"4","CLF.N",20110106,NA,"End Of Day (from Real-Time)",85.2,85.77,82.94,83.32,635162
"5","CLF.N",20110107,NA,"End Of Day (from Real-Time)",83.39,83.69,80.08,81.33,734953
"6","CLF.N",20110110,NA,"End Of Day (from Real-Time)",81.33,82.67,80.53,82.5,612848
"7","CLF.N",20110111,NA,"End Of Day (from Real-Time)",83.18,85.85,82.93,84.96,590226
"8","CLF.N",20110112,NA,"End Of Day (from Real-Time)",88.2,89.92,86.65,88.43,1116236
"9","CLF.N",20110113,NA,"End Of Day (from Real-Time)",88.5,88.9,86.7,87.4,665443
"10","CLF.N",20110114,NA,"End Of Day (from Real-Time)",87.14,88.86,86.3,88.84,859040
"11","CLF.N",20110118,NA,"End Of Day (from Real-Time)",89,91.11,88.97,91.05,812604
"12","CLF.N",20110119,NA,"End Of Day (from Real-Time)",90.96,91.38,87.28,87.37,657105
"13","CLF.N",20110120,NA,"End Of Day (from Real-Time)",85.9,85.9,82.83,84.25,993336
"14","CLF.N",20110121,NA,"End Of Day (from Real-Time)",85.88,86.2,81.39,81.66,844671
"15","CLF.N",20110124,NA,"End Of Day (from Real-Time)",82,84.59,81.15,82.96,717097
"16","CLF.N",20110125,NA,"End Of Day (from Real-Time)",82.09,83.4,79.67,81.74,882555
"17","CLF.N",20110126,NA,"End Of Day (from Real-Time)",82.84,87.8,82.31,87.71,888069
"18","CLF.N",20110127,NA,"End Of Day (from Real-Time)",87.6,87.71,84.44,85.24,640510
"19","CLF.N",20110128,NA,"End Of Day (from Real-Time)",85.2,86.12,82.36,83.09,581437
"20","CLF.N",20110131,NA,"End Of Day (from Real-Time)",84,85.59,83.3,85.46,513998
"21","CLF.N",20110201,NA,"End Of Day (from Real-Time)",86.62,89.7,86.32,89.64,685114
"22","CLF.N",20110202,NA,"End Of Day (from Real-Time)",90.8,91.67,89.36,90.45,485723
"23","CLF.N",20110203,NA,"End Of Day (from Real-Time)",90.52,90.85,87.5,90.4,401791
"24","CLF.N",20110204,NA,"End Of Day (from Real-Time)",89.97,90.31,88.14,90.27,559239
"25","CLF.N",20110207,NA,"End Of Day (from Real-Time)",90.59,92.24,89.75,90.78,356083
"26","CLF.N",20110208,NA,"End Of Day (from Real-Time)",90.68,91.18,88.91,90.12,371438
"27","CLF.N",20110209,NA,"End Of Day (from Real-Time)",89.12,89.97,85.82,86.75,670667
"28","CLF.N",20110210,NA,"End Of Day (from Real-Time)",85.9,89.49,85.8,88.48,499217
"29","CLF.N",20110211,NA,"End Of Day (from Real-Time)",87.93,88.81,86.89,87.51,488244
"30","CLF.N",20110214,NA,"End Of Day (from Real-Time)",88.15,92.72,88.01,92.67,648557
"31","CLF.N",20110215,NA,"End Of Day (from Real-Time)",92.72,93.78,90.93,92.34,493946
"32","CLF.N",20110216,NA,"End Of Day (from Real-Time)",93.4,93.94,91.81,92.88,604116
"33","CLF.N",20110217,NA,"End Of Day (from Real-Time)",101,101.19,98.05,99.52,1372950
"34","CLF.N",20110218,NA,"End Of Day (from Real-Time)",99.59,99.68,95.1,96.54,893602
"35","CLF.N",20110222,NA,"End Of Day (from Real-Time)",95.64,97.29,92.36,92.73,969400
"36","CLF.N",20110223,NA,"End Of Day (from Real-Time)",93.23,94.96,89.7,92,865251
"37","CLF.N",20110224,NA,"End Of Day (from Real-Time)",92.75,94.89,90.52,93.32,803141
"38","CLF.N",20110225,NA,"End Of Day (from Real-Time)",95,96,94.02,95.23,580362
"39","CLF.N",20110228,NA,"End Of Day (from Real-Time)",96.7,97.88,94.61,97.07,764265
"40","CLF.N",20110301,NA,"End Of Day (from Real-Time)",97.31,97.94,94.5,94.56,891763
"41","CLF.N",20110302,NA,"End Of Day (from Real-Time)",94.72,97.36,94.24,96.88,569229
"42","CLF.N",20110303,NA,"End Of Day (from Real-Time)",98.4,100.9,97.56,100.46,747625
"43","CLF.N",20110304,NA,"End Of Day (from Real-Time)",100.97,101.58,97.91,99.12,412018
"44","CLF.N",20110307,NA,"End Of Day (from Real-Time)",99.6,99.68,93.81,95.77,762962
"45","CLF.N",20110308,NA,"End Of Day (from Real-Time)",95.99,97.13,93.56,96.7,421462
"46","CLF.N",20110309,NA,"End Of Day (from Real-Time)",96.31,96.69,91.19,91.56,1071647
"47","CLF.N",20110310,NA,"End Of Day (from Real-Time)",89.05,90.34,84.73,85.12,1165889
"48","CLF.N",20110311,NA,"End Of Day (from Real-Time)",84.27,88.12,84.27,87.69,974705
"49","CLF.N",20110314,NA,"End Of Day (from Real-Time)",87.87,88.82,85.75,88.62,751034
"50","CLF.N",20110315,NA,"End Of Day (from Real-Time)",84.2,86.5,83.25,85.82,1264603
"51","CLF.N",20110316,NA,"End Of Day (from Real-Time)",86.6,87.41,82.33,83.73,1282384
"52","CLF.N",20110317,NA,"End Of Day (from Real-Time)",86.53,89.06,85.65,88.6,1245896
"53","CLF.N",20110318,NA,"End Of Day (from Real-Time)",90.37,90.94,87.66,87.95,1272065
"54","CLF.N",20110321,NA,"End Of Day (from Real-Time)",90.1,91.76,88.8,91.74,792433
"55","CLF.N",20110322,NA,"End Of Day (from Real-Time)",92,92.33,90.36,92,799166
"56","CLF.N",20110323,NA,"End Of Day (from Real-Time)",92.03,94.89,90.93,94.12,660252
"57","CLF.N",20110324,NA,"End Of Day (from Real-Time)",95.1,95.75,92.72,94.88,546799
