"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CME.O",20110103,NA,"End Of Day (from Real-Time)",323,323.431,315.24,316.44,737608
"2","CME.O",20110104,NA,"End Of Day (from Real-Time)",315.98,318.2799,315.01,316.99,545525
"3","CME.O",20110105,NA,"End Of Day (from Real-Time)",314.03,317.21,310.34,311.36,699367
"4","CME.O",20110106,NA,"End Of Day (from Real-Time)",312,316.58,306.74,313.64,584161
"5","CME.O",20110107,NA,"End Of Day (from Real-Time)",312.15,312.22,304.15,307.66,612747
"6","CME.O",20110110,NA,"End Of Day (from Real-Time)",311.02,318.3699,310.39,314.8675,765958
"7","CME.O",20110111,NA,"End Of Day (from Real-Time)",315.01,317.5,309.06,310.84,415165
"8","CME.O",20110112,NA,"End Of Day (from Real-Time)",313.18,315.828,311.32,314.93,362538
"9","CME.O",20110113,NA,"End Of Day (from Real-Time)",315.35,315.35,310.19,313.6,361720
"10","CME.O",20110114,NA,"End Of Day (from Real-Time)",313.61,317.72,313.0066,316.96,436291
"11","CME.O",20110118,NA,"End Of Day (from Real-Time)",317.17,317.9,313.24,314,331379
"12","CME.O",20110119,NA,"End Of Day (from Real-Time)",313.27,314,305.33,306.26,439185
"13","CME.O",20110120,NA,"End Of Day (from Real-Time)",306.84,312.14,305.34,309.21,293785
"14","CME.O",20110121,NA,"End Of Day (from Real-Time)",311.31,314.34,308.27,309.87,353531
"15","CME.O",20110124,NA,"End Of Day (from Real-Time)",309,310.99,307.88,309.55,285894
"16","CME.O",20110125,NA,"End Of Day (from Real-Time)",308.04,309.46,301.22,306.9,632051
"17","CME.O",20110126,NA,"End Of Day (from Real-Time)",307.2,308.73,304.5017,305.58,453128
"18","CME.O",20110127,NA,"End Of Day (from Real-Time)",305.91,311,305.72,309.88,438547
"19","CME.O",20110128,NA,"End Of Day (from Real-Time)",309.7,312.5,303.5,304.89,420746
"20","CME.O",20110131,NA,"End Of Day (from Real-Time)",304.89,311.47,304.77,308.56,385535
