"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CNP.N",20110103,NA,"End Of Day (from Real-Time)",15.81,15.82,15.72,15.8,916126
"2","CNP.N",20110104,NA,"End Of Day (from Real-Time)",15.77,15.91,15.68,15.83,885714
"3","CNP.N",20110105,NA,"End Of Day (from Real-Time)",15.77,15.85,15.72,15.77,749179
"4","CNP.N",20110106,NA,"End Of Day (from Real-Time)",15.76,15.77,15.57,15.61,1286350
"5","CNP.N",20110107,NA,"End Of Day (from Real-Time)",15.67,15.74,15.52,15.68,2241965
"6","CNP.N",20110110,NA,"End Of Day (from Real-Time)",15.59,15.74,15.48,15.74,1146420
"7","CNP.N",20110111,NA,"End Of Day (from Real-Time)",15.77,15.77,15.62,15.63,1013846
"8","CNP.N",20110112,NA,"End Of Day (from Real-Time)",15.73,15.82,15.67,15.77,953490
"9","CNP.N",20110113,NA,"End Of Day (from Real-Time)",15.78,15.83,15.71,15.77,755788
"10","CNP.N",20110114,NA,"End Of Day (from Real-Time)",15.77,15.8,15.63,15.7,923878
"11","CNP.N",20110118,NA,"End Of Day (from Real-Time)",15.71,15.78,15.65,15.74,886526
"12","CNP.N",20110119,NA,"End Of Day (from Real-Time)",15.75,15.84,15.7,15.82,915708
"13","CNP.N",20110120,NA,"End Of Day (from Real-Time)",15.86,16.2,15.85,15.94,1762461
"14","CNP.N",20110121,NA,"End Of Day (from Real-Time)",15.95,16.06,15.89,15.9,2054680
"15","CNP.N",20110124,NA,"End Of Day (from Real-Time)",15.9,16.1,15.84,16.09,1173916
"16","CNP.N",20110125,NA,"End Of Day (from Real-Time)",16.08,16.15,16.01,16.15,879763
"17","CNP.N",20110126,NA,"End Of Day (from Real-Time)",16.14,16.16,16.05,16.11,718810
"18","CNP.N",20110127,NA,"End Of Day (from Real-Time)",16.13,16.2,16.06,16.15,819046
"19","CNP.N",20110128,NA,"End Of Day (from Real-Time)",16.16,16.17,15.92,16.03,1416073
"20","CNP.N",20110131,NA,"End Of Day (from Real-Time)",16.07,16.26,16,16.15,1647359
"21","CNP.N",20110201,NA,"End Of Day (from Real-Time)",16.24,16.27,16.17,16.25,852269
"22","CNP.N",20110202,NA,"End Of Day (from Real-Time)",16.2,16.25,16.07,16.07,558152
"23","CNP.N",20110203,NA,"End Of Day (from Real-Time)",16.09,16.19,16.01,16.16,759690
"24","CNP.N",20110204,NA,"End Of Day (from Real-Time)",16.19,16.2,16.01,16.14,546937
"25","CNP.N",20110207,NA,"End Of Day (from Real-Time)",16.18,16.35,16.15,16.34,1300548
"26","CNP.N",20110208,NA,"End Of Day (from Real-Time)",16.31,16.34,16.22,16.24,803562
"27","CNP.N",20110209,NA,"End Of Day (from Real-Time)",16.17,16.19,16.02,16.1,1002317
"28","CNP.N",20110210,NA,"End Of Day (from Real-Time)",16.08,16.21,16.02,16.13,763055
"29","CNP.N",20110211,NA,"End Of Day (from Real-Time)",16.05,16.29,16.05,16.19,1163259
"30","CNP.N",20110214,NA,"End Of Day (from Real-Time)",16.02,16.03,15.82,15.88,929270
"31","CNP.N",20110215,NA,"End Of Day (from Real-Time)",15.85,16,15.8,15.96,1149104
"32","CNP.N",20110216,NA,"End Of Day (from Real-Time)",16,16.05,15.87,15.92,874927
"33","CNP.N",20110217,NA,"End Of Day (from Real-Time)",15.9,15.94,15.84,15.91,612871
"34","CNP.N",20110218,NA,"End Of Day (from Real-Time)",15.88,15.91,15.81,15.9,1733543
"35","CNP.N",20110222,NA,"End Of Day (from Real-Time)",15.78,15.9,15.72,15.78,790454
"36","CNP.N",20110223,NA,"End Of Day (from Real-Time)",15.76,15.82,15.54,15.54,1608875
"37","CNP.N",20110224,NA,"End Of Day (from Real-Time)",15.55,15.65,15.4,15.47,1636297
"38","CNP.N",20110225,NA,"End Of Day (from Real-Time)",15.51,15.69,15.48,15.68,1098055
"39","CNP.N",20110228,NA,"End Of Day (from Real-Time)",15.66,15.97,15.6,15.86,1637689
"40","CNP.N",20110301,NA,"End Of Day (from Real-Time)",15.85,16.1,15.63,15.64,1929927
"41","CNP.N",20110302,NA,"End Of Day (from Real-Time)",15.42,15.77,15.41,15.76,1817918
"42","CNP.N",20110303,NA,"End Of Day (from Real-Time)",15.82,15.97,15.77,15.92,1580002
"43","CNP.N",20110304,NA,"End Of Day (from Real-Time)",15.9,15.95,15.71,15.88,1216704
"44","CNP.N",20110307,NA,"End Of Day (from Real-Time)",15.93,16.08,15.8,15.82,1165506
"45","CNP.N",20110308,NA,"End Of Day (from Real-Time)",15.85,16.13,15.85,16.1,981588
"46","CNP.N",20110309,NA,"End Of Day (from Real-Time)",16.04,16.24,16.04,16.24,1060445
"47","CNP.N",20110310,NA,"End Of Day (from Real-Time)",16.12,16.13,15.94,16.02,1837276
"48","CNP.N",20110311,NA,"End Of Day (from Real-Time)",16.08,16.15,15.99,16.1,981945
"49","CNP.N",20110314,NA,"End Of Day (from Real-Time)",15.96,15.96,15.67,15.75,1717417
"50","CNP.N",20110315,NA,"End Of Day (from Real-Time)",15.49,15.72,15.46,15.58,1999034
"51","CNP.N",20110316,NA,"End Of Day (from Real-Time)",15.52,15.58,15.24,15.32,2164042
"52","CNP.N",20110317,NA,"End Of Day (from Real-Time)",15.52,15.52,15.09,15.2,2505433
"53","CNP.N",20110318,NA,"End Of Day (from Real-Time)",15.23,16.73,15.23,16.67,6991592
"54","CNP.N",20110321,NA,"End Of Day (from Real-Time)",16.93,17.22,16.86,17.1,3466055
"55","CNP.N",20110322,NA,"End Of Day (from Real-Time)",17.12,17.21,16.87,16.89,1845642
"56","CNP.N",20110323,NA,"End Of Day (from Real-Time)",16.9,17.02,16.79,16.96,1265108
"57","CNP.N",20110324,NA,"End Of Day (from Real-Time)",17.02,17.19,16.92,17.17,1110119
"58","CNP.N",20110325,NA,"End Of Day (from Real-Time)",17.16,17.36,17.08,17.13,913222
"59","CNP.N",20110328,NA,"End Of Day (from Real-Time)",17.23,17.44,17.14,17.17,963902
"60","CNP.N",20110329,NA,"End Of Day (from Real-Time)",17.2,17.31,17.08,17.29,697415
"61","CNP.N",20110330,NA,"End Of Day (from Real-Time)",17.36,17.76,17.33,17.68,1210064
"62","CNP.N",20110331,NA,"End Of Day (from Real-Time)",17.66,17.74,17.56,17.56,1032151
"63","CNP.N",20110401,NA,"End Of Day (from Real-Time)",17.75,17.88,17.67,17.75,714740
"64","CNP.N",20110404,NA,"End Of Day (from Real-Time)",17.95,17.99,17.79,17.91,1091951
"65","CNP.N",20110405,NA,"End Of Day (from Real-Time)",17.86,17.88,17.64,17.68,890246
"66","CNP.N",20110406,NA,"End Of Day (from Real-Time)",17.77,17.83,17.66,17.71,626375
"67","CNP.N",20110407,NA,"End Of Day (from Real-Time)",17.72,17.72,17.48,17.49,1209768
"68","CNP.N",20110408,NA,"End Of Day (from Real-Time)",17.6,17.7,17.37,17.5,853778
