"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CNX.N",20110103,NA,"End Of Day (from Real-Time)",49.89,51.56,49.7,51.17,1639021
"2","CNX.N",20110104,NA,"End Of Day (from Real-Time)",51.73,51.91,49.94,50.69,1530098
"3","CNX.N",20110105,NA,"End Of Day (from Real-Time)",50.37,51.72,50.03,51.3,1010494
"4","CNX.N",20110106,NA,"End Of Day (from Real-Time)",51.6,51.7,50.27,50.43,1066849
"5","CNX.N",20110107,NA,"End Of Day (from Real-Time)",50.46,50.97,49.5,50.9,1136215
"6","CNX.N",20110110,NA,"End Of Day (from Real-Time)",50.9,51.26,50.11,51.04,1132273
"7","CNX.N",20110111,NA,"End Of Day (from Real-Time)",51.59,53.44,51.56,53.04,1215260
"8","CNX.N",20110112,NA,"End Of Day (from Real-Time)",54,54,52.05,54,1196258
"9","CNX.N",20110113,NA,"End Of Day (from Real-Time)",53.8,54.1,52.28,54.06,1280885
"10","CNX.N",20110114,NA,"End Of Day (from Real-Time)",52.88,53.49,51.54,51.74,1697410
"11","CNX.N",20110118,NA,"End Of Day (from Real-Time)",51.63,51.96,51,51.23,1033243
"12","CNX.N",20110119,NA,"End Of Day (from Real-Time)",51.07,51.3,49.66,49.92,1141491
"13","CNX.N",20110120,NA,"End Of Day (from Real-Time)",49.55,50.8,48.75,50.57,1519387
"14","CNX.N",20110121,NA,"End Of Day (from Real-Time)",51.04,51.79,50.16,50.23,1343029
"15","CNX.N",20110124,NA,"End Of Day (from Real-Time)",50.16,50.99,49.8,50.58,839393
"16","CNX.N",20110125,NA,"End Of Day (from Real-Time)",50.44,51.04,48.74,50.16,1224564
"17","CNX.N",20110126,NA,"End Of Day (from Real-Time)",50.38,51.68,50.29,51.52,931053
"18","CNX.N",20110127,NA,"End Of Day (from Real-Time)",49.5,50.35,48.11,48.45,2218584
"19","CNX.N",20110128,NA,"End Of Day (from Real-Time)",48.1,48.53,47.04,47.93,1646364
"20","CNX.N",20110131,NA,"End Of Day (from Real-Time)",48.26,50.07,48.24,49.7,1175617
"21","CNX.N",20110201,NA,"End Of Day (from Real-Time)",50.16,51.63,49.94,51.31,1057510
"22","CNX.N",20110202,NA,"End Of Day (from Real-Time)",50.88,51.98,50.19,50.22,761984
"23","CNX.N",20110203,NA,"End Of Day (from Real-Time)",49.88,49.92,48.22,49.69,1074352
"24","CNX.N",20110204,NA,"End Of Day (from Real-Time)",49.66,50.19,48.65,49.33,825809
"25","CNX.N",20110207,NA,"End Of Day (from Real-Time)",49.5,49.85,47.98,48.27,755572
"26","CNX.N",20110208,NA,"End Of Day (from Real-Time)",48.55,49.47,47.91,49.39,920083
"27","CNX.N",20110209,NA,"End Of Day (from Real-Time)",49.19,49.76,47.46,47.72,1482675
"28","CNX.N",20110210,NA,"End Of Day (from Real-Time)",47.54,48.48,47.54,48.34,732783
"29","CNX.N",20110211,NA,"End Of Day (from Real-Time)",47.75,47.85,46.5,47,1468532
"30","CNX.N",20110214,NA,"End Of Day (from Real-Time)",47.13,47.88,46.64,47.41,1220286
"31","CNX.N",20110215,NA,"End Of Day (from Real-Time)",47.41,47.52,46.02,46.22,1303358
"32","CNX.N",20110216,NA,"End Of Day (from Real-Time)",46.37,47.24,45.97,47.1,934772
"33","CNX.N",20110217,NA,"End Of Day (from Real-Time)",46.96,47.29,46.38,46.79,812544
"34","CNX.N",20110218,NA,"End Of Day (from Real-Time)",46.85,47,45.58,45.89,1107134
"35","CNX.N",20110222,NA,"End Of Day (from Real-Time)",45.51,47.02,45.42,45.49,1229218
"36","CNX.N",20110223,NA,"End Of Day (from Real-Time)",45.46,48.71,45.43,48.61,2100036
"37","CNX.N",20110224,NA,"End Of Day (from Real-Time)",48.24,49.39,47.92,48.84,1794327
"38","CNX.N",20110225,NA,"End Of Day (from Real-Time)",48.95,49.84,48.43,49.81,1550024
"39","CNX.N",20110228,NA,"End Of Day (from Real-Time)",50,50.84,49.77,50.71,1449172
"40","CNX.N",20110301,NA,"End Of Day (from Real-Time)",51,51.27,49.31,49.51,1357939
"41","CNX.N",20110302,NA,"End Of Day (from Real-Time)",49.5,51.24,49.11,50.98,1130773
"42","CNX.N",20110303,NA,"End Of Day (from Real-Time)",51.49,52.84,51.35,52.69,1273010
"43","CNX.N",20110304,NA,"End Of Day (from Real-Time)",52.6,53.03,51.83,52.48,1030694
"44","CNX.N",20110307,NA,"End Of Day (from Real-Time)",52.82,52.98,50.28,50.85,892519
"45","CNX.N",20110308,NA,"End Of Day (from Real-Time)",51.09,51.91,50.08,50.87,820970
"46","CNX.N",20110309,NA,"End Of Day (from Real-Time)",50.57,51.04,49.53,50,566344
"47","CNX.N",20110310,NA,"End Of Day (from Real-Time)",49.16,49.26,47.73,47.82,1174905
"48","CNX.N",20110311,NA,"End Of Day (from Real-Time)",47.51,48.99,47.45,48.61,785726
"49","CNX.N",20110314,NA,"End Of Day (from Real-Time)",49.45,51,49.43,50.87,1316885
"50","CNX.N",20110315,NA,"End Of Day (from Real-Time)",49.19,51.66,48.43,51.5,2000780
"51","CNX.N",20110316,NA,"End Of Day (from Real-Time)",52,53.93,51.42,52.38,2108039
"52","CNX.N",20110317,NA,"End Of Day (from Real-Time)",53.65,55.49,52.67,55.33,2064150
"53","CNX.N",20110318,NA,"End Of Day (from Real-Time)",56.15,56.18,53.1,53.93,2468512
"54","CNX.N",20110321,NA,"End Of Day (from Real-Time)",55.03,55.23,53.84,54.68,938882
"55","CNX.N",20110322,NA,"End Of Day (from Real-Time)",54.52,54.71,53.19,53.82,1258203
"56","CNX.N",20110323,NA,"End Of Day (from Real-Time)",53.95,55.68,53.85,55.45,1127681
"57","CNX.N",20110324,NA,"End Of Day (from Real-Time)",55.78,55.88,54.38,55.49,774643
"58","CNX.N",20110325,NA,"End Of Day (from Real-Time)",55.5,56.17,55,55.48,1077855
"59","CNX.N",20110328,NA,"End Of Day (from Real-Time)",55,55.62,53.17,53.21,1404194
"60","CNX.N",20110329,NA,"End Of Day (from Real-Time)",53.17,53.31,52.05,52.75,1999652
"61","CNX.N",20110330,NA,"End Of Day (from Real-Time)",53.46,54.07,52.91,53.31,1235104
