"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","COH.N",20110103,NA,"End Of Day (from Real-Time)",55.03,55.03,54.2,54.56,1024465
"2","COH.N",20110104,NA,"End Of Day (from Real-Time)",54.45,54.49,52.19,52.28,2373526
"3","COH.N",20110105,NA,"End Of Day (from Real-Time)",51.9,52.55,51.3,52.54,1468903
"4","COH.N",20110106,NA,"End Of Day (from Real-Time)",52.47,53.14,52.15,52.88,1196137
"5","COH.N",20110107,NA,"End Of Day (from Real-Time)",53.07,53.12,52.26,52.83,1133607
"6","COH.N",20110110,NA,"End Of Day (from Real-Time)",52.55,53.84,52.3,53.49,1100580
"7","COH.N",20110111,NA,"End Of Day (from Real-Time)",54.5,54.59,53.57,53.99,1216219
"8","COH.N",20110112,NA,"End Of Day (from Real-Time)",54.72,54.91,53.96,54.31,874356
"9","COH.N",20110113,NA,"End Of Day (from Real-Time)",54.44,54.59,53.6,53.87,582833
"10","COH.N",20110114,NA,"End Of Day (from Real-Time)",53.75,54.45,53.5,54.38,616137
"11","COH.N",20110118,NA,"End Of Day (from Real-Time)",54.87,55.25,53.85,54.14,1289753
"12","COH.N",20110119,NA,"End Of Day (from Real-Time)",54.19,54.31,53.25,53.64,792903
"13","COH.N",20110120,NA,"End Of Day (from Real-Time)",53.22,53.86,53,53.38,1099946
"14","COH.N",20110121,NA,"End Of Day (from Real-Time)",53.81,53.85,52.99,53,1061274
"15","COH.N",20110124,NA,"End Of Day (from Real-Time)",53.11,53.82,52.95,53.37,959468
"16","COH.N",20110125,NA,"End Of Day (from Real-Time)",52,53.23,51.74,53.09,2235882
"17","COH.N",20110126,NA,"End Of Day (from Real-Time)",53.5,54.66,53.44,54.04,1975145
"18","COH.N",20110127,NA,"End Of Day (from Real-Time)",54.2,54.33,53.58,54,971668
"19","COH.N",20110128,NA,"End Of Day (from Real-Time)",54.12,54.43,52.58,52.82,1136423
"20","COH.N",20110131,NA,"End Of Day (from Real-Time)",52.9,54.17,52.9,54.09,996915
"21","COH.N",20110201,NA,"End Of Day (from Real-Time)",54.43,54.76,53.82,54,793111
"22","COH.N",20110202,NA,"End Of Day (from Real-Time)",53.86,54.04,52.93,53.86,791990
"23","COH.N",20110203,NA,"End Of Day (from Real-Time)",54,54.68,53.77,54.2,947479
"24","COH.N",20110204,NA,"End Of Day (from Real-Time)",54.2,54.7,53.72,54.59,831582
"25","COH.N",20110207,NA,"End Of Day (from Real-Time)",55.27,56.19,54.95,55.89,1014263
"26","COH.N",20110208,NA,"End Of Day (from Real-Time)",56.07,57.26,55.97,57.21,744696
"27","COH.N",20110209,NA,"End Of Day (from Real-Time)",57.2,57.8,56.7,57.41,738893
"28","COH.N",20110210,NA,"End Of Day (from Real-Time)",57.12,57.65,56.87,57.61,674544
"29","COH.N",20110211,NA,"End Of Day (from Real-Time)",57.3,58.02,57.16,57.86,619217
"30","COH.N",20110214,NA,"End Of Day (from Real-Time)",57.53,58.04,57.53,57.97,575022
"31","COH.N",20110215,NA,"End Of Day (from Real-Time)",57.78,57.99,57.22,57.37,612627
"32","COH.N",20110216,NA,"End Of Day (from Real-Time)",57.5,58.1,57.11,57.33,633064
"33","COH.N",20110217,NA,"End Of Day (from Real-Time)",56.96,57.49,56.59,56.65,693529
"34","COH.N",20110218,NA,"End Of Day (from Real-Time)",56.67,58.28,56.65,58.28,1132057
"35","COH.N",20110222,NA,"End Of Day (from Real-Time)",56.55,57.67,56.32,56.36,1152118
"36","COH.N",20110223,NA,"End Of Day (from Real-Time)",56.2,56.35,53.43,54.18,1340164
"37","COH.N",20110224,NA,"End Of Day (from Real-Time)",54.19,55.07,53.32,54.12,1106338
"38","COH.N",20110225,NA,"End Of Day (from Real-Time)",54.34,55.07,54.01,54.53,601993
"39","COH.N",20110228,NA,"End Of Day (from Real-Time)",54.67,55.17,54.59,54.92,736007
"40","COH.N",20110301,NA,"End Of Day (from Real-Time)",55.26,55.34,53.75,53.91,915641
"41","COH.N",20110302,NA,"End Of Day (from Real-Time)",53.78,55,53.75,54.4,697845
"42","COH.N",20110303,NA,"End Of Day (from Real-Time)",54.98,55.59,54.91,55.45,609470
"43","COH.N",20110304,NA,"End Of Day (from Real-Time)",55.45,55.47,54.45,54.93,700328
"44","COH.N",20110307,NA,"End Of Day (from Real-Time)",55.3,55.78,54.19,54.62,729892
"45","COH.N",20110308,NA,"End Of Day (from Real-Time)",54.67,55.99,54.15,55.77,744525
"46","COH.N",20110309,NA,"End Of Day (from Real-Time)",55.65,56.19,55.26,56.05,548684
"47","COH.N",20110310,NA,"End Of Day (from Real-Time)",55.16,56.71,54.94,56.13,1058801
"48","COH.N",20110311,NA,"End Of Day (from Real-Time)",55,56.29,54.85,56.08,770429
"49","COH.N",20110314,NA,"End Of Day (from Real-Time)",54.22,54.24,52.41,53.11,2061899
"50","COH.N",20110315,NA,"End Of Day (from Real-Time)",50.5,52.35,49.43,52.02,2167766
"51","COH.N",20110316,NA,"End Of Day (from Real-Time)",51.86,52.05,49.9,50.67,1932885
"52","COH.N",20110317,NA,"End Of Day (from Real-Time)",51.5,51.75,50.77,50.84,1449416
"53","COH.N",20110318,NA,"End Of Day (from Real-Time)",51.26,51.4,49.24,49.83,2111639
"54","COH.N",20110321,NA,"End Of Day (from Real-Time)",51.15,52.3,50.9,51.45,1220680
"55","COH.N",20110322,NA,"End Of Day (from Real-Time)",51.5,51.77,51.06,51.09,535476
"56","COH.N",20110323,NA,"End Of Day (from Real-Time)",50.94,51.64,50.13,51.32,722744
"57","COH.N",20110324,NA,"End Of Day (from Real-Time)",51.81,52,51.5,51.6,748012
"58","COH.N",20110325,NA,"End Of Day (from Real-Time)",51.83,52.36,51.65,52.02,670014
"59","COH.N",20110328,NA,"End Of Day (from Real-Time)",51.95,52.06,51.18,51.22,572871
"60","COH.N",20110329,NA,"End Of Day (from Real-Time)",51.05,52.05,50.82,51.65,740715
"61","COH.N",20110330,NA,"End Of Day (from Real-Time)",52,52.66,51.7,52.39,702826
"62","COH.N",20110331,NA,"End Of Day (from Real-Time)",52.3,52.36,51.77,52.04,849999
"63","COH.N",20110401,NA,"End Of Day (from Real-Time)",52.64,53.59,52.42,52.7,683025
"64","COH.N",20110404,NA,"End Of Day (from Real-Time)",52.92,53.07,52.36,52.93,503474
"65","COH.N",20110405,NA,"End Of Day (from Real-Time)",52.57,53.53,52.36,53.09,712017
"66","COH.N",20110406,NA,"End Of Day (from Real-Time)",53.33,53.33,52.35,52.44,604952
"67","COH.N",20110407,NA,"End Of Day (from Real-Time)",52.42,52.97,51.18,51.32,1170333
"68","COH.N",20110408,NA,"End Of Day (from Real-Time)",51.29,51.45,50.38,50.76,789806
"69","COH.N",20110411,NA,"End Of Day (from Real-Time)",50.76,51.29,50.67,50.93,773497
"70","COH.N",20110412,NA,"End Of Day (from Real-Time)",50.45,52.17,50.44,52.08,906617
"71","COH.N",20110413,NA,"End Of Day (from Real-Time)",52.43,54.09,52.25,53.97,1301276
"72","COH.N",20110414,NA,"End Of Day (from Real-Time)",53.95,54.62,53.44,54.42,1033451
"73","COH.N",20110415,NA,"End Of Day (from Real-Time)",54.71,55,54.39,54.46,1071430
"74","COH.N",20110418,NA,"End Of Day (from Real-Time)",53.63,54.65,53.53,54.58,802582
"75","COH.N",20110419,NA,"End Of Day (from Real-Time)",55,55.6,54.85,55.08,655960
"76","COH.N",20110420,NA,"End Of Day (from Real-Time)",56.48,57.83,56.24,57.26,1125931
"77","COH.N",20110421,NA,"End Of Day (from Real-Time)",57.28,57.72,56.42,57.65,860564
"78","COH.N",20110425,NA,"End Of Day (from Real-Time)",57.51,57.64,56.46,57.08,1153578
"79","COH.N",20110426,NA,"End Of Day (from Real-Time)",56.3,57.32,56.1,57.25,1537581
"80","COH.N",20110427,NA,"End Of Day (from Real-Time)",57.7,58.84,57.42,58.13,1039854
"81","COH.N",20110428,NA,"End Of Day (from Real-Time)",58.15,60.63,58.01,60.34,1397011
"82","COH.N",20110429,NA,"End Of Day (from Real-Time)",59.82,60.29,59.66,59.81,925524
"83","COH.N",20110502,NA,"End Of Day (from Real-Time)",60.13,60.45,58.81,59.14,840157
"84","COH.N",20110503,NA,"End Of Day (from Real-Time)",59.1,59.37,58.4,59.17,725928
"85","COH.N",20110504,NA,"End Of Day (from Real-Time)",58.96,59.8,58.42,58.63,937253
"86","COH.N",20110505,NA,"End Of Day (from Real-Time)",58.33,59.76,58.08,59.11,865391
"87","COH.N",20110506,NA,"End Of Day (from Real-Time)",59.61,59.95,59.18,59.67,959664
"88","COH.N",20110509,NA,"End Of Day (from Real-Time)",59.56,60.5,59.08,59.97,824892
"89","COH.N",20110510,NA,"End Of Day (from Real-Time)",60.71,61.19,59.95,60.66,971415
"90","COH.N",20110511,NA,"End Of Day (from Real-Time)",60.63,60.86,59.3,59.78,895937
"91","COH.N",20110512,NA,"End Of Day (from Real-Time)",59.72,61.23,59.45,61.22,966727
"92","COH.N",20110513,NA,"End Of Day (from Real-Time)",61.25,61.44,59.89,59.99,1070298
"93","COH.N",20110516,NA,"End Of Day (from Real-Time)",59.78,60.27,58.97,59.07,922236
"94","COH.N",20110517,NA,"End Of Day (from Real-Time)",58.87,59.2,58.03,58.8,878232
"95","COH.N",20110518,NA,"End Of Day (from Real-Time)",58.98,59.95,58.85,59.81,798367
"96","COH.N",20110519,NA,"End Of Day (from Real-Time)",60.1,60.65,59.76,60.65,864267
"97","COH.N",20110520,NA,"End Of Day (from Real-Time)",60.43,60.44,59.12,59.48,1068616
"98","COH.N",20110523,NA,"End Of Day (from Real-Time)",58.69,59.33,58.42,59.06,866082
"99","COH.N",20110524,NA,"End Of Day (from Real-Time)",59.11,60.22,58.98,59.96,811727
"100","COH.N",20110525,NA,"End Of Day (from Real-Time)",58.96,60.87,58.62,60.64,1148372
"101","COH.N",20110526,NA,"End Of Day (from Real-Time)",61.1,63.87,61,63.68,2144091
"102","COH.N",20110527,NA,"End Of Day (from Real-Time)",63.66,64,63.26,63.91,923293
"103","COH.N",20110531,NA,"End Of Day (from Real-Time)",64.18,64.42,63.06,63.66,940424
"104","COH.N",20110601,NA,"End Of Day (from Real-Time)",63.36,63.71,62.32,62.38,906953
"105","COH.N",20110602,NA,"End Of Day (from Real-Time)",62.06,62.5,61.4,61.79,1097786
"106","COH.N",20110603,NA,"End Of Day (from Real-Time)",60.84,62.03,60.65,61.01,710631
"107","COH.N",20110606,NA,"End Of Day (from Real-Time)",60.89,61.31,60.21,60.28,729768
"108","COH.N",20110607,NA,"End Of Day (from Real-Time)",60.39,61,59.81,59.85,979030
"109","COH.N",20110608,NA,"End Of Day (from Real-Time)",59.74,59.86,58.31,58.58,1086734
"110","COH.N",20110609,NA,"End Of Day (from Real-Time)",59.32,60.36,59.1,59.99,987568
"111","COH.N",20110610,NA,"End Of Day (from Real-Time)",59.64,60.15,58.63,59.12,857986
"112","COH.N",20110613,NA,"End Of Day (from Real-Time)",59.18,59.99,58.46,58.76,1017376
"113","COH.N",20110614,NA,"End Of Day (from Real-Time)",59.57,59.95,59.27,59.75,984687
"114","COH.N",20110615,NA,"End Of Day (from Real-Time)",59.56,59.92,58.32,58.38,1322912
"115","COH.N",20110616,NA,"End Of Day (from Real-Time)",58.16,58.81,57.63,58.63,1104968
"116","COH.N",20110617,NA,"End Of Day (from Real-Time)",59.28,60.4,59.28,59.31,1485272
"117","COH.N",20110620,NA,"End Of Day (from Real-Time)",59.24,60.74,59.24,60.38,577066
"118","COH.N",20110621,NA,"End Of Day (from Real-Time)",60.75,61.75,60.58,61.45,609191
"119","COH.N",20110622,NA,"End Of Day (from Real-Time)",61.14,61.45,60.56,60.59,976356
"120","COH.N",20110623,NA,"End Of Day (from Real-Time)",59.75,60.94,59.22,60.89,967576
"121","COH.N",20110624,NA,"End Of Day (from Real-Time)",59.71,60.09,58.47,58.66,3046495
"122","COH.N",20110627,NA,"End Of Day (from Real-Time)",58.65,59.81,58.5,59.2,731775
"123","COH.N",20110628,NA,"End Of Day (from Real-Time)",59.5,60.69,59.37,60.63,789845
"124","COH.N",20110629,NA,"End Of Day (from Real-Time)",61.13,62.46,60.95,62.09,1017352
"125","COH.N",20110630,NA,"End Of Day (from Real-Time)",62.65,64.2,62.45,63.93,1164566
"126","COH.N",20110701,NA,"End Of Day (from Real-Time)",64,66.14,63.83,65.99,1029998
"127","COH.N",20110705,NA,"End Of Day (from Real-Time)",66,66.97,65.32,66.76,1072788
"128","COH.N",20110706,NA,"End Of Day (from Real-Time)",66.57,67.64,66.3,67.62,1219307
"129","COH.N",20110707,NA,"End Of Day (from Real-Time)",68.2,69.18,66.76,66.88,1307204
"130","COH.N",20110708,NA,"End Of Day (from Real-Time)",65.91,66.85,65.48,66.82,950804
"131","COH.N",20110711,NA,"End Of Day (from Real-Time)",66.03,67.11,65.91,66.21,828233
"132","COH.N",20110712,NA,"End Of Day (from Real-Time)",66.32,66.83,65.87,65.95,860908
"133","COH.N",20110713,NA,"End Of Day (from Real-Time)",66.61,67.29,65.72,65.92,805559
"134","COH.N",20110714,NA,"End Of Day (from Real-Time)",66.12,66.3,64.89,65.33,822042
"135","COH.N",20110715,NA,"End Of Day (from Real-Time)",65.64,66.06,64.88,65.48,935713
"136","COH.N",20110718,NA,"End Of Day (from Real-Time)",65.05,66.04,65.05,65.54,579698
"137","COH.N",20110719,NA,"End Of Day (from Real-Time)",66.14,67.62,65.9,67.4,707974
"138","COH.N",20110720,NA,"End Of Day (from Real-Time)",67.44,67.56,66.19,66.3,530940
"139","COH.N",20110721,NA,"End Of Day (from Real-Time)",67.01,68.11,66.81,67.27,620343
"140","COH.N",20110722,NA,"End Of Day (from Real-Time)",66.67,67.4,66.34,66.8,648194
"141","COH.N",20110725,NA,"End Of Day (from Real-Time)",66.11,66.69,65.76,66.32,550586
"142","COH.N",20110726,NA,"End Of Day (from Real-Time)",66.27,66.57,65.84,66.03,895210
"143","COH.N",20110727,NA,"End Of Day (from Real-Time)",65.97,66.11,63.88,64.05,696949
"144","COH.N",20110728,NA,"End Of Day (from Real-Time)",64.4,65.62,64.22,64.4,666934
"145","COH.N",20110729,NA,"End Of Day (from Real-Time)",63.95,65.28,63.16,64.56,859511
"146","COH.N",20110801,NA,"End Of Day (from Real-Time)",66.4,66.43,63.61,65.29,1063959
"147","COH.N",20110802,NA,"End Of Day (from Real-Time)",62.57,64.21,60.85,61.03,1807377
"148","COH.N",20110803,NA,"End Of Day (from Real-Time)",61.37,61.94,59.64,61.92,1239127
"149","COH.N",20110804,NA,"End Of Day (from Real-Time)",60.99,61.14,57.52,58.09,1791775
"150","COH.N",20110805,NA,"End Of Day (from Real-Time)",58.23,58.57,54.53,56.96,2984721
"151","COH.N",20110808,NA,"End Of Day (from Real-Time)",52.59,55.29,50.02,50.2,2846427
"152","COH.N",20110809,NA,"End Of Day (from Real-Time)",50.95,53.67,49.03,53.09,1968607
"153","COH.N",20110810,NA,"End Of Day (from Real-Time)",52.28,55.03,51.63,52.63,1542905
"154","COH.N",20110811,NA,"End Of Day (from Real-Time)",53.06,53.65,51.4,52.87,2306744
"155","COH.N",20110812,NA,"End Of Day (from Real-Time)",53.84,55.05,53.28,54.38,1534760
"156","COH.N",20110815,NA,"End Of Day (from Real-Time)",55,55.24,53.15,54.78,1242697
"157","COH.N",20110816,NA,"End Of Day (from Real-Time)",53.9,54.18,51.76,52.31,1074009
"158","COH.N",20110817,NA,"End Of Day (from Real-Time)",52.53,53,50.59,51,1929833
"159","COH.N",20110818,NA,"End Of Day (from Real-Time)",49.18,49.22,45.76,46.63,2098227
"160","COH.N",20110819,NA,"End Of Day (from Real-Time)",46.13,48.37,45.7,45.96,1663501
"161","COH.N",20110822,NA,"End Of Day (from Real-Time)",47.25,48.55,46.82,47.2,2338214
"162","COH.N",20110823,NA,"End Of Day (from Real-Time)",47.73,51.27,47.23,51.27,1854263
"163","COH.N",20110824,NA,"End Of Day (from Real-Time)",51.09,52.75,50.83,52.6,1481521
"164","COH.N",20110825,NA,"End Of Day (from Real-Time)",52.7,53.39,51.29,51.44,1569750
"165","COH.N",20110826,NA,"End Of Day (from Real-Time)",51.59,54.97,51.39,54.76,1490164
"166","COH.N",20110829,NA,"End Of Day (from Real-Time)",55.22,55.93,55,55.87,748951
"167","COH.N",20110830,NA,"End Of Day (from Real-Time)",55.54,56.14,54.87,55.71,1004954
"168","COH.N",20110831,NA,"End Of Day (from Real-Time)",55.95,57.16,55.6,56.22,1461161
"169","COH.N",20110901,NA,"End Of Day (from Real-Time)",56.08,57.67,55.29,55.38,1227876
"170","COH.N",20110902,NA,"End Of Day (from Real-Time)",53.88,54,52.79,53.21,838372
"171","COH.N",20110906,NA,"End Of Day (from Real-Time)",50.95,53.25,50.72,53.13,1043932
"172","COH.N",20110907,NA,"End Of Day (from Real-Time)",54.58,55.57,54.03,55.54,1123101
"173","COH.N",20110908,NA,"End Of Day (from Real-Time)",54.99,56.42,54.29,54.74,988927
"174","COH.N",20110909,NA,"End Of Day (from Real-Time)",54.05,55.2,53.06,53.64,1069502
"175","COH.N",20110912,NA,"End Of Day (from Real-Time)",52.84,54.9,52.65,54.89,942286
"176","COH.N",20110913,NA,"End Of Day (from Real-Time)",55,57.17,54.67,56.81,1138198
"177","COH.N",20110914,NA,"End Of Day (from Real-Time)",57,57.94,55.54,57.1,1084725
"178","COH.N",20110915,NA,"End Of Day (from Real-Time)",57.59,59.95,57.13,59.47,1482066
"179","COH.N",20110916,NA,"End Of Day (from Real-Time)",59.59,60,58.71,59.49,1927281
"180","COH.N",20110919,NA,"End Of Day (from Real-Time)",58.13,60.48,57.79,60.05,885426
"181","COH.N",20110920,NA,"End Of Day (from Real-Time)",60.15,61.04,58.48,59.35,1036534
"182","COH.N",20110921,NA,"End Of Day (from Real-Time)",59.44,60.32,56.73,56.76,987770
"183","COH.N",20110922,NA,"End Of Day (from Real-Time)",54.03,55.81,53.15,54.51,1730416
"184","COH.N",20110923,NA,"End Of Day (from Real-Time)",54.46,56.91,54.3,56.77,1083138
"185","COH.N",20110926,NA,"End Of Day (from Real-Time)",57.44,57.6,55.13,57.5,946189
"186","COH.N",20110927,NA,"End Of Day (from Real-Time)",59.13,60.89,58.48,58.87,1060860
"187","COH.N",20110928,NA,"End Of Day (from Real-Time)",58.84,59.17,57.34,57.5,764908
"188","COH.N",20110929,NA,"End Of Day (from Real-Time)",58.69,58.7,51.3,54,2068202
"189","COH.N",20110930,NA,"End Of Day (from Real-Time)",52.33,54.09,50.36,51.83,1541327
"190","COH.N",20111003,NA,"End Of Day (from Real-Time)",51.06,53.47,50.52,50.58,1321188
"191","COH.N",20111004,NA,"End Of Day (from Real-Time)",49.59,52.89,48.37,52.73,1134624
"192","COH.N",20111005,NA,"End Of Day (from Real-Time)",52.67,53.45,51.67,53.25,805305
"193","COH.N",20111006,NA,"End Of Day (from Real-Time)",53.88,56.81,53.74,56.78,1308485
"194","COH.N",20111007,NA,"End Of Day (from Real-Time)",56.76,57.5,55.73,56.47,1196183
"195","COH.N",20111010,NA,"End Of Day (from Real-Time)",57.83,60.26,57.77,59.99,842197
"196","COH.N",20111011,NA,"End Of Day (from Real-Time)",59.38,59.8,58.66,59.29,758129
"197","COH.N",20111012,NA,"End Of Day (from Real-Time)",59.94,62.52,59.41,61.08,1100503
"198","COH.N",20111013,NA,"End Of Day (from Real-Time)",60.13,60.95,59.28,60.6,1085401
"199","COH.N",20111014,NA,"End Of Day (from Real-Time)",61.8,62.33,60.99,62.08,769571
"200","COH.N",20111017,NA,"End Of Day (from Real-Time)",61.97,62.41,60.35,60.5,736520
