"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CTSH.O",20110103,NA,"End Of Day (from Real-Time)",74.14,75.86,74.12,75.36,2904849
"2","CTSH.O",20110104,NA,"End Of Day (from Real-Time)",75.62,75.62,73.58,74.16,3031491
"3","CTSH.O",20110105,NA,"End Of Day (from Real-Time)",73.87,76.2,73.87,76.19,2332813
"4","CTSH.O",20110106,NA,"End Of Day (from Real-Time)",76.24,76.36,75.1,75.51,2205100
"5","CTSH.O",20110107,NA,"End Of Day (from Real-Time)",74.99,75.52,74.36,75.09,2147422
"6","CTSH.O",20110110,NA,"End Of Day (from Real-Time)",75.1,75.66,74.62,75.335,1837367
"7","CTSH.O",20110111,NA,"End Of Day (from Real-Time)",75.49,75.7,75.08,75.51,1926861
"8","CTSH.O",20110112,NA,"End Of Day (from Real-Time)",76.2,76.3,75,75.24,1975122
"9","CTSH.O",20110113,NA,"End Of Day (from Real-Time)",74.76,75.35,73.54,74.59,3223524
"10","CTSH.O",20110114,NA,"End Of Day (from Real-Time)",74.5,75.13,74.35,75.01,2384756
"11","CTSH.O",20110118,NA,"End Of Day (from Real-Time)",75.32,76.45,75.28,75.51,2362688
"12","CTSH.O",20110119,NA,"End Of Day (from Real-Time)",75.5,75.5,73.78,74.55,2148349
"13","CTSH.O",20110120,NA,"End Of Day (from Real-Time)",74.11,74.68,73.25,73.61,2095012
"14","CTSH.O",20110121,NA,"End Of Day (from Real-Time)",73.92,74.54,72.88,73.05,2306444
"15","CTSH.O",20110124,NA,"End Of Day (from Real-Time)",73.13,74.58,73.13,74.27,2007681
"16","CTSH.O",20110125,NA,"End Of Day (from Real-Time)",73.76,73.79,72.57,73.35,1470529
"17","CTSH.O",20110126,NA,"End Of Day (from Real-Time)",73.25,73.67,72.86,73.22,3038120
"18","CTSH.O",20110127,NA,"End Of Day (from Real-Time)",73.23,73.47,73,73.17,1730284
"19","CTSH.O",20110128,NA,"End Of Day (from Real-Time)",73.33,73.45,70.65,71.63,2226779
"20","CTSH.O",20110131,NA,"End Of Day (from Real-Time)",71.95,73.64,71.73,72.95,1971678
"21","CTSH.O",20110201,NA,"End Of Day (from Real-Time)",73.36,75.5,73.3101,75.35,2906691
"22","CTSH.O",20110202,NA,"End Of Day (from Real-Time)",75.05,76.16,74.99,76.16,2550964
"23","CTSH.O",20110203,NA,"End Of Day (from Real-Time)",76,76.49,74.755,74.88,3003691
"24","CTSH.O",20110204,NA,"End Of Day (from Real-Time)",75.1,75.6,74.01,75.42,3408434
"25","CTSH.O",20110207,NA,"End Of Day (from Real-Time)",74.02,76.44,73.63,74.72,4131462
"26","CTSH.O",20110208,NA,"End Of Day (from Real-Time)",75.07,77.08,73.95,76.73,3038188
"27","CTSH.O",20110209,NA,"End Of Day (from Real-Time)",76.21,76.42,74.02,74.22,2734649
"28","CTSH.O",20110210,NA,"End Of Day (from Real-Time)",73.75,75.38,73.6,75.35,1965568
"29","CTSH.O",20110211,NA,"End Of Day (from Real-Time)",75.09,75.54,74.34,75.5,1593252
"30","CTSH.O",20110214,NA,"End Of Day (from Real-Time)",75.34,76.4,75.32,76.38,1593938
"31","CTSH.O",20110215,NA,"End Of Day (from Real-Time)",76.04,76.88,75.89,76.5,2011970
"32","CTSH.O",20110216,NA,"End Of Day (from Real-Time)",76.64,76.88,76.03,76.64,1675981
"33","CTSH.O",20110217,NA,"End Of Day (from Real-Time)",75.99,77.26,75.97,76.88,1365288
"34","CTSH.O",20110218,NA,"End Of Day (from Real-Time)",76.91,77.74,76.39,77.73,2636270
"35","CTSH.O",20110222,NA,"End Of Day (from Real-Time)",76.66,77.04,75.46,75.55,2683265
"36","CTSH.O",20110223,NA,"End Of Day (from Real-Time)",75.04,75.23,73.25,73.91,3261685
"37","CTSH.O",20110224,NA,"End Of Day (from Real-Time)",73.92,75.09,73.72,74.93,2899224
"38","CTSH.O",20110225,NA,"End Of Day (from Real-Time)",75.2,76.6,75.0019,76.51,1868267
"39","CTSH.O",20110228,NA,"End Of Day (from Real-Time)",76.92,77.11,75.65,76.87,2091772
"40","CTSH.O",20110301,NA,"End Of Day (from Real-Time)",77.05,77.25,74.39,74.49,2759673
"41","CTSH.O",20110302,NA,"End Of Day (from Real-Time)",74.36,75.57,73.98,74.57,2276253
"42","CTSH.O",20110303,NA,"End Of Day (from Real-Time)",75.05,77.2,74.9,76.84,2050587
"43","CTSH.O",20110304,NA,"End Of Day (from Real-Time)",76.93,76.98,75.37,76.32,1582482
"44","CTSH.O",20110307,NA,"End Of Day (from Real-Time)",76.73,76.81,75.37,75.91,2364043
"45","CTSH.O",20110308,NA,"End Of Day (from Real-Time)",75.78,77.96,75.66,77.785,2338948
"46","CTSH.O",20110309,NA,"End Of Day (from Real-Time)",77.34,78.69,77.25,78.41,3665046
"47","CTSH.O",20110310,NA,"End Of Day (from Real-Time)",77.38,77.7635,76.01,76.11,3482711
"48","CTSH.O",20110311,NA,"End Of Day (from Real-Time)",76.05,76.69,74.9,76.37,2240947
"49","CTSH.O",20110314,NA,"End Of Day (from Real-Time)",75.64,76.3,74.79,75.37,1245081
"50","CTSH.O",20110315,NA,"End Of Day (from Real-Time)",72.67,74.48,70.53,74,2577952
"51","CTSH.O",20110316,NA,"End Of Day (from Real-Time)",73.62,74.22,72.38,72.93,2330632
"52","CTSH.O",20110317,NA,"End Of Day (from Real-Time)",74.17,74.87,73.2,74.7,2089857
"53","CTSH.O",20110318,NA,"End Of Day (from Real-Time)",75.55,75.64,73.73,74.19,3210833
"54","CTSH.O",20110321,NA,"End Of Day (from Real-Time)",75.09,75.81,74.78,75.61,1819377
"55","CTSH.O",20110322,NA,"End Of Day (from Real-Time)",75.6,77.44,75.45,76.87,2643961
"56","CTSH.O",20110323,NA,"End Of Day (from Real-Time)",76.87,77.17,75.5,76.87,1728872
"57","CTSH.O",20110324,NA,"End Of Day (from Real-Time)",77.5,79.81,77.18,79.79,2635506
"58","CTSH.O",20110325,NA,"End Of Day (from Real-Time)",80.45,81.17,80.03,80.03,3236505
"59","CTSH.O",20110328,NA,"End Of Day (from Real-Time)",80.31,80.45,79.51,79.57,1938717
"60","CTSH.O",20110329,NA,"End Of Day (from Real-Time)",79.56,80.93,79.155,80.93,1506296
"61","CTSH.O",20110330,NA,"End Of Day (from Real-Time)",81.53,81.78,81.13,81.65,1508075
"62","CTSH.O",20110331,NA,"End Of Day (from Real-Time)",81.51,81.85,81.22,81.4,1602509
"63","CTSH.O",20110401,NA,"End Of Day (from Real-Time)",81.83,82.86,81.3,82.41,1741307
"64","CTSH.O",20110404,NA,"End Of Day (from Real-Time)",82.56,82.76,81.86,82.35,1361241
"65","CTSH.O",20110405,NA,"End Of Day (from Real-Time)",82.13,82.59,81.7605,82.01,1848338
"66","CTSH.O",20110406,NA,"End Of Day (from Real-Time)",82.72,82.72,80.61,81.39,1589136
"67","CTSH.O",20110407,NA,"End Of Day (from Real-Time)",81.18,81.81,80.42,80.81,1435988
"68","CTSH.O",20110408,NA,"End Of Day (from Real-Time)",81.11,81.16,79.58,80.26,1500122
"69","CTSH.O",20110411,NA,"End Of Day (from Real-Time)",80.7,81.13,80.04,80.5,1421474
"70","CTSH.O",20110412,NA,"End Of Day (from Real-Time)",80.09,80.58,79.45,79.92,1667194
"71","CTSH.O",20110413,NA,"End Of Day (from Real-Time)",80.59,80.76,79.69,80.25,1492662
"72","CTSH.O",20110414,NA,"End Of Day (from Real-Time)",79.51,81.03,79.32,80.78,1870056
"73","CTSH.O",20110415,NA,"End Of Day (from Real-Time)",78.97,79.51,78.02,78.72,6104362
"74","CTSH.O",20110418,NA,"End Of Day (from Real-Time)",77.75,78.02,76.77,77.97,2573335
"75","CTSH.O",20110419,NA,"End Of Day (from Real-Time)",77.87,79.31,77.86,79.28,1682028
"76","CTSH.O",20110420,NA,"End Of Day (from Real-Time)",80.97,82.06,80.46,82.04,1968605
"77","CTSH.O",20110421,NA,"End Of Day (from Real-Time)",82.02,82.93,81.91,82.47,1742440
"78","CTSH.O",20110425,NA,"End Of Day (from Real-Time)",82.9,82.9,81.13,81.83,1617633
"79","CTSH.O",20110426,NA,"End Of Day (from Real-Time)",82.11,82.3,81.35,81.95,2473019
"80","CTSH.O",20110427,NA,"End Of Day (from Real-Time)",82.14,82.14,80.94,81.79,2258600
"81","CTSH.O",20110428,NA,"End Of Day (from Real-Time)",81.57,82.55,81.04,81.44,1435940
"82","CTSH.O",20110429,NA,"End Of Day (from Real-Time)",81.09,83.23,80.905,82.9,3037975
"83","CTSH.O",20110502,NA,"End Of Day (from Real-Time)",83.45,83.48,82.05,82.21,2304158
"84","CTSH.O",20110503,NA,"End Of Day (from Real-Time)",78.1,78.26,73.57,77.52,14302547
"85","CTSH.O",20110504,NA,"End Of Day (from Real-Time)",77.47,78.49,76.3,77.27,3739559
"86","CTSH.O",20110505,NA,"End Of Day (from Real-Time)",77.01,78.04,76.2,76.52,3117337
"87","CTSH.O",20110506,NA,"End Of Day (from Real-Time)",77.66,78.29,76.31,76.77,3411944
"88","CTSH.O",20110509,NA,"End Of Day (from Real-Time)",76.76,78,76.65,77.42,1416035
"89","CTSH.O",20110510,NA,"End Of Day (from Real-Time)",77.81,78.53,77.3,78.46,1694890
