"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","CTXS.O",20110103,NA,"End Of Day (from Real-Time)",69.13,70.94,67.79,67.96,3289578
"2","CTXS.O",20110104,NA,"End Of Day (from Real-Time)",67.78,67.85,65.07,67.07,4107922
"3","CTXS.O",20110105,NA,"End Of Day (from Real-Time)",66.69,68.48,66.64,67.96,2068969
"4","CTXS.O",20110106,NA,"End Of Day (from Real-Time)",67.87,69.9,67.5,68.9,2187027
"5","CTXS.O",20110107,NA,"End Of Day (from Real-Time)",69.12,69.12,67.39,68.42,1539637
"6","CTXS.O",20110110,NA,"End Of Day (from Real-Time)",68.44,70.02,68.325,69.74,2520151
"7","CTXS.O",20110111,NA,"End Of Day (from Real-Time)",69.89,70.04,67.8,67.98,2194549
"8","CTXS.O",20110112,NA,"End Of Day (from Real-Time)",68.56,68.91,67.67,68.09,1886841
"9","CTXS.O",20110113,NA,"End Of Day (from Real-Time)",68,68.22,67.24,67.67,2057042
"10","CTXS.O",20110114,NA,"End Of Day (from Real-Time)",67.71,68.21,67.46,68.05,2570035
"11","CTXS.O",20110118,NA,"End Of Day (from Real-Time)",68,68.46,67.28,67.89,1670653
"12","CTXS.O",20110119,NA,"End Of Day (from Real-Time)",67.75,68.08,67.28,67.795,2847325
"13","CTXS.O",20110120,NA,"End Of Day (from Real-Time)",66.24,66.3,63.085,65.36,5897573
"14","CTXS.O",20110121,NA,"End Of Day (from Real-Time)",65.83,66.6,65.06,65.23,2844175
"15","CTXS.O",20110124,NA,"End Of Day (from Real-Time)",65.15,65.69,64.33,64.7,2974894
"16","CTXS.O",20110125,NA,"End Of Day (from Real-Time)",63.92,63.95,61.45,61.95,5593000
"17","CTXS.O",20110126,NA,"End Of Day (from Real-Time)",61.79,64.53,61.245,63.51,5273521
"18","CTXS.O",20110127,NA,"End Of Day (from Real-Time)",66.6,67.45,64.215,64.83,6773582
"19","CTXS.O",20110128,NA,"End Of Day (from Real-Time)",65.08,65.77,62.84,63.76,2949693
"20","CTXS.O",20110131,NA,"End Of Day (from Real-Time)",63.43,63.71,62.76,63.18,2290271
"21","CTXS.O",20110201,NA,"End Of Day (from Real-Time)",63.51,65.49,63.22,65.06,2907956
"22","CTXS.O",20110202,NA,"End Of Day (from Real-Time)",64.77,66.14,64.74,65.78,2071823
"23","CTXS.O",20110203,NA,"End Of Day (from Real-Time)",65.37,65.49,63.9,65.18,1746767
"24","CTXS.O",20110204,NA,"End Of Day (from Real-Time)",65.16,66.57,64.62,66.4,2046663
"25","CTXS.O",20110207,NA,"End Of Day (from Real-Time)",66.49,66.94,65.7,66.33,1795524
"26","CTXS.O",20110208,NA,"End Of Day (from Real-Time)",66.18,66.36,65.45,65.67,1430511
"27","CTXS.O",20110209,NA,"End Of Day (from Real-Time)",65.38,65.75,64.835,65.17,1451591
"28","CTXS.O",20110210,NA,"End Of Day (from Real-Time)",64.8,68.91,64.7,68.63,3416772
"29","CTXS.O",20110211,NA,"End Of Day (from Real-Time)",68.01,70.64,68.0001,69.81,3100287
"30","CTXS.O",20110214,NA,"End Of Day (from Real-Time)",69.78,73.62,69.78,72.77,4656987
"31","CTXS.O",20110215,NA,"End Of Day (from Real-Time)",72.24,73.2,71.615,71.9,2583648
"32","CTXS.O",20110216,NA,"End Of Day (from Real-Time)",72.26,72.83,71.56,72.42,2229228
"33","CTXS.O",20110217,NA,"End Of Day (from Real-Time)",72.01,72.85,71.884,72.4,1706208
"34","CTXS.O",20110218,NA,"End Of Day (from Real-Time)",72.44,73.05,71.4706,72.63,2165627
"35","CTXS.O",20110222,NA,"End Of Day (from Real-Time)",71.63,72.03,69.14,69.4,2679830
"36","CTXS.O",20110223,NA,"End Of Day (from Real-Time)",69.25,69.63,66.7501,67.44,2558412
"37","CTXS.O",20110224,NA,"End Of Day (from Real-Time)",67.42,68.9,66.95,68.24,1812079
"38","CTXS.O",20110225,NA,"End Of Day (from Real-Time)",68.71,71.66,68.65,70.93,2467207
"39","CTXS.O",20110228,NA,"End Of Day (from Real-Time)",70.91,71.37,69.19,70.16,1982100
"40","CTXS.O",20110301,NA,"End Of Day (from Real-Time)",70.42,71,67.93,68.6,2518771
"41","CTXS.O",20110302,NA,"End Of Day (from Real-Time)",68.49,70.46,68.41,69.9,1796331
"42","CTXS.O",20110303,NA,"End Of Day (from Real-Time)",70.48,71.31,70.02,70.5,1903357
"43","CTXS.O",20110304,NA,"End Of Day (from Real-Time)",70.43,72,70.206,71.88,2184809
"44","CTXS.O",20110307,NA,"End Of Day (from Real-Time)",71.89,72.59,70.38,71.2,2361195
"45","CTXS.O",20110308,NA,"End Of Day (from Real-Time)",71.41,73.19,70.95,72.49,2318348
"46","CTXS.O",20110309,NA,"End Of Day (from Real-Time)",72.02,73.99,71,72.8,2646960
"47","CTXS.O",20110310,NA,"End Of Day (from Real-Time)",71.81,71.81,69.61,70.4,2398874
"48","CTXS.O",20110311,NA,"End Of Day (from Real-Time)",70.1,72,70,71.74,1412740
"49","CTXS.O",20110314,NA,"End Of Day (from Real-Time)",71.05,71.85,70.05,71.06,1516684
"50","CTXS.O",20110315,NA,"End Of Day (from Real-Time)",68.47,70,68.19,69.34,2533519
"51","CTXS.O",20110316,NA,"End Of Day (from Real-Time)",68.68,70.13,67.22,67.74,3677365
"52","CTXS.O",20110317,NA,"End Of Day (from Real-Time)",68.88,68.92,67.17,67.76,2712921
"53","CTXS.O",20110318,NA,"End Of Day (from Real-Time)",68.39,69.37,66.5,66.64,3046517
"54","CTXS.O",20110321,NA,"End Of Day (from Real-Time)",67.44,68.8,67.01,68.33,1364748
"55","CTXS.O",20110322,NA,"End Of Day (from Real-Time)",68.3,68.34,66.58,66.84,1856379
"56","CTXS.O",20110323,NA,"End Of Day (from Real-Time)",66.66,68.2,65.84,67.92,1795171
"57","CTXS.O",20110324,NA,"End Of Day (from Real-Time)",68.6,70.62,68.59,70.335,2633667
"58","CTXS.O",20110325,NA,"End Of Day (from Real-Time)",70.88,71.24,69.82,70.14,1605192
"59","CTXS.O",20110328,NA,"End Of Day (from Real-Time)",70.45,70.45,69.52,69.61,1256819
"60","CTXS.O",20110329,NA,"End Of Day (from Real-Time)",69.6,70.53,68.64,70.04,1610197
"61","CTXS.O",20110330,NA,"End Of Day (from Real-Time)",70.69,73.09,70.63,72.24,2530688
"62","CTXS.O",20110331,NA,"End Of Day (from Real-Time)",72.53,73.71,71.95,73.46,1903481
"63","CTXS.O",20110401,NA,"End Of Day (from Real-Time)",74.08,75.85,73.681,75.26,3228732
"64","CTXS.O",20110404,NA,"End Of Day (from Real-Time)",75.86,76.6,74.83,75.41,1747253
"65","CTXS.O",20110405,NA,"End Of Day (from Real-Time)",75.72,76.83,75.15,75.65,2293002
"66","CTXS.O",20110406,NA,"End Of Day (from Real-Time)",76.04,76.23,72.02,73.18,2622554
"67","CTXS.O",20110407,NA,"End Of Day (from Real-Time)",73.2,74.304,72.75,74.11,1687670
"68","CTXS.O",20110408,NA,"End Of Day (from Real-Time)",74.38,74.4399,72.74,73.42,1590109
"69","CTXS.O",20110411,NA,"End Of Day (from Real-Time)",73.56,75.49,73.53,74.86,2553240
"70","CTXS.O",20110412,NA,"End Of Day (from Real-Time)",74.5,74.97,73.39,73.65,2159067
"71","CTXS.O",20110413,NA,"End Of Day (from Real-Time)",74.25,75.41,73.78,74.81,2041705
"72","CTXS.O",20110414,NA,"End Of Day (from Real-Time)",74.06,75.3,73.72,74.07,2040899
"73","CTXS.O",20110415,NA,"End Of Day (from Real-Time)",74.4,74.48,72.93,74.46,1853832
"74","CTXS.O",20110418,NA,"End Of Day (from Real-Time)",73.33,73.55,71.43,72.735,1807957
"75","CTXS.O",20110419,NA,"End Of Day (from Real-Time)",72.93,72.98,71.57,72.59,1676839
"76","CTXS.O",20110420,NA,"End Of Day (from Real-Time)",74.05,76.52,74.05,75.88,2823567
"77","CTXS.O",20110421,NA,"End Of Day (from Real-Time)",76.01,77.06,75.82,76.37,1245255
"78","CTXS.O",20110425,NA,"End Of Day (from Real-Time)",76.58,77.88,76.49,77.87,1273760
