"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","DG.N",20110103,NA,"End Of Day (from Real-Time)",30.85,30.96,30.55,30.67,243287
"2","DG.N",20110104,NA,"End Of Day (from Real-Time)",30.84,30.99,30.23,30.54,334813
"3","DG.N",20110105,NA,"End Of Day (from Real-Time)",29.94,30.19,29.01,30.1,501093
"4","DG.N",20110106,NA,"End Of Day (from Real-Time)",29.56,29.87,29.3,29.8,527825
"5","DG.N",20110107,NA,"End Of Day (from Real-Time)",30.28,30.45,29.6,29.83,595518
"6","DG.N",20110110,NA,"End Of Day (from Real-Time)",29.84,30.3,29.75,30,206772
"7","DG.N",20110111,NA,"End Of Day (from Real-Time)",29.99,30.06,29.47,29.59,305548
"8","DG.N",20110112,NA,"End Of Day (from Real-Time)",29.61,29.75,29.36,29.46,177989
"9","DG.N",20110113,NA,"End Of Day (from Real-Time)",29.5,29.52,28.59,28.7,351538
"10","DG.N",20110114,NA,"End Of Day (from Real-Time)",28.77,29.54,28.77,29.46,447110
"11","DG.N",20110118,NA,"End Of Day (from Real-Time)",29.46,30.17,29.4,30,224605
"12","DG.N",20110119,NA,"End Of Day (from Real-Time)",30.11,30.15,29.17,29.33,474892
"13","DG.N",20110120,NA,"End Of Day (from Real-Time)",29.32,29.72,29.16,29.48,218652
"14","DG.N",20110121,NA,"End Of Day (from Real-Time)",29.63,29.72,29.22,29.41,6085725
"15","DG.N",20110124,NA,"End Of Day (from Real-Time)",29.44,29.49,28.98,29,230147
"16","DG.N",20110125,NA,"End Of Day (from Real-Time)",28.8,29.07,28.21,28.7,408587
"17","DG.N",20110126,NA,"End Of Day (from Real-Time)",28.74,29,28.53,28.75,258436
"18","DG.N",20110127,NA,"End Of Day (from Real-Time)",28.68,28.9,28.53,28.67,198881
"19","DG.N",20110128,NA,"End Of Day (from Real-Time)",28.68,28.83,28.32,28.4,227354
"20","DG.N",20110131,NA,"End Of Day (from Real-Time)",28.35,28.41,27.73,27.81,311036
"21","DG.N",20110201,NA,"End Of Day (from Real-Time)",27.93,29.18,27.82,28.85,440129
"22","DG.N",20110202,NA,"End Of Day (from Real-Time)",28.18,28.35,27.5,27.63,544421
"23","DG.N",20110203,NA,"End Of Day (from Real-Time)",27.7,27.96,27.22,27.45,419815
"24","DG.N",20110204,NA,"End Of Day (from Real-Time)",27.59,27.69,27.22,27.47,208868
"25","DG.N",20110207,NA,"End Of Day (from Real-Time)",27.55,27.96,27.33,27.9,359309
"26","DG.N",20110208,NA,"End Of Day (from Real-Time)",28,28.21,27.54,28,519077
"27","DG.N",20110209,NA,"End Of Day (from Real-Time)",28,28.24,27.83,27.91,187350
"28","DG.N",20110210,NA,"End Of Day (from Real-Time)",27.83,28.01,27.57,27.65,203591
"29","DG.N",20110211,NA,"End Of Day (from Real-Time)",27.58,27.74,27.2,27.24,338726
"30","DG.N",20110214,NA,"End Of Day (from Real-Time)",27.29,27.38,26.65,26.85,444971
"31","DG.N",20110215,NA,"End Of Day (from Real-Time)",26.76,27.02,26.7,26.93,445531
"32","DG.N",20110216,NA,"End Of Day (from Real-Time)",29.79,31.38,29.64,29.64,2349894
