"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","DHR.N",20110103,NA,"End Of Day (from Real-Time)",47.51,47.95,47.18,47.19,870446
"2","DHR.N",20110104,NA,"End Of Day (from Real-Time)",47.34,47.41,46.34,46.92,877244
"3","DHR.N",20110105,NA,"End Of Day (from Real-Time)",46.7,47.27,46.7,46.87,964318
"4","DHR.N",20110106,NA,"End Of Day (from Real-Time)",46.79,47.11,46.66,46.9,1020730
"5","DHR.N",20110107,NA,"End Of Day (from Real-Time)",47.03,47.44,46.56,46.87,744366
"6","DHR.N",20110110,NA,"End Of Day (from Real-Time)",46.51,46.74,46.09,46.28,955705
"7","DHR.N",20110111,NA,"End Of Day (from Real-Time)",46.6,46.87,46.39,46.68,901888
"8","DHR.N",20110112,NA,"End Of Day (from Real-Time)",47.08,47.4,46.96,47.1,679107
"9","DHR.N",20110113,NA,"End Of Day (from Real-Time)",47.12,47.29,46.77,46.89,556943
"10","DHR.N",20110114,NA,"End Of Day (from Real-Time)",46.77,47.24,46.55,47.15,752190
"11","DHR.N",20110118,NA,"End Of Day (from Real-Time)",47.18,47.5,47.16,47.42,764850
"12","DHR.N",20110119,NA,"End Of Day (from Real-Time)",47.32,47.45,46.82,47.03,625499
"13","DHR.N",20110120,NA,"End Of Day (from Real-Time)",46.77,46.93,46.02,46.26,1207679
"14","DHR.N",20110121,NA,"End Of Day (from Real-Time)",46.74,47.1,46.23,46.3,1327357
"15","DHR.N",20110124,NA,"End Of Day (from Real-Time)",46.42,47.37,46.28,47.37,1118458
"16","DHR.N",20110125,NA,"End Of Day (from Real-Time)",47.33,47.36,46.61,47.18,722461
"17","DHR.N",20110126,NA,"End Of Day (from Real-Time)",47.37,47.75,46.93,47.3,1224447
"18","DHR.N",20110127,NA,"End Of Day (from Real-Time)",47.5,47.5,46.33,46.65,1095743
"19","DHR.N",20110128,NA,"End Of Day (from Real-Time)",46.65,46.85,45.66,46.05,1234729
"20","DHR.N",20110131,NA,"End Of Day (from Real-Time)",46.1,46.31,45.63,46.06,1060480
"21","DHR.N",20110201,NA,"End Of Day (from Real-Time)",46.48,47.73,46.25,47.59,1126438
"22","DHR.N",20110202,NA,"End Of Day (from Real-Time)",47.33,47.86,47.33,47.68,683988
"23","DHR.N",20110203,NA,"End Of Day (from Real-Time)",47.59,47.59,47.1,47.45,793663
"24","DHR.N",20110204,NA,"End Of Day (from Real-Time)",47.66,48.19,47.51,47.98,927705
"25","DHR.N",20110207,NA,"End Of Day (from Real-Time)",50,50.29,48.93,49.03,2086223
"26","DHR.N",20110208,NA,"End Of Day (from Real-Time)",49.6,50.36,49.46,49.74,1418055
"27","DHR.N",20110209,NA,"End Of Day (from Real-Time)",49.46,50.02,49.4,49.84,820031
"28","DHR.N",20110210,NA,"End Of Day (from Real-Time)",49.84,51.03,49.66,51.01,1372328
"29","DHR.N",20110211,NA,"End Of Day (from Real-Time)",50.76,52.2,50.72,51.61,1199054
"30","DHR.N",20110214,NA,"End Of Day (from Real-Time)",51.52,51.64,51.01,51.39,839379
"31","DHR.N",20110215,NA,"End Of Day (from Real-Time)",51.24,51.52,51.04,51.4,770646
"32","DHR.N",20110216,NA,"End Of Day (from Real-Time)",51.56,51.86,51.19,51.26,810819
"33","DHR.N",20110217,NA,"End Of Day (from Real-Time)",51.12,51.37,50.83,51.15,1167898
"34","DHR.N",20110218,NA,"End Of Day (from Real-Time)",51.23,51.82,51.08,51.79,1365360
"35","DHR.N",20110222,NA,"End Of Day (from Real-Time)",51.33,51.33,50.36,50.47,1055278
"36","DHR.N",20110223,NA,"End Of Day (from Real-Time)",50.43,50.49,49.08,49.59,1204237
"37","DHR.N",20110224,NA,"End Of Day (from Real-Time)",49.53,49.95,49.24,49.76,1231685
"38","DHR.N",20110225,NA,"End Of Day (from Real-Time)",50.09,50.58,49.92,50.51,695621
"39","DHR.N",20110228,NA,"End Of Day (from Real-Time)",50.51,50.77,50.16,50.6,1465346
"40","DHR.N",20110301,NA,"End Of Day (from Real-Time)",50.78,50.82,49.42,49.42,1168656
"41","DHR.N",20110302,NA,"End Of Day (from Real-Time)",49.37,50.44,49.37,50.23,1317326
"42","DHR.N",20110303,NA,"End Of Day (from Real-Time)",50.78,51.36,50.78,51.09,1205364
"43","DHR.N",20110304,NA,"End Of Day (from Real-Time)",50.99,51.08,50.34,50.76,914381
"44","DHR.N",20110307,NA,"End Of Day (from Real-Time)",50.89,51.08,49.87,50.14,710782
"45","DHR.N",20110308,NA,"End Of Day (from Real-Time)",50.43,51.65,50.2,51.49,928388
"46","DHR.N",20110309,NA,"End Of Day (from Real-Time)",51.54,51.98,50.84,51.65,949093
"47","DHR.N",20110310,NA,"End Of Day (from Real-Time)",51,51.1,50.28,50.41,903365
"48","DHR.N",20110311,NA,"End Of Day (from Real-Time)",50.41,51.58,50.36,51.4,947626
"49","DHR.N",20110314,NA,"End Of Day (from Real-Time)",51,51.06,50.51,50.95,911777
"50","DHR.N",20110315,NA,"End Of Day (from Real-Time)",49.56,50.73,49.5,50.45,1238754
"51","DHR.N",20110316,NA,"End Of Day (from Real-Time)",50.45,50.93,48.97,49.43,1601937
"52","DHR.N",20110317,NA,"End Of Day (from Real-Time)",50.18,50.48,49.63,49.83,1061676
"53","DHR.N",20110318,NA,"End Of Day (from Real-Time)",50.47,50.86,50.21,50.41,1731713
"54","DHR.N",20110321,NA,"End Of Day (from Real-Time)",51.1,51.6,50.93,51.29,918920
"55","DHR.N",20110322,NA,"End Of Day (from Real-Time)",51.36,51.58,51.08,51.27,717161
"56","DHR.N",20110323,NA,"End Of Day (from Real-Time)",51.13,51.76,50.88,51.47,553951
"57","DHR.N",20110324,NA,"End Of Day (from Real-Time)",51.59,51.72,50.89,51.57,526171
"58","DHR.N",20110325,NA,"End Of Day (from Real-Time)",51.59,51.99,51.27,51.91,603129
"59","DHR.N",20110328,NA,"End Of Day (from Real-Time)",51.94,52.37,51.5,51.54,497239
