"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","DLTR.O",20110103,NA,"End Of Day (from Real-Time)",56.66,57,55.94,56.55,809369
"2","DLTR.O",20110104,NA,"End Of Day (from Real-Time)",56.49,56.72,54.42,54.74,2339913
"3","DLTR.O",20110105,NA,"End Of Day (from Real-Time)",52.9701,53.16,51.03,52.08,3993736
"4","DLTR.O",20110106,NA,"End Of Day (from Real-Time)",51.81,52.49,51.07,51.35,2662470
"5","DLTR.O",20110107,NA,"End Of Day (from Real-Time)",51.25,52.08,51.12,51.81,1679691
"6","DLTR.O",20110110,NA,"End Of Day (from Real-Time)",51.55,52.67,51.38,52.46,1978619
"7","DLTR.O",20110111,NA,"End Of Day (from Real-Time)",52.7,52.78,51.93,52.03,1670447
"8","DLTR.O",20110112,NA,"End Of Day (from Real-Time)",52.04,52.09,50.72,50.89,1786494
"9","DLTR.O",20110113,NA,"End Of Day (from Real-Time)",50.59,50.95,50.18,50.65,1782787
"10","DLTR.O",20110114,NA,"End Of Day (from Real-Time)",50.47,50.89,50.17,50.39,1449204
"11","DLTR.O",20110118,NA,"End Of Day (from Real-Time)",50.51,51.64,50.09,50.34,2080887
"12","DLTR.O",20110119,NA,"End Of Day (from Real-Time)",51.68,52.005,50.94,51.87,5098354
"13","DLTR.O",20110120,NA,"End Of Day (from Real-Time)",51.59,52.39,51.54,51.73,1938073
"14","DLTR.O",20110121,NA,"End Of Day (from Real-Time)",51.82,51.95,51.385,51.93,1482924
"15","DLTR.O",20110124,NA,"End Of Day (from Real-Time)",51.78,52.43,51.49,52.35,1767329
"16","DLTR.O",20110125,NA,"End Of Day (from Real-Time)",51.76,52.28,51.63,52.13,1443948
"17","DLTR.O",20110126,NA,"End Of Day (from Real-Time)",52.09,52.75,51.45,51.75,1852323
"18","DLTR.O",20110127,NA,"End Of Day (from Real-Time)",51.77,52.08,51.56,52,921146
"19","DLTR.O",20110128,NA,"End Of Day (from Real-Time)",52.12,52.12,50.536,50.99,1490100
"20","DLTR.O",20110131,NA,"End Of Day (from Real-Time)",50.94,51.33,50.31,50.58,1079757
"21","DLTR.O",20110201,NA,"End Of Day (from Real-Time)",50.93,51.32,50.44,51.19,1371149
"22","DLTR.O",20110202,NA,"End Of Day (from Real-Time)",50,50.23,49.21,49.47,2406737
"23","DLTR.O",20110203,NA,"End Of Day (from Real-Time)",49.58,50.35,48.9,49.26,2096010
"24","DLTR.O",20110204,NA,"End Of Day (from Real-Time)",49.38,50.21,49.12,49.71,1226419
"25","DLTR.O",20110207,NA,"End Of Day (from Real-Time)",49.71,49.98,49.3,49.74,1443014
"26","DLTR.O",20110208,NA,"End Of Day (from Real-Time)",49.71,50.04,49.28,49.63,1769601
"27","DLTR.O",20110209,NA,"End Of Day (from Real-Time)",49.63,49.98,49.42,49.66,986522
"28","DLTR.O",20110210,NA,"End Of Day (from Real-Time)",49.53,49.78,49.19,49.58,1640088
"29","DLTR.O",20110211,NA,"End Of Day (from Real-Time)",49.52,50.56,49.28,50.5,900848
"30","DLTR.O",20110214,NA,"End Of Day (from Real-Time)",50.35,50.6,50.04,50.46,931256
"31","DLTR.O",20110215,NA,"End Of Day (from Real-Time)",51.32,51.91,50.85,50.94,1940087
"32","DLTR.O",20110216,NA,"End Of Day (from Real-Time)",54.65,55.8,52.3,52.45,3926114
"33","DLTR.O",20110217,NA,"End Of Day (from Real-Time)",52.47,53,51.81,52.35,1379255
"34","DLTR.O",20110218,NA,"End Of Day (from Real-Time)",52.33,52.75,51.56,52.72,1149654
