"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","DOV.N",20110103,NA,"End Of Day (from Real-Time)",59.31,59.82,58.97,59.12,486952
"2","DOV.N",20110104,NA,"End Of Day (from Real-Time)",59.33,59.5,58.19,58.79,376008
"3","DOV.N",20110105,NA,"End Of Day (from Real-Time)",58.48,58.83,58.13,58.21,378518
"4","DOV.N",20110106,NA,"End Of Day (from Real-Time)",58.2,58.54,57.38,57.56,602139
"5","DOV.N",20110107,NA,"End Of Day (from Real-Time)",57.69,58.44,57.37,57.39,389469
"6","DOV.N",20110110,NA,"End Of Day (from Real-Time)",57.12,57.61,56.82,57.44,344973
"7","DOV.N",20110111,NA,"End Of Day (from Real-Time)",57.59,58.18,57.5,57.83,362775
"8","DOV.N",20110112,NA,"End Of Day (from Real-Time)",58.25,59.11,58.19,58.88,225193
"9","DOV.N",20110113,NA,"End Of Day (from Real-Time)",58.97,59.16,58.62,59.06,351412
"10","DOV.N",20110114,NA,"End Of Day (from Real-Time)",58.84,59.59,58.53,59.59,340307
"11","DOV.N",20110118,NA,"End Of Day (from Real-Time)",59.58,59.9,59.46,59.75,316877
"12","DOV.N",20110119,NA,"End Of Day (from Real-Time)",59.6,59.67,57.98,58.2,482255
"13","DOV.N",20110120,NA,"End Of Day (from Real-Time)",57.97,58.1,56.52,56.72,592882
"14","DOV.N",20110121,NA,"End Of Day (from Real-Time)",57.3,57.84,56.52,56.66,555480
"15","DOV.N",20110124,NA,"End Of Day (from Real-Time)",56.78,57.84,56.78,56.96,629224
"16","DOV.N",20110125,NA,"End Of Day (from Real-Time)",56.78,57.57,56.59,57.48,308448
"17","DOV.N",20110126,NA,"End Of Day (from Real-Time)",57.77,59.6,57.73,59.39,780840
"18","DOV.N",20110127,NA,"End Of Day (from Real-Time)",58.55,60,58.55,59.48,600256
"19","DOV.N",20110128,NA,"End Of Day (from Real-Time)",61,64.99,60.96,62.15,1109915
"20","DOV.N",20110131,NA,"End Of Day (from Real-Time)",62.77,64.55,62.76,64.1,1098561
"21","DOV.N",20110201,NA,"End Of Day (from Real-Time)",64.54,66.02,63.88,65.73,575153
"22","DOV.N",20110202,NA,"End Of Day (from Real-Time)",65.46,65.48,64.63,65.17,403179
"23","DOV.N",20110203,NA,"End Of Day (from Real-Time)",65.07,65.36,64.6,64.71,599649
"24","DOV.N",20110204,NA,"End Of Day (from Real-Time)",64.81,65.45,64.71,65.29,315007
