"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","DRI.N",20110103,NA,"End Of Day (from Real-Time)",46.72,47.11,46.58,46.69,576013
"2","DRI.N",20110104,NA,"End Of Day (from Real-Time)",46.84,46.9,46.02,46.7,720724
"3","DRI.N",20110105,NA,"End Of Day (from Real-Time)",46.64,46.64,45.86,46.16,605298
"4","DRI.N",20110106,NA,"End Of Day (from Real-Time)",45.95,46.73,45.95,46.43,537088
"5","DRI.N",20110107,NA,"End Of Day (from Real-Time)",46.48,47.1,45.99,46.51,593874
"6","DRI.N",20110110,NA,"End Of Day (from Real-Time)",46.3,46.44,45.84,46.26,473998
"7","DRI.N",20110111,NA,"End Of Day (from Real-Time)",46.46,46.46,45.51,45.57,537778
"8","DRI.N",20110112,NA,"End Of Day (from Real-Time)",45.81,46.06,45.61,46,473857
"9","DRI.N",20110113,NA,"End Of Day (from Real-Time)",45.94,46.16,45.8,46.1,385168
"10","DRI.N",20110114,NA,"End Of Day (from Real-Time)",45.99,46.3,45.9,46.15,305518
"11","DRI.N",20110118,NA,"End Of Day (from Real-Time)",46.16,46.2,45.43,45.7,418326
"12","DRI.N",20110119,NA,"End Of Day (from Real-Time)",45.68,45.98,45.4,45.93,516523
"13","DRI.N",20110120,NA,"End Of Day (from Real-Time)",45.8,47.02,45.8,46.44,600050
"14","DRI.N",20110121,NA,"End Of Day (from Real-Time)",46.64,46.7,46,46.4,645808
"15","DRI.N",20110124,NA,"End Of Day (from Real-Time)",46.33,46.53,45.77,46.34,448297
"16","DRI.N",20110125,NA,"End Of Day (from Real-Time)",46.33,47.34,46.33,47.33,565675
"17","DRI.N",20110126,NA,"End Of Day (from Real-Time)",46.5,46.96,45.12,45.75,1162869
"18","DRI.N",20110127,NA,"End Of Day (from Real-Time)",45.72,46.05,45.35,45.94,591560
"19","DRI.N",20110128,NA,"End Of Day (from Real-Time)",46.01,46.08,45.08,45.18,446827
"20","DRI.N",20110131,NA,"End Of Day (from Real-Time)",46.85,47.12,45.85,47.11,1250072
"21","DRI.N",20110201,NA,"End Of Day (from Real-Time)",47.39,48.87,47.25,48.34,853181
"22","DRI.N",20110202,NA,"End Of Day (from Real-Time)",48.21,49.03,48.15,48.6,680926
"23","DRI.N",20110203,NA,"End Of Day (from Real-Time)",48.68,49.48,48.54,49.3,510440
"24","DRI.N",20110204,NA,"End Of Day (from Real-Time)",49.27,49.42,48.6,48.99,464336
"25","DRI.N",20110207,NA,"End Of Day (from Real-Time)",49,49.34,48.2,48.23,391502
"26","DRI.N",20110208,NA,"End Of Day (from Real-Time)",48.3,48.88,48.2,48.71,469991
"27","DRI.N",20110209,NA,"End Of Day (from Real-Time)",48.7,49.44,48.62,48.96,476309
"28","DRI.N",20110210,NA,"End Of Day (from Real-Time)",48.82,49.01,48.63,48.89,292826
"29","DRI.N",20110211,NA,"End Of Day (from Real-Time)",48.83,49.6,48.56,49.49,421959
