"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","DUK.N",20110103,NA,"End Of Day (from Real-Time)",17.9,17.92,17.78,17.86,1354622
"2","DUK.N",20110104,NA,"End Of Day (from Real-Time)",17.86,18,17.76,17.95,1350386
"3","DUK.N",20110105,NA,"End Of Day (from Real-Time)",17.82,17.84,17.7,17.77,1942719
"4","DUK.N",20110106,NA,"End Of Day (from Real-Time)",17.78,17.79,17.64,17.74,2014368
"5","DUK.N",20110107,NA,"End Of Day (from Real-Time)",17.77,17.79,17.64,17.79,1710234
"6","DUK.N",20110110,NA,"End Of Day (from Real-Time)",17.7,17.7,17.37,17.58,6141083
"7","DUK.N",20110111,NA,"End Of Day (from Real-Time)",17.58,17.67,17.5,17.64,2740239
"8","DUK.N",20110112,NA,"End Of Day (from Real-Time)",17.7,17.76,17.65,17.71,1998204
"9","DUK.N",20110113,NA,"End Of Day (from Real-Time)",17.75,17.8,17.65,17.8,1857175
"10","DUK.N",20110114,NA,"End Of Day (from Real-Time)",17.77,17.94,17.7,17.92,1708050
"11","DUK.N",20110118,NA,"End Of Day (from Real-Time)",17.96,18.12,17.89,18.01,2811203
"12","DUK.N",20110119,NA,"End Of Day (from Real-Time)",18.02,18.07,17.93,18,1895667
"13","DUK.N",20110120,NA,"End Of Day (from Real-Time)",18.05,18.15,17.98,18.05,2291976
"14","DUK.N",20110121,NA,"End Of Day (from Real-Time)",18.12,18.18,18,18.16,2802346
"15","DUK.N",20110124,NA,"End Of Day (from Real-Time)",18.18,18.24,18.11,18.17,1786768
"16","DUK.N",20110125,NA,"End Of Day (from Real-Time)",18.16,18.19,18.03,18.13,1586485
"17","DUK.N",20110126,NA,"End Of Day (from Real-Time)",18.13,18.16,18.05,18.1,1772291
"18","DUK.N",20110127,NA,"End Of Day (from Real-Time)",18.08,18.25,18.06,18.21,1679686
"19","DUK.N",20110128,NA,"End Of Day (from Real-Time)",18.19,18.22,17.96,17.96,2175597
"20","DUK.N",20110131,NA,"End Of Day (from Real-Time)",18.02,18.13,17.88,17.88,1379362
"21","DUK.N",20110201,NA,"End Of Day (from Real-Time)",17.99,18.05,17.91,18.05,1541989
"22","DUK.N",20110202,NA,"End Of Day (from Real-Time)",17.95,18.06,17.91,17.96,1753636
"23","DUK.N",20110203,NA,"End Of Day (from Real-Time)",17.93,18.12,17.91,18.09,2105169
"24","DUK.N",20110204,NA,"End Of Day (from Real-Time)",18.1,18.11,17.89,18.01,1618500
"25","DUK.N",20110207,NA,"End Of Day (from Real-Time)",18.06,18.15,18.04,18.15,1840661
"26","DUK.N",20110208,NA,"End Of Day (from Real-Time)",18.15,18.2,18.11,18.13,1356482
"27","DUK.N",20110209,NA,"End Of Day (from Real-Time)",17.86,17.91,17.76,17.83,2011764
"28","DUK.N",20110210,NA,"End Of Day (from Real-Time)",17.8,17.9,17.78,17.86,2520512
"29","DUK.N",20110211,NA,"End Of Day (from Real-Time)",17.83,17.95,17.79,17.84,1662603
"30","DUK.N",20110214,NA,"End Of Day (from Real-Time)",17.79,17.82,17.61,17.69,1340312
"31","DUK.N",20110215,NA,"End Of Day (from Real-Time)",17.6,17.9,17.6,17.89,2719071
"32","DUK.N",20110216,NA,"End Of Day (from Real-Time)",17.9,17.9,17.66,17.7,2094333
"33","DUK.N",20110217,NA,"End Of Day (from Real-Time)",18.2,18.22,17.94,18.12,4712285
"34","DUK.N",20110218,NA,"End Of Day (from Real-Time)",18.11,18.13,17.88,17.94,4068187
