"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","EIX.N",20110103,NA,"End Of Day (from Real-Time)",38.92,38.92,38.6,38.68,637952
"2","EIX.N",20110104,NA,"End Of Day (from Real-Time)",38.83,39.2,38.65,38.91,806410
"3","EIX.N",20110105,NA,"End Of Day (from Real-Time)",38.79,38.93,38.39,38.42,881506
"4","EIX.N",20110106,NA,"End Of Day (from Real-Time)",38.49,38.53,38.14,38.5,555757
"5","EIX.N",20110107,NA,"End Of Day (from Real-Time)",38.48,38.78,38.25,38.74,740788
"6","EIX.N",20110110,NA,"End Of Day (from Real-Time)",38.18,38.34,37.86,38.13,970797
"7","EIX.N",20110111,NA,"End Of Day (from Real-Time)",38.19,38.32,37.9,38.1,500138
"8","EIX.N",20110112,NA,"End Of Day (from Real-Time)",38.28,38.29,37.94,38.12,649525
"9","EIX.N",20110113,NA,"End Of Day (from Real-Time)",38.09,38.12,37.78,37.96,838812
"10","EIX.N",20110114,NA,"End Of Day (from Real-Time)",37.82,38.11,37.68,37.78,809721
"11","EIX.N",20110118,NA,"End Of Day (from Real-Time)",37.84,38.11,37.75,38.05,694348
"12","EIX.N",20110119,NA,"End Of Day (from Real-Time)",38.05,38.12,37.4,37.62,817605
"13","EIX.N",20110120,NA,"End Of Day (from Real-Time)",37.61,37.99,37.41,37.7,815843
"14","EIX.N",20110121,NA,"End Of Day (from Real-Time)",37.79,37.86,37.33,37.39,986301
"15","EIX.N",20110124,NA,"End Of Day (from Real-Time)",37.44,38.1,37.44,37.71,784687
"16","EIX.N",20110125,NA,"End Of Day (from Real-Time)",37.66,37.72,37.22,37.5,856723
"17","EIX.N",20110126,NA,"End Of Day (from Real-Time)",37.59,37.91,37.29,37.3,788560
"18","EIX.N",20110127,NA,"End Of Day (from Real-Time)",36.88,37.42,36.29,37.16,872196
"19","EIX.N",20110128,NA,"End Of Day (from Real-Time)",37.13,37.33,36.3,36.31,1064913
"20","EIX.N",20110131,NA,"End Of Day (from Real-Time)",36.45,36.67,36.14,36.28,1081591
"21","EIX.N",20110201,NA,"End Of Day (from Real-Time)",36.36,36.7,36.01,36.64,1296057
"22","EIX.N",20110202,NA,"End Of Day (from Real-Time)",36.57,37.06,36.55,36.64,783943
"23","EIX.N",20110203,NA,"End Of Day (from Real-Time)",36.62,37.1,36.48,36.96,672610
"24","EIX.N",20110204,NA,"End Of Day (from Real-Time)",36.9,36.9,36.32,36.75,590306
"25","EIX.N",20110207,NA,"End Of Day (from Real-Time)",36.82,36.88,36.51,36.8,548057
"26","EIX.N",20110208,NA,"End Of Day (from Real-Time)",36.82,36.99,36.7,36.95,365339
"27","EIX.N",20110209,NA,"End Of Day (from Real-Time)",36.79,37.09,36.6,37.08,515899
"28","EIX.N",20110210,NA,"End Of Day (from Real-Time)",36.98,37.09,36.85,37.04,605587
"29","EIX.N",20110211,NA,"End Of Day (from Real-Time)",36.9,37.17,36.9,37.02,640546
"30","EIX.N",20110214,NA,"End Of Day (from Real-Time)",37.04,37.05,36.54,36.84,489615
"31","EIX.N",20110215,NA,"End Of Day (from Real-Time)",37.04,37.26,36.83,37.05,547912
"32","EIX.N",20110216,NA,"End Of Day (from Real-Time)",37.07,37.07,36.61,36.75,434720
"33","EIX.N",20110217,NA,"End Of Day (from Real-Time)",36.72,36.98,36.71,36.92,412538
"34","EIX.N",20110218,NA,"End Of Day (from Real-Time)",36.87,37,36.61,36.68,885238
"35","EIX.N",20110222,NA,"End Of Day (from Real-Time)",36.32,36.71,36.32,36.47,572303
"36","EIX.N",20110223,NA,"End Of Day (from Real-Time)",36.48,36.68,36.02,36.04,837715
"37","EIX.N",20110224,NA,"End Of Day (from Real-Time)",36.02,36.14,35.71,35.8,691813
"38","EIX.N",20110225,NA,"End Of Day (from Real-Time)",35.96,36.31,35.8,36.01,641548
"39","EIX.N",20110228,NA,"End Of Day (from Real-Time)",35.25,37.48,35.25,37.12,1601777
"40","EIX.N",20110301,NA,"End Of Day (from Real-Time)",37.33,37.45,36.93,37.21,1356970
"41","EIX.N",20110302,NA,"End Of Day (from Real-Time)",37.17,37.69,37.03,37.58,1581325
"42","EIX.N",20110303,NA,"End Of Day (from Real-Time)",37.84,38.38,37.78,37.96,1150223
"43","EIX.N",20110304,NA,"End Of Day (from Real-Time)",38.02,38.18,37.14,37.45,982055
"44","EIX.N",20110307,NA,"End Of Day (from Real-Time)",37.52,38.09,37.39,37.59,921468
"45","EIX.N",20110308,NA,"End Of Day (from Real-Time)",37.55,38.16,37.53,38.03,897220
"46","EIX.N",20110309,NA,"End Of Day (from Real-Time)",38.04,38.24,37.82,38.08,621437
"47","EIX.N",20110310,NA,"End Of Day (from Real-Time)",37.77,37.98,37.42,37.42,802019
"48","EIX.N",20110311,NA,"End Of Day (from Real-Time)",37.46,37.93,37.36,37.76,660450
"49","EIX.N",20110314,NA,"End Of Day (from Real-Time)",37.3,37.33,36.61,36.78,1417782
"50","EIX.N",20110315,NA,"End Of Day (from Real-Time)",35.98,36.42,35.5,35.81,1287651
"51","EIX.N",20110316,NA,"End Of Day (from Real-Time)",35.81,36.06,35.22,35.49,1985197
"52","EIX.N",20110317,NA,"End Of Day (from Real-Time)",35.84,35.93,35.12,35.61,1121060
"53","EIX.N",20110318,NA,"End Of Day (from Real-Time)",35.97,36.3,35.57,35.71,1814386
"54","EIX.N",20110321,NA,"End Of Day (from Real-Time)",36.08,36.44,35.87,36.4,845732
"55","EIX.N",20110322,NA,"End Of Day (from Real-Time)",36.36,36.62,36.32,36.52,707223
"56","EIX.N",20110323,NA,"End Of Day (from Real-Time)",36.37,36.56,36.25,36.53,537682
"57","EIX.N",20110324,NA,"End Of Day (from Real-Time)",36.71,36.8,36.34,36.75,533271
"58","EIX.N",20110325,NA,"End Of Day (from Real-Time)",36.8,36.89,36.58,36.62,528408
"59","EIX.N",20110328,NA,"End Of Day (from Real-Time)",36.67,36.75,36.1,36.14,727510
"60","EIX.N",20110329,NA,"End Of Day (from Real-Time)",35.88,36.44,35.81,36.4,691881
"61","EIX.N",20110330,NA,"End Of Day (from Real-Time)",36.57,36.82,36.52,36.61,815079
"62","EIX.N",20110331,NA,"End Of Day (from Real-Time)",36.6,36.73,36.33,36.59,775711
"63","EIX.N",20110401,NA,"End Of Day (from Real-Time)",36.68,37.11,36.68,37.05,696291
"64","EIX.N",20110404,NA,"End Of Day (from Real-Time)",37.16,37.16,36.78,36.89,478153
"65","EIX.N",20110405,NA,"End Of Day (from Real-Time)",36.79,37.04,36.68,36.93,841903
