"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","EMN.N",20110103,NA,"End Of Day (from Real-Time)",84.88,85.97,84.78,85.35,284266
"2","EMN.N",20110104,NA,"End Of Day (from Real-Time)",85.55,87.71,84.99,86.85,698312
"3","EMN.N",20110105,NA,"End Of Day (from Real-Time)",86.35,87.67,85.37,87.49,404003
"4","EMN.N",20110106,NA,"End Of Day (from Real-Time)",87.48,87.86,86.94,87.25,248108
"5","EMN.N",20110107,NA,"End Of Day (from Real-Time)",87.31,87.75,86.14,87.23,280022
"6","EMN.N",20110110,NA,"End Of Day (from Real-Time)",86.98,88.5,86.16,88.27,229635
"7","EMN.N",20110111,NA,"End Of Day (from Real-Time)",88.5,88.85,87.62,88.56,336328
"8","EMN.N",20110112,NA,"End Of Day (from Real-Time)",90.25,93.34,90.25,92.9,602287
"9","EMN.N",20110113,NA,"End Of Day (from Real-Time)",93.18,93.46,92.11,92.28,344778
"10","EMN.N",20110114,NA,"End Of Day (from Real-Time)",92.06,92.94,91.29,92.76,262336
"11","EMN.N",20110118,NA,"End Of Day (from Real-Time)",92.93,94.42,92.79,94.15,192343
"12","EMN.N",20110119,NA,"End Of Day (from Real-Time)",93.41,94.01,91.67,92.13,243649
"13","EMN.N",20110120,NA,"End Of Day (from Real-Time)",91.72,92.19,90.02,90.58,223926
"14","EMN.N",20110121,NA,"End Of Day (from Real-Time)",91.6,92.1,90.42,90.57,286314
"15","EMN.N",20110124,NA,"End Of Day (from Real-Time)",90.44,92.04,90.44,91.85,212893
"16","EMN.N",20110125,NA,"End Of Day (from Real-Time)",91.11,91.56,89.12,90.33,325107
"17","EMN.N",20110126,NA,"End Of Day (from Real-Time)",90.96,94,90.96,93.89,436084
"18","EMN.N",20110127,NA,"End Of Day (from Real-Time)",93.78,93.82,92.02,92.87,203284
"19","EMN.N",20110128,NA,"End Of Day (from Real-Time)",93.01,93.79,91.11,91.85,284502
"20","EMN.N",20110131,NA,"End Of Day (from Real-Time)",92.35,93.27,91.91,92.86,340500
"21","EMN.N",20110201,NA,"End Of Day (from Real-Time)",92.43,92.76,89.38,91.47,675627
"22","EMN.N",20110202,NA,"End Of Day (from Real-Time)",91.47,92.39,91.14,91.6,334066
"23","EMN.N",20110203,NA,"End Of Day (from Real-Time)",91.64,91.89,90.33,91.22,235803
"24","EMN.N",20110204,NA,"End Of Day (from Real-Time)",91.25,92.01,90.83,91.71,173430
"25","EMN.N",20110207,NA,"End Of Day (from Real-Time)",92.01,92.89,91.8,92.29,192616
"26","EMN.N",20110208,NA,"End Of Day (from Real-Time)",92.53,93.37,91.66,93.15,202255
"27","EMN.N",20110209,NA,"End Of Day (from Real-Time)",92.72,92.87,91.57,91.81,145351
"28","EMN.N",20110210,NA,"End Of Day (from Real-Time)",91.37,92.85,91.11,92.35,198699
"29","EMN.N",20110211,NA,"End Of Day (from Real-Time)",91.92,94.04,91.92,93.32,135138
"30","EMN.N",20110214,NA,"End Of Day (from Real-Time)",93.43,93.87,93.2,93.68,157601
"31","EMN.N",20110215,NA,"End Of Day (from Real-Time)",93.31,93.47,91.48,91.66,260578
"32","EMN.N",20110216,NA,"End Of Day (from Real-Time)",92.12,93.94,92.12,93.81,244043
"33","EMN.N",20110217,NA,"End Of Day (from Real-Time)",93.74,97.29,93.33,96.27,535767
"34","EMN.N",20110218,NA,"End Of Day (from Real-Time)",96.78,97,94.98,95.41,398520
"35","EMN.N",20110222,NA,"End Of Day (from Real-Time)",93.61,94.24,90.33,90.51,333055
"36","EMN.N",20110223,NA,"End Of Day (from Real-Time)",90.37,91.2,87.5,89.61,427202
"37","EMN.N",20110224,NA,"End Of Day (from Real-Time)",90.2,90.95,88.44,89.98,297784
"38","EMN.N",20110225,NA,"End Of Day (from Real-Time)",90.49,91.65,90.35,91.35,204260
"39","EMN.N",20110228,NA,"End Of Day (from Real-Time)",91.64,93.49,91.14,93.41,268622
"40","EMN.N",20110301,NA,"End Of Day (from Real-Time)",94.13,94.74,90.92,91.13,371205
"41","EMN.N",20110302,NA,"End Of Day (from Real-Time)",91.44,94.88,91.39,94.52,376558
"42","EMN.N",20110303,NA,"End Of Day (from Real-Time)",95.61,97.81,95.61,97.3,334120
"43","EMN.N",20110304,NA,"End Of Day (from Real-Time)",96.67,96.88,94.9,96.36,196352
"44","EMN.N",20110307,NA,"End Of Day (from Real-Time)",96.78,97.63,94.46,95.23,192042
"45","EMN.N",20110308,NA,"End Of Day (from Real-Time)",95.65,97.76,94.62,97.43,173633
"46","EMN.N",20110309,NA,"End Of Day (from Real-Time)",96.76,97.01,94.92,95.49,263783
"47","EMN.N",20110310,NA,"End Of Day (from Real-Time)",93.96,94.8,92.59,93.24,181464
"48","EMN.N",20110311,NA,"End Of Day (from Real-Time)",92.3,94.74,92.12,94.14,169486
"49","EMN.N",20110314,NA,"End Of Day (from Real-Time)",93.8,95.38,92.99,93.85,172550
"50","EMN.N",20110315,NA,"End Of Day (from Real-Time)",90.77,93.17,90.09,92.49,238140
"51","EMN.N",20110316,NA,"End Of Day (from Real-Time)",92.37,93.77,91.23,92.17,260767
"52","EMN.N",20110317,NA,"End Of Day (from Real-Time)",94.16,95.65,93.9,94.34,186374
"53","EMN.N",20110318,NA,"End Of Day (from Real-Time)",95.57,95.75,93.76,93.8,369223
"54","EMN.N",20110321,NA,"End Of Day (from Real-Time)",95.4,96.01,94.55,95.91,182979
"55","EMN.N",20110322,NA,"End Of Day (from Real-Time)",95.56,96.15,94.89,95.56,337249
