"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","EQT.N",20110103,NA,"End Of Day (from Real-Time)",45.07,45.36,44.61,44.91,396750
"2","EQT.N",20110104,NA,"End Of Day (from Real-Time)",45.36,46.07,44.65,45.04,539161
"3","EQT.N",20110105,NA,"End Of Day (from Real-Time)",44.9,45.55,44.86,45.41,406915
"4","EQT.N",20110106,NA,"End Of Day (from Real-Time)",45.48,45.54,45.07,45.37,318097
"5","EQT.N",20110107,NA,"End Of Day (from Real-Time)",45.3,46.13,45.29,45.62,354658
"6","EQT.N",20110110,NA,"End Of Day (from Real-Time)",45.51,46.13,45.29,45.95,338043
"7","EQT.N",20110111,NA,"End Of Day (from Real-Time)",45.84,46.32,45.43,46.12,376438
"8","EQT.N",20110112,NA,"End Of Day (from Real-Time)",46.38,46.56,45.94,46.26,386767
"9","EQT.N",20110113,NA,"End Of Day (from Real-Time)",46.26,46.71,45.96,46.49,329354
"10","EQT.N",20110114,NA,"End Of Day (from Real-Time)",46.35,46.99,46.17,46.99,353106
"11","EQT.N",20110118,NA,"End Of Day (from Real-Time)",46.87,47.21,46.49,47.07,321411
"12","EQT.N",20110119,NA,"End Of Day (from Real-Time)",47.1,47.17,46.27,46.38,284070
"13","EQT.N",20110120,NA,"End Of Day (from Real-Time)",45.65,45.94,45.13,45.49,480416
"14","EQT.N",20110121,NA,"End Of Day (from Real-Time)",45.88,46.08,45.47,45.88,467578
"15","EQT.N",20110124,NA,"End Of Day (from Real-Time)",45.82,46.15,45.69,45.83,308045
"16","EQT.N",20110125,NA,"End Of Day (from Real-Time)",45.72,45.72,44.76,45.15,554449
"17","EQT.N",20110126,NA,"End Of Day (from Real-Time)",45.2,46.04,45.1,45.88,563085
"18","EQT.N",20110127,NA,"End Of Day (from Real-Time)",46,47.65,45.84,46.75,775624
"19","EQT.N",20110128,NA,"End Of Day (from Real-Time)",46.72,47.17,46.31,46.55,443427
"20","EQT.N",20110131,NA,"End Of Day (from Real-Time)",46.58,48.28,46.53,48.19,468070
"21","EQT.N",20110201,NA,"End Of Day (from Real-Time)",48.65,49,48.37,48.95,437740
"22","EQT.N",20110202,NA,"End Of Day (from Real-Time)",48.67,48.98,48.43,48.57,322298
"23","EQT.N",20110203,NA,"End Of Day (from Real-Time)",48.29,49.03,48.08,48.92,299081
"24","EQT.N",20110204,NA,"End Of Day (from Real-Time)",49,49.23,48.02,48.38,346694
"25","EQT.N",20110207,NA,"End Of Day (from Real-Time)",48.49,49.14,48.38,48.39,220009
"26","EQT.N",20110208,NA,"End Of Day (from Real-Time)",48.44,48.52,47.63,48.09,261127
"27","EQT.N",20110209,NA,"End Of Day (from Real-Time)",47.87,47.9,46.72,46.8,269263
"28","EQT.N",20110210,NA,"End Of Day (from Real-Time)",46.43,48.7,46.43,48.68,695574
"29","EQT.N",20110211,NA,"End Of Day (from Real-Time)",48.48,48.66,47.9,48.28,318073
"30","EQT.N",20110214,NA,"End Of Day (from Real-Time)",48.17,48.44,48.07,48.37,214580
"31","EQT.N",20110215,NA,"End Of Day (from Real-Time)",48.09,48.26,47.5,47.76,235063
"32","EQT.N",20110216,NA,"End Of Day (from Real-Time)",47.89,48.03,47.63,47.69,268804
"33","EQT.N",20110217,NA,"End Of Day (from Real-Time)",47.78,48.15,47.48,47.49,368577
"34","EQT.N",20110218,NA,"End Of Day (from Real-Time)",47.41,47.76,47.24,47.63,434927
"35","EQT.N",20110222,NA,"End Of Day (from Real-Time)",47.45,48.43,46.84,47.15,338877
"36","EQT.N",20110223,NA,"End Of Day (from Real-Time)",47.2,48.76,47.2,48.36,438662
"37","EQT.N",20110224,NA,"End Of Day (from Real-Time)",48.53,48.86,47.58,47.78,215435
"38","EQT.N",20110225,NA,"End Of Day (from Real-Time)",48.02,48.79,47.79,48.72,167209
"39","EQT.N",20110228,NA,"End Of Day (from Real-Time)",48.99,49.33,48.31,49.3,316876
"40","EQT.N",20110301,NA,"End Of Day (from Real-Time)",49.72,49.76,47.93,48.06,349318
"41","EQT.N",20110302,NA,"End Of Day (from Real-Time)",47.97,48.15,47.38,47.94,321923
"42","EQT.N",20110303,NA,"End Of Day (from Real-Time)",48.23,48.39,47.95,48.3,239800
"43","EQT.N",20110304,NA,"End Of Day (from Real-Time)",48.22,48.3,47.15,47.55,305585
"44","EQT.N",20110307,NA,"End Of Day (from Real-Time)",47.8,48.05,46.86,47.05,264857
"45","EQT.N",20110308,NA,"End Of Day (from Real-Time)",47.13,47.21,46.46,46.87,228820
"46","EQT.N",20110309,NA,"End Of Day (from Real-Time)",46.83,47.12,46.48,46.86,288249
"47","EQT.N",20110310,NA,"End Of Day (from Real-Time)",46.32,46.32,44.39,44.44,358928
"48","EQT.N",20110311,NA,"End Of Day (from Real-Time)",44.45,44.8,44.1,44.64,441365
"49","EQT.N",20110314,NA,"End Of Day (from Real-Time)",44.34,44.86,43.69,44.66,472505
"50","EQT.N",20110315,NA,"End Of Day (from Real-Time)",43.48,45.19,43.18,44.84,522891
"51","EQT.N",20110316,NA,"End Of Day (from Real-Time)",44.92,45.63,43.89,44.42,400301
"52","EQT.N",20110317,NA,"End Of Day (from Real-Time)",45.35,46.25,45.19,46.08,313402
"53","EQT.N",20110318,NA,"End Of Day (from Real-Time)",46.72,48,46.49,46.87,1238768
"54","EQT.N",20110321,NA,"End Of Day (from Real-Time)",47.42,47.92,47.1,47.73,188350
"55","EQT.N",20110322,NA,"End Of Day (from Real-Time)",47.8,47.94,47.55,47.64,156750
"56","EQT.N",20110323,NA,"End Of Day (from Real-Time)",47.56,47.7,47.24,47.5,176132
"57","EQT.N",20110324,NA,"End Of Day (from Real-Time)",47.83,48.5,47.46,48.46,252745
"58","EQT.N",20110325,NA,"End Of Day (from Real-Time)",48.61,49.33,48.41,49.2,273890
"59","EQT.N",20110328,NA,"End Of Day (from Real-Time)",49.23,49.32,47.81,47.83,249153
"60","EQT.N",20110329,NA,"End Of Day (from Real-Time)",48.06,48.65,47.58,48.59,260759
"61","EQT.N",20110330,NA,"End Of Day (from Real-Time)",48.84,49.5,48.68,49.43,306429
"62","EQT.N",20110331,NA,"End Of Day (from Real-Time)",49.4,49.99,49.4,49.9,396568
"63","EQT.N",20110401,NA,"End Of Day (from Real-Time)",50,50.54,49.98,50.17,324785
"64","EQT.N",20110404,NA,"End Of Day (from Real-Time)",50.4,50.49,50.13,50.26,201313
"65","EQT.N",20110405,NA,"End Of Day (from Real-Time)",49.99,50.52,49.85,50.2,158281
"66","EQT.N",20110406,NA,"End Of Day (from Real-Time)",50.53,50.93,50.14,50.25,183026
"67","EQT.N",20110407,NA,"End Of Day (from Real-Time)",50.12,50.49,49.53,50.22,216399
"68","EQT.N",20110408,NA,"End Of Day (from Real-Time)",50.5,50.5,49.29,49.41,303867
"69","EQT.N",20110411,NA,"End Of Day (from Real-Time)",49.37,49.57,48.25,48.53,381155
"70","EQT.N",20110412,NA,"End Of Day (from Real-Time)",48.13,48.16,46.55,46.63,297392
"71","EQT.N",20110413,NA,"End Of Day (from Real-Time)",46.98,47.47,46.71,46.86,273439
"72","EQT.N",20110414,NA,"End Of Day (from Real-Time)",46.59,46.9,46.18,46.84,226466
"73","EQT.N",20110415,NA,"End Of Day (from Real-Time)",46.94,47.12,46.59,47,257607
"74","EQT.N",20110418,NA,"End Of Day (from Real-Time)",46.25,46.28,45.72,45.97,196375
"75","EQT.N",20110419,NA,"End Of Day (from Real-Time)",45.97,46.5,45.94,46.39,167631
"76","EQT.N",20110420,NA,"End Of Day (from Real-Time)",47.13,47.66,46.81,47.61,324576
"77","EQT.N",20110421,NA,"End Of Day (from Real-Time)",47.64,47.93,47.02,47.16,213386
"78","EQT.N",20110425,NA,"End Of Day (from Real-Time)",47.2,47.2,46.55,47.04,143280
"79","EQT.N",20110426,NA,"End Of Day (from Real-Time)",47.28,47.37,46.94,47.28,171591
"80","EQT.N",20110427,NA,"End Of Day (from Real-Time)",47.5,48.06,46.57,47.92,339317
"81","EQT.N",20110428,NA,"End Of Day (from Real-Time)",47.79,49.98,47.69,49.85,440693
"82","EQT.N",20110429,NA,"End Of Day (from Real-Time)",50,52.65,49.93,52.61,720572
"83","EQT.N",20110502,NA,"End Of Day (from Real-Time)",52.97,53.47,52.25,52.68,458351
"84","EQT.N",20110503,NA,"End Of Day (from Real-Time)",52.4,53.14,52.28,52.81,460395
"85","EQT.N",20110504,NA,"End Of Day (from Real-Time)",52.66,52.66,50.91,51.53,345300
"86","EQT.N",20110505,NA,"End Of Day (from Real-Time)",51.11,51.19,49.65,50.34,444050
"87","EQT.N",20110506,NA,"End Of Day (from Real-Time)",51.13,52.23,50.19,51.03,326607
"88","EQT.N",20110509,NA,"End Of Day (from Real-Time)",51.14,52.01,51.08,51.87,285517
"89","EQT.N",20110510,NA,"End Of Day (from Real-Time)",52,52.08,51.53,51.87,292393
"90","EQT.N",20110511,NA,"End Of Day (from Real-Time)",51.82,51.85,49.31,50.1,336576
"91","EQT.N",20110512,NA,"End Of Day (from Real-Time)",50.1,50.82,49.41,50.7,394266
"92","EQT.N",20110513,NA,"End Of Day (from Real-Time)",50.66,51.42,49.92,50.39,438526
"93","EQT.N",20110516,NA,"End Of Day (from Real-Time)",50.11,50.62,49.35,49.5,266542
"94","EQT.N",20110517,NA,"End Of Day (from Real-Time)",49.23,50.15,49.01,50.09,360570
"95","EQT.N",20110518,NA,"End Of Day (from Real-Time)",49.98,51.72,49.98,50.44,396219
"96","EQT.N",20110519,NA,"End Of Day (from Real-Time)",50.78,51.12,50.22,50.62,305791
"97","EQT.N",20110520,NA,"End Of Day (from Real-Time)",50.52,51.3,49.85,51.06,368863
"98","EQT.N",20110523,NA,"End Of Day (from Real-Time)",50.14,50.37,49.74,49.88,243858
"99","EQT.N",20110524,NA,"End Of Day (from Real-Time)",50.27,51.44,50.27,50.95,253884
"100","EQT.N",20110525,NA,"End Of Day (from Real-Time)",50.62,52.78,50.62,52.59,351500
"101","EQT.N",20110526,NA,"End Of Day (from Real-Time)",52.33,53.18,51.8,53.04,384436
"102","EQT.N",20110527,NA,"End Of Day (from Real-Time)",53.31,53.99,53.02,53.34,250615
"103","EQT.N",20110531,NA,"End Of Day (from Real-Time)",54,54.25,53.35,54.18,656815
"104","EQT.N",20110601,NA,"End Of Day (from Real-Time)",54.22,54.22,51.92,52.1,372442
"105","EQT.N",20110602,NA,"End Of Day (from Real-Time)",52.29,53.56,51.91,53.1,396061
"106","EQT.N",20110603,NA,"End Of Day (from Real-Time)",52.27,53.69,51.91,53.11,445440
"107","EQT.N",20110606,NA,"End Of Day (from Real-Time)",52.99,53.02,51.27,51.34,285127
"108","EQT.N",20110607,NA,"End Of Day (from Real-Time)",52.18,52.26,51.2,51.51,312751
"109","EQT.N",20110608,NA,"End Of Day (from Real-Time)",51.56,52.18,51.41,51.78,237434
"110","EQT.N",20110609,NA,"End Of Day (from Real-Time)",52.01,53.66,51.96,53.16,349849
"111","EQT.N",20110610,NA,"End Of Day (from Real-Time)",52.71,53.45,52.42,52.55,654487
"112","EQT.N",20110613,NA,"End Of Day (from Real-Time)",52.53,52.53,49.99,50.45,458463
"113","EQT.N",20110614,NA,"End Of Day (from Real-Time)",51.11,51.62,50.91,51.55,315004
