"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ESV.N",20110103,NA,"End Of Day (from Real-Time)",54,54,52.55,52.74,178118
"2","ESV.N",20110104,NA,"End Of Day (from Real-Time)",52.93,52.97,50.25,50.96,541280
"3","ESV.N",20110105,NA,"End Of Day (from Real-Time)",50.76,51.88,50.12,51.48,259986
"4","ESV.N",20110106,NA,"End Of Day (from Real-Time)",51.63,51.63,50.3,51,162313
"5","ESV.N",20110107,NA,"End Of Day (from Real-Time)",50.94,52.14,50.65,52,454168
"6","ESV.N",20110110,NA,"End Of Day (from Real-Time)",51.7,51.79,50.71,51.13,365808
"7","ESV.N",20110111,NA,"End Of Day (from Real-Time)",51.46,52.28,51.1,52.18,229996
"8","ESV.N",20110112,NA,"End Of Day (from Real-Time)",52.6,53.49,51.6,52.87,320191
"9","ESV.N",20110113,NA,"End Of Day (from Real-Time)",53.25,53.34,51.29,52.25,270162
"10","ESV.N",20110114,NA,"End Of Day (from Real-Time)",52.12,54.53,52.12,53.85,455277
"11","ESV.N",20110118,NA,"End Of Day (from Real-Time)",53.96,54.89,53.69,53.87,272576
"12","ESV.N",20110119,NA,"End Of Day (from Real-Time)",53.58,53.62,52.4,52.61,371159
"13","ESV.N",20110120,NA,"End Of Day (from Real-Time)",51.82,52.9,50.98,52.44,347981
"14","ESV.N",20110121,NA,"End Of Day (from Real-Time)",52.81,52.88,51.7,52.16,410282
"15","ESV.N",20110124,NA,"End Of Day (from Real-Time)",51.32,52.52,51.25,52.01,214476
"16","ESV.N",20110125,NA,"End Of Day (from Real-Time)",52.01,52.44,51.21,51.86,295090
"17","ESV.N",20110126,NA,"End Of Day (from Real-Time)",52.08,54.62,52.03,54.32,526390
"18","ESV.N",20110127,NA,"End Of Day (from Real-Time)",54.32,55.16,53.85,54.2,341571
"19","ESV.N",20110128,NA,"End Of Day (from Real-Time)",54.22,54.52,53.58,54.04,358024
"20","ESV.N",20110131,NA,"End Of Day (from Real-Time)",53.49,54.91,53.37,54.34,316666
"21","ESV.N",20110201,NA,"End Of Day (from Real-Time)",53.91,54.2,52.21,53.08,654929
"22","ESV.N",20110202,NA,"End Of Day (from Real-Time)",52.94,55.88,52.59,55.73,486154
"23","ESV.N",20110203,NA,"End Of Day (from Real-Time)",55.41,55.75,54.34,54.98,374614
"24","ESV.N",20110204,NA,"End Of Day (from Real-Time)",55.23,55.42,53.75,54.41,236820
"25","ESV.N",20110207,NA,"End Of Day (from Real-Time)",52.21,53.13,51.4,52.13,2560288
"26","ESV.N",20110208,NA,"End Of Day (from Real-Time)",51.95,51.96,50.56,51.27,1399952
