"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","ETR.N",20110103,NA,"End Of Day (from Real-Time)",71.89,72.19,71.43,71.97,542199
"2","ETR.N",20110104,NA,"End Of Day (from Real-Time)",72.18,73.22,71.61,73.11,753926
"3","ETR.N",20110105,NA,"End Of Day (from Real-Time)",72.31,72.66,72.12,72.53,701343
"4","ETR.N",20110106,NA,"End Of Day (from Real-Time)",72.26,72.43,71.81,72.05,607007
"5","ETR.N",20110107,NA,"End Of Day (from Real-Time)",72.28,72.44,71.78,72.35,462206
"6","ETR.N",20110110,NA,"End Of Day (from Real-Time)",72.32,72.76,72,72.63,440518
"7","ETR.N",20110111,NA,"End Of Day (from Real-Time)",72.82,73.03,72.11,72.19,431499
"8","ETR.N",20110112,NA,"End Of Day (from Real-Time)",72.26,72.78,72.22,72.7,374901
"9","ETR.N",20110113,NA,"End Of Day (from Real-Time)",72.78,72.93,72.37,72.77,235439
"10","ETR.N",20110114,NA,"End Of Day (from Real-Time)",72.76,73.22,72.54,73.11,273841
"11","ETR.N",20110118,NA,"End Of Day (from Real-Time)",72.63,72.97,72.34,72.67,414451
"12","ETR.N",20110119,NA,"End Of Day (from Real-Time)",72.55,73.17,72.42,72.56,344594
"13","ETR.N",20110120,NA,"End Of Day (from Real-Time)",72.67,73.75,72.67,73.23,432378
"14","ETR.N",20110121,NA,"End Of Day (from Real-Time)",73.5,73.5,72.33,73.04,502107
"15","ETR.N",20110124,NA,"End Of Day (from Real-Time)",73.14,74.5,73.12,73.77,578481
"16","ETR.N",20110125,NA,"End Of Day (from Real-Time)",73.66,73.82,73.27,73.5,484987
"17","ETR.N",20110126,NA,"End Of Day (from Real-Time)",73.61,73.72,72.73,73.13,384085
"18","ETR.N",20110127,NA,"End Of Day (from Real-Time)",73.13,73.28,72.32,72.79,397272
"19","ETR.N",20110128,NA,"End Of Day (from Real-Time)",72.72,73.05,72,72.07,378327
"20","ETR.N",20110131,NA,"End Of Day (from Real-Time)",72.22,72.44,71.97,72.17,753416
"21","ETR.N",20110201,NA,"End Of Day (from Real-Time)",72.55,73.89,72.53,73.86,564682
