"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","EW.N",20110103,NA,"End Of Day (from Real-Time)",81.53,81.92,79.05,79.25,302784
"2","EW.N",20110104,NA,"End Of Day (from Real-Time)",79.4,80.34,78.88,80.27,245327
"3","EW.N",20110105,NA,"End Of Day (from Real-Time)",79.84,80.3,78.69,78.82,208996
"4","EW.N",20110106,NA,"End Of Day (from Real-Time)",78.71,79.2,78.27,78.81,156290
"5","EW.N",20110107,NA,"End Of Day (from Real-Time)",78.91,79.79,78.51,79.05,143359
"6","EW.N",20110110,NA,"End Of Day (from Real-Time)",78.69,78.97,77.26,78.65,125503
"7","EW.N",20110111,NA,"End Of Day (from Real-Time)",79.31,80.83,79.26,79.98,147828
"8","EW.N",20110112,NA,"End Of Day (from Real-Time)",80.15,80.4,78.99,79.39,151402
"9","EW.N",20110113,NA,"End Of Day (from Real-Time)",79.1,81.91,79.1,81.79,188468
"10","EW.N",20110114,NA,"End Of Day (from Real-Time)",81.57,81.77,80.62,81.7,175614
"11","EW.N",20110118,NA,"End Of Day (from Real-Time)",81.79,83.5,81.5,83.48,434325
"12","EW.N",20110119,NA,"End Of Day (from Real-Time)",83.45,84.64,82.55,83.8,221404
"13","EW.N",20110120,NA,"End Of Day (from Real-Time)",83.59,83.62,82.52,83.51,350038
"14","EW.N",20110121,NA,"End Of Day (from Real-Time)",83.78,84.18,82.64,82.69,168016
"15","EW.N",20110124,NA,"End Of Day (from Real-Time)",84.11,84.17,83.11,83.36,227893
"16","EW.N",20110125,NA,"End Of Day (from Real-Time)",83.93,84.32,82.55,83.48,201362
"17","EW.N",20110126,NA,"End Of Day (from Real-Time)",83.98,84.91,83.31,84.82,214359
"18","EW.N",20110127,NA,"End Of Day (from Real-Time)",84.85,86.24,84.68,84.92,192343
"19","EW.N",20110128,NA,"End Of Day (from Real-Time)",84.85,86.19,82.51,83.18,182088
"20","EW.N",20110131,NA,"End Of Day (from Real-Time)",83.58,84.96,83.58,84.29,208311
"21","EW.N",20110201,NA,"End Of Day (from Real-Time)",85.64,86.82,85.26,85.94,200294
"22","EW.N",20110202,NA,"End Of Day (from Real-Time)",86,86.87,86,86.32,176123
"23","EW.N",20110203,NA,"End Of Day (from Real-Time)",85.55,89.94,84.58,85.55,385748
"24","EW.N",20110204,NA,"End Of Day (from Real-Time)",85.87,86.53,85.54,85.94,173628
"25","EW.N",20110207,NA,"End Of Day (from Real-Time)",86.28,87.99,86.28,86.67,157653
"26","EW.N",20110208,NA,"End Of Day (from Real-Time)",86.75,88.08,86.75,88.05,109124
"27","EW.N",20110209,NA,"End Of Day (from Real-Time)",87.79,89.28,87.74,88,126952
"28","EW.N",20110210,NA,"End Of Day (from Real-Time)",88.09,89.58,87.87,88.5,138812
"29","EW.N",20110211,NA,"End Of Day (from Real-Time)",88.25,88.95,87.85,88.87,117343
"30","EW.N",20110214,NA,"End Of Day (from Real-Time)",89,89.07,88,88.92,158749
"31","EW.N",20110215,NA,"End Of Day (from Real-Time)",88.64,89.27,88.12,88.64,102833
"32","EW.N",20110216,NA,"End Of Day (from Real-Time)",88.67,89.11,88.23,88.25,139730
"33","EW.N",20110217,NA,"End Of Day (from Real-Time)",88.12,89.25,87.6,89.15,99543
"34","EW.N",20110218,NA,"End Of Day (from Real-Time)",89.14,89.5,88.73,89.5,126482
"35","EW.N",20110222,NA,"End Of Day (from Real-Time)",88.93,88.98,87.1,87.2,149364
"36","EW.N",20110223,NA,"End Of Day (from Real-Time)",87.09,87.43,84.18,85.14,180386
"37","EW.N",20110224,NA,"End Of Day (from Real-Time)",85.14,85.52,83.85,84.58,201176
"38","EW.N",20110225,NA,"End Of Day (from Real-Time)",84.61,86.43,84.61,86.4,176366
"39","EW.N",20110228,NA,"End Of Day (from Real-Time)",86.63,87.47,85.04,85.04,288356
"40","EW.N",20110301,NA,"End Of Day (from Real-Time)",85.46,86.41,84.59,84.97,230723
"41","EW.N",20110302,NA,"End Of Day (from Real-Time)",84.78,89.58,84.78,88.69,216581
"42","EW.N",20110303,NA,"End Of Day (from Real-Time)",89.35,91.81,89.34,90.87,189725
"43","EW.N",20110304,NA,"End Of Day (from Real-Time)",90.87,91.02,88.98,89.51,147171
"44","EW.N",20110307,NA,"End Of Day (from Real-Time)",89.72,90.42,87.64,89.83,222051
"45","EW.N",20110308,NA,"End Of Day (from Real-Time)",89.95,90.72,89.5,90.25,116651
"46","EW.N",20110309,NA,"End Of Day (from Real-Time)",90.46,91.54,90.14,91.36,189363
"47","EW.N",20110310,NA,"End Of Day (from Real-Time)",90.26,90.44,88.24,88.24,162875
"48","EW.N",20110311,NA,"End Of Day (from Real-Time)",87.94,89.54,87.06,89.27,98696
