"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","FAST.O",20110103,NA,"End Of Day (from Real-Time)",60.55,61.53,60.5,60.85,948885
"2","FAST.O",20110104,NA,"End Of Day (from Real-Time)",60.75,60.79,59.21,59.82,1519859
"3","FAST.O",20110105,NA,"End Of Day (from Real-Time)",59.6,60.9,59.49,60.08,817599
"4","FAST.O",20110106,NA,"End Of Day (from Real-Time)",60,60.07,59.23,59.37,783153
"5","FAST.O",20110107,NA,"End Of Day (from Real-Time)",59.6,59.87,58.85,59.28,696478
"6","FAST.O",20110110,NA,"End Of Day (from Real-Time)",58.9,59.345,58.42,59.22,478993
"7","FAST.O",20110111,NA,"End Of Day (from Real-Time)",59.44,59.99,58.9,59.4,953411
"8","FAST.O",20110112,NA,"End Of Day (from Real-Time)",59.92,60,58.43,58.78,1134994
"9","FAST.O",20110113,NA,"End Of Day (from Real-Time)",58.78,59,58.34,58.81,1431885
"10","FAST.O",20110114,NA,"End Of Day (from Real-Time)",58.63,59.93,58.63,59.89,835830
"11","FAST.O",20110118,NA,"End Of Day (from Real-Time)",58.92,61.18,58.27,60.95,2099233
"12","FAST.O",20110119,NA,"End Of Day (from Real-Time)",59.54,60.12,58.8001,59.76,1382712
"13","FAST.O",20110120,NA,"End Of Day (from Real-Time)",59.84,60.22,59.55,59.88,954906
"14","FAST.O",20110121,NA,"End Of Day (from Real-Time)",60.14,60.36,59.18,59.51,787520
"15","FAST.O",20110124,NA,"End Of Day (from Real-Time)",59.47,60.1,59.3,60,563282
"16","FAST.O",20110125,NA,"End Of Day (from Real-Time)",59.34,59.66,58.47,59.24,936296
"17","FAST.O",20110126,NA,"End Of Day (from Real-Time)",59.22,59.78,58.86,59.47,691787
"18","FAST.O",20110127,NA,"End Of Day (from Real-Time)",59.3,60.07,59.05,60.01,817693
"19","FAST.O",20110128,NA,"End Of Day (from Real-Time)",60.25,60.29,57.61,57.76,1331006
"20","FAST.O",20110131,NA,"End Of Day (from Real-Time)",57.83,58.39,57.68,58.06,1154295
"21","FAST.O",20110201,NA,"End Of Day (from Real-Time)",58.39,59.7,58.16,59.48,903762
"22","FAST.O",20110202,NA,"End Of Day (from Real-Time)",59.25,59.77,58.82,58.95,654183
"23","FAST.O",20110203,NA,"End Of Day (from Real-Time)",58.74,60.5367,58.74,60.39,916593
"24","FAST.O",20110204,NA,"End Of Day (from Real-Time)",60.5,61.82,60.37,61.58,944015
"25","FAST.O",20110207,NA,"End Of Day (from Real-Time)",61.73,62.17,61.43,61.98,915106
"26","FAST.O",20110208,NA,"End Of Day (from Real-Time)",62.14,62.57,62.08,62.54,681564
"27","FAST.O",20110209,NA,"End Of Day (from Real-Time)",62.47,62.92,62.18,62.675,511317
"28","FAST.O",20110210,NA,"End Of Day (from Real-Time)",62.39,63.495,62.39,63.41,654304
"29","FAST.O",20110211,NA,"End Of Day (from Real-Time)",62.67,63.36,62.28,63.36,540736
"30","FAST.O",20110214,NA,"End Of Day (from Real-Time)",63.4,63.44,62.81,63.09,1017979
"31","FAST.O",20110215,NA,"End Of Day (from Real-Time)",62.89,63.1,62.67,62.85,353200
"32","FAST.O",20110216,NA,"End Of Day (from Real-Time)",63.07,63.56,62.76,63.16,790411
"33","FAST.O",20110217,NA,"End Of Day (from Real-Time)",62.98,63.37,62.81,63.09,664312
"34","FAST.O",20110218,NA,"End Of Day (from Real-Time)",63.15,63.74,62.73,63.7,844451
"35","FAST.O",20110222,NA,"End Of Day (from Real-Time)",62.99,63.73,62.03,62.18,862785
"36","FAST.O",20110223,NA,"End Of Day (from Real-Time)",62.23,62.33,60.31,60.96,958996
"37","FAST.O",20110224,NA,"End Of Day (from Real-Time)",60.9,61.55,60.05,60.85,728730
"38","FAST.O",20110225,NA,"End Of Day (from Real-Time)",61.24,61.56,60.96,61.51,479161
"39","FAST.O",20110228,NA,"End Of Day (from Real-Time)",61.71,62.263,61.51,62.13,666950
"40","FAST.O",20110301,NA,"End Of Day (from Real-Time)",62.16,62.41,60.05,60.57,1286467
"41","FAST.O",20110302,NA,"End Of Day (from Real-Time)",60.53,61.15,60.13,60.59,727059
"42","FAST.O",20110303,NA,"End Of Day (from Real-Time)",61.35,62.82,61.32,62.35,834294
"43","FAST.O",20110304,NA,"End Of Day (from Real-Time)",62.13,62.49,61.25,61.85,603417
"44","FAST.O",20110307,NA,"End Of Day (from Real-Time)",62.3,62.4199,60.55,61.26,590052
"45","FAST.O",20110308,NA,"End Of Day (from Real-Time)",61.33,62.68,61.03,62.44,615772
"46","FAST.O",20110309,NA,"End Of Day (from Real-Time)",62.13,62.84,61.53,62.77,512934
"47","FAST.O",20110310,NA,"End Of Day (from Real-Time)",61.86,62.2,61.3,61.59,843215
"48","FAST.O",20110311,NA,"End Of Day (from Real-Time)",61.49,62.04,61.02,61.82,590196
"49","FAST.O",20110314,NA,"End Of Day (from Real-Time)",61.33,61.79,60.49,61.25,642064
"50","FAST.O",20110315,NA,"End Of Day (from Real-Time)",59.41,60.9,59.17,60.51,1133555
"51","FAST.O",20110316,NA,"End Of Day (from Real-Time)",60.15,60.16,59,59.54,1385365
"52","FAST.O",20110317,NA,"End Of Day (from Real-Time)",60.41,60.93,59.99,60.48,984738
"53","FAST.O",20110318,NA,"End Of Day (from Real-Time)",61.28,61.76,60.77,60.93,1011308
"54","FAST.O",20110321,NA,"End Of Day (from Real-Time)",61.8,62.36,61.51,61.97,492724
"55","FAST.O",20110322,NA,"End Of Day (from Real-Time)",61.91,61.99,61.52,61.74,641326
"56","FAST.O",20110323,NA,"End Of Day (from Real-Time)",61.63,62.37,61.17,62.28,519354
"57","FAST.O",20110324,NA,"End Of Day (from Real-Time)",62.52,63.15,61.97,62.92,739831
"58","FAST.O",20110325,NA,"End Of Day (from Real-Time)",63.19,63.78,62.74,63.21,729698
"59","FAST.O",20110328,NA,"End Of Day (from Real-Time)",63.34,63.78,63.1,63.16,604488
"60","FAST.O",20110329,NA,"End Of Day (from Real-Time)",63.07,64.12,62.69,63.97,740614
"61","FAST.O",20110330,NA,"End Of Day (from Real-Time)",64.5,64.71,64.32,64.49,703602
"62","FAST.O",20110331,NA,"End Of Day (from Real-Time)",64.33,64.88,64.1604,64.83,615360
"63","FAST.O",20110401,NA,"End Of Day (from Real-Time)",65.06,66.15,64.95,65.85,1184217
"64","FAST.O",20110404,NA,"End Of Day (from Real-Time)",65.84,66.12,65.38,66.12,704536
"65","FAST.O",20110405,NA,"End Of Day (from Real-Time)",65.83,66.79,65.81,66.74,1166215
"66","FAST.O",20110406,NA,"End Of Day (from Real-Time)",67.57,69.75,67.57,68.61,1933399
"67","FAST.O",20110407,NA,"End Of Day (from Real-Time)",68.45,68.91,67.73,67.82,1490088
"68","FAST.O",20110408,NA,"End Of Day (from Real-Time)",68.02,68.25,66.68,67.33,1427256
"69","FAST.O",20110411,NA,"End Of Day (from Real-Time)",67.6,67.93,67.11,67.5,1408867
"70","FAST.O",20110412,NA,"End Of Day (from Real-Time)",66.38,67.23,64.03,64.54,2351536
"71","FAST.O",20110413,NA,"End Of Day (from Real-Time)",65.02,65.95,64.04,64.67,1474057
"72","FAST.O",20110414,NA,"End Of Day (from Real-Time)",64.3,65.24,64.07,65.03,760228
"73","FAST.O",20110415,NA,"End Of Day (from Real-Time)",65.42,65.42,64.462,64.95,1027974
"74","FAST.O",20110418,NA,"End Of Day (from Real-Time)",63.75,64.29,63.27,63.74,985915
"75","FAST.O",20110419,NA,"End Of Day (from Real-Time)",64.16,64.16,63.16,63.56,807723
"76","FAST.O",20110420,NA,"End Of Day (from Real-Time)",64.37,65.44,64.36,64.84,1157665
"77","FAST.O",20110421,NA,"End Of Day (from Real-Time)",65.17,65.75,65.11,65.54,668893
"78","FAST.O",20110425,NA,"End Of Day (from Real-Time)",65.9,65.98,65.15,65.3,515730
"79","FAST.O",20110426,NA,"End Of Day (from Real-Time)",65.76,66.35,65.51,66.11,622124
"80","FAST.O",20110427,NA,"End Of Day (from Real-Time)",66.13,67.31,65.95,67.27,887356
"81","FAST.O",20110428,NA,"End Of Day (from Real-Time)",67.54,67.71,66.63,67.1,617321
"82","FAST.O",20110429,NA,"End Of Day (from Real-Time)",67.23,67.66,67.03,67.09,1077942
"83","FAST.O",20110502,NA,"End Of Day (from Real-Time)",67.14,67.57,66.37,66.89,775729
"84","FAST.O",20110503,NA,"End Of Day (from Real-Time)",66.78,67.22,65.7403,66.25,679744
"85","FAST.O",20110504,NA,"End Of Day (from Real-Time)",66.09,66.47,65.51,66.22,1106142
"86","FAST.O",20110505,NA,"End Of Day (from Real-Time)",65.91,67.13,65.39,65.92,951482
"87","FAST.O",20110506,NA,"End Of Day (from Real-Time)",66.67,67.41,66.09,66.36,887093
"88","FAST.O",20110509,NA,"End Of Day (from Real-Time)",66.42,67.53,66.34,66.78,561511
"89","FAST.O",20110510,NA,"End Of Day (from Real-Time)",67.14,67.5,66.81,67.33,572369
"90","FAST.O",20110511,NA,"End Of Day (from Real-Time)",67.35,67.48,65.61,66.38,876180
"91","FAST.O",20110512,NA,"End Of Day (from Real-Time)",66.29,67.15,65.83,67.04,531821
"92","FAST.O",20110513,NA,"End Of Day (from Real-Time)",67.1,67.215,65.93,66.61,659994
"93","FAST.O",20110516,NA,"End Of Day (from Real-Time)",66.21,66.59,66.05,66.29,795246
"94","FAST.O",20110517,NA,"End Of Day (from Real-Time)",66.09,66.28,65.25,65.74,582009
"95","FAST.O",20110518,NA,"End Of Day (from Real-Time)",65.66,66.53,65.41,66.34,508860
"96","FAST.O",20110519,NA,"End Of Day (from Real-Time)",66.79,67.0299,65.98,66.34,539832
"97","FAST.O",20110520,NA,"End Of Day (from Real-Time)",66.33,66.33,65.14,65.71,511490
"98","FAST.O",20110523,NA,"End Of Day (from Real-Time)",32.62,32.98,32.02,32.4,1367428
