"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","FCX.N",20110103,NA,"End Of Day (from Real-Time)",121.7,122.5,119.15,119.58,2157564
"2","FCX.N",20110104,NA,"End Of Day (from Real-Time)",119.5,120.25,115.05,118.75,3531745
"3","FCX.N",20110105,NA,"End Of Day (from Real-Time)",117.41,118.81,115.9,118.35,2875483
"4","FCX.N",20110106,NA,"End Of Day (from Real-Time)",118.38,118.39,115.13,116.08,2250833
"5","FCX.N",20110107,NA,"End Of Day (from Real-Time)",116.48,117.94,115.35,117.47,2487830
"6","FCX.N",20110110,NA,"End Of Day (from Real-Time)",117.5,119.33,115.55,118.96,1957885
"7","FCX.N",20110111,NA,"End Of Day (from Real-Time)",120.53,121.98,119.56,121.8,2158747
"8","FCX.N",20110112,NA,"End Of Day (from Real-Time)",122.04,122.69,121.3,121.84,2168918
"9","FCX.N",20110113,NA,"End Of Day (from Real-Time)",121.85,121.85,117.89,118.07,2218017
"10","FCX.N",20110114,NA,"End Of Day (from Real-Time)",118,118.83,116.75,118.35,2415091
"11","FCX.N",20110118,NA,"End Of Day (from Real-Time)",118.75,119.49,117.58,118.6,1678242
"12","FCX.N",20110119,NA,"End Of Day (from Real-Time)",119.22,119.41,114.71,115.16,2088866
"13","FCX.N",20110120,NA,"End Of Day (from Real-Time)",111,111.34,109.15,110.9,4541444
"14","FCX.N",20110121,NA,"End Of Day (from Real-Time)",110.25,111.35,108.11,108.4,2924749
"15","FCX.N",20110124,NA,"End Of Day (from Real-Time)",108.17,111.31,107.74,108.47,2330490
"16","FCX.N",20110125,NA,"End Of Day (from Real-Time)",106,107.43,104.61,106.43,3867290
"17","FCX.N",20110126,NA,"End Of Day (from Real-Time)",106.32,110.79,106.32,110.26,2478938
"18","FCX.N",20110127,NA,"End Of Day (from Real-Time)",111.5,111.52,106.53,107.66,2582677
"19","FCX.N",20110128,NA,"End Of Day (from Real-Time)",107.14,108.55,105.65,106.17,2597976
"20","FCX.N",20110131,NA,"End Of Day (from Real-Time)",107.12,109,106.92,108.75,3203787
"21","FCX.N",20110201,NA,"End Of Day (from Real-Time)",110.52,114.21,110.35,114.07,2795908
