"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","FE.N",20110103,NA,"End Of Day (from Real-Time)",37.25,37.82,37.14,37.66,795710
"2","FE.N",20110104,NA,"End Of Day (from Real-Time)",37.67,37.98,37.21,37.89,668503
"3","FE.N",20110105,NA,"End Of Day (from Real-Time)",37.8,38.12,37.66,38.02,761501
"4","FE.N",20110106,NA,"End Of Day (from Real-Time)",37.96,38.16,37.66,38.16,723304
"5","FE.N",20110107,NA,"End Of Day (from Real-Time)",38.16,38.43,37.95,38.25,941380
"6","FE.N",20110110,NA,"End Of Day (from Real-Time)",38.18,38.26,37.85,38.25,1236831
"7","FE.N",20110111,NA,"End Of Day (from Real-Time)",38.34,38.34,37.92,38.07,837914
"8","FE.N",20110112,NA,"End Of Day (from Real-Time)",38.25,38.52,38.19,38.28,784683
"9","FE.N",20110113,NA,"End Of Day (from Real-Time)",38.28,38.47,38.17,38.36,674550
"10","FE.N",20110114,NA,"End Of Day (from Real-Time)",38.26,38.62,38.17,38.6,576471
"11","FE.N",20110118,NA,"End Of Day (from Real-Time)",38.39,38.88,38.39,38.76,803792
"12","FE.N",20110119,NA,"End Of Day (from Real-Time)",38.79,38.9,38.67,38.82,763008
"13","FE.N",20110120,NA,"End Of Day (from Real-Time)",38.92,39.45,38.92,39.4,1225403
"14","FE.N",20110121,NA,"End Of Day (from Real-Time)",39.5,39.64,39.32,39.57,824895
"15","FE.N",20110124,NA,"End Of Day (from Real-Time)",39.55,39.81,39.39,39.43,865759
"16","FE.N",20110125,NA,"End Of Day (from Real-Time)",39.4,39.43,38.72,38.98,953819
"17","FE.N",20110126,NA,"End Of Day (from Real-Time)",39.07,39.28,38.63,38.93,1823507
"18","FE.N",20110127,NA,"End Of Day (from Real-Time)",38.92,39.6,38.85,39.49,1062146
"19","FE.N",20110128,NA,"End Of Day (from Real-Time)",39.52,39.93,38.77,38.77,850719
"20","FE.N",20110131,NA,"End Of Day (from Real-Time)",38.86,39.25,38.83,39.12,1269371
"21","FE.N",20110201,NA,"End Of Day (from Real-Time)",39.31,39.82,39.17,39.74,738646
"22","FE.N",20110202,NA,"End Of Day (from Real-Time)",39.64,40.79,39.57,40.62,1326063
"23","FE.N",20110203,NA,"End Of Day (from Real-Time)",40.2,40.45,39.53,40.1,2246238
"24","FE.N",20110204,NA,"End Of Day (from Real-Time)",40.16,40.2,39.46,39.63,857827
"25","FE.N",20110207,NA,"End Of Day (from Real-Time)",39.62,40,39.6,39.92,547161
"26","FE.N",20110208,NA,"End Of Day (from Real-Time)",39.95,39.98,39.72,39.93,406651
"27","FE.N",20110209,NA,"End Of Day (from Real-Time)",39.74,39.94,39.64,39.93,764034
"28","FE.N",20110210,NA,"End Of Day (from Real-Time)",39.8,40.32,39.67,40.3,1156069
