"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","FFIV.O",20110103,NA,"End Of Day (from Real-Time)",132.89,137.69,132.77,134.33,2307918
"2","FFIV.O",20110104,NA,"End Of Day (from Real-Time)",135.19,135.96,131.59,132.07,1442264
"3","FFIV.O",20110105,NA,"End Of Day (from Real-Time)",131.8,137.3,131.8,137.29,2300103
"4","FFIV.O",20110106,NA,"End Of Day (from Real-Time)",137.89,139.2,135.755,138.07,1995989
"5","FFIV.O",20110107,NA,"End Of Day (from Real-Time)",138.15,139,135.5,138.35,1305158
"6","FFIV.O",20110110,NA,"End Of Day (from Real-Time)",138.17,143.55,138.07,142.69,2105388
"7","FFIV.O",20110111,NA,"End Of Day (from Real-Time)",144,144.1,141.1,142.65,1766496
"8","FFIV.O",20110112,NA,"End Of Day (from Real-Time)",143.85,143.85,141.62,142.61,1226883
"9","FFIV.O",20110113,NA,"End Of Day (from Real-Time)",142.08,145.76,141.37,143.95,1776670
"10","FFIV.O",20110114,NA,"End Of Day (from Real-Time)",144.47,145,141.45,144.17,1771896
"11","FFIV.O",20110118,NA,"End Of Day (from Real-Time)",144.42,145.73,139.77,141.78,2876698
"12","FFIV.O",20110119,NA,"End Of Day (from Real-Time)",141.89,143.6,135.6,138.78,7365082
"13","FFIV.O",20110120,NA,"End Of Day (from Real-Time)",111.33,114.75,106.1,109.15,23329466
"14","FFIV.O",20110121,NA,"End Of Day (from Real-Time)",111.73,113.819,109.66,109.97,9443620
"15","FFIV.O",20110124,NA,"End Of Day (from Real-Time)",108.86,110.46,104.8,106.56,7223617
"16","FFIV.O",20110125,NA,"End Of Day (from Real-Time)",104.75,107.95,102.66,107.53,5678115
"17","FFIV.O",20110126,NA,"End Of Day (from Real-Time)",108.78,110,107.06,108.81,4003887
"18","FFIV.O",20110127,NA,"End Of Day (from Real-Time)",109.59,112.5,109.49,110.94,3289990
"19","FFIV.O",20110128,NA,"End Of Day (from Real-Time)",112.82,113.18,107.8,109.58,4307765
"20","FFIV.O",20110131,NA,"End Of Day (from Real-Time)",110.24,110.75,107.91,108.38,2483422
"21","FFIV.O",20110201,NA,"End Of Day (from Real-Time)",109.56,111,108.75,109.96,2221222
"22","FFIV.O",20110202,NA,"End Of Day (from Real-Time)",107.81,113.74,107.81,113.51,3730653
"23","FFIV.O",20110203,NA,"End Of Day (from Real-Time)",113.85,118.65,113.85,118.21,5874624
"24","FFIV.O",20110204,NA,"End Of Day (from Real-Time)",120.15,123.9,119.5,123.64,7085920
"25","FFIV.O",20110207,NA,"End Of Day (from Real-Time)",124.43,127.96,123.411,124.23,7398330
"26","FFIV.O",20110208,NA,"End Of Day (from Real-Time)",124,125.35,122.25,123.52,3718687
"27","FFIV.O",20110209,NA,"End Of Day (from Real-Time)",123.14,124.45,121.07,123.66,3083972
"28","FFIV.O",20110210,NA,"End Of Day (from Real-Time)",121.44,127.95,121,127,4686415
"29","FFIV.O",20110211,NA,"End Of Day (from Real-Time)",127.1,128.9,126.11,126.62,2633272
"30","FFIV.O",20110214,NA,"End Of Day (from Real-Time)",126.74,129,126.7,128.42,2598645
"31","FFIV.O",20110215,NA,"End Of Day (from Real-Time)",129.4799,129.92,125.72,126.37,3113533
"32","FFIV.O",20110216,NA,"End Of Day (from Real-Time)",127.21,127.36,124.76,125.68,2901263
"33","FFIV.O",20110217,NA,"End Of Day (from Real-Time)",124.93,125,122.75,122.93,2625911
"34","FFIV.O",20110218,NA,"End Of Day (from Real-Time)",123.66,123.69,120.28,120.85,2612850
"35","FFIV.O",20110222,NA,"End Of Day (from Real-Time)",118.59,118.74,115,115.11,2592013
"36","FFIV.O",20110223,NA,"End Of Day (from Real-Time)",114.52,116.47,110.69,111.99,3293503
"37","FFIV.O",20110224,NA,"End Of Day (from Real-Time)",112.06,117.3,110.737,117.06,3315913
"38","FFIV.O",20110225,NA,"End Of Day (from Real-Time)",121,122.65,118.64,120.18,2690583
"39","FFIV.O",20110228,NA,"End Of Day (from Real-Time)",120.66,120.96,116.5818,118.01,2073329
"40","FFIV.O",20110301,NA,"End Of Day (from Real-Time)",118.58,118.5999,112.46,113.38,3650701
"41","FFIV.O",20110302,NA,"End Of Day (from Real-Time)",112.68,116.5,112.63,113.2,3003845
"42","FFIV.O",20110303,NA,"End Of Day (from Real-Time)",115.35,116.48,113.75,114.35,3047101
"43","FFIV.O",20110304,NA,"End Of Day (from Real-Time)",114.61,115.5,112.55,113.82,2133114
"44","FFIV.O",20110307,NA,"End Of Day (from Real-Time)",114.16,114.53,108,108.7,4258765
"45","FFIV.O",20110308,NA,"End Of Day (from Real-Time)",108.44,112.43,108.27,110.61,2600487
"46","FFIV.O",20110309,NA,"End Of Day (from Real-Time)",109.44,109.62,106.86,108.17,2651697
"47","FFIV.O",20110310,NA,"End Of Day (from Real-Time)",106.39,111.33,105.13,110.06,3873355
"48","FFIV.O",20110311,NA,"End Of Day (from Real-Time)",109.3,111.41,108.12,111,2201952
"49","FFIV.O",20110314,NA,"End Of Day (from Real-Time)",110.09,112.2,108,108.97,2349199
